,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,2167.5714285714284
2020-12-26,0.0,2167.5714285714284
2020-12-27,0.0,2167.5714285714284
2020-12-28,15173.0,2167.5714285714284
2020-12-29,0.0,2167.5714285714284
2020-12-30,0.0,5375.571428571428
2020-12-31,0.0,5375.571428571428
2021-01-01,0.0,3208.0
2021-01-02,22456.0,3208.0
2021-01-03,0.0,3208.0
2021-01-04,0.0,3208.0
2021-01-05,0.0,3208.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,6332.571428571428
2021-01-09,0.0,6332.571428571428
2021-01-10,0.0,6332.571428571428
2021-01-11,44328.0,6332.571428571428
2021-01-12,0.0,12512.0
2021-01-13,0.0,12512.0
2021-01-14,0.0,12512.0
2021-01-15,43256.0,8792.42857142857
2021-01-16,0.0,8792.42857142857
2021-01-17,0.0,10139.714285714286
2021-01-18,18291.0,13925.714285714286
2021-01-19,0.0,10321.285714285714
2021-01-20,9431.0,16994.571428571428
2021-01-21,26502.0,16994.571428571428
2021-01-22,18025.0,14381.57142857143
2021-01-23,46713.0,19759.571428571428
2021-01-24,0.0,19985.85714285714
2021-01-25,0.0,18517.571428571428
2021-01-26,37646.0,19587.571428571428
2021-01-27,11015.0,16002.857142857143
2021-01-28,16224.0,16002.857142857143
2021-01-29,25515.0,16002.857142857143
2021-01-30,21620.0,16643.85714285714
2021-01-31,0.0,17459.714285714286
2021-02-01,0.0,18048.285714285714
2021-02-02,42133.0,17131.14285714286
2021-02-03,16726.0,17416.285714285714
2021-02-04,20344.0,17416.285714285714
2021-02-05,19095.0,17416.285714285714
2021-02-06,23616.0,21832.571428571428
2021-02-07,0.0,19443.14285714286
2021-02-08,0.0,20242.0
2021-02-09,73047.0,21765.85714285714
2021-02-10,0.0,22662.0
2021-02-11,25936.0,22662.0
2021-02-12,29762.0,22662.0
2021-02-13,29889.0,12226.714285714286
2021-02-14,0.0,22587.0
2021-02-15,0.0,20954.571428571428
2021-02-16,0.0,20069.85714285714
2021-02-17,72522.0,20427.0
2021-02-18,14509.0,20427.0
2021-02-19,23569.0,20955.571428571428
2021-02-20,32389.0,27980.0
2021-02-21,0.0,21094.571428571428
2021-02-22,3700.0,22536.14285714286
2021-02-23,49171.0,22765.714285714286
2021-02-24,24324.0,23025.428571428572
2021-02-25,24600.0,23025.428571428572
2021-02-26,25176.0,22496.85714285714
2021-02-27,34207.0,23261.285714285714
2021-02-28,0.0,23324.428571428572
2021-03-01,0.0,23864.0
2021-03-02,54522.0,24684.571428571428
2021-03-03,24766.0,24535.285714285714
2021-03-04,28377.0,24535.285714285714
2021-03-05,30920.0,31822.0
2021-03-06,33162.0,24033.14285714286
2021-03-07,0.0,23778.0
2021-03-08,51007.0,23848.714285714286
2021-03-09,0.0,23949.0
2021-03-10,22980.0,24000.14285714286
2021-03-11,28872.0,25824.85714285714
2021-03-12,31622.0,18538.14285714286
2021-03-13,33520.0,23619.285714285714
2021-03-14,12773.0,23821.571428571428
2021-03-15,0.0,20470.0
2021-03-16,35568.0,19678.14285714286
2021-03-17,24396.0,20122.428571428572
2021-03-18,5411.0,23167.14285714286
2021-03-19,26079.0,24864.85714285714
2021-03-20,36630.0,20727.285714285714
2021-03-21,34086.0,21552.714285714286
2021-03-22,11884.0,25489.85714285714
2021-03-23,6605.0,27003.571428571428
2021-03-24,30174.0,26386.85714285714
2021-03-25,32971.0,26439.428571428572
2021-03-26,36675.0,26633.714285714286
2021-03-27,32313.0,26759.14285714286
2021-03-28,34454.0,26885.14285714286
2021-03-29,13244.0,26617.14285714286
2021-03-30,7483.0,27555.428571428572
2021-03-31,31056.0,28865.428571428572
2021-04-01,31095.0,28769.285714285714
2021-04-02,43243.0,28533.0
2021-04-03,41483.0,28324.571428571428
2021-04-04,33781.0,28468.428571428572
2021-04-05,11590.0,29995.0
2021-04-06,6024.0,35622.142857142855
2021-04-07,32063.0,35980.71428571428
2021-04-08,41781.0,33623.142857142855
2021-04-09,82633.0,33379.42857142857
2021-04-10,43993.0,37494.28571428572
2021-04-11,17278.0,38853.0
2021-04-12,9884.0,38384.42857142857
2021-04-13,34828.0,32034.285714285714
2021-04-14,41574.0,30765.571428571428
2021-04-15,38501.0,29953.0
2021-04-16,38182.0,29296.285714285714
2021-04-17,35112.0,28635.285714285714
2021-04-18,11590.0,27376.571428571428
2021-04-19,5287.0,26701.714285714286
2021-04-20,30201.0,26293.571428571428
2021-04-21,32763.0,25832.0
2021-04-22,33777.0,25590.428571428572
2021-04-23,35325.0,25809.14285714286
2021-04-24,31881.0,24561.428571428572
2021-04-25,9899.0,23898.285714285714
2021-04-26,6818.0,23662.0
2021-04-27,21467.0,23076.285714285714
2021-04-28,28121.0,22270.714285714286
2021-04-29,32123.0,21615.428571428572
2021-04-30,31225.0,21299.285714285714
2021-05-01,26242.0,18232.571428571428
2021-05-02,5312.0,20444.428571428572
2021-05-03,4605.0,16177.57142857143
2021-05-04,0.0,19313.285714285714
2021-05-05,43604.0,20088.0
2021-05-06,2255.0,20783.85714285714
2021-05-07,53175.0,20899.0
2021-05-08,31665.0,20940.0
2021-05-09,10183.0,17243.571428571428
2021-05-10,5411.0,22667.428571428572
2021-05-11,287.0,19033.571428571428
2021-05-12,17729.0,17613.285714285714
2021-05-13,40222.0,16843.14285714286
2021-05-14,27738.0,16076.857142857143
2021-05-15,21723.0,18807.285714285714
2021-05-16,4792.0,16353.0
2021-05-17,47.0,15329.714285714286
2021-05-18,19400.0,12271.0
2021-05-19,549.0,11621.0
2021-05-20,33059.0,13689.285714285714
2021-05-21,6327.0,13704.0
2021-05-22,17173.0,12970.42857142857
2021-05-23,19270.0,13786.42857142857
2021-05-24,150.0,9746.57142857143
2021-05-25,14265.0,10187.857142857143
2021-05-26,6261.0,9023.666666666666
2021-05-27,4780.0,6974.4
2021-05-28,9416.0,8680.5
