,inpatient_beds_used_covid,7_day_avg
2020-03-23,3.0,2.25
2020-03-24,3.0,2.0
2020-03-25,1.0,1.8333333333333333
2020-03-26,2.0,1.7142857142857142
2020-03-27,1.0,3.5714285714285716
2020-03-28,1.0,5.714285714285714
2020-03-29,1.0,7.142857142857143
2020-03-30,16.0,8.857142857142858
2020-03-31,18.0,10.714285714285714
2020-04-01,11.0,10.857142857142858
2020-04-02,14.0,10.857142857142858
2020-04-03,14.0,9.0
2020-04-04,2.0,6.857142857142857
2020-04-05,1.0,7.571428571428571
2020-04-06,3.0,6.285714285714286
2020-04-07,3.0,4.857142857142857
2020-04-08,16.0,4.571428571428571
2020-04-09,5.0,4.428571428571429
2020-04-10,4.0,6.142857142857143
2020-04-11,0.0,7.571428571428571
2020-04-12,0.0,7.285714285714286
2020-04-13,15.0,9.0
2020-04-14,13.0,10.571428571428571
2020-04-15,14.0,13.0
2020-04-16,17.0,15.285714285714286
2020-04-17,15.0,15.571428571428571
2020-04-18,17.0,18.428571428571427
2020-04-19,16.0,22.714285714285715
2020-04-20,17.0,24.0
2020-04-21,33.0,25.142857142857142
2020-04-22,44.0,23.571428571428573
2020-04-23,26.0,25.428571428571427
2020-04-24,23.0,29.857142857142858
2020-04-25,6.0,31.428571428571427
2020-04-26,29.0,30.571428571428573
2020-04-27,48.0,28.571428571428573
2020-04-28,44.0,28.142857142857142
2020-04-29,38.0,31.142857142857142
2020-04-30,12.0,28.142857142857142
2020-05-01,20.0,22.857142857142858
2020-05-02,27.0,17.0
2020-05-03,8.0,13.285714285714286
2020-05-04,11.0,13.428571428571429
2020-05-05,3.0,11.714285714285714
2020-05-06,12.0,9.428571428571429
2020-05-07,13.0,9.714285714285714
2020-05-08,8.0,10.285714285714286
2020-05-09,11.0,10.857142857142858
2020-05-10,10.0,12.142857142857142
2020-05-11,15.0,12.0
2020-05-12,7.0,11.571428571428571
2020-05-13,21.0,12.142857142857142
2020-05-14,12.0,12.0
2020-05-15,5.0,11.571428571428571
2020-05-16,15.0,13.714285714285714
2020-05-17,9.0,12.714285714285714
2020-05-18,12.0,12.428571428571429
2020-05-19,22.0,15.0
2020-05-20,14.0,14.428571428571429
2020-05-21,10.0,15.857142857142858
2020-05-22,23.0,15.714285714285714
2020-05-23,11.0,15.428571428571429
2020-05-24,19.0,16.571428571428573
2020-05-25,11.0,18.285714285714285
2020-05-26,20.0,18.571428571428573
2020-05-27,22.0,19.857142857142858
2020-05-28,22.0,19.714285714285715
2020-05-29,25.0,21.142857142857142
2020-05-30,20.0,21.571428571428573
2020-05-31,18.0,22.285714285714285
2020-06-01,21.0,21.714285714285715
2020-06-02,23.0,22.0
2020-06-03,27.0,20.285714285714285
2020-06-04,18.0,20.571428571428573
2020-06-05,27.0,20.142857142857142
2020-06-06,8.0,21.714285714285715
2020-06-07,20.0,22.285714285714285
2020-06-08,18.0,23.571428571428573
2020-06-09,34.0,22.857142857142858
2020-06-10,31.0,24.428571428571427
2020-06-11,27.0,25.428571428571427
2020-06-12,22.0,27.857142857142858
2020-06-13,19.0,28.0
2020-06-14,27.0,27.428571428571427
