,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0.14285714285714285,1,1,0,0,0
2020-03-14,0.14285714285714285,0,1,0,0,0
2020-03-15,0.14285714285714285,0,1,0,0,0
2020-03-16,0.14285714285714285,0,1,0,0,0
2020-03-17,0.5714285714285714,3,4,0,0,0
2020-03-18,1.2857142857142858,5,9,0,0,0
2020-03-19,1.7142857142857142,3,12,0,0,0
2020-03-20,2,3,15,0,0,0
2020-03-21,2.142857142857143,1,16,0,0,0
2020-03-22,3.5714285714285716,10,26,0,0,0
2020-03-23,5.428571428571429,13,39,0,0,0
2020-03-24,5.571428571428571,4,43,0,0,0
2020-03-25,5.857142857142857,7,50,0.14285714285714285,1,1
2020-03-26,7.428571428571429,14,64,0.14285714285714285,0,1
2020-03-27,8.571428571428571,11,75,0.14285714285714285,0,1
2020-03-28,10.857142857142858,17,92,0.2857142857142857,1,2
2020-03-29,12.142857142857142,19,111,0.2857142857142857,0,2
2020-03-30,11.428571428571429,8,119,0.42857142857142855,1,3
2020-03-31,12.285714285714286,10,129,0.42857142857142855,0,3
2020-04-01,13.142857142857142,13,142,0.2857142857142857,0,3
2020-04-02,12.285714285714286,8,150,0.2857142857142857,0,3
2020-04-03,12.285714285714286,11,161,0.2857142857142857,0,3
2020-04-04,11.428571428571429,11,172,0.42857142857142855,2,5
2020-04-05,10.857142857142858,15,187,0.5714285714285714,1,6
2020-04-06,10.571428571428571,6,193,0.42857142857142855,0,6
2020-04-07,12.285714285714286,22,215,0.42857142857142855,0,6
2020-04-08,12.285714285714286,13,228,0.5714285714285714,1,7
2020-04-09,12.571428571428571,10,238,0.5714285714285714,0,7
2020-04-10,12.571428571428571,11,249,0.5714285714285714,0,7
2020-04-11,12.714285714285714,12,261,0.42857142857142855,1,8
2020-04-12,12.714285714285714,15,276,0.2857142857142857,0,8
2020-04-13,12.571428571428571,5,281,0.2857142857142857,0,8
2020-04-14,10.571428571428571,8,289,0.42857142857142855,1,9
2020-04-15,9.857142857142858,8,297,0.2857142857142857,0,9
2020-04-16,9.571428571428571,8,305,0.2857142857142857,0,9
2020-04-17,9.285714285714286,9,314,0.2857142857142857,0,9
2020-04-18,8.285714285714286,5,319,0.14285714285714285,0,9
2020-04-19,6.857142857142857,5,324,0.14285714285714285,0,9
2020-04-20,6.428571428571429,2,326,0.14285714285714285,0,9
2020-04-21,6.428571428571429,8,334,0,0,9
2020-04-22,6.142857142857143,6,340,0,0,9
2020-04-23,5.285714285714286,2,342,0,0,9
2020-04-24,4.285714285714286,2,344,0,0,9
2020-04-25,3.5714285714285716,0,344,0,0,9
2020-04-26,3.142857142857143,2,346,0,0,9
2020-04-27,3.4285714285714284,4,350,0,0,9
2020-04-28,3.142857142857143,6,356,0,0,9
2020-04-29,2.857142857142857,4,360,0,0,9
2020-04-30,2.5714285714285716,0,360,0,0,9
2020-05-01,3.5714285714285716,9,369,0,0,9
2020-05-02,3.7142857142857144,1,370,0,0,9
2020-05-03,3.857142857142857,3,373,0,0,9
2020-05-04,3.5714285714285716,2,375,0,0,9
2020-05-05,2.857142857142857,1,376,0,0,9
2020-05-06,2.5714285714285716,2,378,0.14285714285714285,1,10
2020-05-07,2.857142857142857,2,380,0.14285714285714285,0,10
2020-05-08,2,3,383,0.14285714285714285,0,10
2020-05-09,2.142857142857143,2,385,0.14285714285714285,0,10
2020-05-10,1.8571428571428572,1,386,0.14285714285714285,0,10
2020-05-11,1.8571428571428572,2,388,0.14285714285714285,0,10
2020-05-12,2,2,390,0.14285714285714285,0,10
2020-05-13,1.8571428571428572,1,391,0,0,10
2020-05-14,2.2857142857142856,5,396,0,0,10
2020-05-15,2.142857142857143,2,398,0,0,10
2020-05-16,2.5714285714285716,5,403,0,0,10
2020-05-17,3.142857142857143,5,408,0,0,10
2020-05-18,3.2857142857142856,3,411,0,0,10
2020-05-19,3,0,411,0,0,10
2020-05-20,3.5714285714285716,5,416,0,0,10
2020-05-21,2.857142857142857,0,416,0,0,10
2020-05-22,3,3,419,0,0,10
2020-05-23,2.857142857142857,4,423,0,0,10
2020-05-24,2.142857142857143,0,423,0,0,10
2020-05-25,2.142857142857143,3,426,0,0,10
2020-05-26,2.7142857142857144,4,430,0,0,10
2020-05-27,2.142857142857143,1,431,0,0,10
2020-05-28,4,13,444,0,0,10
2020-05-29,4.428571428571429,6,450,0,0,10
2020-05-30,4.571428571428571,5,455,0,0,10
2020-05-31,8.714285714285714,29,484,0,0,10
2020-06-01,9.428571428571429,8,492,0,0,10
2020-06-02,11.714285714285714,20,512,0,0,10
2020-06-03,15.714285714285714,29,541,0,0,10
2020-06-04,16.428571428571427,18,559,0,0,10
2020-06-05,17.428571428571427,13,572,0,0,10
2020-06-06,18.714285714285715,14,586,0,0,10
2020-06-07,15.857142857142858,9,595,0,0,10
2020-06-08,17.428571428571427,19,614,0,0,10
2020-06-09,16.428571428571427,13,627,0.14285714285714285,1,11
2020-06-10,15.428571428571429,22,649,0.14285714285714285,0,11
2020-06-11,16.714285714285715,27,676,0.14285714285714285,0,11
2020-06-12,17.857142857142858,21,697,0.2857142857142857,1,12
2020-06-13,20.714285714285715,34,731,0.2857142857142857,0,12
2020-06-14,21.142857142857142,12,743,0.2857142857142857,0,12
2020-06-15,19,4,747,0.2857142857142857,0,12
2020-06-16,19.142857142857142,14,761,0.14285714285714285,0,12
2020-06-17,19.571428571428573,25,786,0.14285714285714285,0,12
2020-06-18,18.571428571428573,20,806,0.14285714285714285,0,12
2020-06-19,19.428571428571427,27,833,0,0,12
2020-06-20,17.857142857142858,23,856,0,0,12
2020-06-21,18.142857142857142,14,870,0,0,12
2020-06-22,19.428571428571427,13,883,0,0,12
2020-06-23,22,32,915,0,0,12
2020-06-24,22,25,940,0,0,12
2020-06-25,25.142857142857142,42,982,0,0,12
2020-06-26,25.571428571428573,30,1012,0.2857142857142857,2,14
2020-06-27,26.142857142857142,27,1039,0.2857142857142857,0,14
2020-06-28,28.571428571428573,31,1070,0.2857142857142857,0,14
2020-06-29,30.428571428571427,26,1096,0.2857142857142857,0,14
2020-06-30,32.42857142857143,46,1142,0.2857142857142857,0,14
2020-07-01,34.857142857142854,42,1184,0.2857142857142857,0,14
2020-07-02,36.142857142857146,51,1235,0.2857142857142857,0,14
2020-07-03,40.57142857142857,61,1296,0.14285714285714285,1,15
2020-07-04,44.42857142857143,54,1350,0.2857142857142857,1,16
2020-07-05,44.57142857142857,32,1382,0.2857142857142857,0,16
2020-07-06,45,29,1411,0.2857142857142857,0,16
2020-07-07,41.857142857142854,24,1435,0.42857142857142855,1,17
2020-07-08,43,50,1485,0.42857142857142855,0,17
2020-07-09,43.142857142857146,52,1537,0.42857142857142855,0,17
2020-07-10,42.142857142857146,54,1591,0.2857142857142857,0,17
2020-07-11,47.57142857142857,92,1683,0.14285714285714285,0,17
2020-07-12,57.42857142857143,101,1784,0.14285714285714285,0,17
2020-07-13,63.714285714285715,73,1857,0.14285714285714285,0,17
2020-07-14,69,61,1918,0,0,17
2020-07-15,69.85714285714286,56,1974,0,0,17
2020-07-16,73.71428571428571,79,2053,0,0,17
2020-07-17,73.28571428571429,51,2104,0,0,17
2020-07-18,70.85714285714286,75,2179,0.14285714285714285,1,18
2020-07-19,73.28571428571429,118,2297,0.14285714285714285,0,18
2020-07-20,82.71428571428571,139,2436,0.14285714285714285,0,18
2020-07-21,90.42857142857143,115,2551,0.14285714285714285,0,18
2020-07-22,96.71428571428571,100,2651,0.2857142857142857,1,19
2020-07-23,96.42857142857143,77,2728,0.2857142857142857,0,19
2020-07-24,98.71428571428571,67,2795,0.2857142857142857,0,19
2020-07-25,104.71428571428571,117,2912,0.2857142857142857,1,20
2020-07-26,120.85714285714286,231,3143,0.2857142857142857,0,20
2020-07-27,117.42857142857143,115,3258,0.42857142857142855,1,21
2020-07-28,120,133,3391,0.5714285714285714,1,22
2020-07-29,118.85714285714286,92,3483,0.42857142857142855,0,22
2020-07-30,125.57142857142857,124,3607,0.5714285714285714,1,23
2020-07-31,131.57142857142858,109,3716,0.5714285714285714,0,23
2020-08-01,136.57142857142858,152,3868,0.5714285714285714,1,24
2020-08-02,124.28571428571429,145,4013,0.5714285714285714,0,24
2020-08-03,119,78,4091,0.5714285714285714,1,25
2020-08-04,109.85714285714286,69,4160,0.42857142857142855,0,25
2020-08-05,105.28571428571429,60,4220,0.42857142857142855,0,25
2020-08-06,94,45,4265,0.2857142857142857,0,25
2020-08-07,88.42857142857143,70,4335,0.2857142857142857,0,25
2020-08-08,78.85714285714286,85,4420,0.2857142857142857,1,26
2020-08-09,72.85714285714286,103,4523,0.2857142857142857,0,26
2020-08-10,71.14285714285714,66,4589,0.14285714285714285,0,26
2020-08-11,70,61,4650,0.14285714285714285,0,26
2020-08-12,70.14285714285714,61,4711,0.2857142857142857,1,27
2020-08-13,78.14285714285714,101,4812,0.2857142857142857,0,27
2020-08-14,83.14285714285714,105,4917,0.2857142857142857,0,27
2020-08-15,83.57142857142857,88,5005,0.2857142857142857,1,28
2020-08-16,83.28571428571429,101,5106,0.2857142857142857,0,28
2020-08-17,81.14285714285714,51,5157,0.2857142857142857,0,28
2020-08-18,82.57142857142857,71,5228,0.42857142857142855,1,29
2020-08-19,84.85714285714286,77,5305,0.2857142857142857,0,29
2020-08-20,83,88,5393,0.2857142857142857,0,29
2020-08-21,77.71428571428571,68,5461,0.42857142857142855,1,30
2020-08-22,78.14285714285714,91,5552,0.42857142857142855,1,31
2020-08-23,73.28571428571429,67,5619,0.5714285714285714,1,32
2020-08-24,76.14285714285714,71,5690,0.5714285714285714,0,32
2020-08-25,71.14285714285714,36,5726,1,4,36
