,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.25
2020-01-24,0.0,0.2
2020-01-25,0.0,0.16666666666666666
2020-01-26,1.0,0.14285714285714285
2020-01-27,0.0,0.14285714285714285
2020-01-28,0.0,0.14285714285714285
2020-01-29,0.0,0.14285714285714285
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.14285714285714285
2020-03-04,0.0,0.42857142857142855
2020-03-05,0.0,0.42857142857142855
2020-03-06,1.0,0.42857142857142855
2020-03-07,2.0,0.7142857142857143
2020-03-08,0.0,1.1428571428571428
2020-03-09,0.0,1.1428571428571428
2020-03-10,2.0,1.0
2020-03-11,3.0,1.1428571428571428
2020-03-12,0.0,1.1428571428571428
2020-03-13,0.0,2.0
2020-03-14,3.0,2.0
2020-03-15,0.0,2.5714285714285716
2020-03-16,6.0,5.142857142857143
2020-03-17,2.0,8.428571428571429
2020-03-18,7.0,13.142857142857142
2020-03-19,18.0,20.0
2020-03-20,23.0,31.0
2020-03-21,36.0,43.714285714285715
2020-03-22,48.0,53.42857142857143
2020-03-23,83.0,66.14285714285714
2020-03-24,91.0,85.28571428571429
2020-03-25,75.0,95.57142857142857
2020-03-26,107.0,109.57142857142857
2020-03-27,157.0,131.71428571428572
2020-03-28,108.0,137.57142857142858
2020-03-29,146.0,144.57142857142858
2020-03-30,238.0,155.42857142857142
2020-03-31,132.0,157.71428571428572
2020-04-01,124.0,178.0
2020-04-02,183.0,192.85714285714286
2020-04-03,173.0,186.14285714285714
2020-04-04,250.0,183.71428571428572
2020-04-05,250.0,187.57142857142858
2020-04-06,191.0,203.14285714285714
2020-04-07,115.0,191.85714285714286
2020-04-08,151.0,196.28571428571428
2020-04-09,292.0,181.85714285714286
2020-04-10,94.0,177.85714285714286
2020-04-11,281.0,176.28571428571428
2020-04-12,149.0,176.85714285714286
2020-04-13,163.0,174.14285714285714
2020-04-14,104.0,199.85714285714286
2020-04-15,155.0,190.14285714285714
2020-04-16,273.0,198.71428571428572
2020-04-17,274.0,194.71428571428572
2020-04-18,213.0,206.71428571428572
2020-04-19,209.0,215.57142857142858
2020-04-20,135.0,219.28571428571428
2020-04-21,188.0,219.14285714285714
2020-04-22,217.0,223.14285714285714
2020-04-23,299.0,228.71428571428572
2020-04-24,273.0,236.71428571428572
2020-04-25,241.0,242.71428571428572
2020-04-26,248.0,248.0
2020-04-27,191.0,269.0
2020-04-28,230.0,274.85714285714283
2020-04-29,254.0,296.85714285714283
2020-04-30,446.0,300.85714285714283
2020-05-01,314.0,314.14285714285717
2020-05-02,395.0,335.7142857142857
2020-05-03,276.0,356.85714285714283
2020-05-04,284.0,327.14285714285717
2020-05-05,381.0,365.2857142857143
2020-05-06,402.0,370.85714285714283
2020-05-07,238.0,354.14285714285717
2020-05-08,581.0,351.2857142857143
2020-05-09,434.0,347.2857142857143
2020-05-10,159.0,358.42857142857144
2020-05-11,264.0,389.85714285714283
2020-05-12,353.0,377.57142857142856
2020-05-13,480.0,386.57142857142856
2020-05-14,458.0,403.7142857142857
2020-05-15,495.0,403.57142857142856
2020-05-16,497.0,405.7142857142857
2020-05-17,279.0,384.2857142857143
2020-05-18,263.0,382.0
2020-05-19,368.0,350.7142857142857
2020-05-20,330.0,341.0
2020-05-21,442.0,347.42857142857144
2020-05-22,276.0,338.14285714285717
2020-05-23,429.0,326.85714285714283
2020-05-24,324.0,344.57142857142856
2020-05-25,198.0,361.2857142857143
2020-05-26,289.0,406.85714285714283
2020-05-27,454.0,457.85714285714283
2020-05-28,559.0,508.42857142857144
2020-05-29,595.0,507.7142857142857
2020-05-30,786.0,628.5714285714286
2020-05-31,678.0,719.7142857142857
2020-06-01,193.0,715.5714285714286
2020-06-02,1135.0,852.4285714285714
2020-06-03,1092.0,884.7142857142857
2020-06-04,530.0,1007.5714285714286
2020-06-05,1553.0,1078.4285714285713
2020-06-06,1012.0,1004.5714285714286
2020-06-07,1538.0,1070.857142857143
2020-06-08,689.0,1197.2857142857142
2020-06-09,618.0,1228.5714285714287
2020-06-10,1556.0,1315.5714285714287
2020-06-11,1415.0,1245.2857142857142
2020-06-12,1772.0,1309.4285714285713
2020-06-13,1621.0,1555.5714285714287
2020-06-14,1046.0,1583.5714285714287
2020-06-15,1138.0,1739.7142857142858
2020-06-16,2341.0,1981.5714285714287
2020-06-17,1752.0,2209.5714285714284
2020-06-18,2508.0,2412.1428571428573
2020-06-19,3465.0,2536.4285714285716
2020-06-20,3217.0,2741.8571428571427
2020-06-21,2464.0,2750.4285714285716
2020-06-22,2008.0,2833.714285714286
2020-06-23,3779.0,2821.285714285714
2020-06-24,1812.0,2856.714285714286
2020-06-25,3091.0,3047.0
2020-06-26,3378.0,2849.4285714285716
2020-06-27,3465.0,2978.5714285714284
2020-06-28,3796.0,3416.4285714285716
2020-06-29,625.0,3452.0
2020-06-30,4683.0,3601.8571428571427
2020-07-01,4877.0,3491.8571428571427
2020-07-02,3340.0,3454.714285714286
2020-07-03,4427.0,3844.285714285714
2020-07-04,2695.0,3695.1428571428573
2020-07-05,3536.0,3501.285714285714
2020-07-06,3352.0,3603.714285714286
2020-07-07,3639.0,3574.285714285714
2020-07-08,3520.0,3623.285714285714
2020-07-09,4057.0,3480.5714285714284
2020-07-10,4221.0,3195.5714285714284
2020-07-11,3038.0,3286.1428571428573
2020-07-12,2537.0,3248.5714285714284
2020-07-13,1357.0,3134.5714285714284
2020-07-14,4273.0,3090.1428571428573
2020-07-15,3257.0,3047.8571428571427
2020-07-16,3259.0,3022.4285714285716
2020-07-17,3910.0,3051.285714285714
2020-07-18,2742.0,2940.8571428571427
2020-07-19,2359.0,2750.714285714286
