,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,1851.857142857143
2021-01-05,0.0,3580.0
2021-01-06,0.0,5434.0
2021-01-07,12963.0,6751.714285714285
2021-01-08,12097.0,7259.142857142857
2021-01-09,12978.0,9214.42857142857
2021-01-10,9224.0,12530.0
2021-01-11,3552.0,14817.57142857143
2021-01-12,13687.0,15147.857142857143
2021-01-13,23209.0,17793.85714285714
2021-01-14,28976.0,17489.428571428572
2021-01-15,14409.0,18489.428571428572
2021-01-16,31500.0,16534.14285714286
2021-01-17,7093.0,15520.714285714286
2021-01-18,10552.0,14609.714285714286
2021-01-19,0.0,16412.571428571428
2021-01-20,16115.0,16734.14285714286
2021-01-21,22599.0,20228.85714285714
2021-01-22,27029.0,22449.85714285714
2021-01-23,33751.0,25313.0
2021-01-24,31556.0,26993.285714285714
2021-01-25,26099.0,28305.85714285714
2021-01-26,20042.0,29678.14285714286
2021-01-27,27877.0,30217.714285714286
2021-01-28,31787.0,31075.0
2021-01-29,36635.0,31615.571428571428
2021-01-30,37528.0,30436.0
2021-01-31,37557.0,30903.714285714286
2021-02-01,29883.0,31245.714285714286
2021-02-02,11785.0,30224.285714285714
2021-02-03,31151.0,32933.28571428572
2021-02-04,34181.0,33148.71428571428
2021-02-05,29485.0,28879.714285714286
2021-02-06,56491.0,35521.857142857145
2021-02-07,39065.0,31071.714285714286
2021-02-08,0.0,44114.142857142855
2021-02-09,58280.0,47113.71428571428
2021-02-10,0.0,39043.57142857143
2021-02-11,125478.0,47064.57142857143
2021-02-12,50482.0,50748.57142857143
2021-02-13,0.0,42422.857142857145
2021-02-14,95212.0,52983.857142857145
2021-02-15,25788.0,42026.42857142857
2021-02-16,0.0,41570.28571428572
2021-02-17,73927.0,47574.42857142857
2021-02-18,48776.0,38881.57142857143
2021-02-19,47289.0,37692.42857142857
2021-02-20,42029.0,44095.42857142857
2021-02-21,34362.0,37408.28571428572
2021-02-22,17464.0,37675.57142857143
2021-02-23,44821.0,31489.428571428572
2021-02-24,27117.0,34592.42857142857
2021-02-25,50647.0,37818.57142857143
2021-02-26,3986.0,44496.28571428572
2021-02-27,63750.0,46209.28571428572
2021-02-28,56945.0,48118.71428571428
2021-03-01,64208.0,46777.28571428572
2021-03-02,56812.0,53197.857142857145
2021-03-03,40483.0,52475.57142857143
2021-03-04,41257.0,50244.57142857143
2021-03-05,48930.0,60396.0
2021-03-06,58694.0,52280.0
2021-03-07,41328.0,50873.142857142855
2021-03-08,135268.0,51794.28571428572
2021-03-09,0.0,52920.71428571428
2021-03-10,30635.0,54234.857142857145
2021-03-11,47705.0,68239.85714285714
2021-03-12,56815.0,53435.57142857143
2021-03-13,67893.0,55771.71428571428
2021-03-14,139363.0,58489.857142857145
2021-03-15,31638.0,57709.142857142855
2021-03-16,16353.0,57866.0
2021-03-17,49662.0,55228.142857142855
2021-03-18,42240.0,46809.0
2021-03-19,57913.0,49572.28571428572
2021-03-20,49428.0,51749.71428571428
2021-03-21,80429.0,50300.42857142857
2021-03-22,50981.0,50079.857142857145
2021-03-23,31595.0,51118.28571428572
2021-03-24,39517.0,53830.42857142857
2021-03-25,40696.0,51423.0
2021-03-26,65182.0,53199.57142857143
2021-03-27,68413.0,56456.142857142855
2021-03-28,63577.0,56001.857142857145
2021-03-29,63417.0,57640.71428571428
2021-03-30,54391.0,58266.857142857145
2021-03-31,36337.0,57110.142857142855
2021-04-01,52168.0,59718.142857142855
2021-04-02,69565.0,58794.142857142855
2021-04-03,60316.0,65627.0
2021-04-04,81833.0,66498.57142857143
2021-04-05,56949.0,67326.28571428571
2021-04-06,102221.0,64924.857142857145
2021-04-07,42438.0,67508.42857142857
2021-04-08,57962.0,65961.28571428571
2021-04-09,52755.0,64101.28571428572
2021-04-10,78401.0,54506.28571428572
2021-04-11,71003.0,55128.71428571428
2021-04-12,43929.0,54821.57142857143
2021-04-13,35056.0,55841.42857142857
2021-04-14,46795.0,55226.42857142857
2021-04-15,55812.0,54390.71428571428
2021-04-16,59894.0,54469.57142857143
2021-04-17,74096.0,53920.857142857145
2021-04-18,65153.0,54448.28571428572
2021-04-19,44481.0,54570.857142857145
2021-04-20,31215.0,54801.71428571428
2021-04-21,50487.0,53505.71428571428
2021-04-22,56670.0,52396.57142857143
2021-04-23,61510.0,51720.42857142857
2021-04-24,65024.0,51361.857142857145
2021-04-25,57389.0,49861.0
2021-04-26,39748.0,47964.28571428572
2021-04-27,28705.0,45756.42857142857
2021-04-28,39981.0,44097.142857142855
2021-04-29,43393.0,41447.71428571428
2021-04-30,46055.0,37786.57142857143
2021-05-01,53409.0,33685.857142857145
2021-05-02,38843.0,33653.57142857143
2021-05-03,14120.0,33626.42857142857
2021-05-04,0.0,32954.28571428572
2021-05-05,39755.0,30521.0
2021-05-06,43203.0,29992.85714285714
2021-05-07,41350.0,33564.42857142857
2021-05-08,36376.0,39108.0
2021-05-09,35146.0,36376.42857142857
2021-05-10,39121.0,33914.857142857145
2021-05-11,38805.0,31473.285714285714
2021-05-12,20634.0,31518.85714285714
2021-05-13,25972.0,32247.714285714286
2021-05-14,24259.0,29485.714285714286
2021-05-15,36695.0,26387.285714285714
2021-05-16,40248.0,27498.428571428572
2021-05-17,19787.0,27136.571428571428
2021-05-18,17116.0,28112.428571428572
2021-05-19,28412.0,29454.285714285714
2021-05-20,23439.0,28972.85714285714
2021-05-21,31090.0,30154.14285714286
2021-05-22,46088.0,29402.428571428572
2021-05-23,36878.0,27544.285714285714
2021-05-24,28056.0,27472.85714285714
2021-05-25,11854.0,26858.714285714286
2021-05-26,15405.0,23653.833333333332
2021-05-27,22939.0,21009.0
2021-05-28,26791.0,19247.25
