,inpatient_beds_used_covid,7_day_avg
2020-01-04,,
2020-01-05,,
2020-01-06,,
2020-01-07,,
2020-01-08,,1.0
2020-03-11,0.0,1.0
2020-03-12,2.0,1.0
2020-03-13,1.0,1.5
2020-03-14,1.0,1.7142857142857142
2020-03-15,1.0,2.142857142857143
2020-03-16,4.0,2.4285714285714284
2020-03-17,3.0,3.857142857142857
2020-03-18,3.0,5.0
2020-03-19,4.0,6.142857142857143
2020-03-20,11.0,7.428571428571429
2020-03-21,9.0,8.857142857142858
2020-03-22,9.0,10.142857142857142
2020-03-23,13.0,10.571428571428571
2020-03-24,13.0,16.142857142857142
2020-03-25,12.0,22.142857142857142
2020-03-26,7.0,29.428571428571427
2020-03-27,50.0,43.57142857142857
2020-03-28,51.0,63.57142857142857
2020-03-29,60.0,87.85714285714286
2020-03-30,112.0,112.42857142857143
2020-03-31,153.0,131.42857142857142
2020-04-01,182.0,150.14285714285714
2020-04-02,179.0,169.85714285714286
2020-04-03,183.0,177.28571428571428
2020-04-04,182.0,183.42857142857142
2020-04-05,198.0,187.57142857142858
2020-04-06,164.0,194.0
2020-04-07,196.0,198.71428571428572
2020-04-08,211.0,192.0
2020-04-09,224.0,181.28571428571428
2020-04-10,216.0,175.0
2020-04-11,135.0,165.71428571428572
2020-04-12,123.0,159.14285714285714
2020-04-13,120.0,148.85714285714286
2020-04-14,131.0,142.85714285714286
2020-04-15,165.0,148.57142857142858
2020-04-16,152.0,155.57142857142858
2020-04-17,174.0,157.42857142857142
2020-04-18,175.0,158.71428571428572
2020-04-19,172.0,157.42857142857142
2020-04-20,133.0,172.85714285714286
2020-04-21,140.0,176.0
2020-04-22,156.0,176.71428571428572
2020-04-23,260.0,174.85714285714286
2020-04-24,196.0,178.85714285714286
2020-04-25,180.0,185.28571428571428
2020-04-26,159.0,184.57142857142858
2020-04-27,161.0,170.0
2020-04-28,185.0,161.42857142857142
2020-04-29,151.0,155.28571428571428
2020-04-30,158.0,155.14285714285714
2020-05-01,136.0,156.42857142857142
2020-05-02,137.0,154.57142857142858
2020-05-03,158.0,154.0
2020-05-04,170.0,178.14285714285714
2020-05-05,172.0,181.14285714285714
2020-05-06,147.0,184.28571428571428
2020-05-07,327.0,183.28571428571428
2020-05-08,157.0,178.85714285714286
2020-05-09,159.0,177.14285714285714
2020-05-10,151.0,178.57142857142858
2020-05-11,139.0,156.42857142857142
2020-05-12,160.0,159.71428571428572
2020-05-13,157.0,161.85714285714286
2020-05-14,172.0,162.14285714285714
2020-05-15,180.0,170.0
2020-05-16,174.0,176.57142857142858
2020-05-17,153.0,178.42857142857142
2020-05-18,194.0,180.85714285714286
2020-05-19,206.0,183.85714285714286
2020-05-20,170.0,183.0
2020-05-21,189.0,186.85714285714286
2020-05-22,201.0,187.42857142857142
2020-05-23,168.0,189.85714285714286
2020-05-24,180.0,192.28571428571428
2020-05-25,198.0,198.14285714285714
2020-05-26,223.0,200.85714285714286
2020-05-27,187.0,205.85714285714286
2020-05-28,230.0,208.85714285714286
2020-05-29,220.0,213.42857142857142
2020-05-30,203.0,212.28571428571428
2020-05-31,201.0,221.85714285714286
2020-06-01,230.0,228.0
2020-06-02,215.0,233.57142857142858
2020-06-03,254.0,234.0
2020-06-04,273.0,239.85714285714286
2020-06-05,259.0,242.28571428571428
2020-06-06,206.0,250.85714285714286
2020-06-07,242.0,259.14285714285717
2020-06-08,247.0,265.2857142857143
2020-06-09,275.0,273.14285714285717
2020-06-10,312.0,292.0
2020-06-11,316.0,305.85714285714283
2020-06-12,314.0,319.85714285714283
2020-06-13,338.0,331.42857142857144
2020-06-14,339.0,338.42857142857144
2020-06-15,345.0,345.2857142857143
2020-06-16,356.0,356.42857142857144
2020-06-17,361.0,353.42857142857144
2020-06-18,364.0,351.0
2020-06-19,392.0,348.57142857142856
2020-06-20,317.0,350.57142857142856
2020-06-21,322.0,355.85714285714283
2020-06-22,328.0,357.0
2020-06-23,370.0,357.57142857142856
2020-06-24,398.0,363.14285714285717
2020-06-25,372.0,373.0
2020-06-26,396.0,386.7142857142857
2020-06-27,356.0,393.0
2020-06-28,391.0,398.14285714285717
2020-06-29,424.0,413.14285714285717
2020-06-30,414.0,435.14285714285717
2020-07-01,434.0,463.0
2020-07-02,477.0,479.14285714285717
2020-07-03,550.0,502.57142857142856
2020-07-04,551.0,516.8571428571429
2020-07-05,504.0,528.1428571428571
2020-07-06,588.0,540.7142857142857
2020-07-07,514.0,543.5714285714286
2020-07-08,513.0,546.0
2020-07-09,565.0,555.5714285714286
2020-07-10,570.0,572.2857142857143
2020-07-11,568.0,667.2857142857143
2020-07-12,571.0,797.7142857142857
2020-07-13,705.0,930.2857142857143
2020-07-14,1179.0,1062.7142857142858
2020-07-15,1426.0,1196.4285714285713
2020-07-16,1493.0,1319.142857142857
2020-07-17,1497.0,1425.4285714285713
2020-07-18,1504.0,1459.2857142857142
2020-07-19,1430.0,1467.2857142857142
2020-07-20,1449.0,1465.7142857142858
2020-07-21,1416.0,1469.857142857143
2020-07-22,1482.0,1512.142857142857
2020-07-23,1482.0,1549.5714285714287
2020-07-24,1526.0,1563.7142857142858
2020-07-25,1800.0,1583.142857142857
2020-07-26,1692.0,1594.5714285714287
2020-07-27,1548.0,1621.142857142857
2020-07-28,1552.0,1645.857142857143
2020-07-29,1562.0,1659.2857142857142
2020-07-30,1668.0,1675.0
2020-07-31,1699.0,1680.5714285714287
2020-08-01,1894.0,1684.7142857142858
2020-08-02,1802.0,1692.7142857142858
2020-08-03,1587.0,1684.4285714285713
2020-08-04,1581.0,1669.0
2020-08-05,1618.0,1624.7142857142858
2020-08-06,1610.0,1590.4285714285713
2020-08-07,1591.0,1590.2857142857142
2020-08-08,1584.0,1599.2857142857142
2020-08-09,1562.0,1610.0
2020-08-10,1586.0,1618.7142857142858
2020-08-11,1644.0,1493.0
2020-08-12,1693.0,1366.2857142857142
2020-08-13,1671.0,1239.0
2020-08-14,711.0,1116.0
2020-08-15,697.0,980.0
2020-08-16,671.0,840.5714285714286
2020-08-17,725.0,705.5714285714286
2020-08-18,692.0,707.7142857142857
2020-08-19,717.0,711.2857142857143
2020-08-20,726.0,707.4285714285714
2020-08-21,726.0,685.0
2020-08-22,722.0,667.5714285714286
2020-08-23,644.0,648.1428571428571
2020-08-24,568.0,623.4285714285714
2020-08-25,570.0,601.1428571428571
2020-08-26,581.0,573.8571428571429
2020-08-27,553.0,556.0
2020-08-28,570.0,552.2857142857143
2020-08-29,531.0,556.5714285714286
2020-08-30,519.0,559.7142857142857
2020-08-31,542.0,570.4285714285714
2020-09-01,600.0,576.4285714285714
2020-09-02,603.0,585.8571428571429
2020-09-03,628.0,590.8571428571429
2020-09-04,612.0,596.0
2020-09-05,597.0,589.2857142857143
2020-09-06,554.0,587.0
2020-09-07,578.0,576.7142857142857
2020-09-08,553.0,561.7142857142857
2020-09-09,587.0,551.1428571428571
2020-09-10,556.0,538.7142857142857
2020-09-11,507.0,529.2857142857143
2020-09-12,523.0,521.1428571428571
2020-09-13,467.0,514.0
2020-09-14,512.0,509.2857142857143
2020-09-15,496.0,512.5714285714286
2020-09-16,537.0,510.0
2020-09-17,523.0,508.7142857142857
2020-09-18,530.0,509.57142857142856
2020-09-19,505.0,517.5714285714286
2020-09-20,458.0,520.2857142857143
2020-09-21,518.0,528.4285714285714
2020-09-22,552.0,534.4285714285714
2020-09-23,556.0,546.1428571428571
2020-09-24,580.0,549.7142857142857
2020-09-25,572.0,556.7142857142857
2020-09-26,587.0,563.1428571428571
2020-09-27,483.0,561.1428571428571
2020-09-28,567.0,564.2857142857143
2020-09-29,597.0,565.7142857142857
2020-09-30,542.0,567.8571428571429
2020-10-01,602.0,581.4285714285714
2020-10-02,582.0,588.7142857142857
2020-10-03,602.0,600.1428571428571
2020-10-04,578.0,619.8571428571429
2020-10-05,618.0,635.2857142857143
2020-10-06,677.0,650.7142857142857
2020-10-07,680.0,664.1428571428571
2020-10-08,710.0,672.8571428571429
2020-10-09,690.0,691.8571428571429
2020-10-10,696.0,699.7142857142857
2020-10-11,639.0,705.1428571428571
2020-10-12,751.0,709.2857142857143
2020-10-13,732.0,712.1428571428571
2020-10-14,718.0,711.2857142857143
2020-10-15,739.0,710.7142857142857
2020-10-16,710.0,704.2857142857143
2020-10-17,690.0,699.8571428571429
2020-10-18,635.0,698.7142857142857
2020-10-19,706.0,694.2857142857143
2020-10-20,701.0,689.7142857142857
2020-10-21,710.0,691.5714285714286
2020-10-22,708.0,698.8571428571429
2020-10-23,678.0,695.5714285714286
2020-10-24,703.0,697.5714285714286
2020-10-25,686.0,702.1428571428571
2020-10-26,683.0,708.0
2020-10-27,715.0,721.2857142857143
2020-10-28,742.0,723.2857142857143
2020-10-29,749.0,726.4285714285714
2020-10-30,771.0,731.8571428571429
2020-10-31,717.0,730.4285714285714
2020-11-01,708.0,742.5714285714286
2020-11-02,721.0,745.5714285714286
2020-11-03,705.0,752.5714285714286
2020-11-04,827.0,765.8571428571429
2020-11-05,770.0,781.5714285714286
2020-11-06,820.0,794.4285714285714
2020-11-07,810.0,819.5714285714286
2020-11-08,818.0,824.8571428571429
2020-11-09,811.0,844.5714285714286
2020-11-10,881.0,859.4285714285714
2020-11-11,864.0,871.7142857142857
2020-11-12,908.0,885.4285714285714
2020-11-13,924.0,897.7142857142857
2020-11-14,896.0,912.7142857142857
2020-11-15,914.0,924.0
2020-11-16,897.0,936.4285714285714
2020-11-17,986.0,948.0
2020-11-18,943.0,969.0
2020-11-19,995.0,988.1428571428571
2020-11-20,1005.0,1002.8571428571429
2020-11-21,1043.0,1013.1428571428571
2020-11-22,1048.0,1034.857142857143
2020-11-23,1000.0,1046.0
2020-11-24,1058.0,1055.0
2020-11-25,1095.0,1058.4285714285713
2020-11-26,1073.0,1067.0
2020-11-27,1068.0,1079.5714285714287
2020-11-28,1067.0,1084.142857142857
2020-11-29,1108.0,1097.4285714285713
2020-11-30,1088.0,1115.7142857142858
2020-12-01,1090.0,1131.4285714285713
2020-12-02,1188.0,1147.2857142857142
2020-12-03,1201.0,1154.5714285714287
2020-12-04,1178.0,1149.4285714285713
2020-12-05,1178.0,1154.0
2020-12-06,1159.0,1154.857142857143
2020-12-07,1052.0,1147.7142857142858
2020-12-08,1122.0,1151.4285714285713
2020-12-09,1194.0,1157.2857142857142
2020-12-10,1151.0,1160.142857142857
2020-12-11,1204.0,1169.142857142857
2020-12-12,1219.0,1172.142857142857
2020-12-13,1179.0,1174.857142857143
2020-12-14,1115.0,1177.4285714285713
2020-12-15,1143.0,1167.2857142857142
2020-12-16,1213.0,1157.5714285714287
2020-12-17,1169.0,1152.142857142857
2020-12-18,1133.0,1150.4285714285713
2020-12-19,1151.0,1155.142857142857
2020-12-20,1141.0,1147.0
2020-12-21,1103.0,1146.4285714285713
2020-12-22,1176.0,1139.4285714285713
2020-12-23,1156.0,1133.5714285714287
2020-12-24,1165.0,1135.7142857142858
2020-12-25,1084.0,1143.0
2020-12-26,1110.0,1149.2857142857142
2020-12-27,1156.0,1160.2857142857142
2020-12-28,1154.0,1171.4285714285713
2020-12-29,1220.0,1192.7142857142858
2020-12-30,1233.0,1213.857142857143
2020-12-31,1243.0,1228.2857142857142
2021-01-01,1233.0,1240.142857142857
2021-01-02,1258.0,1248.4285714285713
2021-01-03,1257.0,1267.142857142857
2021-01-04,1237.0,1281.4285714285713
2021-01-05,1278.0,1299.4285714285713
2021-01-06,1364.0,1315.857142857143
2021-01-07,1343.0,1333.7142857142858
2021-01-08,1359.0,1342.2857142857142
2021-01-09,1373.0,1340.7142857142858
2021-01-10,1382.0,1336.0
2021-01-11,1297.0,1328.2857142857142
2021-01-12,1267.0,1322.4285714285713
2021-01-13,1331.0,1308.142857142857
2021-01-14,1289.0,1286.857142857143
2021-01-15,1318.0,1274.2857142857142
2021-01-16,1273.0,1265.7142857142858
2021-01-17,1233.0,1252.142857142857
2021-01-18,1209.0,1243.142857142857
2021-01-19,1207.0,1229.4285714285713
2021-01-20,1236.0,1215.142857142857
2021-01-21,1226.0,1203.4285714285713
2021-01-22,1222.0,1182.7142857142858
2021-01-23,1173.0,1161.2857142857142
2021-01-24,1151.0,1145.7142857142858
2021-01-25,1064.0,1130.2857142857142
2021-01-26,1057.0,1106.0
2021-01-27,1127.0,1083.4285714285713
2021-01-28,1118.0,1060.142857142857
2021-01-29,1052.0,1027.7142857142858
2021-01-30,1015.0,1000.1428571428571
2021-01-31,988.0,969.8571428571429
2021-02-01,837.0,939.0
2021-02-02,864.0,917.4285714285714
2021-02-03,915.0,899.7142857142857
2021-02-04,902.0,885.7142857142857
2021-02-05,901.0,876.1428571428571
2021-02-06,891.0,861.1428571428571
2021-02-07,890.0,846.4285714285714
2021-02-08,770.0,830.8571428571429
2021-02-09,759.0,811.5714285714286
2021-02-10,812.0,788.5714285714286
2021-02-11,793.0,761.5714285714286
2021-02-12,766.0,740.8571428571429
2021-02-13,730.0,721.7142857142857
2021-02-14,701.0,706.8571428571429
2021-02-15,625.0,695.4285714285714
2021-02-16,625.0,690.5714285714286
2021-02-17,708.0,687.5714285714286
2021-02-18,713.0,688.0
2021-02-19,732.0,690.0
2021-02-20,709.0,687.7142857142857
2021-02-21,704.0,675.7142857142857
2021-02-22,639.0,660.2857142857143
2021-02-23,609.0,641.8571428571429
2021-02-24,624.0,623.1428571428571
2021-02-25,605.0,600.0
2021-02-26,603.0,576.8571428571429
2021-02-27,578.0,554.4285714285714
2021-02-28,542.0,536.7142857142857
2021-03-01,477.0,522.2857142857143
2021-03-02,452.0,503.42857142857144
2021-03-03,500.0,483.85714285714283
2021-03-04,504.0,466.7142857142857
2021-03-05,471.0,448.14285714285717
2021-03-06,441.0,432.42857142857144
2021-03-07,422.0,414.7142857142857
2021-03-08,347.0,392.57142857142856
2021-03-09,342.0,371.0
2021-03-10,376.0,354.42857142857144
2021-03-11,349.0,338.42857142857144
2021-03-12,320.0,331.2857142857143
2021-03-13,325.0,323.7142857142857
2021-03-14,310.0,313.2857142857143
2021-03-15,297.0,304.42857142857144
2021-03-16,289.0,295.57142857142856
2021-03-17,303.0,286.7142857142857
2021-03-18,287.0,276.14285714285717
2021-03-19,258.0,261.57142857142856
2021-03-20,263.0,250.57142857142858
2021-03-21,236.0,239.0
2021-03-22,195.0,230.42857142857142
2021-03-23,212.0,224.71428571428572
2021-03-24,222.0,217.71428571428572
2021-03-25,227.0,214.28571428571428
2021-03-26,218.0,212.85714285714286
2021-03-27,214.0,211.28571428571428
2021-03-28,212.0,207.71428571428572
2021-03-29,185.0,203.85714285714286
2021-03-30,201.0,199.28571428571428
2021-03-31,197.0,192.0
2021-04-01,200.0,185.71428571428572
2021-04-02,186.0,183.71428571428572
2021-04-03,163.0,181.71428571428572
2021-04-04,168.0,182.42857142857142
2021-04-05,171.0,181.28571428571428
2021-04-06,187.0,184.14285714285714
2021-04-07,202.0,190.28571428571428
2021-04-08,192.0,192.14285714285714
2021-04-09,206.0,193.42857142857142
2021-04-10,206.0,195.0
2021-04-11,181.0,195.14285714285714
2021-04-12,180.0,195.28571428571428
