,inpatient_beds_used_covid,7_day_avg
2020-02-04,14.0,14.0
2020-02-05,14.0,14.0
2020-02-06,14.0,11.666666666666666
2020-02-07,14.0,10.0
2020-02-08,14.0,8.0
2020-03-01,0.0,6.0
2020-03-02,0.0,4.0
2020-03-03,0.0,2.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.14285714285714285
2020-03-09,0.0,0.14285714285714285
2020-03-10,0.0,0.2857142857142857
2020-03-11,1.0,0.8571428571428571
2020-03-12,0.0,1.0
2020-03-13,1.0,1.5714285714285714
2020-03-14,4.0,2.4285714285714284
2020-03-15,1.0,5.0
2020-03-16,4.0,8.428571428571429
2020-03-17,6.0,12.142857142857142
2020-03-18,19.0,16.142857142857142
2020-03-19,24.0,18.0
2020-03-20,27.0,23.857142857142858
2020-03-21,32.0,28.857142857142858
2020-03-22,14.0,31.0
2020-03-23,45.0,39.142857142857146
2020-03-24,41.0,57.142857142857146
2020-03-25,34.0,75.0
2020-03-26,81.0,96.85714285714286
2020-03-27,153.0,160.14285714285714
2020-03-28,157.0,300.42857142857144
2020-03-29,167.0,537.2857142857143
2020-03-30,488.0,795.8571428571429
2020-03-31,1023.0,1551.7142857142858
2020-04-01,1692.0,2315.1428571428573
2020-04-02,1891.0,3068.285714285714
2020-04-03,5444.0,3752.5714285714284
2020-04-04,5501.0,4375.142857142857
2020-04-05,5439.0,4925.142857142857
2020-04-06,5278.0,5416.571428571428
2020-04-07,5381.0,5341.0
2020-04-08,5542.0,5239.714285714285
2020-04-09,5331.0,5170.428571428572
2020-04-10,4915.0,5113.857142857143
2020-04-11,4792.0,5057.285714285715
2020-04-12,4954.0,4967.142857142857
2020-04-13,4882.0,4912.857142857143
2020-04-14,4985.0,4909.285714285715
2020-04-15,4911.0,4934.142857142857
2020-04-16,4951.0,4931.142857142857
2020-04-17,4890.0,4932.142857142857
2020-04-18,4966.0,4925.571428571428
2020-04-19,4933.0,4940.142857142857
2020-04-20,4889.0,4891.571428571428
2020-04-21,4939.0,4857.571428571428
2020-04-22,5013.0,4813.571428571428
2020-04-23,4611.0,4783.571428571428
2020-04-24,4652.0,4775.285714285715
2020-04-25,4658.0,4770.142857142857
2020-04-26,4723.0,4694.714285714285
2020-04-27,4831.0,4621.0
2020-04-28,4903.0,4556.571428571428
2020-04-29,4485.0,4497.142857142857
2020-04-30,4095.0,4395.142857142857
2020-05-01,4201.0,4330.0
2020-05-02,4242.0,4280.428571428572
2020-05-03,4009.0,4278.142857142857
2020-05-04,4375.0,4356.0
2020-05-05,4556.0,4426.142857142857
2020-05-06,4469.0,4497.0
2020-05-07,4640.0,4607.857142857143
2020-05-08,4692.0,4664.714285714285
2020-05-09,4738.0,4697.571428571428
2020-05-10,4785.0,4759.0
2020-05-11,4773.0,4779.428571428572
2020-05-12,4786.0,4765.428571428572
2020-05-13,4899.0,4732.857142857143
2020-05-14,4783.0,4699.142857142857
2020-05-15,4594.0,4663.571428571428
2020-05-16,4510.0,4663.428571428572
2020-05-17,4549.0,4660.428571428572
2020-05-18,4524.0,4666.428571428572
2020-05-19,4785.0,4660.0
2020-05-20,4878.0,4654.142857142857
2020-05-21,4825.0,4644.285714285715
2020-05-22,4549.0,4645.0
2020-05-23,4469.0,4634.0
2020-05-24,4480.0,4615.714285714285
2020-05-25,4529.0,4582.571428571428
2020-05-26,4708.0,4570.0
2020-05-27,4750.0,4567.857142857143
2020-05-28,4593.0,4560.714285714285
2020-05-29,4461.0,4549.0
2020-05-30,4454.0,4518.571428571428
2020-05-31,4430.0,4489.0
2020-06-01,4447.0,4483.285714285715
2020-06-02,4495.0,4503.0
2020-06-03,4543.0,4522.0
2020-06-04,4553.0,4552.428571428572
2020-06-05,4599.0,4577.571428571428
2020-06-06,4587.0,4611.0
2020-06-07,4643.0,4628.857142857143
2020-06-08,4623.0,4645.285714285715
2020-06-09,4729.0,4637.0
2020-06-10,4668.0,4616.285714285715
2020-06-11,4668.0,4601.142857142857
2020-06-12,4541.0,4615.142857142857
2020-06-13,4442.0,4600.285714285715
2020-06-14,4537.0,4589.285714285715
2020-06-15,4721.0,4580.857142857143
2020-06-16,4625.0,4578.714285714285
2020-06-17,4591.0,4590.714285714285
2020-06-18,4609.0,4602.285714285715
2020-06-19,4526.0,4654.285714285715
2020-06-20,4526.0,4751.714285714285
2020-06-21,4618.0,4887.285714285715
2020-06-22,5085.0,5057.285714285715
2020-06-23,5307.0,5243.142857142857
2020-06-24,5540.0,5452.857142857143
2020-06-25,5799.0,5683.285714285715
2020-06-26,5827.0,5902.428571428572
2020-06-27,5994.0,6116.428571428572
2020-06-28,6231.0,6302.142857142857
2020-06-29,6619.0,6488.714285714285
2020-06-30,6805.0,6672.142857142857
2020-07-01,6840.0,6811.142857142857
2020-07-02,7105.0,6940.142857142857
2020-07-03,7111.0,7077.0
2020-07-04,6967.0,7214.285714285715
2020-07-05,7134.0,7369.571428571428
2020-07-06,7577.0,7504.142857142857
2020-07-07,7766.0,7640.857142857143
2020-07-08,7927.0,7779.428571428572
2020-07-09,8047.0,7908.142857142857
2020-07-10,8068.0,8001.428571428572
2020-07-11,7937.0,8091.142857142857
2020-07-12,8035.0,8252.142857142857
2020-07-13,8230.0,8425.857142857143
2020-07-14,8394.0,8600.57142857143
2020-07-15,9054.0,8757.714285714286
2020-07-16,9263.0,8884.57142857143
2020-07-17,9291.0,9027.857142857143
2020-07-18,9037.0,9173.57142857143
2020-07-19,8923.0,9145.714285714286
2020-07-20,9233.0,9113.0
2020-07-21,9414.0,9076.857142857143
2020-07-22,8859.0,9035.57142857143
2020-07-23,9034.0,8990.42857142857
2020-07-24,9038.0,8928.285714285714
2020-07-25,8748.0,8815.714285714286
2020-07-26,8607.0,8754.285714285714
2020-07-27,8798.0,8639.714285714286
2020-07-28,8626.0,8497.857142857143
2020-07-29,8429.0,8402.857142857143
2020-07-30,8232.0,8338.714285714286
2020-07-31,8045.0,8212.714285714286
2020-08-01,8083.0,8095.857142857143
2020-08-02,8158.0,8002.285714285715
2020-08-03,7916.0,7904.428571428572
2020-08-04,7808.0,7806.714285714285
2020-08-05,7774.0,7667.142857142857
2020-08-06,7547.0,7509.571428571428
2020-08-07,7361.0,7400.857142857143
2020-08-08,7106.0,7274.142857142857
2020-08-09,7055.0,7133.0
2020-08-10,7155.0,7056.0
2020-08-11,6921.0,6949.428571428572
2020-08-12,6786.0,6876.285714285715
2020-08-13,7008.0,6813.0
2020-08-14,6615.0,6761.142857142857
2020-08-15,6594.0,6744.142857142857
2020-08-16,6612.0,6733.142857142857
2020-08-17,6792.0,6662.571428571428
2020-08-18,6802.0,6597.0
2020-08-19,6709.0,6501.0
2020-08-20,6514.0,6394.714285714285
2020-08-21,6156.0,6268.285714285715
2020-08-22,5922.0,6134.857142857143
2020-08-23,5868.0,5990.142857142857
2020-08-24,5907.0,5922.857142857143
2020-08-25,5868.0,5817.571428571428
2020-08-26,5696.0,5717.428571428572
2020-08-27,6043.0,5623.428571428572
2020-08-28,5419.0,5529.857142857143
2020-08-29,5221.0,5439.714285714285
2020-08-30,5210.0,5316.857142857143
2020-08-31,5252.0,5124.0
2020-09-01,5237.0,4995.285714285715
2020-09-02,4836.0,4897.428571428572
2020-09-03,4693.0,4776.571428571428
