,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,2,2,0,0,0
2020-01-27,0,0,2,0,0,0
2020-01-28,0,0,2,0,0,0
2020-01-29,0.2857142857142857,0,2,0,0,0
2020-01-30,0.2857142857142857,0,2,0,0,0
2020-01-31,0.42857142857142855,1,3,0,0,0
2020-02-01,0.42857142857142855,0,3,0,0,0
2020-02-02,0.14285714285714285,0,3,0,0,0
2020-02-03,0.5714285714285714,3,6,0,0,0
2020-02-04,0.5714285714285714,0,6,0,0,0
2020-02-05,0.5714285714285714,0,6,0,0,0
2020-02-06,0.5714285714285714,0,6,0,0,0
2020-02-07,0.42857142857142855,0,6,0,0,0
2020-02-08,0.42857142857142855,0,6,0,0,0
2020-02-09,0.42857142857142855,0,6,0,0,0
2020-02-10,0,0,6,0,0,0
2020-02-11,0.14285714285714285,1,7,0,0,0
2020-02-12,0.14285714285714285,0,7,0,0,0
2020-02-13,0.2857142857142857,1,8,0,0,0
2020-02-14,0.2857142857142857,0,8,0,0,0
2020-02-15,0.2857142857142857,0,8,0,0,0
2020-02-16,0.2857142857142857,0,8,0,0,0
2020-02-17,0.2857142857142857,0,8,0,0,0
2020-02-18,0.14285714285714285,0,8,0,0,0
2020-02-19,0.14285714285714285,0,8,0,0,0
2020-02-20,0,0,8,0,0,0
2020-02-21,0.2857142857142857,2,10,0,0,0
2020-02-22,0.2857142857142857,0,10,0,0,0
2020-02-23,0.2857142857142857,0,10,0,0,0
2020-02-24,0.2857142857142857,0,10,0,0,0
2020-02-25,0.2857142857142857,0,10,0,0,0
2020-02-26,0.2857142857142857,0,10,0,0,0
2020-02-27,0.42857142857142855,1,11,0,0,0
2020-02-28,0.14285714285714285,0,11,0,0,0
2020-02-29,0.2857142857142857,1,12,0,0,0
2020-03-01,0.2857142857142857,0,12,0,0,0
2020-03-02,1.5714285714285714,9,21,0,0,0
2020-03-03,2.142857142857143,4,25,0,0,0
2020-03-04,3.5714285714285716,10,35,0.14285714285714285,1,1
2020-03-05,5.714285714285714,16,51,0.14285714285714285,0,1
2020-03-06,6.857142857142857,8,59,0.14285714285714285,0,1
2020-03-07,9.857142857142858,22,81,0.14285714285714285,0,1
2020-03-08,11.857142857142858,14,95,0.14285714285714285,0,1
2020-03-09,11.428571428571429,6,101,0.14285714285714285,0,1
2020-03-10,17,43,144,0.2857142857142857,1,2
2020-03-11,20.428571428571427,34,178,0.42857142857142855,2,4
2020-03-12,24.285714285714285,43,221,0.42857142857142855,0,4
2020-03-13,31.714285714285715,60,281,0.42857142857142855,0,4
2020-03-14,41.57142857142857,91,372,0.2857142857142857,-1,3
2020-03-15,39.714285714285715,1,373,0.5714285714285714,2,5
2020-03-16,65.14285714285714,184,557,0.8571428571428571,2,7
2020-03-17,79.42857142857143,143,700,1.4285714285714286,5,12
2020-03-18,93.28571428571429,131,831,1.7142857142857142,4,16
2020-03-19,112.57142857142857,178,1009,2,2,18
2020-03-20,137.42857142857142,234,1243,2.857142857142857,6,24
2020-03-21,148.57142857142858,169,1412,3.142857142857143,1,25
2020-03-22,182.57142857142858,239,1651,3.5714285714285716,5,30
2020-03-23,222.28571428571428,462,2113,4.571428571428571,9,39
2020-03-24,263.14285714285717,429,2542,5.428571428571429,11,50
2020-03-25,311.14285714285717,467,3009,7,15,65
2020-03-26,414.42857142857144,901,3910,9,16,81
2020-03-27,490.85714285714283,769,4679,10,13,94
2020-03-28,528.2857142857143,431,5110,12.142857142857142,16,110
2020-03-29,601.7142857142857,753,5863,13.428571428571429,14,124
2020-03-30,720.2857142857143,1292,7155,15.285714285714286,22,146
2020-03-31,813,1078,8233,17.571428571428573,27,173
2020-04-01,917.4285714285714,1198,9431,19,25,198
2020-04-02,985.5714285714286,1378,10809,22.285714285714285,39,237
2020-04-03,1052.142857142857,1235,12044,24.428571428571427,28,265
2020-04-04,1104.142857142857,795,12839,25.285714285714285,22,287
2020-04-05,1310.2857142857142,2196,15035,32,61,348
2020-04-06,1269.4285714285713,1006,16041,33.42857142857143,32,380
2020-04-07,1305.142857142857,1328,17369,36.57142857142857,49,429
2020-04-08,1357.5714285714287,1565,18934,42.714285714285715,68,497
2020-04-09,1276.5714285714287,811,19745,44.285714285714285,50,547
2020-04-10,1296.5714285714287,1375,21120,45.857142857142854,39,586
2020-04-11,1268.7142857142858,600,21720,45.57142857142857,20,606
2020-04-12,1110.7142857142858,1090,22810,42.142857142857146,37,643
2020-04-13,1131.142857142857,1149,23959,47.57142857142857,70,713
2020-04-14,1155.857142857143,1501,25460,48.142857142857146,53,766
2020-04-15,1112.142857142857,1259,26719,52.714285714285715,100,866
2020-04-16,1134.5714285714287,968,27687,59.285714285714285,96,962
2020-04-17,1192.857142857143,1783,29470,65.42857142857143,82,1044
2020-04-18,1297.857142857143,1335,30805,76.28571428571429,96,1140
2020-04-19,1264.2857142857142,855,31660,76.42857142857143,38,1178
2020-04-20,1426.7142857142858,2286,33946,72.85714285714286,45,1223
2020-04-21,1476.142857142857,1847,35793,73.14285714285714,55,1278
2020-04-22,1574.2857142857142,1946,37739,79.85714285714286,147,1425
2020-04-23,1751.2857142857142,2207,39946,81.14285714285714,105,1530
2020-04-24,1761.857142857143,1857,41803,82.28571428571429,90,1620
2020-04-25,1709.4285714285713,968,42771,78.42857142857143,69,1689
2020-04-26,1746.857142857143,1117,43888,78.14285714285714,36,1725
2020-04-27,1634.4285714285713,1499,45387,79.42857142857143,54,1779
2020-04-28,1560.142857142857,1327,46714,83.28571428571429,82,1861
2020-04-29,1653,2596,49310,74.42857142857143,85,1946
2020-04-30,1538,1402,50712,71.28571428571429,83,2029
2020-05-01,1533.2857142857142,1824,52536,72.57142857142857,99,2128
2020-05-02,1580.2857142857142,1297,53833,70.28571428571429,53,2181
2020-05-03,1633.5714285714287,1490,55323,70.42857142857143,37,2218
2020-05-04,1576,1096,56419,71.57142857142857,62,2280
2020-05-05,1760.7142857142858,2620,59039,74,99,2379
2020-05-06,1705,2206,61245,74,85,2464
2020-05-07,1736.7142857142858,1624,62869,72.57142857142857,73,2537
2020-05-08,1718.2857142857142,1695,64564,69.85714285714286,80,2617
2020-05-09,1921.7142857142858,2721,67285,73,75,2692
2020-05-10,1844,946,68231,72.14285714285714,31,2723
2020-05-11,1945.7142857142858,1808,70039,72.14285714285714,62,2785
2020-05-12,1818.7142857142858,1731,71770,72,98,2883
2020-05-13,1765.4285714285713,1833,73603,69.42857142857143,67,2950
2020-05-14,1815.857142857143,1977,75580,73.71428571428571,103,3053
2020-05-15,1837.5714285714287,1847,77427,74,82,3135
2020-05-16,1740.857142857143,2044,79471,73.42857142857143,71,3206
2020-05-17,1796.857142857143,1338,80809,73.85714285714286,34,3240
2020-05-18,1754.4285714285713,1511,82320,70.57142857142857,39,3279
2020-05-19,1837.857142857143,2315,84635,74.14285714285714,123,3402
2020-05-20,1890.857142857143,2204,86839,78.14285714285714,95,3497
2020-05-21,1910.142857142857,2112,88951,75.28571428571429,83,3580
2020-05-22,1973.142857142857,2288,91239,74.85714285714286,79,3659
2020-05-23,1990.4285714285713,2165,93404,75.42857142857143,75,3734
2020-05-24,2001.2857142857142,1414,94818,73.14285714285714,18,3752
2020-05-25,2118.8571428571427,2334,97152,69.71428571428571,15,3767
2020-05-26,2239.5714285714284,3160,100312,59.285714285714285,50,3817
2020-05-27,2170.8571428571427,1723,102035,56.57142857142857,76,3893
2020-05-28,2277.4285714285716,2858,104893,58,93,3986
2020-05-29,2354.8571428571427,2830,107723,58.57142857142857,83,4069
2020-05-30,2504.714285714286,3214,110937,57.42857142857143,67,4136
2020-05-31,2585.8571428571427,1982,112919,59.142857142857146,30,4166
2020-06-01,2648,2769,115688,63.42857142857143,45,4211
2020-06-02,2568.5714285714284,2604,118292,68.85714285714286,88,4299
2020-06-03,2649.714285714286,2291,120583,67.71428571428571,68,4367
2020-06-04,2660.4285714285716,2933,123516,64.57142857142857,71,4438
2020-06-05,2758.714285714286,3518,127034,64.28571428571429,81,4519
2020-06-06,2687.285714285714,2714,129748,65.57142857142857,76,4595
2020-06-07,2698.8571428571427,2063,131811,65.14285714285714,27,4622
2020-06-08,2775.1428571428573,3303,135114,62.285714285714285,25,4647
2020-06-09,2842.285714285714,3074,138188,62.285714285714285,88,4735
2020-06-10,2961.4285714285716,3125,141313,68.42857142857143,111,4846
2020-06-11,3081.4285714285716,3773,145086,69.71428571428571,80,4926
2020-06-12,3057.1428571428573,3348,148434,64.42857142857143,44,4970
2020-06-13,3164.714285714286,3467,151901,67.85714285714286,100,5070
2020-06-14,3178.5714285714284,2160,154061,67.42857142857143,24,5094
2020-06-15,3215.1428571428573,3559,157620,66.14285714285714,16,5110
2020-06-16,3280.1428571428573,3529,161149,65.85714285714286,86,5196
2020-06-17,3444.5714285714284,4276,165425,60.142857142857146,71,5267
2020-06-18,3608.1428571428573,4918,170343,60.57142857142857,83,5350
2020-06-19,3713.4285714285716,4085,174428,64.57142857142857,72,5422
2020-06-20,3853.5714285714284,4448,178876,59.57142857142857,65,5487
2020-06-21,4010.8571428571427,3261,182137,59.57142857142857,24,5511
2020-06-22,4475.428571428572,6811,188948,64.42857142857143,50,5561
2020-06-23,5056,7593,196541,60.714285714285715,60,5621
2020-06-24,5205.428571428572,5322,201863,63.142857142857146,88,5709
2020-06-25,5305.285714285715,5617,207480,63.857142857142854,88,5797
2020-06-26,5617.714285714285,6272,213752,62.857142857142854,65,5862
2020-06-27,5549.142857142857,3968,217720,58.142857142857146,32,5894
2020-06-28,5812,5101,222821,59.285714285714285,32,5926
2020-06-29,6090,8757,231578,59.714285714285715,53,5979
2020-06-30,6169,8146,239724,64.71428571428571,95,6074
2020-07-01,6493.428571428572,7593,247317,64.42857142857143,86,6160
2020-07-02,6859.142857142857,8177,255494,65.14285714285714,93,6253
2020-07-03,6558.857142857143,4170,259664,63.42857142857143,53,6306
2020-07-04,6312.714285714285,2245,261909,62.857142857142854,28,6334
2020-07-05,7227.857142857143,11507,273416,64,40,6374
2020-07-06,6901.857142857143,6475,279891,66.14285714285714,68,6442
2020-07-07,7590.714285714285,12968,292859,71.28571428571429,131,6573
2020-07-08,7689,8281,301140,77.42857142857143,129,6702
2020-07-09,7894.142857142857,9613,310753,85.42857142857143,149,6851
2020-07-10,8516,8523,319276,93.14285714285714,107,6958
2020-07-11,9198.57142857143,7023,326299,99.57142857142857,73,7031
2020-07-12,8338.57142857143,5487,331786,97.28571428571429,24,7055
2020-07-13,8720,9145,340931,93.14285714285714,39,7094
2020-07-14,8678.714285714286,12679,353610,97.28571428571429,160,7254
2020-07-15,8736.142857142857,8683,362293,97,127,7381
2020-07-16,8763.57142857143,9805,372098,92.14285714285714,115,7496
2020-07-17,8828.42857142857,8977,381075,93,113,7609
2020-07-18,8878.714285714286,7375,388450,95,87,7696
2020-07-19,8943.285714285714,5939,394389,95.42857142857143,27,7723
2020-07-20,9205.714285714286,10982,405371,97.71428571428571,55,7778
2020-07-21,8977.142857142857,11079,416450,91.28571428571429,115,7893
2020-07-22,9421.142857142857,11791,428241,96,160,8053
2020-07-23,9320,9097,437338,99.28571428571429,138,8191
2020-07-24,9358.57142857143,9247,446585,103.57142857142857,143,8334
2020-07-25,9197.285714285714,6246,452831,103.71428571428571,88,8422
2020-07-26,9128.42857142857,5457,458288,105.14285714285714,37,8459
2020-07-27,8458,6289,464577,104.71428571428571,52,8511
