,inpatient_beds_used_covid,7_day_avg
2020-03-18,11.0,17.75
2020-03-19,16.0,19.0
2020-03-20,17.0,18.666666666666668
2020-03-21,27.0,19.714285714285715
2020-03-22,24.0,20.142857142857142
2020-03-23,17.0,24.428571428571427
2020-03-24,26.0,36.285714285714285
2020-03-25,14.0,48.285714285714285
2020-03-26,46.0,65.28571428571429
2020-03-27,100.0,94.0
2020-03-28,111.0,135.14285714285714
2020-03-29,143.0,188.57142857142858
2020-03-30,218.0,243.57142857142858
2020-03-31,314.0,291.14285714285717
2020-04-01,388.0,332.57142857142856
2020-04-02,431.0,373.2857142857143
2020-04-03,433.0,412.7142857142857
2020-04-04,401.0,443.14285714285717
2020-04-05,428.0,461.85714285714283
2020-04-06,494.0,477.14285714285717
2020-04-07,527.0,494.57142857142856
2020-04-08,519.0,506.42857142857144
2020-04-09,538.0,516.7142857142857
2020-04-10,555.0,526.0
2020-04-11,484.0,535.7142857142857
2020-04-12,500.0,545.4285714285714
2020-04-13,559.0,549.8571428571429
2020-04-14,595.0,546.2857142857143
2020-04-15,587.0,551.2857142857143
2020-04-16,569.0,551.0
2020-04-17,530.0,579.5714285714286
2020-04-18,519.0,813.1428571428571
2020-04-19,498.0,1054.2857142857142
2020-04-20,759.0,1296.4285714285713
2020-04-21,2230.0,1541.142857142857
2020-04-22,2275.0,1774.5714285714287
2020-04-23,2264.0,2005.0
2020-04-24,2243.0,2191.1428571428573
2020-04-25,2153.0,2169.1428571428573
2020-04-26,2111.0,2130.714285714286
2020-04-27,2062.0,2084.4285714285716
2020-04-28,2076.0,2034.7142857142858
2020-04-29,2006.0,2005.142857142857
2020-04-30,1940.0,1978.142857142857
2020-05-01,1895.0,1959.2857142857142
2020-05-02,1946.0,1940.857142857143
2020-05-03,1922.0,1916.2857142857142
2020-05-04,1930.0,1890.7142857142858
2020-05-05,1947.0,1866.0
2020-05-06,1834.0,1835.7142857142858
2020-05-07,1761.0,1790.4285714285713
2020-05-08,1722.0,1739.857142857143
2020-05-09,1734.0,1693.4285714285713
2020-05-10,1605.0,1659.2857142857142
2020-05-11,1576.0,1618.4285714285713
2020-05-12,1622.0,1577.4285714285713
2020-05-13,1595.0,1527.7142857142858
2020-05-14,1475.0,1488.4285714285713
2020-05-15,1435.0,1459.7142857142858
2020-05-16,1386.0,1418.5714285714287
2020-05-17,1330.0,1362.7142857142858
2020-05-18,1375.0,1319.4285714285713
2020-05-19,1334.0,1274.4285714285713
2020-05-20,1204.0,1233.857142857143
2020-05-21,1172.0,1202.2857142857142
2020-05-22,1120.0,1164.7142857142858
2020-05-23,1102.0,1135.142857142857
2020-05-24,1109.0,1138.142857142857
2020-05-25,1112.0,1133.2857142857142
2020-05-26,1127.0,1086.4285714285713
2020-05-27,1225.0,1034.4285714285713
2020-05-28,1138.0,973.4285714285714
2020-05-29,792.0,911.1428571428571
2020-05-30,738.0,840.1428571428571
2020-05-31,682.0,749.7142857142857
2020-06-01,676.0,670.1428571428571
2020-06-02,630.0,636.0
2020-06-03,592.0,609.8571428571429
2020-06-04,581.0,591.0
2020-06-05,553.0,564.1428571428571
2020-06-06,555.0,538.8571428571429
2020-06-07,550.0,522.5714285714286
2020-06-08,488.0,501.42857142857144
2020-06-09,453.0,483.85714285714283
2020-06-10,478.0,457.85714285714283
2020-06-11,433.0,434.42857142857144
2020-06-12,430.0,423.42857142857144
2020-06-13,373.0,415.57142857142856
2020-06-14,386.0,401.42857142857144
2020-06-15,411.0,394.0
2020-06-16,398.0,382.0
2020-06-17,379.0,374.14285714285717
2020-06-18,381.0,366.14285714285717
2020-06-19,346.0,353.2857142857143
2020-06-20,318.0,343.2857142857143
2020-06-21,330.0,337.0
2020-06-22,321.0,324.42857142857144
2020-06-23,328.0,317.14285714285717
2020-06-24,335.0,310.7142857142857
2020-06-25,293.0,299.7142857142857
2020-06-26,295.0,293.0
2020-06-27,273.0,287.7142857142857
2020-06-28,253.0,274.14285714285717
2020-06-29,274.0,265.2857142857143
2020-06-30,291.0,256.85714285714283
2020-07-01,240.0,247.14285714285714
2020-07-02,231.0,242.14285714285714
2020-07-03,236.0,236.57142857142858
2020-07-04,205.0,229.57142857142858
2020-07-05,218.0,233.71428571428572
2020-07-06,235.0,234.57142857142858
2020-07-07,242.0,228.57142857142858
2020-07-08,269.0,228.0
2020-07-09,237.0,226.0
2020-07-10,194.0,224.14285714285714
2020-07-11,201.0,221.42857142857142
2020-07-12,204.0,213.71428571428572
2020-07-13,222.0,210.57142857142858
2020-07-14,223.0,209.42857142857142
2020-07-15,215.0,206.0
2020-07-16,215.0,202.42857142857142
2020-07-17,186.0,198.14285714285714
2020-07-18,177.0,193.14285714285714
2020-07-19,179.0,188.42857142857142
2020-07-20,192.0,181.0
2020-07-21,188.0,180.0
2020-07-22,182.0,179.0
2020-07-23,163.0,177.85714285714286
2020-07-24,179.0,170.85714285714286
2020-07-25,170.0,162.71428571428572
2020-07-26,171.0,157.0
2020-07-27,143.0,158.28571428571428
2020-07-28,131.0,157.42857142857142
2020-07-29,142.0,157.28571428571428
2020-07-30,172.0,158.14285714285714
2020-07-31,173.0,161.71428571428572
2020-08-01,169.0,168.57142857142858
2020-08-02,177.0,171.28571428571428
2020-08-03,168.0,172.14285714285714
2020-08-04,179.0,173.57142857142858
2020-08-05,161.0,175.14285714285714
2020-08-06,178.0,175.28571428571428
2020-08-07,183.0,176.57142857142858
2020-08-08,180.0,177.85714285714286
2020-08-09,178.0,174.42857142857142
2020-08-10,177.0,169.28571428571428
2020-08-11,188.0,162.28571428571428
2020-08-12,137.0,156.0
2020-08-13,142.0,150.0
2020-08-14,134.0,142.71428571428572
2020-08-15,136.0,134.28571428571428
2020-08-16,136.0,139.14285714285714
2020-08-17,126.0,143.0
