,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0.14285714285714285,1,1,0,0,0
2020-03-12,0.14285714285714285,0,1,0,0,0
2020-03-13,0.5714285714285714,3,4,0,0,0
2020-03-14,0.8571428571428571,2,6,0,0,0
2020-03-15,0.8571428571428571,0,6,0,0,0
2020-03-16,1.1428571428571428,2,8,0,0,0
2020-03-17,2.2857142857142856,8,16,0,0,0
2020-03-18,2.5714285714285716,3,19,0,0,0
2020-03-19,4.142857142857143,11,30,0,0,0
2020-03-20,5,9,39,0,0,0
2020-03-21,5.571428571428571,6,45,0,0,0
2020-03-22,7.142857142857143,11,56,0,0,0
2020-03-23,8.571428571428571,12,68,0,0,0
2020-03-24,12.571428571428571,36,104,0,0,0
2020-03-25,14.285714285714286,15,119,0,0,0
2020-03-26,14.285714285714286,11,130,0,0,0
2020-03-27,17.714285714285715,33,163,0.14285714285714285,1,1
2020-03-28,24.142857142857142,51,214,0,-1,0
2020-03-29,25.142857142857142,18,232,0,0,0
2020-03-30,28,32,264,0,0,0
2020-03-31,30.714285714285715,55,319,0.42857142857142855,3,3
2020-04-01,35.57142857142857,49,368,1.8571428571428572,10,13
2020-04-02,37.57142857142857,25,393,2.2857142857142856,3,16
2020-04-03,41,57,450,2.2857142857142856,1,17
2020-04-04,54.142857142857146,143,593,2.4285714285714284,0,17
2020-04-05,63,80,673,2.7142857142857144,2,19
2020-04-06,74.14285714285714,110,783,3.4285714285714284,5,24
2020-04-07,87,145,928,3.5714285714285716,4,28
2020-04-08,106.85714285714286,188,1116,2.7142857142857144,4,32
2020-04-09,116.57142857142857,93,1209,2.5714285714285716,2,34
2020-04-10,125.14285714285714,117,1326,2.7142857142857144,2,36
2020-04-11,126.57142857142857,153,1479,3.857142857142857,8,44
2020-04-12,136,146,1625,4.285714285714286,5,49
2020-04-13,139.28571428571428,133,1758,4.285714285714286,5,54
2020-04-14,142.57142857142858,168,1926,4.714285714285714,7,61
2020-04-15,128.28571428571428,88,2014,5.142857142857143,7,68
2020-04-16,123,56,2070,5.285714285714286,3,71
2020-04-17,141.57142857142858,247,2317,5.857142857142857,6,77
2020-04-18,151.28571428571428,221,2538,6.142857142857143,10,87
2020-04-19,130.42857142857142,0,2538,6,4,91
2020-04-20,141,207,2745,6.714285714285714,10,101
2020-04-21,143.57142857142858,186,2931,6.428571428571429,5,106
2020-04-22,169.42857142857142,269,3200,7.285714285714286,13,119
2020-04-23,176.85714285714286,108,3308,8.857142857142858,14,133
2020-04-24,160.71428571428572,134,3442,10.285714285714286,16,149
2020-04-25,148.28571428571428,134,3576,10,8,157
2020-04-26,213.71428571428572,458,4034,11.285714285714286,13,170
2020-04-27,202.42857142857142,128,4162,11.714285714285714,13,183
2020-04-28,234.85714285714286,413,4575,12.571428571428571,11,194
2020-04-29,207.85714285714286,80,4655,12.428571428571429,12,206
2020-04-30,203.71428571428572,79,4734,11.285714285714286,6,212
2020-05-01,210.85714285714286,184,4918,10.714285714285714,12,224
2020-05-02,208.85714285714286,120,5038,11.285714285714286,12,236
2020-05-03,167.71428571428572,170,5208,11.142857142857142,12,248
2020-05-04,160.85714285714286,80,5288,10.714285714285714,10,258
2020-05-05,113.71428571428571,83,5371,10.714285714285714,11,269
2020-05-06,160.42857142857142,407,5778,9.428571428571429,3,272
2020-05-07,172.14285714285714,161,5939,10.857142857142858,16,288
2020-05-08,170.42857142857142,172,6111,11,13,301
2020-05-09,177,166,6277,9.857142857142858,4,305
2020-05-10,152.71428571428572,0,6277,9.714285714285714,11,316
2020-05-11,182.42857142857142,288,6565,10,12,328
2020-05-12,195.71428571428572,176,6741,10,11,339
2020-05-13,167.71428571428572,211,6952,11.857142857142858,16,355
2020-05-14,183.42857142857142,271,7223,11.285714285714286,12,367
2020-05-15,180.28571428571428,150,7373,11,11,378
2020-05-16,181.42857142857142,174,7547,11.857142857142858,10,388
2020-05-17,199,123,7670,11.714285714285714,10,398
2020-05-18,186.28571428571428,199,7869,11,7,405
2020-05-19,185.14285714285714,168,8037,11,11,416
2020-05-20,177.42857142857142,157,8194,10,9,425
2020-05-21,166.14285714285714,192,8386,9,5,430
2020-05-22,165.14285714285714,143,8529,8.142857142857142,5,435
2020-05-23,140.28571428571428,0,8529,7.571428571428571,6,441
2020-05-24,162.71428571428572,280,8809,7.285714285714286,8,449
2020-05-25,156.57142857142858,156,8965,7.142857142857143,6,455
2020-05-26,147,101,9066,7,10,465
2020-05-27,128.85714285714286,30,9096,7.142857142857143,10,475
2020-05-28,112.14285714285714,75,9171,7.571428571428571,8,483
2020-05-29,101,65,9236,7.857142857142857,7,490
2020-05-30,127.57142857142857,186,9422,7.571428571428571,4,494
2020-05-31,98.42857142857143,76,9498,6.857142857142857,3,497
2020-06-01,91.42857142857143,107,9605,6.428571428571429,3,500
2020-06-02,88.42857142857143,80,9685,5.142857142857143,1,501
2020-06-03,88,27,9712,4.285714285714286,4,505
2020-06-04,82.14285714285714,34,9746,4.857142857142857,12,517
2020-06-05,76.71428571428571,27,9773,4.428571428571429,4,521
2020-06-06,60.42857142857143,72,9845,3.857142857142857,0,521
2020-06-07,63.42857142857143,97,9942,3.857142857142857,3,524
2020-06-08,52.42857142857143,30,9972,3.857142857142857,3,527
2020-06-09,47.857142857142854,48,10020,4.285714285714286,4,531
2020-06-10,49.142857142857146,36,10056,4,2,533
2020-06-11,51.42857142857143,50,10106,2.5714285714285716,2,535
2020-06-12,57.142857142857146,67,10173,2.2857142857142856,2,537
2020-06-13,54.857142857142854,56,10229,2.7142857142857144,3,540
2020-06-14,46,35,10264,2.4285714285714284,1,541
2020-06-15,52.57142857142857,76,10340,2.2857142857142856,2,543
2020-06-16,54.714285714285715,63,10403,1.8571428571428572,1,544
2020-06-17,55.42857142857143,41,10444,2,3,547
2020-06-18,56.142857142857146,55,10499,1.8571428571428572,1,548
2020-06-19,62.57142857142857,112,10611,2.142857142857143,4,552
2020-06-20,64.57142857142857,70,10681,1.7142857142857142,0,552
2020-06-21,73,94,10775,2,3,555
2020-06-22,68.57142857142857,45,10820,2,2,557
2020-06-23,63.42857142857143,27,10847,1.8571428571428572,0,557
2020-06-24,63.57142857142857,42,10889,1.7142857142857142,2,559
2020-06-25,68.71428571428571,91,10980,1.5714285714285714,0,559
2020-06-26,58,37,11017,1.2857142857142858,2,561
2020-06-27,58.57142857142857,74,11091,1.4285714285714286,1,562
2020-06-28,64.42857142857143,135,11226,1.2857142857142858,2,564
2020-06-29,79.42857142857143,150,11376,1.1428571428571428,1,565
2020-06-30,89.57142857142857,98,11474,1.2857142857142858,1,566
2020-07-01,88.71428571428571,36,11510,1.1428571428571428,1,567
2020-07-02,107.28571428571429,221,11731,1.2857142857142858,1,568
2020-07-03,129.42857142857142,192,11923,1,0,568
2020-07-04,129.28571428571428,73,11996,1,1,569
2020-07-05,128.85714285714286,132,12128,1,2,571
2020-07-06,131,165,12293,1,1,572
2020-07-07,134.28571428571428,121,12414,1,1,573
2020-07-08,136,48,12462,1,1,574
2020-07-09,114.28571428571429,69,12531,0.8571428571428571,0,574
2020-07-10,104.14285714285714,121,12652,1,1,575
2020-07-11,106.71428571428571,91,12743,1,1,576
2020-07-12,96.57142857142857,61,12804,1.1428571428571428,3,579
2020-07-13,83.71428571428571,75,12879,1.2857142857142858,2,581
2020-07-14,79.28571428571429,90,12969,1.1428571428571428,0,581
2020-07-15,84,81,13050,1,0,581
2020-07-16,83.28571428571429,64,13114,1,0,581
2020-07-17,97.85714285714286,223,13337,0.8571428571428571,0,581
2020-07-18,98,92,13429,1,2,583
2020-07-19,102.14285714285714,90,13519,1,3,586
2020-07-20,106.42857142857143,105,13624,0.7142857142857143,0,586
2020-07-21,111,122,13746,1,2,588
2020-07-22,106,46,13792,1.2857142857142858,2,590
2020-07-23,115.71428571428571,132,13924,1.2857142857142858,0,590
2020-07-24,123.57142857142857,278,14202,1.5714285714285714,2,592
2020-07-25,106.57142857142857,-27,14175,1.5714285714285714,2,594
2020-07-26,110.14285714285714,115,14290,1.2857142857142858,1,595
2020-07-27,111.71428571428571,116,14406,1.4285714285714286,1,596
2020-07-28,104.28571428571429,70,14476,1.1428571428571428,0,596
2020-07-29,115.71428571428571,126,14602,1,1,597
2020-07-30,109.28571428571429,87,14689,1,0,597
2020-07-31,83.71428571428571,99,14788,0.8571428571428571,1,598
2020-08-01,100.28571428571429,89,14877,0.8571428571428571,2,600
2020-08-02,94.14285714285714,72,14949,0.7142857142857143,0,600
2020-08-03,92.71428571428571,106,15055,0.5714285714285714,0,600
2020-08-04,94.42857142857143,82,15137,0.7142857142857143,1,601
2020-08-05,99.14285714285714,159,15296,1.2857142857142858,5,606
2020-08-06,96.57142857142857,69,15365,1.2857142857142858,0,606
2020-08-07,93.85714285714286,80,15445,1.1428571428571428,0,606
2020-08-08,89.28571428571429,57,15502,0.8571428571428571,0,606
2020-08-09,89.42857142857143,73,15575,0.8571428571428571,0,606
2020-08-10,82.71428571428571,59,15634,0.8571428571428571,0,606
2020-08-11,80.28571428571429,65,15699,1,2,608
2020-08-12,67,66,15765,0.2857142857142857,0,608
2020-08-13,86,202,15967,0.2857142857142857,0,608
2020-08-14,127.85714285714286,373,16340,0.2857142857142857,0,608
2020-08-15,127.71428571428571,56,16396,0.2857142857142857,0,608
2020-08-16,125.14285714285714,55,16451,0.2857142857142857,0,608
2020-08-17,128.85714285714286,85,16536,0.5714285714285714,2,610
2020-08-18,127.71428571428571,57,16593,0.42857142857142855,1,611
2020-08-19,125.42857142857143,50,16643,0.42857142857142855,0,611
2020-08-20,107.28571428571429,75,16718,0.42857142857142855,0,611
2020-08-21,61.42857142857143,52,16770,0.5714285714285714,1,612
