,inpatient_beds_used_covid,7_day_avg
2020-03-28,82.0,101.25
2020-03-29,105.0,110.8
2020-03-30,104.0,123.16666666666667
2020-03-31,114.0,131.42857142857142
2020-04-01,149.0,142.42857142857142
2020-04-02,185.0,153.71428571428572
2020-04-03,181.0,168.0
2020-04-04,159.0,181.71428571428572
2020-04-05,184.0,193.42857142857142
2020-04-06,204.0,200.57142857142858
2020-04-07,210.0,207.42857142857142
2020-04-08,231.0,216.57142857142858
2020-04-09,235.0,221.42857142857142
2020-04-10,229.0,226.57142857142858
2020-04-11,223.0,245.0
2020-04-12,218.0,263.0
2020-04-13,240.0,282.0
2020-04-14,339.0,302.57142857142856
2020-04-15,357.0,325.7142857142857
2020-04-16,368.0,352.42857142857144
2020-04-17,373.0,383.42857142857144
2020-04-18,385.0,403.14285714285717
2020-04-19,405.0,422.85714285714283
2020-04-20,457.0,437.14285714285717
2020-04-21,477.0,450.2857142857143
2020-04-22,495.0,459.14285714285717
2020-04-23,468.0,467.2857142857143
2020-04-24,465.0,461.0
2020-04-25,447.0,455.57142857142856
2020-04-26,462.0,456.0
2020-04-27,413.0,460.42857142857144
2020-04-28,439.0,469.7142857142857
2020-04-29,498.0,479.7142857142857
2020-04-30,499.0,488.14285714285717
2020-05-01,530.0,504.2857142857143
2020-05-02,517.0,516.5714285714286
2020-05-03,521.0,520.1428571428571
2020-05-04,526.0,518.4285714285714
2020-05-05,525.0,512.2857142857143
2020-05-06,523.0,506.2857142857143
2020-05-07,487.0,502.14285714285717
2020-05-08,487.0,501.57142857142856
2020-05-09,475.0,501.14285714285717
2020-05-10,492.0,497.0
2020-05-11,522.0,496.57142857142856
2020-05-12,522.0,497.0
2020-05-13,494.0,473.7142857142857
2020-05-14,484.0,469.57142857142856
2020-05-15,490.0,464.42857142857144
2020-05-16,312.0,455.7142857142857
2020-05-17,463.0,451.42857142857144
2020-05-18,486.0,442.85714285714283
2020-05-19,461.0,436.2857142857143
2020-05-20,464.0,448.57142857142856
2020-05-21,424.0,444.14285714285717
2020-05-22,444.0,438.0
2020-05-23,398.0,433.57142857142856
2020-05-24,432.0,465.2857142857143
2020-05-25,443.0,468.7142857142857
2020-05-26,430.0,465.0
2020-05-27,686.0,463.42857142857144
2020-05-28,448.0,459.42857142857144
2020-05-29,418.0,448.14285714285717
2020-05-30,387.0,440.85714285714283
2020-05-31,404.0,394.42857142857144
2020-06-01,364.0,382.85714285714283
2020-06-02,379.0,373.2857142857143
2020-06-03,361.0,370.14285714285717
2020-06-04,367.0,358.57142857142856
2020-06-05,351.0,353.14285714285717
2020-06-06,365.0,343.85714285714283
2020-06-07,323.0,334.14285714285717
2020-06-08,326.0,333.57142857142856
2020-06-09,314.0,331.85714285714283
2020-06-10,293.0,318.85714285714283
2020-06-11,363.0,319.2857142857143
