,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,3.142857142857143,22,22,0,0,0
2020-03-17,3.142857142857143,0,22,0,0,0
2020-03-18,4.428571428571429,9,31,0,0,0
2020-03-19,5.714285714285714,9,40,0,0,0
2020-03-20,10.142857142857142,31,71,0.14285714285714285,1,1
2020-03-21,14,27,98,0,-1,0
2020-03-22,14.571428571428571,4,102,0.2857142857142857,2,2
2020-03-23,14,18,120,0.2857142857142857,0,2
2020-03-24,17,21,141,0.2857142857142857,0,2
2020-03-25,22.285714285714285,46,187,0.2857142857142857,0,2
2020-03-26,27.285714285714285,44,231,0.42857142857142855,1,3
2020-03-27,28.571428571428573,40,271,0.2857142857142857,0,3
2020-03-28,29.428571428571427,33,304,0.5714285714285714,1,4
2020-03-29,34.285714285714285,38,342,0.42857142857142855,1,5
2020-03-30,40.142857142857146,59,401,1,4,9
2020-03-31,50.57142857142857,94,495,1,0,9
2020-04-01,57,91,586,1,0,9
2020-04-02,60.285714285714285,67,653,1.2857142857142858,3,12
2020-04-03,69.42857142857143,104,757,1.7142857142857142,3,15
2020-04-04,85.42857142857143,145,902,2.4285714285714284,6,21
2020-04-05,94.28571428571429,100,1002,2.4285714285714284,1,22
2020-04-06,99.42857142857143,95,1097,2.142857142857143,2,24
2020-04-07,102.28571428571429,114,1211,1.8571428571428572,-2,22
2020-04-08,122,229,1440,2.5714285714285716,5,27
2020-04-09,124.28571428571429,83,1523,2.857142857142857,5,32
2020-04-10,129,137,1660,3.2857142857142856,6,38
2020-04-11,125.14285714285714,118,1778,3.7142857142857144,9,47
2020-04-12,124.71428571428571,97,1875,4,3,50
2020-04-13,122.57142857142857,80,1955,4,2,52
2020-04-14,121,103,2058,6.428571428571429,15,67
2020-04-15,108.14285714285714,139,2197,6.428571428571429,5,72
2020-04-16,118.14285714285714,153,2350,7,9,81
2020-04-17,116.57142857142857,126,2476,6.857142857142857,5,86
2020-04-18,126.85714285714286,190,2666,6.285714285714286,5,91
2020-04-19,131.14285714285714,127,2793,6.571428571428571,5,96
2020-04-20,138.85714285714286,134,2927,7.571428571428571,9,105
2020-04-21,148.57142857142858,171,3098,6.428571428571429,7,112
2020-04-22,144.14285714285714,108,3206,7.857142857142857,15,127
2020-04-23,144.42857142857142,155,3361,8.285714285714286,12,139
2020-04-24,150.28571428571428,167,3528,9.571428571428571,14,153
2020-04-25,147.57142857142858,171,3699,10.571428571428571,12,165
2020-04-26,149.71428571428572,142,3841,11.714285714285714,13,178
2020-04-27,137.85714285714286,51,3892,11.428571428571429,7,185
2020-04-28,128,102,3994,11.142857142857142,5,190
2020-04-29,128.57142857142858,112,4106,11.142857142857142,15,205
2020-04-30,137.42857142857142,217,4323,12.142857142857142,19,224
2020-05-01,161.42857142857142,335,4658,11.142857142857142,7,231
2020-05-02,156.85714285714286,139,4797,10.714285714285714,9,240
2020-05-03,167.85714285714286,219,5016,10.428571428571429,11,251
2020-05-04,182.57142857142858,154,5170,10.428571428571429,7,258
2020-05-05,189.71428571428572,152,5322,10.571428571428571,6,264
2020-05-06,193.57142857142858,139,5461,10.285714285714286,13,277
2020-05-07,190.14285714285714,193,5654,8.714285714285714,8,285
2020-05-08,177.28571428571428,245,5899,10.428571428571429,19,304
2020-05-09,186.42857142857142,203,6102,10.142857142857142,7,311
2020-05-10,179.42857142857142,170,6272,10.285714285714286,12,323
2020-05-11,174.14285714285714,117,6389,10,5,328
2020-05-12,166.14285714285714,96,6485,10.285714285714286,8,336
2020-05-13,160.42857142857142,99,6584,10.428571428571429,14,350
2020-05-14,154.57142857142858,152,6736,10.428571428571429,8,358
2020-05-15,138.85714285714286,135,6871,9.142857142857142,10,368
2020-05-16,134.28571428571428,171,7042,9.142857142857142,7,375
2020-05-17,121.57142857142857,81,7123,8.571428571428571,8,383
2020-05-18,125.85714285714286,147,7270,9.142857142857142,9,392
2020-05-19,135.57142857142858,164,7434,9.142857142857142,8,400
2020-05-20,138.14285714285714,117,7551,8.142857142857142,7,407
2020-05-21,150.28571428571428,237,7788,7.714285714285714,5,412
2020-05-22,146,105,7893,7.142857142857143,6,418
2020-05-23,132,73,7966,7.428571428571429,9,427
2020-05-24,141,144,8110,7,5,432
2020-05-25,136.42857142857142,115,8225,6.857142857142857,8,440
2020-05-26,128.57142857142858,109,8334,5.714285714285714,0,440
2020-05-27,122.14285714285714,72,8406,5.428571428571429,5,445
2020-05-28,100.57142857142857,86,8492,5.857142857142857,8,453
2020-05-29,92.14285714285714,46,8538,6,7,460
2020-05-30,107.28571428571429,179,8717,5,2,462
2020-05-31,98.71428571428571,84,8801,4.857142857142857,4,466
2020-06-01,90.28571428571429,56,8857,4,2,468
2020-06-02,78.85714285714286,29,8886,4.285714285714286,2,470
2020-06-03,87.14285714285714,130,9016,4,3,473
2020-06-04,89.71428571428571,104,9120,3.142857142857143,2,475
2020-06-05,94.42857142857143,79,9199,2.7142857142857144,4,479
2020-06-06,78.85714285714286,70,9269,3,4,483
2020-06-07,75.85714285714286,63,9332,3.2857142857142856,6,489
2020-06-08,76,57,9389,3.2857142857142856,2,491
2020-06-09,84,85,9474,3.5714285714285716,4,495
2020-06-10,74.42857142857143,63,9537,3.7142857142857144,4,499
2020-06-11,67,52,9589,3.857142857142857,3,502
2020-06-12,65,65,9654,3.857142857142857,4,506
2020-06-13,62.857142857142854,55,9709,4,5,511
2020-06-14,62.142857142857146,58,9767,3.7142857142857144,4,515
2020-06-15,58.57142857142857,32,9799,3.4285714285714284,0,515
2020-06-16,49.142857142857146,19,9818,3.5714285714285716,5,520
2020-06-17,44.285714285714285,29,9847,3.4285714285714284,3,523
2020-06-18,44.857142857142854,56,9903,3.5714285714285716,4,527
2020-06-19,42.57142857142857,49,9952,3.4285714285714284,3,530
2020-06-20,39.285714285714285,32,9984,2.857142857142857,1,531
2020-06-21,36.142857142857146,36,10020,2.5714285714285716,2,533
2020-06-22,37,38,10058,2.857142857142857,2,535
2020-06-23,39.42857142857143,36,10094,2.4285714285714284,2,537
2020-06-24,40.142857142857146,34,10128,2.5714285714285716,4,541
2020-06-25,36.57142857142857,31,10159,2.2857142857142856,2,543
2020-06-26,33.285714285714285,26,10185,2.2857142857142856,3,546
2020-06-27,33.142857142857146,31,10216,2.4285714285714284,2,548
2020-06-28,32.57142857142857,32,10248,2.4285714285714284,2,550
2020-06-29,33.42857142857143,44,10292,2.2857142857142856,1,551
2020-06-30,33.285714285714285,35,10327,2,0,551
2020-07-01,33.857142857142854,38,10365,1.7142857142857142,2,553
2020-07-02,33,25,10390,1.5714285714285714,1,554
2020-07-03,35.714285714285715,45,10435,1.2857142857142858,1,555
2020-07-04,33,12,10447,1.2857142857142858,2,557
2020-07-05,33.42857142857143,35,10482,1.2857142857142858,2,559
2020-07-06,31.857142857142858,33,10515,1.4285714285714286,2,561
2020-07-07,34.57142857142857,54,10569,1.4285714285714286,0,561
2020-07-08,39.57142857142857,73,10642,1.5714285714285714,3,564
2020-07-09,41.285714285714285,37,10679,2,4,568
2020-07-10,44,64,10743,1.8571428571428572,0,568
2020-07-11,50.57142857142857,58,10801,1.5714285714285714,0,568
2020-07-12,52.142857142857146,46,10847,1.2857142857142858,0,568
2020-07-13,55.857142857142854,59,10906,1,0,568
2020-07-14,53.857142857142854,40,10946,1,0,568
2020-07-15,54.857142857142854,80,11026,1,3,571
2020-07-16,56.714285714285715,50,11076,0.8571428571428571,3,574
2020-07-17,53.142857142857146,39,11115,1.2857142857142858,3,577
2020-07-18,56.142857142857146,79,11194,1.4285714285714286,1,578
2020-07-19,59.142857142857146,67,11261,1.4285714285714286,0,578
2020-07-20,61.857142857142854,78,11339,1.5714285714285714,1,579
2020-07-21,68.71428571428571,88,11427,1.7142857142857142,1,580
2020-07-22,71.85714285714286,102,11529,1.2857142857142858,0,580
2020-07-23,70.71428571428571,42,11571,1,1,581
2020-07-24,76.28571428571429,78,11649,0.5714285714285714,0,581
2020-07-25,74.71428571428571,68,11717,0.42857142857142855,0,581
2020-07-26,74.14285714285714,63,11780,0.42857142857142855,0,581
2020-07-27,74.14285714285714,78,11858,0.42857142857142855,1,582
2020-07-28,74,87,11945,0.42857142857142855,1,583
2020-07-29,67.14285714285714,54,11999,0.5714285714285714,1,584
2020-07-30,69.42857142857143,58,12057,0.42857142857142855,0,584
2020-07-31,68.14285714285714,69,12126,0.5714285714285714,1,585
2020-08-01,69.71428571428571,79,12205,0.5714285714285714,0,585
2020-08-02,70.57142857142857,69,12274,0.7142857142857143,1,586
2020-08-03,65,39,12313,0.5714285714285714,0,586
2020-08-04,64.71428571428571,85,12398,0.5714285714285714,1,587
2020-08-05,63.42857142857143,45,12443,0.42857142857142855,0,587
2020-08-06,65.85714285714286,75,12518,0.42857142857142855,0,587
2020-08-07,66.14285714285714,71,12589,0.5714285714285714,2,589
2020-08-08,64,64,12653,0.7142857142857143,1,590
2020-08-09,68.42857142857143,100,12753,0.7142857142857143,1,591
2020-08-10,70.57142857142857,54,12807,0.7142857142857143,0,591
2020-08-11,71.14285714285714,89,12896,0.8571428571428571,2,593
2020-08-12,73.71428571428571,63,12959,0.8571428571428571,0,593
2020-08-13,72.28571428571429,65,13024,1,1,594
2020-08-14,75.57142857142857,94,13118,0.7142857142857143,0,594
2020-08-15,72.28571428571429,41,13159,1,3,597
2020-08-16,66.71428571428571,61,13220,0.8571428571428571,0,597
2020-08-17,66.57142857142857,53,13273,0.8571428571428571,0,597
2020-08-18,61.285714285714285,52,13325,0.8571428571428571,2,599
