,inpatient_beds_used_covid,7_day_avg
2020-03-12,0.0,0.25
2020-03-13,0.0,0.4
2020-03-14,0.0,0.5
2020-03-15,1.0,4.142857142857143
2020-03-16,1.0,7.285714285714286
2020-03-17,1.0,10.714285714285714
2020-03-18,26.0,14.142857142857142
2020-03-19,22.0,18.428571428571427
2020-03-20,24.0,24.142857142857142
2020-03-21,24.0,31.142857142857142
2020-03-22,31.0,34.42857142857143
2020-03-23,41.0,40.57142857142857
2020-03-24,50.0,41.714285714285715
2020-03-25,49.0,127.42857142857143
2020-03-26,65.0,251.42857142857142
2020-03-27,32.0,388.7142857142857
2020-03-28,624.0,560.2857142857143
2020-03-29,899.0,764.4285714285714
2020-03-30,1002.0,988.7142857142857
2020-03-31,1251.0,1211.7142857142858
2020-04-01,1478.0,1354.4285714285713
2020-04-02,1635.0,1502.5714285714287
2020-04-03,1593.0,1652.142857142857
2020-04-04,1623.0,1787.5714285714287
2020-04-05,1936.0,1883.5714285714287
2020-04-06,2049.0,1948.7142857142858
2020-04-07,2199.0,2030.857142857143
2020-04-08,2150.0,2118.1428571428573
2020-04-09,2091.0,2152.1428571428573
2020-04-10,2168.0,2238.1428571428573
2020-04-11,2234.0,2298.5714285714284
2020-04-12,2174.0,2366.0
2020-04-13,2651.0,2568.4285714285716
2020-04-14,2622.0,2759.4285714285716
2020-04-15,2622.0,2886.714285714286
2020-04-16,3508.0,3043.4285714285716
2020-04-17,3505.0,3146.0
2020-04-18,3125.0,3292.1428571428573
2020-04-19,3271.0,3313.714285714286
2020-04-20,3369.0,3219.1428571428573
2020-04-21,3645.0,3115.8571428571427
2020-04-22,2773.0,3053.0
2020-04-23,2846.0,2983.0
2020-04-24,2782.0,2894.4285714285716
2020-04-25,2685.0,2794.8571428571427
2020-04-26,2781.0,2934.1428571428573
2020-04-27,2749.0,3072.4285714285716
2020-04-28,2948.0,3208.8571428571427
2020-04-29,3748.0,3341.8571428571427
2020-04-30,3814.0,3468.8571428571427
2020-05-01,3737.0,3657.285714285714
2020-05-02,3616.0,3830.285714285714
2020-05-03,3670.0,3874.5714285714284
2020-05-04,4068.0,3921.714285714286
2020-05-05,4159.0,3927.0
2020-05-06,4058.0,3968.714285714286
2020-05-07,4144.0,3999.285714285714
2020-05-08,3774.0,3945.0
2020-05-09,3908.0,3884.8571428571427
2020-05-10,3884.0,3792.285714285714
2020-05-11,3688.0,3594.8571428571427
2020-05-12,3738.0,3515.1428571428573
2020-05-13,3410.0,3416.714285714286
2020-05-14,2762.0,3315.8571428571427
2020-05-15,3216.0,3262.714285714286
2020-05-16,3219.0,3205.5714285714284
2020-05-17,3178.0,3207.5714285714284
2020-05-18,3316.0,3282.8571428571427
2020-05-19,3338.0,3316.8571428571427
2020-05-20,3424.0,3333.0
2020-05-21,3289.0,3332.5714285714284
2020-05-22,3454.0,3308.4285714285716
2020-05-23,3332.0,3326.5714285714284
2020-05-24,3175.0,3311.714285714286
2020-05-25,3147.0,3312.4285714285716
2020-05-26,3465.0,3337.0
2020-05-27,3320.0,3361.5714285714284
2020-05-28,3294.0,3411.5714285714284
2020-05-29,3626.0,3477.0
2020-05-30,3504.0,3480.5714285714284
2020-05-31,3525.0,3505.8571428571427
2020-06-01,3605.0,3527.4285714285716
2020-06-02,3490.0,3498.285714285714
2020-06-03,3497.0,3510.8571428571427
2020-06-04,3445.0,3528.0
2020-06-05,3422.0,3534.714285714286
2020-06-06,3592.0,3598.714285714286
2020-06-07,3645.0,3642.4285714285716
2020-06-08,3652.0,3669.285714285714
2020-06-09,3938.0,3696.714285714286
2020-06-10,3803.0,3703.8571428571427
2020-06-11,3633.0,3705.4285714285716
2020-06-12,3614.0,3701.714285714286
2020-06-13,3642.0,3699.0
2020-06-14,3656.0,3719.5714285714284
2020-06-15,3626.0,3781.5714285714284
2020-06-16,3919.0,3850.5714285714284
2020-06-17,3947.0,3934.285714285714
2020-06-18,4067.0,4030.285714285714
2020-06-19,4097.0,4169.285714285715
2020-06-20,4228.0,4324.285714285715
2020-06-21,4328.0,4505.142857142857
2020-06-22,4599.0,4689.285714285715
2020-06-23,5004.0,4897.428571428572
2020-06-24,5213.0,5123.571428571428
2020-06-25,5356.0,5366.571428571428
2020-06-26,5554.0,5630.285714285715
2020-06-27,5811.0,5916.571428571428
2020-06-28,6029.0,6232.428571428572
2020-06-29,6445.0,6567.571428571428
2020-06-30,7008.0,6866.571428571428
2020-07-01,7424.0,7176.428571428572
2020-07-02,7702.0,7511.285714285715
2020-07-03,7647.0,7871.571428571428
2020-07-04,7980.0,8269.142857142857
2020-07-05,8373.0,8634.857142857143
2020-07-06,8967.0,9013.57142857143
2020-07-07,9791.0,9413.142857142857
2020-07-08,9984.0,9769.857142857143
2020-07-09,10353.0,10108.0
2020-07-10,10444.0,10440.714285714286
2020-07-11,10477.0,10660.857142857143
2020-07-12,10740.0,10912.857142857143
2020-07-13,11296.0,11089.0
2020-07-14,11332.0,11270.0
2020-07-15,11748.0,11421.857142857143
2020-07-16,11586.0,11641.857142857143
2020-07-17,11711.0,11735.57142857143
2020-07-18,11540.0,11846.42857142857
2020-07-19,12280.0,11908.0
2020-07-20,11952.0,11954.142857142857
2020-07-21,12108.0,11937.857142857143
2020-07-22,12179.0,11972.714285714286
2020-07-23,11909.0,11862.42857142857
2020-07-24,11597.0,11775.857142857143
2020-07-25,11784.0,11643.57142857143
2020-07-26,11508.0,11402.714285714286
2020-07-27,11346.0,11181.142857142857
2020-07-28,11182.0,10944.42857142857
2020-07-29,10493.0,10740.857142857143
2020-07-30,10358.0,10572.42857142857
2020-07-31,9940.0,10373.42857142857
2020-08-01,10359.0,10187.857142857143
2020-08-02,10329.0,10056.142857142857
2020-08-03,9953.0,9904.714285714286
2020-08-04,9883.0,9794.0
2020-08-05,9571.0,9558.42857142857
2020-08-06,9298.0,9308.42857142857
2020-08-07,9165.0,9119.42857142857
2020-08-08,8710.0,8941.57142857143
2020-08-09,8579.0,8782.142857142857
2020-08-10,8630.0,8626.0
2020-08-11,8638.0,8435.142857142857
2020-08-12,8455.0,8260.142857142857
2020-08-13,8205.0,8091.142857142857
2020-08-14,7829.0,7936.571428571428
2020-08-15,7485.0,7746.714285714285
2020-08-16,7396.0,7553.0
2020-08-17,7548.0,7364.714285714285
2020-08-18,7309.0,7171.714285714285
2020-08-19,7099.0,6978.571428571428
2020-08-20,6887.0,6794.0
2020-08-21,6478.0,6599.428571428572
2020-08-22,6133.0,6444.142857142857
2020-08-23,6104.0,6297.714285714285
2020-08-24,6186.0,6148.285714285715
2020-08-25,6222.0,6001.428571428572
2020-08-26,6074.0,5873.142857142857
2020-08-27,5841.0,5731.142857142857
2020-08-28,5450.0,5589.571428571428
2020-08-29,5235.0,5423.428571428572
2020-08-30,5110.0,5261.285714285715
2020-08-31,5195.0,5119.714285714285
2020-09-01,5059.0,5017.571428571428
2020-09-02,4939.0,4921.857142857143
2020-09-03,4850.0,4831.428571428572
2020-09-04,4735.0,4726.571428571428
2020-09-05,4565.0,4636.857142857143
2020-09-06,4477.0,4585.428571428572
2020-09-07,4461.0,4509.714285714285
2020-09-08,4431.0,4421.714285714285
2020-09-09,4579.0,4334.571428571428
2020-09-10,4320.0,4241.0
2020-09-11,4119.0,4151.714285714285
2020-09-12,3955.0,4078.8571428571427
2020-09-13,3822.0,3943.8571428571427
2020-09-14,3836.0,3758.8571428571427
2020-09-15,3921.0,3607.285714285714
2020-09-16,3634.0,3456.5714285714284
2020-09-17,3025.0,3320.0
2020-09-18,3058.0,3178.8571428571427
2020-09-19,2900.0,3031.714285714286
2020-09-20,2866.0,2912.285714285714
2020-09-21,2848.0,2865.285714285714
2020-09-22,2891.0,2805.5714285714284
2020-09-23,2798.0,2756.714285714286
2020-09-24,2696.0,2716.5714285714284
2020-09-25,2640.0,2684.1428571428573
2020-09-26,2558.0,2658.4285714285716
2020-09-27,2585.0,2634.8571428571427
