,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0.14285714285714285,1,1,0,0,0
2020-03-03,0.2857142857142857,1,2,0,0,0
2020-03-04,0.2857142857142857,0,2,0,0,0
2020-03-05,0.42857142857142855,1,3,0,0,0
2020-03-06,0.42857142857142855,0,3,0,0,0
2020-03-07,1,4,7,0,0,0
2020-03-08,1.4285714285714286,3,10,0.2857142857142857,2,2
2020-03-09,1.7142857142857142,3,13,0.2857142857142857,0,2
2020-03-10,1.8571428571428572,2,15,0.2857142857142857,0,2
2020-03-11,3.142857142857143,9,24,0.2857142857142857,0,2
2020-03-12,3.857142857142857,6,30,0.2857142857142857,0,2
2020-03-13,6.714285714285714,20,50,0.2857142857142857,0,2
2020-03-14,9.857142857142858,26,76,0.2857142857142857,0,2
2020-03-15,12.857142857142858,24,100,0.14285714285714285,1,3
2020-03-16,12.571428571428571,1,101,0.14285714285714285,0,3
2020-03-17,25,89,190,0.42857142857142855,2,5
2020-03-18,40.285714285714285,116,306,0.7142857142857143,2,7
2020-03-19,57.42857142857143,126,432,1,2,9
2020-03-20,73.42857142857143,132,564,1.2857142857142858,2,11
2020-03-21,98.14285714285714,199,763,1.5714285714285714,2,13
2020-03-22,129.14285714285714,241,1004,1.4285714285714286,0,13
2020-03-23,160.85714285714286,223,1227,2.142857142857143,5,18
2020-03-24,174.57142857142858,185,1412,1.8571428571428572,0,18
2020-03-25,196.57142857142858,270,1682,2.2857142857142856,5,23
2020-03-26,275,675,2357,2.857142857142857,6,29
2020-03-27,333.7142857142857,543,2900,3.4285714285714284,6,35
2020-03-28,428.57142857142856,863,3763,5.857142857142857,19,54
2020-03-29,463.14285714285717,483,4246,6.142857142857143,2,56
2020-03-30,606.5714285714286,1227,5473,6.428571428571429,7,63
2020-03-31,761.2857142857143,1268,6741,9.571428571428571,22,85
2020-04-01,753.4285714285714,215,6956,9.142857142857142,2,87
2020-04-02,950.1428571428571,2052,9008,19.285714285714285,77,164
2020-04-03,1052.5714285714287,1260,10268,19.285714285714285,6,170
2020-04-04,1110.5714285714287,1269,11537,20.142857142857142,25,195
2020-04-05,1157.7142857142858,813,12350,23.571428571428573,26,221
2020-04-06,1121.5714285714287,974,13324,24.714285714285715,15,236
2020-04-07,1114.857142857143,1221,14545,28.285714285714285,47,283
2020-04-08,1214.2857142857142,911,15456,31.714285714285715,26,309
2020-04-09,1050.857142857143,908,16364,27.142857142857142,45,354
2020-04-10,1037.5714285714287,1167,17531,31.428571428571427,36,390
2020-04-11,993.8571428571429,963,18494,34.714285714285715,48,438
2020-04-12,1077.857142857143,1401,19895,34.285714285714285,23,461
2020-04-13,1099.2857142857142,1124,21019,37.57142857142857,38,499
2020-04-14,1011.8571428571429,609,21628,41.142857142857146,72,571
2020-04-15,1007.8571428571429,883,22511,41,25,596
2020-04-16,997,832,23343,44.857142857142854,72,668
2020-04-17,1032.5714285714287,1416,24759,47.857142857142854,57,725
2020-04-18,999.7142857142857,733,25492,44.285714285714285,23,748
2020-04-19,917,822,26314,44.714285714285715,26,774
2020-04-20,862.8571428571429,745,27059,46.142857142857146,48,822
2020-04-21,891.5714285714286,810,27869,42.285714285714285,45,867
2020-04-22,828.2857142857143,440,28309,42.42857142857143,26,893
2020-04-23,900.7142857142857,1339,29648,45.57142857142857,94,987
2020-04-24,824.8571428571429,885,30533,45.857142857142854,59,1046
2020-04-25,763.8571428571429,306,30839,43.857142857142854,9,1055
2020-04-26,745.4285714285714,693,31532,43,20,1075
2020-04-27,725.5714285714286,606,32138,38,13,1088
2020-04-28,711.2857142857143,710,32848,43.42857142857143,83,1171
2020-04-29,697.7142857142857,345,33193,46.42857142857143,47,1218
2020-04-30,577.4285714285714,497,33690,40.142857142857146,50,1268
2020-05-01,599.2857142857143,1038,34728,38.285714285714285,46,1314
2020-05-02,660.5714285714286,735,35463,44.142857142857146,50,1364
2020-05-03,649.4285714285714,615,36078,43.42857142857143,15,1379
2020-05-04,679.8571428571429,819,36897,44.42857142857143,20,1399
2020-05-05,655.8571428571429,542,37439,42.857142857142854,72,1471
2020-05-06,687,563,38002,45.857142857142854,68,1539
2020-05-07,734,826,38828,47.42857142857143,61,1600
2020-05-08,638.7142857142857,371,39199,50.714285714285715,69,1669
2020-05-09,648.2857142857143,802,40001,50.142857142857146,46,1715
2020-05-10,645.4285714285714,595,40596,48.857142857142854,6,1721
2020-05-11,583.5714285714286,386,40982,48,14,1735
2020-05-12,640.5714285714286,941,41923,44,44,1779
2020-05-13,628.5714285714286,479,42402,41.142857142857146,48,1827
2020-05-14,626,808,43210,39.285714285714285,48,1875
2020-05-15,705.5714285714286,928,44138,35.42857142857143,42,1917
2020-05-16,687.1428571428571,673,44811,35.57142857142857,47,1964
2020-05-17,713.1428571428571,777,45588,36,9,1973
2020-05-18,780,854,46442,37.42857142857143,24,1997
2020-05-19,717.2857142857143,502,46944,39,55,2052
2020-05-20,724.1428571428571,527,47471,38.42857142857143,44,2096
2020-05-21,780.7142857142857,1204,48675,38.42857142857143,48,2144
2020-05-22,759,776,49451,39,46,2190
2020-05-23,759.4285714285714,676,50127,38.42857142857143,43,2233
2020-05-24,754.1428571428571,740,50867,37.714285714285715,4,2237
2020-05-25,757.7142857142857,879,51746,36.42857142857143,15,2252
2020-05-26,758.7142857142857,509,52255,29.571428571428573,7,2259
2020-05-27,737.5714285714286,379,52634,31.857142857142858,60,2319
2020-05-28,658.5714285714286,651,53285,31.428571428571427,45,2364
2020-05-29,720.8571428571429,1212,54497,31.857142857142858,49,2413
2020-05-30,756.7142857142857,927,55424,30.571428571428573,34,2447
2020-05-31,756.5714285714286,739,56163,30.571428571428573,4,2451
2020-06-01,726.2857142857143,667,56830,29.714285714285715,9,2460
2020-06-02,741.7142857142857,617,57447,38.714285714285715,70,2530
2020-06-03,875.7142857142857,1317,58764,35.285714285714285,36,2566
2020-06-04,985.4285714285714,1419,60183,34.714285714285715,41,2607
2020-06-05,998.7142857142857,1305,61488,35.285714285714285,53,2660
2020-06-06,1047.7142857142858,1270,62758,34.42857142857143,28,2688
2020-06-07,1110.7142857142858,1180,63938,35.57142857142857,12,2700
2020-06-08,1153.4285714285713,966,64904,36,12,2712
2020-06-09,1221.857142857143,1096,66000,33.57142857142857,53,2765
2020-06-10,1229.5714285714287,1371,67371,33.57142857142857,36,2801
2020-06-11,1269.4285714285713,1698,69069,34.42857142857143,47,2848
2020-06-12,1354.7142857142858,1902,70971,31,29,2877
2020-06-13,1542,2581,73552,33.857142857142854,48,2925
2020-06-14,1661.4285714285713,2016,75568,33,6,2931
2020-06-15,1774.5714285714287,1758,77326,32.285714285714285,7,2938
2020-06-16,2015.5714285714287,2783,80109,32.57142857142857,55,2993
2020-06-17,2192.5714285714284,2610,82719,31,25,3018
2020-06-18,2408.1428571428573,3207,85926,30.428571428571427,43,3061
2020-06-19,2682.4285714285716,3822,89748,32.42857142857143,43,3104
2020-06-20,2892.1428571428573,4049,93797,31.285714285714285,40,3144
2020-06-21,3103.285714285714,3494,97291,32.857142857142854,17,3161
2020-06-22,3270.1428571428573,2926,100217,33.57142857142857,12,3173
2020-06-23,3342,3286,103503,35,65,3238
2020-06-24,3756.4285714285716,5511,109014,37.57142857142857,43,3281
2020-06-25,4013.1428571428573,5004,114018,38,46,3327
2020-06-26,4744.571428571428,8942,122960,37.42857142857143,39,3366
2020-06-27,5535.428571428572,9585,132545,35.142857142857146,24,3390
2020-06-28,6254.857142857143,8530,141075,36.857142857142854,29,3419
2020-06-29,6589.142857142857,5266,146341,39.142857142857146,28,3447
2020-06-30,6990.142857142857,6093,152434,38.142857142857146,58,3505
2020-07-01,7140.428571428572,6563,158997,38.42857142857143,45,3550
2020-07-02,7869.714285714285,10109,169106,41.42857142857143,67,3617
2020-07-03,7947.714285714285,9488,178594,45.42857142857143,67,3684
2020-07-04,8215.285714285714,11458,190052,44.57142857142857,18,3702
2020-07-05,8433.714285714286,10059,200111,44.57142857142857,29,3731
2020-07-06,8586.57142857143,6336,206447,47.285714285714285,47,3778
2020-07-07,8765.714285714286,7347,213794,48,63,3841
2020-07-08,9255.142857142857,9989,223783,48.42857142857143,48,3889
2020-07-09,9087.42857142857,8935,232718,56,120,4009
2020-07-10,9365.285714285714,11433,244151,59.714285714285715,93,4102
2020-07-11,9208.42857142857,10360,254511,70.71428571428571,95,4197
2020-07-12,9957.142857142857,15300,269811,73,45,4242
2020-07-13,10855.42857142857,12624,282435,71.28571428571429,35,4277
2020-07-14,11119.285714285714,9194,291629,81.14285714285714,132,4409
2020-07-15,11146.714285714286,10181,301810,90.28571428571429,112,4521
2020-07-16,11865.285714285714,13965,315775,95.42857142857143,156,4677
2020-07-17,11870,11466,327241,100.42857142857143,128,4805
2020-07-18,11865.42857142857,10328,337569,99.71428571428571,90,4895
2020-07-19,11462.285714285714,12478,350047,105.71428571428571,87,4982
2020-07-20,11137,10347,360394,113.57142857142857,90,5072
2020-07-21,11172.142857142857,9440,369834,113.85714285714286,134,5206
2020-07-22,11115.57142857143,9785,379619,117.71428571428571,139,5345
2020-07-23,10584.714285714286,10249,389868,120.14285714285714,173,5518
2020-07-24,10724.42857142857,12444,402312,121.14285714285714,135,5653
2020-07-25,10991.714285714286,12199,414511,126,124,5777
2020-07-26,10544,9344,423855,124.57142857142857,77,5854
2020-07-27,10336.142857142857,8892,432747,122.71428571428571,77,5931
2020-07-28,10306.142857142857,9230,441977,130.14285714285714,186,6117
2020-07-29,10257.714285714286,9446,451423,141.14285714285714,216,6333
2020-07-30,10215.857142857143,9956,461379,152.57142857142858,253,6586
2020-07-31,9724.857142857143,9007,470386,170,257,6843
2020-08-01,9359.57142857143,9642,480028,177.85714285714286,179,7022
2020-08-02,9039.57142857143,7104,487132,175.71428571428572,62,7084
2020-08-03,8448.142857142857,4752,491884,175.14285714285714,73,7157
2020-08-04,7907.571428571428,5446,497330,183.57142857142858,245,7402
2020-08-05,7330.857142857143,5409,502739,184.85714285714286,225,7627
2020-08-06,7001.428571428572,7650,510389,165.85714285714286,120,7747
