,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,372.0
2020-12-14,0.0,1866.142857142857
2020-12-15,0.0,3758.714285714286
2020-12-16,2604.0,5876.571428571428
2020-12-17,10459.0,6511.285714285715
2020-12-18,13248.0,6908.571428571428
2020-12-19,14825.0,8984.714285714286
2020-12-20,4443.0,11201.0
2020-12-21,2781.0,13191.285714285714
2020-12-22,14533.0,12762.42857142857
2020-12-23,18118.0,10693.0
2020-12-24,24391.0,11901.857142857143
2020-12-25,10246.0,12035.285714285714
2020-12-26,339.0,13411.714285714286
2020-12-27,12905.0,15265.285714285714
2020-12-28,3715.0,17906.714285714286
2020-12-29,24168.0,19141.85714285714
2020-12-30,31093.0,19225.714285714286
2020-12-31,42881.0,18126.85714285714
2021-01-01,18892.0,18288.571428571428
2021-01-02,926.0,19281.0
2021-01-03,5213.0,21011.571428571428
2021-01-04,4847.0,24006.714285714286
2021-01-05,31115.0,31163.85714285714
2021-01-06,43207.0,42794.57142857143
2021-01-07,63847.0,48703.857142857145
2021-01-08,68992.0,52469.857142857145
2021-01-09,82341.0,58259.57142857143
2021-01-10,46578.0,61950.28571428572
2021-01-11,31209.0,64004.42857142857
2021-01-12,71643.0,65864.71428571429
2021-01-13,69042.0,67792.42857142857
2021-01-14,78226.0,71828.57142857143
2021-01-15,82014.0,71015.57142857143
2021-01-16,95835.0,60780.857142857145
2021-01-17,74831.0,56832.71428571428
2021-01-18,25518.0,55248.42857142857
2021-01-19,0.0,54016.28571428572
2021-01-20,41405.0,52063.57142857143
2021-01-21,67136.0,54298.142857142855
2021-01-22,73389.0,58537.57142857143
2021-01-23,82166.0,62904.28571428572
2021-01-24,90473.0,65137.57142857143
2021-01-25,55194.0,66322.14285714286
2021-01-26,30567.0,72499.85714285714
2021-01-27,57038.0,70013.57142857143
2021-01-28,75428.0,66932.28571428571
2021-01-29,116633.0,65522.28571428572
2021-01-30,64762.0,67236.42857142857
2021-01-31,68904.0,71078.14285714286
2021-02-01,45324.0,73113.14285714286
2021-02-02,42566.0,72354.85714285714
2021-02-03,83930.0,81352.42857142857
2021-02-04,89673.0,90146.71428571429
2021-02-05,111325.0,95474.85714285714
2021-02-06,127745.0,96302.57142857143
2021-02-07,130464.0,99074.28571428571
2021-02-08,82621.0,103468.42857142857
2021-02-09,48360.0,105240.85714285714
2021-02-10,103332.0,109619.0
2021-02-11,120432.0,110322.14285714286
2021-02-12,123732.0,115151.42857142857
2021-02-13,158392.0,111498.85714285714
2021-02-14,135386.0,112215.42857142857
2021-02-15,116426.0,109807.0
2021-02-16,22792.0,108796.0
2021-02-17,108348.0,140343.85714285713
2021-02-18,103573.0,122066.85714285714
2021-02-19,116655.0,131313.57142857142
2021-02-20,379227.0,130765.28571428571
2021-02-21,7447.0,115287.0
2021-02-22,181153.0,114304.71428571429
2021-02-23,18954.0,112282.42857142857
2021-02-24,0.0,72297.0
2021-02-25,96697.0,88065.0
2021-02-26,102499.0,93909.85714285714
2021-02-27,99329.0,91707.85714285714
2021-02-28,117823.0,95983.71428571429
2021-03-01,222067.0,94949.14285714286
2021-03-02,3540.0,101285.57142857143
2021-03-03,29931.0,106303.28571428571
2021-03-04,89455.0,123714.85714285714
2021-03-05,146854.0,122915.28571428571
2021-03-06,134453.0,130494.42857142857
2021-03-07,239704.0,126218.57142857143
2021-03-08,216470.0,128975.28571428571
2021-03-09,56594.0,145410.2857142857
2021-03-10,0.0,166385.57142857142
2021-03-11,108752.0,202847.0
2021-03-12,261899.0,171922.7142857143
2021-03-13,281280.0,164990.57142857142
2021-03-14,494934.0,176638.2857142857
2021-03-15,0.0,180340.14285714287
2021-03-16,8069.0,170088.42857142858
2021-03-17,81534.0,152970.0
2021-03-18,134665.0,124214.71428571429
2021-03-19,190137.0,154086.0
2021-03-20,161451.0,153562.7142857143
2021-03-21,293647.0,150404.0
2021-03-22,209099.0,152024.7142857143
2021-03-23,4406.0,154330.85714285713
2021-03-24,59423.0,161041.2857142857
2021-03-25,146010.0,150121.7142857143
2021-03-26,206280.0,154874.2857142857
2021-03-27,208424.0,155059.57142857142
2021-03-28,217210.0,164950.14285714287
2021-03-29,242367.0,166657.0
2021-03-30,5703.0,168390.2857142857
2021-03-31,128657.0,168102.7142857143
2021-04-01,157958.0,167914.0
2021-04-02,218413.0,184976.57142857142
2021-04-03,206411.0,184368.7142857143
2021-04-04,215889.0,177187.42857142858
2021-04-05,361805.0,177565.2857142857
2021-04-06,1448.0,226591.2857142857
2021-04-07,78388.0,235956.42857142858
2021-04-08,160603.0,244031.42857142858
2021-04-09,561595.0,216810.0
2021-04-10,271967.0,231597.14285714287
2021-04-11,272414.0,236692.7142857143
2021-04-12,171255.0,249226.42857142858
2021-04-13,104958.0,199990.0
2021-04-14,114057.0,198529.42857142858
2021-04-15,248339.0,212170.0
2021-04-16,216940.0,188071.2857142857
2021-04-17,261743.0,185440.14285714287
2021-04-18,367898.0,192906.2857142857
2021-04-19,2564.0,186583.42857142858
2021-04-20,86540.0,184890.7142857143
2021-04-21,166320.0,174739.7142857143
2021-04-22,204079.0,152192.2857142857
2021-04-23,205091.0,172678.42857142858
2021-04-24,190686.0,173146.7142857143
2021-04-25,210066.0,171188.2857142857
2021-04-26,145967.0,165261.85714285713
2021-04-27,89818.0,156839.42857142858
2021-04-28,152611.0,176482.2857142857
2021-04-29,162594.0,146979.85714285713
2021-04-30,146134.0,136806.0
2021-05-01,328186.0,123974.85714285714
2021-05-02,3549.0,124383.57142857143
2021-05-03,74750.0,125626.28571428571
2021-05-04,0.0,132080.0
2021-05-05,155472.0,109127.42857142857
2021-05-06,171293.0,134197.57142857142
2021-05-07,191310.0,147489.2857142857
2021-05-08,167518.0,161565.2857142857
2021-05-09,179040.0,154214.0
2021-05-10,167792.0,149260.7142857143
2021-05-11,98532.0,138343.2857142857
2021-05-12,104013.0,153406.14285714287
2021-05-13,136620.0,128251.85714285714
2021-05-14,114888.0,118951.85714285714
2021-05-15,272958.0,115067.85714285714
2021-05-16,2960.0,113078.85714285714
2021-05-17,102692.0,115225.57142857143
2021-05-18,71344.0,116480.28571428571
2021-05-19,90090.0,102957.71428571429
2021-05-20,151647.0,115828.28571428571
2021-05-21,123671.0,112228.57142857143
2021-05-22,178300.0,109670.14285714286
2021-05-23,93054.0,107893.85714285714
2021-05-24,77494.0,99722.85714285714
2021-05-25,53435.0,94864.57142857143
2021-05-26,77656.0,80958.66666666667
2021-05-27,94450.0,78539.6
2021-05-28,89663.0,78801.0
