,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0.2857142857142857,2,2,0,0,0
2020-03-04,0.2857142857142857,0,2,0,0,0
2020-03-05,0.2857142857142857,0,2,0,0,0
2020-03-06,0.42857142857142855,1,3,0,0,0
2020-03-07,0.7142857142857143,2,5,0,0,0
2020-03-08,0.7142857142857143,0,5,0,0,0
2020-03-09,1.4285714285714286,5,10,0,0,0
2020-03-10,2.142857142857143,7,17,0,0,0
2020-03-11,3,6,23,0,0,0
2020-03-12,4.142857142857143,8,31,0.14285714285714285,1,1
2020-03-13,5.571428571428571,11,42,0.14285714285714285,0,1
2020-03-14,9.714285714285714,31,73,0.14285714285714285,0,1
2020-03-15,13.428571428571429,26,99,0.14285714285714285,0,1
2020-03-16,15.857142857142858,22,121,0.14285714285714285,0,1
2020-03-17,18.428571428571427,25,146,0.14285714285714285,0,1
2020-03-18,24.857142857142858,51,197,0.42857142857142855,2,3
2020-03-19,36.57142857142857,90,287,1.2857142857142858,7,10
2020-03-20,63.285714285714285,198,485,1.8571428571428572,4,14
2020-03-21,68.85714285714286,70,555,2.7142857142857144,6,20
2020-03-22,74.57142857142857,66,621,3.4285714285714284,5,25
2020-03-23,93,151,772,3.4285714285714284,0,25
2020-03-24,125.71428571428571,254,1026,4.428571428571429,7,32
2020-03-25,150,221,1247,5.285714285714286,8,40
2020-03-26,176.85714285714286,278,1525,5.428571428571429,8,48
2020-03-27,216.42857142857142,475,2000,7.142857142857143,16,64
2020-03-28,258.7142857142857,366,2366,7,5,69
2020-03-29,290,285,2651,7.857142857142857,11,80
2020-03-30,290.85714285714283,157,2808,8.857142857142858,7,87
2020-03-31,414.7142857142857,1121,3929,11.285714285714286,24,111
2020-04-01,484.42857142857144,709,4638,14.142857142857142,28,139
2020-04-02,546.1428571428571,710,5348,16.428571428571427,24,163
2020-04-03,547.2857142857143,483,5831,17.142857142857142,21,184
2020-04-04,542,329,6160,18.857142857142858,17,201
2020-04-05,570.8571428571429,487,6647,18.714285714285715,10,211
2020-04-06,643.7142857142857,667,7314,20.285714285714285,18,229
2020-04-07,699,1508,8822,31.142857142857142,100,329
2020-04-08,751.8571428571429,1079,9901,31.857142857142858,33,362
2020-04-09,745.4285714285714,665,10566,30.857142857142858,17,379
2020-04-10,807.7142857142857,919,11485,33.142857142857146,37,416
2020-04-11,857,674,12159,32.57142857142857,13,429
2020-04-12,829.2857142857143,293,12452,31.714285714285715,4,433
2020-04-13,857.2857142857143,863,13315,33.714285714285715,32,465
2020-04-14,822.2857142857143,1263,14578,28,60,525
2020-04-15,726.5714285714286,409,14987,27.142857142857142,27,552
2020-04-16,729,682,15669,29.714285714285715,35,587
2020-04-17,815.5714285714286,1525,17194,33.42857142857143,63,650
2020-04-18,787.1428571428571,475,17669,34.857142857142854,23,673
2020-04-19,835.5714285714286,632,18301,36.285714285714285,14,687
2020-04-20,870.2857142857143,1106,19407,44.285714285714285,88,775
2020-04-21,757.5714285714286,474,19881,39,23,798
2020-04-22,889.5714285714286,1333,21214,42.285714285714285,50,848
2020-04-23,887.7142857142857,669,21883,42,33,881
2020-04-24,756.7142857142857,608,22491,35.57142857142857,18,899
2020-04-25,793.2857142857143,731,23222,33.42857142857143,8,907
2020-04-26,740.7142857142857,264,23486,32.714285714285715,9,916
2020-04-27,699.2857142857143,816,24302,31.428571428571427,79,995
2020-04-28,720.1428571428571,620,24922,34,41,1036
2020-04-29,651.5714285714286,853,25775,36.142857142857146,65,1101
2020-04-30,625.8571428571429,489,26264,35.857142857142854,31,1132
2020-05-01,714,1225,27489,38.57142857142857,37,1169
2020-05-02,729.8571428571429,842,28331,38.57142857142857,8,1177
2020-05-03,739.8571428571429,334,28665,38.285714285714285,7,1184
2020-05-04,735.5714285714286,786,29451,35.857142857142854,62,1246
2020-05-05,725.1428571428571,547,29998,37.57142857142857,53,1299
2020-05-06,709.7142857142857,745,30743,32.285714285714285,28,1327
2020-05-07,764.8571428571429,875,31618,31.857142857142858,28,1355
2020-05-08,670.2857142857143,563,32181,33,45,1400
2020-05-09,608.1428571428571,407,32588,32.285714285714285,3,1403
2020-05-10,702.1428571428571,992,33580,31.714285714285715,3,1406
2020-05-11,650.1428571428571,422,34002,28.285714285714285,38,1444
2020-05-12,703.7142857142857,922,34924,28.428571428571427,54,1498
2020-05-13,669.1428571428571,503,35427,27.142857142857142,19,1517
2020-05-14,622.7142857142857,550,35977,27.142857142857142,28,1545
2020-05-15,655.8571428571429,795,36772,26.857142857142858,43,1588
2020-05-16,660.5714285714286,440,37212,27.857142857142858,10,1598
2020-05-17,571.2857142857143,367,37579,29.142857142857142,12,1610
2020-05-18,611.5714285714286,704,38283,29.285714285714285,39,1649
2020-05-19,561.5714285714286,572,38855,25.285714285714285,26,1675
2020-05-20,624.8571428571429,946,39801,25.714285714285715,22,1697
2020-05-21,669.4285714285714,862,40663,32.857142857142854,78,1775
2020-05-22,672.8571428571429,819,41482,31.428571428571427,33,1808
2020-05-23,718.5714285714286,760,42242,32,14,1822
2020-05-24,760.4285714285714,660,42902,31,5,1827
2020-05-25,731,498,43400,28.428571428571427,21,1848
2020-05-26,732.5714285714286,583,43983,31.571428571428573,48,1896
2020-05-27,691,655,44638,33.714285714285715,37,1933
2020-05-28,657.5714285714286,628,45266,28.285714285714285,40,1973
2020-05-29,628.4285714285714,615,45881,25.571428571428573,14,1987
2020-05-30,584.1428571428571,450,46331,26,17,2004
2020-05-31,594.4285714285714,732,47063,32.285714285714285,49,2053
2020-06-01,643.1428571428571,839,47902,35.142857142857146,41,2094
2020-06-02,603.4285714285714,305,48207,29.428571428571427,8,2102
2020-06-03,608,687,48894,27.142857142857142,21,2123
2020-06-04,656.1428571428571,965,49859,25.142857142857142,26,2149
2020-06-05,677.1428571428571,762,50621,26.714285714285715,25,2174
2020-06-06,718.2857142857143,738,51359,24.857142857142858,4,2178
2020-06-07,690.7142857142857,539,51898,18.142857142857142,2,2180
2020-06-08,656.4285714285714,599,52497,16.285714285714285,28,2208
2020-06-09,720.2857142857143,752,53249,26.142857142857142,77,2285
2020-06-10,726.5714285714286,731,53980,29.428571428571427,44,2329
2020-06-11,730.5714285714286,993,54973,32.285714285714285,46,2375
2020-06-12,737.4285714285714,810,55783,34.857142857142854,43,2418
2020-06-13,777.8571428571429,1021,56804,38.42857142857143,29,2447
2020-06-14,826.1428571428571,877,57681,38.714285714285715,4,2451
2020-06-15,845.2857142857143,733,58414,40.857142857142854,43,2494
2020-06-16,832.7142857142857,664,59078,34.857142857142854,35,2529
2020-06-17,864.2857142857143,952,60030,35.142857142857146,46,2575
2020-06-18,848.4285714285714,882,60912,32.857142857142854,30,2605
2020-06-19,889.4285714285714,1097,62009,31.142857142857142,31,2636
2020-06-20,1000.7142857142857,1800,63809,27.857142857142858,6,2642
2020-06-21,1002.8571428571429,892,64701,27.428571428571427,1,2643
2020-06-22,1073.4285714285713,1227,65928,22,5,2648
2020-06-23,1247.4285714285713,1882,67810,23.714285714285715,47,2695
2020-06-24,1335.857142857143,1571,69381,17.571428571428573,3,2698
2020-06-25,1454.7142857142858,1714,71095,20,47,2745
2020-06-26,1569.4285714285713,1900,72995,19.142857142857142,25,2770
2020-06-27,1596.5714285714287,1990,74985,19.142857142857142,6,2776
2020-06-28,1787,2225,77210,19.285714285714285,2,2778
2020-06-29,1927,2207,79417,19.428571428571427,6,2784
2020-06-30,1925.857142857143,1874,81291,15.714285714285714,21,2805
2020-07-01,2123,2951,84242,18.428571428571427,22,2827
2020-07-02,2373.4285714285716,3467,87709,14.857142857142858,22,2849
2020-07-03,2499.714285714286,2784,90493,12.428571428571429,8,2857
2020-07-04,2619.1428571428573,2826,93319,11.571428571428571,0,2857
2020-07-05,2615.1428571428573,2197,95516,11.714285714285714,3,2860
2020-07-06,2521,1548,97064,13.428571428571429,18,2878
2020-07-07,2739.8571428571427,3406,100470,13.428571428571429,21,2899
2020-07-08,2806.8571428571427,3420,103890,13.571428571428571,23,2922
2020-07-09,2716.8571428571427,2837,106727,11.571428571428571,8,2930
2020-07-10,2960.5714285714284,4490,111217,15.428571428571429,35,2965
2020-07-11,3011.714285714286,3184,114401,19.857142857142858,31,2996
2020-07-12,3059.8571428571427,2534,116935,20.428571428571427,7,3003
2020-07-13,3358.285714285714,3637,120572,21.142857142857142,23,3026
2020-07-14,3356.1428571428573,3391,123963,22.142857142857142,28,3054
2020-07-15,3421.1428571428573,3875,127838,24.142857142857142,37,3091
2020-07-16,3508.5714285714284,3449,131287,25,14,3105
2020-07-17,3425,3905,135192,23.857142857142858,27,3132
2020-07-18,3639.8571428571427,4688,139880,24.714285714285715,37,3169
2020-07-19,3742,3249,143129,24.428571428571427,5,3174
2020-07-20,3572.8571428571427,2453,145582,21.571428571428573,3,3177
2020-07-21,3575,3406,148988,28.571428571428573,77,3254
2020-07-22,3494.8571428571427,3314,152302,34.857142857142854,81,3335
2020-07-23,3617.1428571428573,4305,156607,36.57142857142857,26,3361
2020-07-24,3746.8571428571427,4813,161420,44.42857142857143,82,3443
2020-07-25,3615.4285714285716,3768,165188,46.42857142857143,51,3494
2020-07-26,3546.285714285714,2765,167953,46.285714285714285,4,3498
2020-07-27,3608.714285714286,2890,170843,47.42857142857143,11,3509
2020-07-28,3723.4285714285716,4209,175052,44.142857142857146,54,3563
2020-07-29,3717.285714285714,3271,178323,43.857142857142854,79,3642
2020-07-30,3668.4285714285716,3963,182286,44.285714285714285,29,3671
2020-07-31,3561.714285714286,4066,186352,44.142857142857146,81,3752
2020-08-01,3546.285714285714,3660,190012,47.285714285714285,73,3825
2020-08-02,3603.4285714285716,3165,193177,48.857142857142854,15,3840
2020-08-03,3513.1428571428573,2258,195435,47.57142857142857,2,3842
2020-08-04,3270.8571428571427,2513,197948,51.142857142857146,79,3921
2020-08-05,3341.4285714285716,3765,201713,48.857142857142854,63,3984
2020-08-06,3229.8571428571427,3182,204895,50.714285714285715,42,4026
2020-08-07,3236,4109,209004,52.142857142857146,91,4117
