,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0.14285714285714285,1,1,0,0,0
2020-03-08,0.14285714285714285,0,1,0,0,0
2020-03-09,0.14285714285714285,0,1,0,0,0
2020-03-10,0.42857142857142855,2,3,0,0,0
2020-03-11,0.2857142857142857,-1,2,0,0,0
2020-03-12,0.2857142857142857,0,2,0,0,0
2020-03-13,0.2857142857142857,0,2,0,0,0
2020-03-14,0.42857142857142855,2,4,0,0,0
2020-03-15,0.7142857142857143,2,6,0,0,0
2020-03-16,1,2,8,0,0,0
2020-03-17,1,2,10,0,0,0
2020-03-18,1.8571428571428572,5,15,0,0,0
2020-03-19,3.2857142857142856,10,25,0,0,0
2020-03-20,4.857142857142857,11,36,0,0,0
2020-03-21,4.571428571428571,0,36,0,0,0
2020-03-22,6.714285714285714,17,53,0,0,0
2020-03-23,6.857142857142857,3,56,0,0,0
2020-03-24,11.428571428571429,34,90,0.14285714285714285,1,1
2020-03-25,10.857142857142858,1,91,0,-1,0
2020-03-26,10,4,95,0,0,0
2020-03-27,10,11,106,0,0,0
2020-03-28,16.142857142857142,43,149,0,0,0
2020-03-29,13.714285714285714,0,149,0,0,0
2020-03-30,17,26,175,0,0,0
2020-03-31,16.285714285714285,29,204,-0.14285714285714285,0,0
2020-04-01,19,20,224,0.14285714285714285,1,1
2020-04-02,23,32,256,0.14285714285714285,0,1
2020-04-03,30.428571428571427,63,319,0.42857142857142855,2,3
2020-04-04,28.857142857142858,32,351,0.42857142857142855,0,3
2020-04-05,31.714285714285715,20,371,0.5714285714285714,1,4
2020-04-06,30.285714285714285,16,387,0.7142857142857143,1,5
2020-04-07,29.428571428571427,23,410,0.7142857142857143,0,5
2020-04-08,26.571428571428573,0,410,0.5714285714285714,0,5
2020-04-09,26.571428571428573,32,442,0.7142857142857143,1,6
2020-04-10,17.571428571428573,0,442,0.42857142857142855,0,6
2020-04-11,16.285714285714285,23,465,0.7142857142857143,2,8
2020-04-12,18.285714285714285,34,499,0.7142857142857143,1,9
2020-04-13,16.714285714285715,5,504,0.5714285714285714,0,9
2020-04-14,14.428571428571429,7,511,0.5714285714285714,0,9
2020-04-15,16.285714285714285,13,524,0.5714285714285714,0,9
2020-04-16,12.571428571428571,6,530,0.42857142857142855,0,9
2020-04-17,14.142857142857142,11,541,0.42857142857142855,0,9
2020-04-18,15.571428571428571,33,574,0.14285714285714285,0,9
2020-04-19,11.571428571428571,6,580,0.14285714285714285,1,10
2020-04-20,11.428571428571429,4,584,0.14285714285714285,0,10
2020-04-21,10.714285714285714,2,586,0.14285714285714285,0,10
2020-04-22,9.714285714285714,6,592,0.42857142857142855,2,12
2020-04-23,9.428571428571429,4,596,0.42857142857142855,0,12
2020-04-24,8.571428571428571,5,601,0.5714285714285714,1,13
2020-04-25,4.428571428571429,4,605,0.5714285714285714,0,13
2020-04-26,3.7142857142857144,1,606,0.5714285714285714,1,14
2020-04-27,3.2857142857142856,1,607,0.8571428571428571,2,16
2020-04-28,3.2857142857142856,2,609,0.8571428571428571,0,16
2020-04-29,3,4,613,0.5714285714285714,0,16
2020-04-30,3.142857142857143,5,618,0.5714285714285714,0,16
2020-05-01,2.5714285714285716,1,619,0.42857142857142855,0,16
2020-05-02,2.142857142857143,1,620,0.42857142857142855,0,16
2020-05-03,2,0,620,0.42857142857142855,1,17
2020-05-04,2,1,621,0.14285714285714285,0,17
2020-05-05,2.2857142857142856,4,625,0.14285714285714285,0,17
2020-05-06,1.8571428571428572,1,626,0.14285714285714285,0,17
2020-05-07,1.5714285714285714,3,629,0.14285714285714285,0,17
2020-05-08,1.4285714285714286,0,629,0.14285714285714285,0,17
2020-05-09,1.5714285714285714,2,631,0.14285714285714285,0,17
2020-05-10,1.7142857142857142,1,632,0,0,17
2020-05-11,1.8571428571428572,2,634,0,0,17
2020-05-12,1.4285714285714286,1,635,0,0,17
2020-05-13,1.7142857142857142,3,638,0,0,17
2020-05-14,1.1428571428571428,-1,637,0,0,17
2020-05-15,1.2857142857142858,1,638,0,0,17
2020-05-16,1.1428571428571428,1,639,0,0,17
2020-05-17,1.1428571428571428,1,640,0,0,17
2020-05-18,0.8571428571428571,0,640,0,0,17
2020-05-19,0.8571428571428571,1,641,0,0,17
2020-05-20,0.7142857142857143,2,643,0,0,17
2020-05-21,1.4285714285714286,4,647,0,0,17
2020-05-22,0.5714285714285714,-5,642,0,0,17
2020-05-23,0.5714285714285714,1,643,0,0,17
2020-05-24,0.42857142857142855,0,643,0,0,17
2020-05-25,0.42857142857142855,0,643,0,0,17
2020-05-26,0.2857142857142857,0,643,0,0,17
2020-05-27,0.14285714285714285,1,644,0,0,17
2020-05-28,0,3,647,0,0,17
2020-05-29,1,2,649,0,0,17
2020-05-30,1.1428571428571428,2,651,0,0,17
2020-05-31,1.2857142857142858,1,652,0,0,17
2020-06-01,1.2857142857142858,0,652,0,0,17
2020-06-02,1.4285714285714286,1,653,0,0,17
2020-06-03,1.2857142857142858,0,653,0,0,17
2020-06-04,1.1428571428571428,2,655,0,0,17
2020-06-05,2.142857142857143,9,664,0,0,17
2020-06-06,3.142857142857143,9,673,0,0,17
2020-06-07,3.2857142857142856,2,675,0,0,17
2020-06-08,3.4285714285714284,1,676,0,0,17
2020-06-09,4.142857142857143,6,682,0,0,17
2020-06-10,4.571428571428571,3,685,0,0,17
2020-06-11,5.285714285714286,7,692,0,0,17
2020-06-12,6,14,706,0,0,17
2020-06-13,7.142857142857143,17,723,0,0,17
2020-06-14,7.571428571428571,5,728,0,0,17
2020-06-15,8.571428571428571,8,736,0,0,17
2020-06-16,7.714285714285714,0,736,0,0,17
2020-06-17,8.428571428571429,8,744,0,0,17
2020-06-18,10,18,762,0,0,17
2020-06-19,11.857142857142858,27,789,0,0,17
2020-06-20,9.428571428571429,0,789,0,0,17
2020-06-21,12.285714285714286,25,814,0,0,17
2020-06-22,11.428571428571429,2,816,0,0,17
2020-06-23,11.857142857142858,3,819,0,0,17
2020-06-24,13,16,835,0,0,17
2020-06-25,12.714285714285714,16,851,0,0,17
2020-06-26,11,15,866,0,0,17
2020-06-27,11.857142857142858,6,872,0.14285714285714285,1,18
2020-06-28,12.142857142857142,27,899,0.14285714285714285,0,18
2020-06-29,12,1,900,0.14285714285714285,0,18
2020-06-30,14,17,917,0.14285714285714285,0,18
2020-07-01,13,9,926,0.14285714285714285,0,18
2020-07-02,13.571428571428571,20,946,0.14285714285714285,0,18
2020-07-03,15.571428571428571,29,975,0.2857142857142857,1,19
2020-07-04,18.142857142857142,24,999,0.14285714285714285,0,19
2020-07-05,17.714285714285715,24,1023,0.14285714285714285,0,19
2020-07-06,18.571428571428573,7,1030,0.14285714285714285,0,19
2020-07-07,22,41,1071,0.14285714285714285,0,19
2020-07-08,24,23,1094,0.14285714285714285,0,19
2020-07-09,26.285714285714285,36,1130,0.14285714285714285,0,19
2020-07-10,26.142857142857142,28,1158,0,0,19
2020-07-11,28.714285714285715,42,1200,0,0,19
2020-07-12,28.142857142857142,20,1220,0,0,19
2020-07-13,30.428571428571427,23,1243,0.42857142857142855,3,22
2020-07-14,27.571428571428573,21,1264,0.42857142857142855,0,22
2020-07-15,28.285714285714285,28,1292,0.42857142857142855,0,22
2020-07-16,25.857142857142858,19,1311,0.42857142857142855,0,22
2020-07-17,25.142857142857142,23,1334,0.5714285714285714,1,23
2020-07-18,22,20,1354,0.7142857142857143,1,24
2020-07-19,23,27,1381,0.7142857142857143,0,24
2020-07-20,21.428571428571427,12,1393,0.2857142857142857,0,24
2020-07-21,22,25,1418,0.2857142857142857,0,24
2020-07-22,20.428571428571427,17,1435,0.42857142857142855,1,25
2020-07-23,25.571428571428573,55,1490,0.5714285714285714,1,26
2020-07-24,30.714285714285715,59,1549,0.42857142857142855,0,26
2020-07-25,38,71,1620,0.2857142857142857,0,26
2020-07-26,43.142857142857146,63,1683,0.2857142857142857,0,26
2020-07-27,45.42857142857143,28,1711,0.2857142857142857,0,26
2020-07-28,48.42857142857143,46,1757,0.2857142857142857,0,26
2020-07-29,61.42857142857143,108,1865,0.14285714285714285,0,26
2020-07-30,71.28571428571429,124,1989,0,0,26
2020-07-31,80.28571428571429,122,2111,0,0,26
2020-08-01,82.42857142857143,86,2197,0,0,26
2020-08-02,79.85714285714286,45,2242,0,0,26
2020-08-03,105.28571428571429,206,2448,0,0,26
2020-08-04,119.14285714285714,143,2591,0.14285714285714285,1,27
2020-08-05,128.28571428571428,172,2763,0.14285714285714285,0,27
2020-08-06,132.14285714285714,151,2914,0.42857142857142855,2,29
2020-08-07,143.42857142857142,201,3115,0.7142857142857143,2,31
2020-08-08,164.14285714285714,231,3346,0.7142857142857143,0,31
2020-08-09,179.42857142857142,152,3498,0.7142857142857143,0,31
2020-08-10,170,140,3638,1.1428571428571428,3,34
2020-08-11,166.42857142857142,118,3756,1,0,34
2020-08-12,170.71428571428572,202,3958,1.5714285714285714,4,38
2020-08-13,199.71428571428572,354,4312,1.5714285714285714,2,40
2020-08-14,204,231,4543,1.2857142857142858,0,40
2020-08-15,211.28571428571428,282,4825,1.2857142857142858,0,40
2020-08-16,220.57142857142858,217,5042,1.2857142857142858,0,40
2020-08-17,225.28571428571428,173,5215,0.8571428571428571,0,40
2020-08-18,227.57142857142858,134,5349,1,1,41
2020-08-19,235.85714285714286,260,5609,0.5714285714285714,1,42
2020-08-20,218.85714285714286,235,5844,0.7142857142857143,3,45
2020-08-21,218.42857142857142,228,6072,0.8571428571428571,1,46
2020-08-22,218.71428571428572,284,6356,1,1,47
2020-08-23,222.57142857142858,244,6600,1,0,47
2020-08-24,222,169,6769,1.2857142857142858,2,49
2020-08-25,233.57142857142858,215,6984,1.1428571428571428,0,49
2020-08-26,235.85714285714286,276,7260,1.2857142857142858,2,51
2020-08-27,246,306,7566,1.4285714285714286,4,55
2020-08-28,251.14285714285714,264,7830,1.8571428571428572,4,59
