,inpatient_beds_used_covid,7_day_avg
2020-03-13,0.0,0.0
2020-03-14,0.0,0.6
2020-03-15,0.0,1.0
2020-03-16,0.0,1.2857142857142858
2020-03-17,3.0,1.8571428571428572
2020-03-18,3.0,2.4285714285714284
2020-03-19,3.0,2.5714285714285716
2020-03-20,4.0,2.7142857142857144
2020-03-21,4.0,2.4285714285714284
2020-03-22,1.0,2.0
2020-03-23,1.0,6.428571428571429
2020-03-24,1.0,10.285714285714286
2020-03-25,0.0,15.0
2020-03-26,34.0,19.857142857142858
2020-03-27,31.0,25.714285714285715
2020-03-28,37.0,32.0
2020-03-29,35.0,39.0
2020-03-30,42.0,41.142857142857146
2020-03-31,45.0,43.142857142857146
2020-04-01,49.0,45.42857142857143
2020-04-02,49.0,47.714285714285715
2020-04-03,45.0,50.57142857142857
2020-04-04,53.0,53.714285714285715
2020-04-05,51.0,55.57142857142857
2020-04-06,62.0,58.57142857142857
2020-04-07,67.0,61.714285714285715
2020-04-08,62.0,62.857142857142854
2020-04-09,70.0,64.57142857142857
2020-04-10,67.0,64.57142857142857
2020-04-11,61.0,64.14285714285714
2020-04-12,63.0,65.42857142857143
2020-04-13,62.0,65.42857142857143
2020-04-14,64.0,64.28571428571429
2020-04-15,71.0,63.285714285714285
2020-04-16,70.0,61.714285714285715
2020-04-17,59.0,60.714285714285715
2020-04-18,54.0,61.57142857142857
2020-04-19,52.0,59.285714285714285
2020-04-20,55.0,57.142857142857146
2020-04-21,70.0,54.142857142857146
2020-04-22,55.0,52.42857142857143
2020-04-23,55.0,51.42857142857143
2020-04-24,38.0,49.57142857142857
2020-04-25,42.0,46.0
2020-04-26,45.0,43.714285714285715
2020-04-27,42.0,41.142857142857146
2020-04-28,45.0,39.857142857142854
2020-04-29,39.0,37.285714285714285
2020-04-30,37.0,34.857142857142854
2020-05-01,29.0,32.857142857142854
2020-05-02,24.0,30.428571428571427
2020-05-03,28.0,28.0
2020-05-04,28.0,25.714285714285715
2020-05-05,28.0,24.0
2020-05-06,22.0,23.428571428571427
2020-05-07,21.0,23.0
2020-05-08,17.0,24.571428571428573
2020-05-09,20.0,25.428571428571427
2020-05-10,25.0,25.285714285714285
2020-05-11,39.0,25.142857142857142
2020-05-12,34.0,26.571428571428573
2020-05-13,21.0,26.571428571428573
2020-05-14,20.0,26.857142857142858
2020-05-15,27.0,25.571428571428573
2020-05-16,20.0,24.714285714285715
2020-05-17,27.0,25.714285714285715
2020-05-18,30.0,26.714285714285715
2020-05-19,28.0,25.571428571428573
2020-05-20,28.0,25.428571428571427
2020-05-21,27.0,24.857142857142858
2020-05-22,19.0,22.714285714285715
2020-05-23,19.0,21.428571428571427
2020-05-24,23.0,21.0
2020-05-25,15.0,21.571428571428573
2020-05-26,19.0,23.428571428571427
2020-05-27,25.0,25.285714285714285
2020-05-28,31.0,26.428571428571427
2020-05-29,32.0,28.0
2020-05-30,32.0,30.142857142857142
2020-05-31,31.0,30.857142857142858
2020-06-01,26.0,30.428571428571427
2020-06-02,34.0,30.0
2020-06-03,30.0,28.428571428571427
2020-06-04,28.0,28.285714285714285
2020-06-05,29.0,27.857142857142858
2020-06-06,21.0,26.0
2020-06-07,30.0,24.714285714285715
2020-06-08,23.0,25.0
2020-06-09,21.0,24.0
2020-06-10,21.0,24.571428571428573
2020-06-11,30.0,23.571428571428573
2020-06-12,22.0,24.142857142857142
2020-06-13,25.0,25.142857142857142
2020-06-14,23.0,26.714285714285715
2020-06-15,27.0,26.285714285714285
2020-06-16,28.0,27.857142857142858
2020-06-17,32.0,28.428571428571427
2020-06-18,27.0,29.857142857142858
2020-06-19,33.0,32.0
2020-06-20,29.0,33.57142857142857
2020-06-21,33.0,33.857142857142854
2020-06-22,42.0,36.42857142857143
2020-06-23,39.0,38.57142857142857
2020-06-24,34.0,40.42857142857143
2020-06-25,45.0,42.57142857142857
2020-06-26,48.0,43.714285714285715
2020-06-27,42.0,46.857142857142854
2020-06-28,48.0,52.857142857142854
2020-06-29,50.0,56.42857142857143
2020-06-30,61.0,58.714285714285715
2020-07-01,76.0,62.285714285714285
2020-07-02,70.0,65.57142857142857
2020-07-03,64.0,70.85714285714286
2020-07-04,67.0,77.42857142857143
2020-07-05,71.0,83.71428571428571
2020-07-06,87.0,91.71428571428571
2020-07-07,107.0,101.28571428571429
2020-07-08,120.0,110.0
2020-07-09,126.0,120.71428571428571
2020-07-10,131.0,141.28571428571428
2020-07-11,128.0,175.0
2020-07-12,146.0,191.14285714285714
2020-07-13,231.0,201.14285714285714
2020-07-14,343.0,210.28571428571428
2020-07-15,233.0,220.85714285714286
2020-07-16,196.0,228.85714285714286
2020-07-17,195.0,226.85714285714286
2020-07-18,202.0,209.57142857142858
2020-07-19,202.0,206.28571428571428
2020-07-20,217.0,211.28571428571428
2020-07-21,222.0,214.57142857142858
2020-07-22,210.0,221.71428571428572
2020-07-23,231.0,226.71428571428572
2020-07-24,218.0,229.85714285714286
2020-07-25,252.0,230.85714285714286
2020-07-26,237.0,235.0
2020-07-27,239.0,233.85714285714286
2020-07-28,229.0,234.57142857142858
2020-07-29,239.0,231.85714285714286
2020-07-30,223.0,233.28571428571428
2020-07-31,223.0,233.71428571428572
2020-08-01,233.0,229.42857142857142
2020-08-02,247.0,224.0
2020-08-03,242.0,221.14285714285714
2020-08-04,199.0,219.0
2020-08-05,201.0,215.0
2020-08-06,203.0,209.28571428571428
2020-08-07,208.0,205.57142857142858
2020-08-08,205.0,207.0
2020-08-09,207.0,207.71428571428572
2020-08-10,216.0,204.0
2020-08-11,209.0,200.71428571428572
2020-08-12,206.0,197.42857142857142
2020-08-13,177.0,194.28571428571428
2020-08-14,185.0,192.71428571428572
2020-08-15,182.0,190.0
2020-08-16,185.0,188.0
