,raw_positives,7-day_avg
2020-01-22,0.0,0.3333333333333333
2020-01-23,0.0,0.25
2020-01-24,1.0,0.2
2020-01-25,0.0,0.16666666666666666
2020-01-26,0.0,0.14285714285714285
2020-01-27,0.0,0.14285714285714285
2020-01-28,0.0,0.14285714285714285
2020-01-29,0.0,0.14285714285714285
2020-01-30,0.0,0.14285714285714285
2020-01-31,1.0,0.14285714285714285
2020-02-01,0.0,0.14285714285714285
2020-02-02,0.0,0.14285714285714285
2020-02-03,0.0,0.14285714285714285
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.14285714285714285
2020-02-28,0.0,0.2857142857142857
2020-02-29,0.0,0.2857142857142857
2020-03-01,1.0,0.2857142857142857
2020-03-02,1.0,0.42857142857142855
2020-03-03,0.0,0.42857142857142855
2020-03-04,0.0,0.5714285714285714
2020-03-05,1.0,0.5714285714285714
2020-03-06,0.0,0.42857142857142855
2020-03-07,1.0,1.1428571428571428
2020-03-08,1.0,3.0
2020-03-09,0.0,3.857142857142857
2020-03-10,5.0,5.857142857142857
2020-03-11,13.0,8.285714285714286
2020-03-12,7.0,8.428571428571429
2020-03-13,14.0,10.857142857142858
2020-03-14,18.0,21.285714285714285
2020-03-15,2.0,35.285714285714285
2020-03-16,17.0,55.714285714285715
2020-03-17,78.0,77.0
2020-03-18,111.0,98.42857142857143
2020-03-19,150.0,140.42857142857142
2020-03-20,163.0,171.71428571428572
2020-03-21,168.0,196.57142857142858
2020-03-22,296.0,227.57142857142858
2020-03-23,236.0,302.2857142857143
2020-03-24,252.0,348.42857142857144
2020-03-25,328.0,391.14285714285717
2020-03-26,673.0,506.7142857142857
2020-03-27,486.0,538.7142857142857
2020-03-28,467.0,636.7142857142857
2020-03-29,1105.0,730.7142857142857
2020-03-30,460.0,736.7142857142857
2020-03-31,938.0,840.0
2020-04-01,986.0,980.8571428571429
2020-04-02,715.0,951.8571428571429
2020-04-03,1209.0,1029.4285714285713
2020-04-04,1453.0,1079.857142857143
2020-04-05,902.0,1156.857142857143
2020-04-06,1003.0,1246.7142857142858
2020-04-07,1291.0,1283.2857142857142
2020-04-08,1525.0,1260.4285714285713
2020-04-09,1344.0,1370.4285714285713
2020-04-10,1465.0,1394.7142857142858
2020-04-11,1293.0,1385.0
2020-04-12,1672.0,1359.2857142857142
2020-04-13,1173.0,1330.2857142857142
2020-04-14,1223.0,1384.4285714285713
2020-04-15,1345.0,1425.7142857142858
2020-04-16,1141.0,1357.857142857143
2020-04-17,1844.0,1355.4285714285713
2020-04-18,1582.0,1401.5714285714287
2020-04-19,1197.0,1502.0
2020-04-20,1156.0,1600.4285714285713
2020-04-21,1546.0,1725.7142857142858
2020-04-22,2048.0,1802.4285714285713
2020-04-23,1830.0,1935.142857142857
2020-04-24,2721.0,2052.8571428571427
2020-04-25,2119.0,2149.0
2020-04-26,2126.0,2178.714285714286
2020-04-27,1980.0,2283.0
2020-04-28,2219.0,2342.4285714285716
2020-04-29,2256.0,2389.714285714286
2020-04-30,2560.0,2513.714285714286
2020-05-01,3137.0,2556.285714285714
2020-05-02,2450.0,2541.0
2020-05-03,2994.0,2553.4285714285716
2020-05-04,2278.0,2564.714285714286
2020-05-05,2112.0,2529.285714285714
2020-05-06,2343.0,2511.4285714285716
2020-05-07,2639.0,2320.285714285714
2020-05-08,2889.0,2175.714285714286
2020-05-09,2325.0,2447.4285714285716
2020-05-10,1656.0,2351.714285714286
2020-05-11,1266.0,2438.0
2020-05-12,4014.0,2372.714285714286
2020-05-13,1673.0,2338.8571428571427
2020-05-14,3243.0,2350.0
2020-05-15,2432.0,2496.8571428571427
2020-05-16,2088.0,2144.1428571428573
2020-05-17,1734.0,2246.285714285714
2020-05-18,2294.0,2107.285714285714
2020-05-19,1545.0,2153.5714285714284
2020-05-20,2388.0,2191.285714285714
2020-05-21,2270.0,2301.8571428571427
2020-05-22,2756.0,2218.8571428571427
2020-05-23,2352.0,2166.4285714285716
2020-05-24,2508.0,1984.0
2020-05-25,1713.0,1877.857142857143
2020-05-26,1178.0,1715.857142857143
2020-05-27,1111.0,1588.7142857142858
2020-05-28,1527.0,1422.2857142857142
2020-05-29,1622.0,1316.7142857142858
2020-05-30,1462.0,1379.0
2020-05-31,1343.0,1360.5714285714287
2020-06-01,974.0,1275.142857142857
2020-06-02,1614.0,1208.5714285714287
2020-06-03,982.0,1139.0
2020-06-04,929.0,1071.0
2020-06-05,1156.0,1025.857142857143
2020-06-06,975.0,909.1428571428571
2020-06-07,867.0,858.1428571428571
2020-06-08,658.0,834.8571428571429
2020-06-09,797.0,754.7142857142857
2020-06-10,625.0,711.5714285714286
2020-06-11,766.0,683.7142857142857
2020-06-12,595.0,657.2857142857143
2020-06-13,673.0,632.4285714285714
2020-06-14,672.0,621.1428571428571
2020-06-15,473.0,596.4285714285714
2020-06-16,623.0,610.2857142857143
2020-06-17,546.0,604.7142857142857
2020-06-18,593.0,602.7142857142857
2020-06-19,692.0,601.1428571428571
2020-06-20,634.0,598.0
2020-06-21,658.0,622.1428571428571
2020-06-22,462.0,665.1428571428571
2020-06-23,601.0,688.7142857142857
2020-06-24,715.0,710.4285714285714
2020-06-25,894.0,708.7142857142857
2020-06-26,857.0,748.1428571428571
2020-06-27,786.0,765.7142857142857
2020-06-28,646.0,781.8571428571429
2020-06-29,738.0,778.2857142857143
2020-06-30,724.0,779.8571428571429
2020-07-01,828.0,790.7142857142857
2020-07-02,869.0,789.7142857142857
2020-07-03,868.0,772.0
2020-07-04,862.0,912.7142857142857
2020-07-05,639.0,934.4285714285714
2020-07-06,614.0,955.7142857142857
2020-07-07,1709.0,1021.2857142857143
2020-07-08,980.0,1068.857142857143
2020-07-09,1018.0,1113.857142857143
2020-07-10,1327.0,1152.2857142857142
2020-07-11,1195.0,1009.1428571428571
2020-07-12,954.0,1038.7142857142858
2020-07-13,883.0,1072.857142857143
2020-07-14,707.0,1087.142857142857
2020-07-15,1187.0,1098.7142857142858
2020-07-16,1257.0,1100.2857142857142
2020-07-17,1427.0,1141.5714285714287
2020-07-18,1276.0,1175.142857142857
2020-07-19,965.0,1235.7142857142858
2020-07-20,1172.0,1287.7142857142858
2020-07-21,942.0,1312.4285714285713
2020-07-22,1611.0,1333.857142857143
2020-07-23,1621.0,1416.142857142857
2020-07-24,1600.0,1424.5714285714287
2020-07-25,1426.0,1443.4285714285713
2020-07-26,1541.0,1412.5714285714287
2020-07-27,1231.0,1434.142857142857
2020-07-28,1074.0,1488.4285714285713
2020-07-29,1395.0,1518.857142857143
2020-07-30,1772.0,1508.7142857142858
2020-07-31,1980.0,1518.2857142857142
2020-08-01,1639.0,1575.0
2020-08-02,1470.0,1627.0
2020-08-03,1298.0,1652.857142857143
2020-08-04,1471.0,1670.4285714285713
2020-08-05,1759.0,1749.142857142857
2020-08-06,1953.0,1736.5714285714287
2020-08-07,2103.0,1739.5714285714287
2020-08-08,2190.0,1750.7142857142858
2020-08-09,1382.0,1734.4285714285713
2020-08-10,1319.0,1717.4285714285713
2020-08-11,1549.0,1745.0
2020-08-12,1645.0,1693.2857142857142
2020-08-13,1834.0,1718.857142857143
2020-08-14,2296.0,1783.7142857142858
2020-08-15,1828.0,1810.857142857143
2020-08-16,1561.0,1903.857142857143
2020-08-17,1773.0,1903.5714285714287
2020-08-18,1739.0,1903.142857142857
2020-08-19,2296.0,1978.5714285714287
2020-08-20,1832.0,2026.0
2020-08-21,2293.0,2003.0
2020-08-22,2356.0,1994.7142857142858
2020-08-23,1893.0,1974.7142857142858
2020-08-24,1612.0,1956.857142857143
2020-08-25,1681.0,1977.2857142857142
2020-08-26,2156.0,1909.2857142857142
2020-08-27,1707.0,1923.4285714285713
2020-08-28,2436.0,1931.142857142857
2020-08-29,1880.0,1904.142857142857
2020-08-30,1992.0,1900.142857142857
2020-08-31,1666.0,1850.5714285714287
2020-09-01,1492.0,2301.714285714286
2020-09-02,2128.0,2433.714285714286
2020-09-03,1360.0,2351.0
2020-09-04,5594.0,2308.5714285714284
2020-09-05,2804.0,2294.285714285714
2020-09-06,1413.0,2181.285714285714
2020-09-07,1369.0,2266.0
2020-09-08,1392.0,1797.2857142857142
2020-09-09,1337.0,1699.5714285714287
2020-09-10,1953.0,1706.2857142857142
2020-09-11,2313.0,1706.7142857142858
2020-09-12,2120.0,1717.0
2020-09-13,1460.0,1803.5714285714287
2020-09-14,1372.0,1818.2857142857142
2020-09-15,1464.0,1805.4285714285713
2020-09-16,1943.0,1863.142857142857
2020-09-17,2056.0,1854.857142857143
2020-09-18,2223.0,1869.857142857143
2020-09-19,2524.0,1879.7142857142858
2020-09-20,1402.0,1866.4285714285713
2020-09-21,1477.0,1895.0
2020-09-22,1533.0,1973.5714285714287
2020-09-23,1850.0,1961.7142857142858
2020-09-24,2256.0,1990.0
2020-09-25,2773.0,2023.142857142857
2020-09-26,2441.0,1999.2857142857142
2020-09-27,1600.0,2059.5714285714284
2020-09-28,1709.0,2046.4285714285713
2020-09-29,1366.0,2001.142857142857
2020-09-30,2272.0,2001.2857142857142
2020-10-01,2164.0,1980.2857142857142
2020-10-02,2456.0,2000.857142857143
2020-10-03,2442.0,2036.7142857142858
2020-10-04,1453.0,2087.8571428571427
2020-10-05,1853.0,2220.714285714286
2020-10-06,1617.0,2315.1428571428573
2020-10-07,2630.0,2381.285714285714
2020-10-08,3094.0,2563.285714285714
2020-10-09,3117.0,2690.0
2020-10-10,2905.0,2866.5714285714284
2020-10-11,2727.0,2900.285714285714
2020-10-12,2740.0,3031.714285714286
2020-10-13,2853.0,3315.8571428571427
2020-10-14,2866.0,3419.285714285714
2020-10-15,4014.0,3636.1428571428573
2020-10-16,5106.0,3689.4285714285716
2020-10-17,3629.0,3812.285714285714
2020-10-18,4245.0,4023.1428571428573
2020-10-19,3113.0,4155.571428571428
2020-10-20,3713.0,4140.428571428572
2020-10-21,4342.0,4502.142857142857
2020-10-22,4941.0,4475.285714285715
2020-10-23,5000.0,4706.142857142857
2020-10-24,6161.0,4747.142857142857
2020-10-25,4057.0,4999.714285714285
2020-10-26,4729.0,5202.714285714285
2020-10-27,4000.0,5701.142857142857
2020-10-28,6110.0,5949.428571428572
2020-10-29,6362.0,6367.0
2020-10-30,8489.0,6580.285714285715
2020-10-31,7899.0,6939.714285714285
2020-11-01,6980.0,7143.714285714285
2020-11-02,6222.0,7654.142857142857
2020-11-03,6516.0,8127.428571428572
2020-11-04,7538.0,8775.857142857143
2020-11-05,9935.0,9208.57142857143
2020-11-06,11802.0,9830.142857142857
2020-11-07,12438.0,10702.57142857143
2020-11-08,10009.0,11433.857142857143
2020-11-09,10573.0,11829.142857142857
2020-11-10,12623.0,12345.285714285714
2020-11-11,12657.0,12143.857142857143
2020-11-12,12702.0,12232.714285714286
2020-11-13,15415.0,12384.0
2020-11-14,11028.0,12380.857142857143
2020-11-15,10631.0,11847.285714285714
2020-11-16,11632.0,12120.142857142857
2020-11-17,12601.0,11776.857142857143
2020-11-18,8922.0,11900.142857142857
2020-11-19,14612.0,11811.714285714286
2020-11-20,13012.0,11338.857142857143
2020-11-21,11891.0,10891.42857142857
2020-11-22,10012.0,11242.285714285714
2020-11-23,8322.0,10872.285714285714
2020-11-24,9469.0,10095.42857142857
2020-11-25,11378.0,9521.42857142857
2020-11-26,12022.0,9116.57142857143
2020-11-27,7574.0,8812.0
2020-11-28,7873.0,9251.0
2020-11-29,7178.0,9019.42857142857
2020-11-30,6190.0,8867.57142857143
2020-12-01,12542.0,9289.285714285714
2020-12-02,9757.0,9577.0
2020-12-03,10959.0,9637.0
2020-12-04,10526.0,9994.285714285714
2020-12-05,9887.0,9332.57142857143
2020-12-06,7598.0,9118.142857142857
2020-12-07,8691.0,9138.42857142857
2020-12-08,7910.0,8980.42857142857
2020-12-09,8256.0,8816.142857142857
2020-12-10,11101.0,8761.57142857143
2020-12-11,9420.0,8550.57142857143
2020-12-12,8737.0,8471.857142857143
2020-12-13,7216.0,8310.0
2020-12-14,7214.0,7985.285714285715
2020-12-15,7359.0,7693.428571428572
2020-12-16,7123.0,7525.571428571428
2020-12-17,8828.0,7352.285714285715
2020-12-18,7377.0,6993.0
2020-12-19,7562.0,6833.0
2020-12-20,6003.0,6781.428571428572
2020-12-21,4699.0,6525.571428571428
2020-12-22,6239.0,6292.0
2020-12-23,6762.0,5682.142857142857
2020-12-24,7037.0,5362.714285714285
2020-12-25,5742.0,5327.571428571428
2020-12-26,3293.0,5242.571428571428
2020-12-27,3767.0,5330.0
2020-12-28,4453.0,5468.857142857143
2020-12-29,5644.0,4648.571428571428
2020-12-30,7374.0,5887.142857142857
2020-12-31,8009.0,5987.428571428572
2021-01-01,0.0,6074.0
2021-01-02,11963.0,6244.714285714285
2021-01-03,4469.0,6272.571428571428
2021-01-04,5059.0,6379.428571428572
2021-01-05,6839.0,7704.714285714285
2021-01-06,7569.0,6955.285714285715
2021-01-07,8757.0,6989.857142857143
2021-01-08,9277.0,6949.428571428572
2021-01-09,6717.0,6921.285714285715
2021-01-10,4711.0,6677.428571428572
2021-01-11,4776.0,6376.714285714285
2021-01-12,6642.0,6000.285714285715
2021-01-13,5862.0,5804.0
2021-01-14,6652.0,5725.571428571428
2021-01-15,6642.0,5526.857142857143
2021-01-16,5343.0,5194.857142857143
2021-01-17,4162.0,5046.285714285715
2021-01-18,3385.0,4807.285714285715
2021-01-19,4318.0,4864.428571428572
2021-01-20,4822.0,4837.142857142857
2021-01-21,4979.0,4712.857142857143
2021-01-22,7042.0,4649.857142857143
2021-01-23,5152.0,4556.857142857143
2021-01-24,3292.0,4403.857142857143
2021-01-25,2944.0,4291.285714285715
2021-01-26,3667.0,3879.0
2021-01-27,3751.0,3620.8571428571427
2021-01-28,4191.0,3497.4285714285716
2021-01-29,4156.0,3407.1428571428573
2021-01-30,3345.0,3212.4285714285716
2021-01-31,2428.0,3150.0
2021-02-01,2312.0,3026.714285714286
2021-02-02,2304.0,2955.8571428571427
2021-02-03,3314.0,2915.4285714285716
2021-02-04,3328.0,2863.5714285714284
2021-02-05,3660.0,2782.1428571428573
2021-02-06,3062.0,2750.4285714285716
2021-02-07,2065.0,2680.5714285714284
2021-02-08,1742.0,2610.5714285714284
2021-02-09,2082.0,2458.8571428571427
2021-02-10,2825.0,2320.285714285714
2021-02-11,2838.0,2258.285714285714
2021-02-12,2598.0,2212.285714285714
2021-02-13,2092.0,2107.4285714285716
2021-02-14,1631.0,1960.2857142857142
2021-02-15,1420.0,1835.857142857143
2021-02-16,1348.0,1781.5714285714287
2021-02-17,1795.0,1744.7142857142858
2021-02-18,1967.0,1739.4285714285713
2021-02-19,2218.0,1713.4285714285713
2021-02-20,1834.0,1759.857142857143
2021-02-21,1594.0,1790.4285714285713
2021-02-22,1238.0,1780.0
2021-02-23,1673.0,1809.5714285714287
2021-02-24,2009.0,1804.4285714285713
2021-02-25,1894.0,1754.7142857142858
2021-02-26,2425.0,1741.2857142857142
2021-02-27,1798.0,1726.4285714285713
2021-02-28,1246.0,1741.4285714285713
2021-03-01,1144.0,1719.0
2021-03-02,1569.0,1580.0
2021-03-03,2114.0,1688.5714285714287
2021-03-04,1737.0,1663.4285714285713
2021-03-05,1452.0,1669.142857142857
2021-03-06,2558.0,1658.857142857143
2021-03-07,1070.0,1599.0
2021-03-08,1184.0,1592.2857142857142
2021-03-09,1497.0,1636.4285714285713
2021-03-10,1695.0,1510.0
2021-03-11,1690.0,1569.7142857142858
2021-03-12,1761.0,1513.0
2021-03-13,1673.0,1582.2857142857142
2021-03-14,1488.0,1576.4285714285713
2021-03-15,787.0,1667.0
2021-03-16,1982.0,1757.5714285714287
2021-03-17,1654.0,1795.5714285714287
2021-03-18,2324.0,1790.0
2021-03-19,2395.0,1851.4285714285713
2021-03-20,1939.0,1827.142857142857
2021-03-21,1449.0,1992.142857142857
2021-03-22,1217.0,1973.4285714285713
2021-03-23,1812.0,2059.1428571428573
2021-03-24,2809.0,2165.5714285714284
2021-03-25,2193.0,2279.5714285714284
2021-03-26,2995.0,2358.5714285714284
2021-03-27,2684.0,2442.714285714286
2021-03-28,2247.0,2412.285714285714
2021-03-29,1770.0,2602.1428571428573
2021-03-30,2401.0,2636.285714285714
2021-03-31,2596.0,2658.0
2021-04-01,3522.0,2685.8571428571427
2021-04-02,3234.0,2732.5714285714284
2021-04-03,2836.0,2810.5714285714284
2021-04-04,2442.0,2978.8571428571427
2021-04-05,2097.0,3008.1428571428573
2021-04-06,2947.0,3118.5714285714284
2021-04-07,3774.0,3233.285714285714
2021-04-08,3727.0,3304.285714285714
2021-04-09,4007.0,3354.8571428571427
2021-04-10,3639.0,3388.714285714286
2021-04-11,2939.0,3356.1428571428573
2021-04-12,2451.0,3334.714285714286
