,inpatient_beds_used_covid,7_day_avg
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.14285714285714285
2020-03-13,0.0,0.2857142857142857
2020-03-14,0.0,0.5714285714285714
2020-03-15,1.0,1.0
2020-03-16,1.0,1.2857142857142858
2020-03-17,2.0,1.5714285714285714
2020-03-18,3.0,1.8571428571428572
2020-03-19,2.0,2.142857142857143
2020-03-20,2.0,2.7142857142857144
2020-03-21,2.0,3.2857142857142856
2020-03-22,3.0,3.5714285714285716
2020-03-23,5.0,3.857142857142857
2020-03-24,6.0,6.142857142857143
2020-03-25,5.0,7.571428571428571
2020-03-26,4.0,9.428571428571429
2020-03-27,18.0,12.714285714285714
2020-03-28,12.0,19.428571428571427
2020-03-29,16.0,80.0
2020-03-30,28.0,151.42857142857142
2020-03-31,53.0,225.14285714285714
2020-04-01,429.0,308.42857142857144
2020-04-02,504.0,391.85714285714283
2020-04-03,534.0,472.42857142857144
2020-04-04,595.0,551.0
2020-04-05,600.0,611.0
2020-04-06,592.0,634.1428571428571
2020-04-07,603.0,661.8571428571429
2020-04-08,849.0,683.1428571428571
2020-04-09,666.0,707.1428571428571
2020-04-10,728.0,807.2857142857143
2020-04-11,744.0,907.8571428571429
2020-04-12,768.0,987.5714285714286
2020-04-13,1293.0,1146.4285714285713
2020-04-14,1307.0,1302.4285714285713
2020-04-15,1407.0,1455.857142857143
2020-04-16,1778.0,1615.4285714285713
2020-04-17,1820.0,1743.857142857143
2020-04-18,1818.0,1869.142857142857
2020-04-19,1885.0,2005.0
2020-04-20,2192.0,2139.1428571428573
2020-04-21,2184.0,2277.285714285714
2020-04-22,2358.0,2402.4285714285716
2020-04-23,2717.0,2518.714285714286
2020-04-24,2787.0,2593.5714285714284
2020-04-25,2694.0,2644.1428571428573
2020-04-26,2699.0,2794.285714285714
2020-04-27,2716.0,2916.5714285714284
2020-04-28,2538.0,2993.4285714285716
2020-04-29,3409.0,3073.285714285714
