,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,1,1,0,0,0
2020-01-25,0,0,1,0,0,0
2020-01-26,0,0,1,0,0,0
2020-01-27,0,0,1,0,0,0
2020-01-28,0,0,1,0,0,0
2020-01-29,0.14285714285714285,0,1,0,0,0
2020-01-30,0.14285714285714285,0,1,0,0,0
2020-01-31,0.14285714285714285,1,2,0,0,0
2020-02-01,0.14285714285714285,0,2,0,0,0
2020-02-02,0.14285714285714285,0,2,0,0,0
2020-02-03,0.14285714285714285,0,2,0,0,0
2020-02-04,0.14285714285714285,0,2,0,0,0
2020-02-05,0.14285714285714285,0,2,0,0,0
2020-02-06,0.14285714285714285,0,2,0,0,0
2020-02-07,0,0,2,0,0,0
2020-02-08,0,0,2,0,0,0
2020-02-09,0,0,2,0,0,0
2020-02-10,0,0,2,0,0,0
2020-02-11,0,0,2,0,0,0
2020-02-12,0,0,2,0,0,0
2020-02-13,0,0,2,0,0,0
2020-02-14,0,0,2,0,0,0
2020-02-15,0,0,2,0,0,0
2020-02-16,0,0,2,0,0,0
2020-02-17,0,0,2,0,0,0
2020-02-18,0,0,2,0,0,0
2020-02-19,0,0,2,0,0,0
2020-02-20,0,0,2,0,0,0
2020-02-21,0,0,2,0,0,0
2020-02-22,0,0,2,0,0,0
2020-02-23,0,0,2,0,0,0
2020-02-24,0,0,2,0,0,0
2020-02-25,0,0,2,0,0,0
2020-02-26,0,0,2,0,0,0
2020-02-27,0,0,2,0,0,0
2020-02-28,0,0,2,0,0,0
2020-02-29,0,0,2,0,0,0
2020-03-01,0.14285714285714285,1,3,0,0,0
2020-03-02,0.2857142857142857,1,4,0,0,0
2020-03-03,0.2857142857142857,0,4,0,0,0
2020-03-04,0.2857142857142857,0,4,0,0,0
2020-03-05,0.42857142857142855,1,5,0,0,0
2020-03-06,0.42857142857142855,0,5,0,0,0
2020-03-07,0.5714285714285714,1,6,0,0,0
2020-03-08,0.5714285714285714,1,7,0,0,0
2020-03-09,0.42857142857142855,0,7,0,0,0
2020-03-10,1.1428571428571428,5,12,0,0,0
2020-03-11,3,13,25,0,0,0
2020-03-12,3.857142857142857,7,32,0,0,0
2020-03-13,5.857142857142857,14,46,0,0,0
2020-03-14,8.285714285714286,18,64,0,0,0
2020-03-15,8.428571428571429,2,66,0,0,0
2020-03-16,10.857142857142858,17,83,0,0,0
2020-03-17,21.285714285714285,78,161,0.14285714285714285,1,1
2020-03-18,35.285714285714285,111,272,0.14285714285714285,0,1
2020-03-19,55.714285714285715,150,422,0.5714285714285714,3,4
2020-03-20,77,163,585,0.7142857142857143,1,5
2020-03-21,98.42857142857143,168,753,0.8571428571428571,1,6
2020-03-22,140.42857142857142,296,1049,1.2857142857142858,3,9
2020-03-23,171.71428571428572,236,1285,1.7142857142857142,3,12
2020-03-24,196.57142857142858,252,1537,2.142857142857143,4,16
2020-03-25,227.57142857142858,328,1865,2.5714285714285716,3,19
2020-03-26,302.2857142857143,673,2538,3.142857142857143,7,26
2020-03-27,348.42857142857144,486,3024,4.142857142857143,8,34
2020-03-28,391.14285714285717,467,3491,5.857142857142857,13,47
2020-03-29,506.7142857142857,1105,4596,8.142857142857142,19,66
2020-03-30,538.7142857142857,460,5056,8.714285714285714,7,73
2020-03-31,636.7142857142857,938,5994,11.857142857142858,26,99
2020-04-01,730.7142857142857,986,6980,17.428571428571427,42,141
2020-04-02,736.7142857142857,715,7695,19.571428571428573,22,163
2020-04-03,840,1209,8904,25.142857142857142,47,210
2020-04-04,980.8571428571429,1453,10357,28.142857142857142,34,244
2020-04-05,951.8571428571429,902,11259,29.714285714285715,30,274
2020-04-06,1029.4285714285713,1003,12262,33.42857142857143,33,307
2020-04-07,1079.857142857143,1291,13553,40.142857142857146,73,380
2020-04-08,1156.857142857143,1525,15078,45.857142857142854,82,462
2020-04-09,1246.7142857142858,1344,16422,52.142857142857146,66,528
2020-04-10,1283.2857142857142,1465,17887,55.285714285714285,69,597
2020-04-11,1260.4285714285713,1293,19180,61.857142857142854,80,677
2020-04-12,1370.4285714285713,1672,20852,63.714285714285715,43,720
2020-04-13,1394.7142857142858,1173,22025,70.14285714285714,78,798
2020-04-14,1385,1223,23248,69.71428571428571,70,868
2020-04-15,1359.2857142857142,1345,24593,69.57142857142857,81,949
2020-04-16,1330.2857142857142,1141,25734,77.71428571428571,123,1072
2020-04-17,1384.4285714285713,1844,27578,76.42857142857143,60,1132
2020-04-18,1425.7142857142858,1582,29160,83.14285714285714,127,1259
2020-04-19,1357.857142857143,1197,30357,81.42857142857143,31,1290
2020-04-20,1355.4285714285713,1156,31513,78.71428571428571,59,1349
2020-04-21,1401.5714285714287,1546,33059,85.71428571428571,119,1468
2020-04-22,1502,2048,35107,88,97,1565
2020-04-23,1600.4285714285713,1830,36937,88,123,1688
2020-04-24,1725.7142857142858,2721,39658,94.71428571428571,107,1795
2020-04-25,1802.4285714285713,2119,41777,88,80,1875
2020-04-26,1935.142857142857,2126,43903,91.85714285714286,58,1933
2020-04-27,2052.8571428571427,1980,45883,90.57142857142857,50,1983
2020-04-28,2149,2219,48102,93.85714285714286,142,2125
2020-04-29,2178.714285714286,2256,50358,92.85714285714286,90,2215
2020-04-30,2283,2560,52918,95.28571428571429,140,2355
2020-05-01,2342.4285714285716,3137,56055,94.57142857142857,102,2457
2020-05-02,2389.714285714286,2450,58505,97.71428571428571,102,2559
2020-05-03,2513.714285714286,2994,61499,97.85714285714286,59,2618
2020-05-04,2556.285714285714,2278,63777,96.57142857142857,41,2659
2020-05-05,2541,2112,65889,101.28571428571429,175,2834
2020-05-06,2553.4285714285716,2343,68232,108.42857142857143,140,2974
2020-05-07,2564.714285714286,2639,70871,108,137,3111
2020-05-08,2529.285714285714,2889,73760,112,130,3241
2020-05-09,2511.4285714285716,2325,76085,112.85714285714286,108,3349
2020-05-10,2320.285714285714,1656,77741,112.57142857142857,57,3406
2020-05-11,2175.714285714286,1266,79007,114.28571428571429,53,3459
2020-05-12,2447.4285714285716,4014,83021,109.57142857142857,142,3601
2020-05-13,2351.714285714286,1673,84694,116.85714285714286,191,3792
2020-05-14,2438,3243,87937,116.71428571428571,136,3928
2020-05-15,2372.714285714286,2432,90369,116.85714285714286,131,4059
2020-05-16,2338.8571428571427,2088,92457,111.42857142857143,70,4129
2020-05-17,2350,1734,94191,110.14285714285714,48,4177
2020-05-18,2496.8571428571427,2294,96485,110.71428571428571,57,4234
2020-05-19,2144.1428571428573,1545,98030,111.14285714285714,145,4379
2020-05-20,2246.285714285714,2388,100418,104.71428571428571,146,4525
2020-05-21,2107.285714285714,2270,102688,97,82,4607
2020-05-22,2153.5714285714284,2756,105444,93.71428571428571,108,4715
2020-05-23,2191.285714285714,2352,107796,94.42857142857143,75,4790
2020-05-24,2301.8571428571427,2508,110304,97,66,4856
2020-05-25,2218.8571428571427,1713,112017,93,29,4885
2020-05-26,2166.4285714285716,1178,113195,77.71428571428571,38,4923
2020-05-27,1984,1111,114306,79.71428571428571,160,5083
2020-05-28,1877.857142857143,1527,115833,82.71428571428571,103,5186
2020-05-29,1715.857142857143,1622,117455,79.28571428571429,84,5270
2020-05-30,1588.7142857142858,1462,118917,77.14285714285714,60,5330
2020-05-31,1422.2857142857142,1343,120260,76.28571428571429,60,5390
2020-06-01,1316.7142857142858,974,121234,75.28571428571429,22,5412
2020-06-02,1379,1614,122848,86,113,5525
2020-06-03,1360.5714285714287,982,123830,76.85714285714286,96,5621
2020-06-04,1275.142857142857,929,124759,78.57142857142857,115,5736
2020-06-05,1208.5714285714287,1156,125915,75,59,5795
2020-06-06,1139,975,126890,76.28571428571429,69,5864
2020-06-07,1071,867,127757,73.42857142857143,40,5904
2020-06-08,1025.857142857143,658,128415,73.14285714285714,20,5924
2020-06-09,909.1428571428571,797,129212,70.42857142857143,94,6018
2020-06-10,858.1428571428571,625,129837,67.71428571428571,77,6095
2020-06-11,834.8571428571429,766,130603,64.14285714285714,90,6185
2020-06-12,754.7142857142857,595,131198,66.42857142857143,75,6260
2020-06-13,711.5714285714286,673,131871,60.714285714285715,29,6289
2020-06-14,683.7142857142857,672,132543,57.714285714285715,19,6308
2020-06-15,657.2857142857143,473,133016,57.42857142857143,18,6326
2020-06-16,632.4285714285714,623,133639,54.285714285714285,72,6398
2020-06-17,621.1428571428571,546,134185,55.714285714285715,87,6485
2020-06-18,596.4285714285714,593,134778,50.285714285714285,52,6537
2020-06-19,610.2857142857143,692,135470,45.714285714285715,43,6580
2020-06-20,604.7142857142857,634,136104,48,45,6625
2020-06-21,602.7142857142857,658,136762,48.42857142857143,22,6647
2020-06-22,601.1428571428571,462,137224,49.285714285714285,24,6671
2020-06-23,598,601,137825,44.142857142857146,36,6707
2020-06-24,622.1428571428571,715,138540,40.714285714285715,63,6770
2020-06-25,665.1428571428571,894,139434,39,40,6810
2020-06-26,688.7142857142857,857,140291,38.142857142857146,37,6847
2020-06-27,710.4285714285714,786,141077,35.42857142857143,26,6873
2020-06-28,708.7142857142857,646,141723,34.42857142857143,15,6888
2020-06-29,748.1428571428571,738,142461,33,14,6902
2020-06-30,765.7142857142857,724,143185,30.857142857142858,21,6923
2020-07-01,781.8571428571429,828,144013,25.857142857142858,28,6951
2020-07-02,778.2857142857143,869,144882,25.285714285714285,36,6987
2020-07-03,779.8571428571429,868,145750,22.571428571428573,18,7005
2020-07-04,790.7142857142857,862,146612,20.142857142857142,9,7014
2020-07-05,789.7142857142857,639,147251,18.857142857142858,6,7020
2020-07-06,772,614,147865,17.714285714285715,6,7026
2020-07-07,912.7142857142857,1709,149574,50,247,7273
2020-07-08,934.4285714285714,980,150554,51.142857142857146,36,7309
2020-07-09,955.7142857142857,1018,151572,48.857142857142854,20,7329
2020-07-10,1021.2857142857143,1327,152899,48.57142857142857,16,7345
2020-07-11,1068.857142857143,1195,154094,50.714285714285715,24,7369
2020-07-12,1113.857142857143,954,155048,52.57142857142857,19,7388
2020-07-13,1152.2857142857142,883,155931,52.57142857142857,6,7394
2020-07-14,1009.1428571428571,707,156638,20.857142857142858,25,7419
2020-07-15,1038.7142857142858,1187,157825,16.857142857142858,8,7427
2020-07-16,1072.857142857143,1257,159082,17.571428571428573,25,7452
2020-07-17,1087.142857142857,1427,160509,17.142857142857142,13,7465
2020-07-18,1098.7142857142858,1276,161785,16.285714285714285,18,7483
2020-07-19,1100.2857142857142,965,162750,14.285714285714286,5,7488
2020-07-20,1141.5714285714287,1172,163922,14.285714285714286,6,7494
2020-07-21,1175.142857142857,942,164864,14,23,7517
2020-07-22,1235.7142857142858,1611,166475,16.142857142857142,23,7540
2020-07-23,1287.7142857142858,1621,168096,15.428571428571429,20,7560
2020-07-24,1312.4285714285713,1600,169696,16,17,7577
2020-07-25,1333.857142857143,1426,171122,15.142857142857142,12,7589
2020-07-26,1416.142857142857,1541,172663,14.571428571428571,1,7590
2020-07-27,1424.5714285714287,1231,173894,16.285714285714285,18,7608
2020-07-28,1443.4285714285713,1074,174968,17.285714285714285,30,7638
2020-07-29,1412.5714285714287,1395,176363,16.285714285714285,16,7654
2020-07-30,1434.142857142857,1772,178135,15.714285714285714,16,7670
2020-07-31,1488.4285714285713,1980,180115,16.428571428571427,22,7692
2020-08-01,1518.857142857143,1639,181754,15.857142857142858,8,7700
2020-08-02,1508.7142857142858,1470,183224,17.714285714285715,14,7714
2020-08-03,1518.2857142857142,1298,184522,16.428571428571427,9,7723
2020-08-04,1575,1471,185993,14.857142857142858,19,7742
