,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.42857142857142855
2020-03-07,0.0,1.1428571428571428
2020-03-08,0.0,1.8571428571428572
2020-03-09,3.0,2.0
2020-03-10,5.0,2.4285714285714284
2020-03-11,5.0,2.4285714285714284
2020-03-12,1.0,2.5714285714285716
2020-03-13,3.0,2.857142857142857
2020-03-14,0.0,2.142857142857143
2020-03-15,1.0,3.5714285714285716
2020-03-16,5.0,4.285714285714286
2020-03-17,0.0,4.0
2020-03-18,15.0,7.428571428571429
2020-03-19,6.0,10.285714285714286
2020-03-20,1.0,11.714285714285714
2020-03-21,24.0,14.428571428571429
2020-03-22,21.0,15.428571428571429
2020-03-23,15.0,19.285714285714285
2020-03-24,19.0,27.142857142857142
2020-03-25,22.0,32.714285714285715
2020-03-26,33.0,35.142857142857146
2020-03-27,56.0,45.57142857142857
2020-03-28,63.0,53.285714285714285
