,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,2.0
2020-03-02,2.0,2.2
2020-03-03,3.0,2.3333333333333335
2020-03-04,3.0,2.5714285714285716
2020-03-05,3.0,2.7142857142857144
2020-03-06,3.0,2.5714285714285716
2020-03-07,4.0,2.142857142857143
2020-03-08,1.0,1.7142857142857142
2020-03-09,1.0,1.2857142857142858
2020-03-10,0.0,0.8571428571428571
2020-03-11,0.0,0.2857142857142857
2020-03-12,0.0,0.14285714285714285
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.14285714285714285
2020-03-16,0.0,0.2857142857142857
2020-03-17,0.0,0.5714285714285714
2020-03-18,1.0,0.7142857142857143
2020-03-19,1.0,1.0
2020-03-20,2.0,1.2857142857142858
2020-03-21,1.0,1.5714285714285714
2020-03-22,2.0,1.8571428571428572
2020-03-23,2.0,2.142857142857143
2020-03-24,2.0,2.4285714285714284
2020-03-25,3.0,3.0
2020-03-26,3.0,3.2857142857142856
2020-03-27,4.0,11.0
2020-03-28,5.0,19.428571428571427
2020-03-29,4.0,27.857142857142858
2020-03-30,56.0,38.857142857142854
2020-03-31,61.0,50.714285714285715
2020-04-01,62.0,55.714285714285715
2020-04-02,80.0,60.57142857142857
2020-04-03,87.0,58.285714285714285
2020-04-04,40.0,57.714285714285715
2020-04-05,38.0,63.0
2020-04-06,40.0,63.857142857142854
2020-04-07,57.0,68.14285714285714
2020-04-08,99.0,74.28571428571429
2020-04-09,86.0,80.42857142857143
2020-04-10,117.0,86.85714285714286
2020-04-11,83.0,94.85714285714286
2020-04-12,81.0,97.85714285714286
2020-04-13,85.0,107.28571428571429
2020-04-14,113.0,116.57142857142857
2020-04-15,120.0,133.57142857142858
2020-04-16,152.0,146.28571428571428
2020-04-17,182.0,158.0
2020-04-18,202.0,171.14285714285714
2020-04-19,170.0,183.85714285714286
2020-04-20,167.0,205.28571428571428
2020-04-21,205.0,219.42857142857142
2020-04-22,209.0,226.57142857142858
2020-04-23,302.0,239.85714285714286
2020-04-24,281.0,251.57142857142858
2020-04-25,252.0,272.2857142857143
2020-04-26,263.0,297.0
2020-04-27,249.0,310.57142857142856
2020-04-28,350.0,325.2857142857143
2020-04-29,382.0,342.57142857142856
2020-04-30,397.0,360.2857142857143
2020-05-01,384.0,382.14285714285717
2020-05-02,373.0,390.85714285714283
2020-05-03,387.0,394.2857142857143
2020-05-04,402.0,391.7142857142857
2020-05-05,411.0,390.42857142857144
2020-05-06,406.0,393.0
2020-05-07,379.0,390.14285714285717
2020-05-08,375.0,385.42857142857144
2020-05-09,391.0,381.85714285714283
2020-05-10,367.0,381.14285714285717
2020-05-11,369.0,380.57142857142856
2020-05-12,386.0,381.14285714285717
2020-05-13,401.0,377.0
2020-05-14,375.0,378.85714285714283
2020-05-15,379.0,378.42857142857144
2020-05-16,362.0,378.14285714285717
2020-05-17,380.0,374.57142857142856
2020-05-18,366.0,372.85714285714283
2020-05-19,384.0,367.14285714285717
2020-05-20,376.0,367.7142857142857
2020-05-21,363.0,364.7142857142857
2020-05-22,339.0,365.57142857142856
2020-05-23,366.0,368.14285714285717
2020-05-24,359.0,370.42857142857144
2020-05-25,372.0,373.0
2020-05-26,402.0,377.7142857142857
2020-05-27,392.0,374.85714285714283
2020-05-28,381.0,371.14285714285717
2020-05-29,372.0,369.14285714285717
2020-05-30,346.0,365.57142857142856
2020-05-31,333.0,363.42857142857144
2020-06-01,358.0,357.2857142857143
2020-06-02,377.0,352.85714285714283
2020-06-03,377.0,347.85714285714283
2020-06-04,338.0,341.85714285714283
2020-06-05,341.0,336.57142857142856
2020-06-06,311.0,333.57142857142856
2020-06-07,291.0,329.42857142857144
2020-06-08,321.0,327.2857142857143
2020-06-09,356.0,308.2857142857143
2020-06-10,348.0,295.14285714285717
2020-06-11,323.0,283.57142857142856
2020-06-12,208.0,272.2857142857143
2020-06-13,219.0,257.2857142857143
2020-06-14,210.0,243.14285714285714
2020-06-15,242.0,235.14285714285714
2020-06-16,251.0,232.71428571428572
2020-06-17,249.0,224.57142857142858
2020-06-18,267.0,217.14285714285714
2020-06-19,191.0,206.57142857142858
2020-06-20,162.0,182.85714285714286
2020-06-21,158.0,168.42857142857142
2020-06-22,168.0,150.71428571428572
2020-06-23,85.0,143.0
2020-06-24,148.0,135.42857142857142
2020-06-25,143.0,130.57142857142858
2020-06-26,137.0,125.0
2020-06-27,109.0,132.28571428571428
2020-06-28,124.0,138.71428571428572
2020-06-29,129.0,147.28571428571428
2020-06-30,136.0,154.14285714285714
2020-07-01,193.0,158.14285714285714
2020-07-02,203.0,162.0
2020-07-03,185.0,165.57142857142858
2020-07-04,137.0,170.42857142857142
2020-07-05,151.0,168.42857142857142
2020-07-06,154.0,163.85714285714286
2020-07-07,170.0,160.14285714285714
2020-07-08,179.0,163.71428571428572
2020-07-09,171.0,167.57142857142858
2020-07-10,159.0,169.28571428571428
2020-07-11,162.0,167.85714285714286
2020-07-12,178.0,185.14285714285714
2020-07-13,166.0,162.57142857142858
2020-07-14,160.0,184.0
2020-07-15,300.0,162.28571428571428
