,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0.42857142857142855,3,3,0,0,0
2020-03-10,1.1428571428571428,5,8,0,0,0
2020-03-11,1.8571428571428572,5,13,0,0,0
2020-03-12,2,1,14,0,0,0
2020-03-13,2.4285714285714284,3,17,0,0,0
2020-03-14,2.4285714285714284,0,17,0,0,0
2020-03-15,2.5714285714285716,1,18,0,0,0
2020-03-16,2.857142857142857,5,23,0,0,0
2020-03-17,2.142857142857143,0,23,0,0,0
2020-03-18,3.5714285714285716,15,38,0,0,0
2020-03-19,4.285714285714286,6,44,0,0,0
2020-03-20,4,1,45,0,0,0
2020-03-21,7.428571428571429,24,69,0,0,0
2020-03-22,10.285714285714286,21,90,0,0,0
2020-03-23,11.714285714285714,15,105,0,0,0
2020-03-24,14.428571428571429,19,124,0,0,0
2020-03-25,15.428571428571429,22,146,0.14285714285714285,1,1
2020-03-26,19.285714285714285,33,179,0.14285714285714285,0,1
2020-03-27,27.142857142857142,56,235,0.42857142857142855,2,3
2020-03-28,32.714285714285715,63,298,0.42857142857142855,0,3
2020-03-29,35.142857142857146,38,336,0.5714285714285714,1,4
2020-03-30,45.57142857142857,88,424,0.8571428571428571,2,6
2020-03-31,53.285714285714285,73,497,1,1,7
2020-04-01,57.285714285714285,50,547,1.1428571428571428,2,9
2020-04-02,62.142857142857146,67,614,1.4285714285714286,2,11
2020-04-03,66.28571428571429,85,699,1.1428571428571428,0,11
2020-04-04,69.85714285714286,88,787,1.5714285714285714,3,14
2020-04-05,76.14285714285714,82,869,2,4,18
2020-04-06,74.57142857142857,77,946,2.7142857142857144,7,25
2020-04-07,78.42857142857143,100,1046,2.5714285714285716,0,25
2020-04-08,85.42857142857143,99,1145,2.5714285714285716,2,27
2020-04-09,93.71428571428571,125,1270,2.5714285714285716,2,29
2020-04-10,98.42857142857143,118,1388,2.857142857142857,2,31
2020-04-11,103.28571428571429,122,1510,2.857142857142857,3,34
2020-04-12,102.57142857142857,77,1587,3.2857142857142856,7,41
2020-04-13,109.14285714285714,123,1710,2.2857142857142856,0,41
2020-04-14,121.85714285714286,189,1899,3.4285714285714284,8,49
2020-04-15,121.42857142857143,96,1995,3.7142857142857144,4,53
2020-04-16,124.42857142857143,146,2141,4.428571428571429,7,60
2020-04-17,134.85714285714286,191,2332,4.714285714285714,4,64
2020-04-18,143.28571428571428,181,2513,5.714285714285714,10,74
2020-04-19,187.85714285714286,389,2902,4.857142857142857,1,75
2020-04-20,207,257,3159,5.428571428571429,4,79
2020-04-21,248.85714285714286,482,3641,4.857142857142857,4,83
2020-04-22,250.42857142857142,107,3748,5.285714285714286,7,90
2020-04-23,254.71428571428572,176,3924,5.142857142857143,6,96
2020-04-24,301.85714285714283,521,4445,6.142857142857143,11,107
2020-04-25,368.42857142857144,647,5092,5.428571428571429,5,112
2020-04-26,367.7142857142857,384,5476,6.142857142857143,6,118
2020-04-27,387,392,5868,6.857142857142857,9,127
2020-04-28,390.7142857142857,508,6376,7.571428571428571,9,136
2020-04-29,442.14285714285717,467,6843,8.285714285714286,12,148
2020-04-30,460.14285714285717,302,7145,9.428571428571429,14,162
2020-05-01,491.2857142857143,739,7884,9,8,170
2020-05-02,507.2857142857143,759,8643,9,5,175
2020-05-03,528.4285714285714,532,9175,9.428571428571429,9,184
2020-05-04,547.8571428571429,528,9703,8.714285714285714,4,188
2020-05-05,533.5714285714286,408,10111,10.142857142857142,19,207
2020-05-06,508.7142857142857,293,10404,10.142857142857142,12,219
2020-05-07,559.1428571428571,655,11059,9.857142857142858,12,231
2020-05-08,510.42857142857144,398,11457,10.428571428571429,12,243
2020-05-09,432.57142857142856,214,11671,11,9,252
2020-05-10,397.7142857142857,288,11959,11.571428571428571,13,265
2020-05-11,381.42857142857144,414,12373,11.857142857142858,6,271
2020-05-12,400.14285714285717,539,12912,11.714285714285714,18,289
2020-05-13,412.14285714285717,377,13289,12.428571428571429,17,306
2020-05-14,373.7142857142857,386,13675,12.428571428571429,12,318
2020-05-15,370.2857142857143,374,14049,13.285714285714286,18,336
2020-05-16,379.57142857142856,279,14328,13.428571428571429,10,346
2020-05-17,384.57142857142856,323,14651,12.285714285714286,5,351
2020-05-18,368.85714285714283,304,14955,12,4,355
2020-05-19,340.57142857142856,341,15296,11.142857142857142,12,367
2020-05-20,333,324,15620,12.428571428571429,26,393
2020-05-21,356.42857142857144,550,16170,13.142857142857142,17,410
2020-05-22,349,322,16492,12.571428571428571,14,424
2020-05-23,367.14285714285717,406,16898,14.285714285714286,22,446
2020-05-24,371.42857142857144,353,17251,15,10,456
2020-05-25,371.7142857142857,306,17557,14.428571428571429,0,456
2020-05-26,343.85714285714283,146,17703,15.714285714285714,21,477
2020-05-27,392.7142857142857,666,18369,14.714285714285714,19,496
2020-05-28,345.14285714285717,217,18586,13.714285714285714,10,506
2020-05-29,352.14285714285717,371,18957,14.285714285714286,18,524
2020-05-30,335.14285714285717,287,19244,12.142857142857142,7,531
2020-05-31,328.7142857142857,308,19552,11.285714285714286,4,535
2020-06-01,306,147,19699,14.142857142857142,20,555
2020-06-02,330.85714285714283,320,20019,12,6,561
2020-06-03,275.85714285714283,281,20300,11.142857142857142,13,574
2020-06-04,317.14285714285717,506,20806,11,9,583
2020-06-05,313.85714285714283,348,21154,9.857142857142858,10,593
2020-06-06,319.14285714285717,324,21478,9.714285714285714,6,599
2020-06-07,308.57142857142856,234,21712,10,6,605
2020-06-08,329.7142857142857,295,22007,8.857142857142858,12,617
2020-06-09,316.85714285714283,230,22237,9.285714285714286,9,626
2020-06-10,332.2857142857143,389,22626,8.142857142857142,5,631
2020-06-11,309.57142857142856,347,22973,8.142857142857142,9,640
2020-06-12,313.7142857142857,377,23350,7.285714285714286,4,644
2020-06-13,319.85714285714283,367,23717,7.285714285714286,6,650
2020-06-14,316.2857142857143,209,23926,6.714285714285714,2,652
2020-06-15,296.42857142857144,156,24082,5.857142857142857,6,658
2020-06-16,277.42857142857144,97,24179,5.571428571428571,7,665
2020-06-17,262,281,24460,6.285714285714286,10,675
2020-06-18,269.7142857142857,401,24861,5.714285714285714,5,680
2020-06-19,274.85714285714283,413,25274,5.285714285714286,1,681
2020-06-20,254.14285714285714,222,25496,4.428571428571429,0,681
2020-06-21,291,467,25963,4.857142857142857,5,686
2020-06-22,294.85714285714283,183,26146,4,0,686
2020-06-23,327.14285714285717,323,26469,3.4285714285714284,3,689
2020-06-24,305.85714285714283,132,26601,2.142857142857143,1,690
2020-06-25,358.85714285714283,772,27373,2.2857142857142856,6,696
2020-06-26,349,344,27717,3.2857142857142856,8,704
2020-06-27,368.14285714285717,356,28073,3.2857142857142856,0,704
2020-06-28,365.2857142857143,447,28520,2.857142857142857,2,706
2020-06-29,385.57142857142856,325,28845,3.5714285714285716,5,711
2020-06-30,372.14285714285717,229,29074,3.857142857142857,5,716
2020-07-01,416.14285714285717,440,29514,3.857142857142857,1,717
2020-07-02,412.2857142857143,745,30259,3.2857142857142856,2,719
2020-07-03,392.2857142857143,204,30463,2.4285714285714284,2,721
2020-07-04,426.85714285714283,598,31061,2.4285714285714284,0,721
2020-07-05,428.14285714285717,456,31517,2.142857142857143,0,721
2020-07-06,416.14285714285717,241,31758,1.7142857142857142,2,723
2020-07-07,439.85714285714283,395,32153,2.2857142857142856,9,732
2020-07-08,444.2857142857143,471,32624,2.7142857142857144,4,736
2020-07-09,427.85714285714283,630,33254,3.142857142857143,5,741
2020-07-10,529.8571428571429,918,34172,3.142857142857143,2,743
2020-07-11,513.8571428571429,486,34658,3.857142857142857,5,748
2020-07-12,556.1428571428571,752,35410,4.428571428571429,4,752
2020-07-13,553.2857142857143,221,35631,4.571428571428571,3,755
2020-07-14,530.4285714285714,235,35866,3.5714285714285716,2,757
2020-07-15,558.8571428571429,670,36536,5.857142857142857,20,777
2020-07-16,585.1428571428571,814,37350,5.714285714285714,4,781
2020-07-17,533,553,37903,6,4,785
2020-07-18,522.1428571428571,410,38313,5.857142857142857,4,789
2020-07-19,486.14285714285717,500,38813,5.857142857142857,4,793
2020-07-20,530.2857142857143,530,39343,6.142857142857143,5,798
2020-07-21,550.7142857142857,378,39721,7,8,806
2020-07-22,524.5714285714286,487,40208,5.285714285714286,8,814
2020-07-23,492.2857142857143,588,40796,5.571428571428571,6,820
2020-07-24,504.42857142857144,638,41434,5.857142857142857,6,826
2020-07-25,510.42857142857144,452,41886,5.285714285714286,0,826
2020-07-26,506.2857142857143,471,42357,5.142857142857143,3,829
2020-07-27,479,339,42696,5.428571428571429,7,836
2020-07-28,458.14285714285717,232,42928,4.714285714285714,3,839
2020-07-29,487.85714285714283,695,43623,5.714285714285714,15,854
2020-07-30,498.42857142857144,662,44285,6.428571428571429,11,865
2020-07-31,474.14285714285717,468,44753,6.571428571428571,7,872
2020-08-01,486.7142857142857,540,45293,6.857142857142857,2,874
2020-08-02,480.85714285714283,430,45723,7,4,878
2020-08-03,458.42857142857144,182,45905,6.857142857142857,6,884
2020-08-04,471.85714285714283,326,46231,7,4,888
2020-08-05,459,605,46836,6.571428571428571,12,900
2020-08-06,467.7142857142857,723,47559,6.714285714285714,12,912
2020-08-07,469.57142857142856,481,48040,6.142857142857143,3,915
2020-08-08,463.14285714285717,495,48535,7.571428571428571,12,927
2020-08-09,456.57142857142856,384,48919,7.571428571428571,4,931
2020-08-10,465.7142857142857,246,49165,7.142857142857143,3,934
2020-08-11,470,356,49521,8.285714285714286,12,946
2020-08-12,448.14285714285717,452,49973,7.571428571428571,7,953
2020-08-13,402,400,50373,6.857142857142857,7,960
2020-08-14,458.14285714285717,874,51247,7.857142857142857,10,970
2020-08-15,504.2857142857143,818,52065,6.857142857142857,5,975
2020-08-16,504,382,52447,6.285714285714286,0,975
2020-08-17,523.4285714285714,382,52829,7.571428571428571,12,987
