,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,0.0,0.0
2021-01-13,0.0,4155.714285714285
2021-01-14,0.0,4155.714285714285
2021-01-15,0.0,4155.714285714285
2021-01-16,29090.0,4155.714285714285
2021-01-17,0.0,6561.142857142857
2021-01-18,0.0,6561.142857142857
2021-01-19,0.0,8515.714285714286
2021-01-20,16838.0,4360.0
2021-01-21,0.0,4360.0
2021-01-22,13682.0,4360.0
2021-01-23,0.0,4360.0
2021-01-24,0.0,1954.5714285714287
2021-01-25,0.0,8797.42857142857
2021-01-26,0.0,8028.714285714285
2021-01-27,0.0,9721.57142857143
2021-01-28,47900.0,11654.0
2021-01-29,8301.0,13700.857142857143
2021-01-30,11850.0,14453.142857142857
2021-01-31,13527.0,14746.57142857143
2021-02-01,14328.0,8940.142857142857
2021-02-02,5266.0,9536.42857142857
2021-02-03,2054.0,9861.42857142857
2021-02-04,7255.0,10093.285714285714
2021-02-05,12475.0,10887.142857142857
2021-02-06,14125.0,12554.57142857143
2021-02-07,15150.0,13183.0
2021-02-08,19885.0,14568.857142857143
2021-02-09,16938.0,15445.42857142857
2021-02-10,6453.0,16457.285714285714
2021-02-11,16956.0,17706.571428571428
2021-02-12,18611.0,18300.0
2021-02-13,21208.0,15880.285714285714
2021-02-14,23895.0,19129.571428571428
2021-02-15,24039.0,18104.0
2021-02-16,0.0,17182.85714285714
2021-02-17,29198.0,20589.714285714286
2021-02-18,9777.0,20700.14285714286
2021-02-19,12163.0,20425.285714285714
2021-02-20,45056.0,22630.85714285714
2021-02-21,24668.0,18459.714285714286
2021-02-22,22115.0,18032.85714285714
2021-02-23,15439.0,17644.285714285714
2021-02-24,0.0,14481.142857142857
2021-02-25,6789.0,15317.42857142857
2021-02-26,9443.0,16223.57142857143
2021-02-27,22914.0,17131.0
2021-02-28,30522.0,17969.285714285714
2021-03-01,28458.0,18877.571428571428
2021-03-02,21791.0,20307.714285714286
2021-03-03,5868.0,21005.571428571428
2021-03-04,13147.0,25235.85714285714
2021-03-05,19454.0,32428.0
2021-03-06,27799.0,31076.0
2021-03-07,60134.0,30237.714285714286
2021-03-08,78803.0,30859.571428571428
2021-03-09,12327.0,32296.571428571428
2021-03-10,0.0,33311.857142857145
2021-03-11,17500.0,36187.0
2021-03-12,29513.0,24929.428571428572
2021-03-13,34906.0,27528.85714285714
2021-03-14,80260.0,28946.571428571428
2021-03-15,0.0,26501.0
2021-03-16,30523.0,26167.14285714286
2021-03-17,9924.0,27381.14285714286
2021-03-18,381.0,21602.714285714286
2021-03-19,27176.0,26834.14285714286
2021-03-20,43404.0,25687.428571428572
2021-03-21,39811.0,25534.85714285714
2021-03-22,36620.0,27253.14285714286
2021-03-23,22496.0,26677.428571428572
2021-03-24,8856.0,25225.571428571428
2021-03-25,12409.0,25635.428571428572
2021-03-26,23146.0,26632.14285714286
2021-03-27,33241.0,27085.14285714286
2021-03-28,42680.0,27334.85714285714
2021-03-29,43597.0,27644.0
2021-03-30,25667.0,28371.714285714286
2021-03-31,10604.0,28964.571428571428
2021-04-01,14573.0,34638.28571428572
2021-04-02,28240.0,28461.85714285714
2021-04-03,37391.0,27476.571428571428
2021-04-04,82396.0,27305.14285714286
2021-04-05,362.0,27501.85714285714
2021-04-06,18770.0,34160.142857142855
2021-04-07,9404.0,35530.57142857143
2021-04-08,15950.0,31094.85714285714
2021-04-09,74848.0,34135.28571428572
2021-04-10,46984.0,33090.142857142855
2021-04-11,51346.0,36285.0
2021-04-12,21645.0,38509.28571428572
2021-04-13,11454.0,32509.85714285714
2021-04-14,31768.0,30872.85714285714
2021-04-15,31520.0,28232.714285714286
2021-04-16,32852.0,28420.14285714286
2021-04-17,35525.0,27653.428571428572
2021-04-18,32865.0,25663.571428571428
2021-04-19,22957.0,25021.85714285714
2021-04-20,6087.0,24822.0
2021-04-21,17839.0,24591.714285714286
2021-04-22,27028.0,24866.14285714286
2021-04-23,31453.0,24212.0
2021-04-24,33913.0,24926.14285714286
2021-04-25,34786.0,24260.285714285714
2021-04-26,18378.0,24902.285714285714
2021-04-27,11086.0,24294.14285714286
2021-04-28,13178.0,23813.85714285714
2021-04-29,31522.0,22403.85714285714
2021-04-30,27196.0,22601.285714285714
2021-05-01,30551.0,21017.571428571428
2021-05-02,24916.0,21990.714285714286
2021-05-03,19760.0,20640.571428571428
2021-05-04,0.0,19910.85714285714
2021-05-05,19990.0,18910.571428571428
2021-05-06,22071.0,18679.428571428572
2021-05-07,22088.0,18240.285714285714
2021-05-08,23549.0,19365.714285714286
2021-05-09,23298.0,17741.0
2021-05-10,16686.0,16717.14285714286
2021-05-11,7878.0,15798.42857142857
2021-05-12,8617.0,14798.857142857143
2021-05-13,14904.0,14550.42857142857
2021-05-14,15657.0,14381.142857142857
2021-05-15,16552.0,14406.285714285714
2021-05-16,21559.0,14549.42857142857
2021-05-17,15501.0,14977.57142857143
2021-05-18,8054.0,15516.42857142857
2021-05-19,9619.0,15823.285714285714
2021-05-20,17901.0,15147.714285714286
2021-05-21,19429.0,14424.142857142857
2021-05-22,18700.0,14029.42857142857
2021-05-23,16830.0,13916.142857142857
2021-05-24,10436.0,12988.285714285714
2021-05-25,5291.0,11983.857142857143
2021-05-26,8826.0,10864.5
2021-05-27,11406.0,9671.4
2021-05-28,12398.0,9480.25
