,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,2962.4285714285716
2021-01-09,0.0,4010.714285714286
2021-01-10,0.0,5343.571428571428
2021-01-11,20737.0,5950.0
2021-01-12,7338.0,6717.714285714285
2021-01-13,9330.0,6717.714285714285
2021-01-14,4245.0,6717.714285714285
2021-01-15,5374.0,5745.285714285715
2021-01-16,0.0,4697.0
2021-01-17,0.0,3364.1428571428573
2021-01-18,13930.0,4459.857142857143
2021-01-19,0.0,3692.1428571428573
2021-01-20,0.0,5764.571428571428
2021-01-21,11915.0,5764.571428571428
2021-01-22,0.0,3774.5714285714284
2021-01-23,14507.0,5726.571428571428
2021-01-24,0.0,5726.571428571428
2021-01-25,0.0,6857.285714285715
2021-01-26,13664.0,6857.285714285715
2021-01-27,0.0,8751.142857142857
2021-01-28,19830.0,8751.142857142857
2021-01-29,0.0,8751.142857142857
2021-01-30,27764.0,10277.0
2021-01-31,0.0,10525.857142857143
2021-02-01,0.0,10339.142857142857
2021-02-02,24345.0,10582.142857142857
2021-02-03,1742.0,10475.857142857143
2021-02-04,18523.0,10734.0
2021-02-05,1701.0,13024.285714285714
2021-02-06,27020.0,10604.57142857143
2021-02-07,1807.0,10624.714285714286
2021-02-08,16032.0,11614.0
2021-02-09,7407.0,11642.57142857143
2021-02-10,1883.0,12390.714285714286
2021-02-11,25448.0,12519.857142857143
2021-02-12,1901.0,13385.57142857143
2021-02-13,32257.0,12976.0
2021-02-14,2711.0,13096.142857142857
2021-02-15,22092.0,12518.714285714286
2021-02-16,4540.0,12247.142857142857
2021-02-17,2724.0,14505.42857142857
2021-02-18,21406.0,17263.85714285714
2021-02-19,0.0,17049.85714285714
2021-02-20,48065.0,17550.85714285714
2021-02-21,22020.0,12279.714285714286
2021-02-22,20594.0,12535.42857142857
2021-02-23,8047.0,12535.42857142857
2021-02-24,-34174.0,13436.857142857143
2021-02-25,23196.0,13537.142857142857
2021-02-26,0.0,14347.57142857143
2021-02-27,54375.0,14794.285714285714
2021-02-28,22722.0,20906.14285714286
2021-03-01,26267.0,19788.571428571428
2021-03-02,11174.0,22106.0
2021-03-03,8609.0,17467.14285714286
2021-03-04,15373.0,17771.285714285714
2021-03-05,16222.0,19025.714285714286
2021-03-06,21903.0,18673.285714285714
2021-03-07,24851.0,17443.428571428572
2021-03-08,35048.0,17816.428571428572
2021-03-09,8707.0,19299.85714285714
2021-03-10,0.0,23459.14285714286
2021-03-11,17984.0,27514.714285714286
2021-03-12,26606.0,22507.85714285714
2021-03-13,51018.0,22560.714285714286
2021-03-14,53240.0,23636.428571428572
2021-03-15,0.0,23092.14285714286
2021-03-16,9077.0,23307.571428571428
2021-03-17,7530.0,21512.0
2021-03-18,14174.0,19345.14285714286
2021-03-19,28114.0,24623.85714285714
2021-03-20,38449.0,24528.14285714286
2021-03-21,38072.0,24554.428571428572
2021-03-22,36951.0,26368.14285714286
2021-03-23,8407.0,25870.428571428572
2021-03-24,7714.0,24689.571428571428
2021-03-25,26870.0,25937.0
2021-03-26,24630.0,25292.14285714286
2021-03-27,30183.0,25811.0
2021-03-28,46804.0,25757.714285714286
2021-03-29,32437.0,25019.14285714286
2021-03-30,12039.0,24409.428571428572
2021-03-31,7341.0,28099.0
2021-04-01,21700.0,27242.714285714286
2021-04-02,20362.0,28094.714285714286
2021-04-03,56010.0,27723.0
2021-04-04,40810.0,27327.14285714286
2021-04-05,38401.0,29292.285714285714
2021-04-06,9437.0,35307.71428571428
2021-04-07,4570.0,33295.857142857145
2021-04-08,35456.0,33032.28571428572
2021-04-09,62470.0,29352.85714285714
2021-04-10,41927.0,29539.714285714286
2021-04-11,38965.0,32574.285714285714
2021-04-12,12645.0,32051.428571428572
2021-04-13,10745.0,28511.14285714286
2021-04-14,25812.0,27088.0
2021-04-15,31796.0,25211.0
2021-04-16,37688.0,25039.0
2021-04-17,31965.0,24164.0
2021-04-18,25826.0,23076.14285714286
2021-04-19,11441.0,22796.428571428572
2021-04-20,4620.0,21475.85714285714
2021-04-21,18197.0,20473.14285714286
2021-04-22,29838.0,20057.0
2021-04-23,28444.0,19240.85714285714
2021-04-24,24946.0,19118.14285714286
2021-04-25,22913.0,18617.14285714286
2021-04-26,5728.0,16735.0
2021-04-27,3761.0,15271.42857142857
2021-04-28,14690.0,14707.0
2021-04-29,16663.0,13902.857142857143
2021-04-30,18199.0,13440.285714285714
2021-05-01,20995.0,12903.0
2021-05-02,17284.0,12852.142857142857
2021-05-03,2490.0,12604.57142857143
2021-05-04,0.0,14327.857142857143
2021-05-05,14334.0,13314.0
2021-05-06,14930.0,13235.857142857143
2021-05-07,30262.0,13636.714285714286
2021-05-08,13898.0,14632.857142857143
2021-05-09,16737.0,14366.142857142857
2021-05-10,5296.0,13410.0
2021-05-11,6973.0,10486.57142857143
2021-05-12,12467.0,10004.714285714286
2021-05-13,8237.0,9229.857142857143
2021-05-14,9798.0,8811.142857142857
2021-05-15,10525.0,8382.714285714286
2021-05-16,11313.0,7902.285714285715
2021-05-17,2365.0,8007.142857142857
2021-05-18,3974.0,8053.285714285715
2021-05-19,9104.0,8342.285714285714
2021-05-20,8971.0,8544.857142857143
2021-05-21,10121.0,8712.285714285714
2021-05-22,12548.0,8948.714285714286
2021-05-23,12731.0,9482.0
2021-05-24,3537.0,9030.714285714286
2021-05-25,5629.0,8460.714285714286
2021-05-26,12837.0,7779.5
2021-05-27,5812.0,6789.2
2021-05-28,6131.0,7602.25
