,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.2
2020-03-03,0.0,0.3333333333333333
2020-03-04,0.0,0.42857142857142855
2020-03-05,1.0,0.5714285714285714
2020-03-06,1.0,0.7142857142857143
2020-03-07,1.0,0.8571428571428571
2020-03-08,1.0,1.0
2020-03-09,1.0,1.0
2020-03-10,1.0,1.0
2020-03-11,1.0,1.0
2020-03-12,1.0,1.0
2020-03-13,1.0,1.0
2020-03-14,1.0,0.8571428571428571
2020-03-15,1.0,0.8571428571428571
2020-03-16,1.0,1.1428571428571428
2020-03-17,0.0,1.7142857142857142
2020-03-18,1.0,2.857142857142857
2020-03-19,3.0,3.7142857142857144
2020-03-20,5.0,5.0
2020-03-21,9.0,6.0
2020-03-22,7.0,6.857142857142857
2020-03-23,10.0,7.428571428571429
2020-03-24,7.0,20.0
2020-03-25,7.0,32.142857142857146
2020-03-26,7.0,44.0
2020-03-27,93.0,63.57142857142857
2020-03-28,94.0,84.57142857142857
2020-03-29,90.0,107.28571428571429
2020-03-30,147.0,146.57142857142858
2020-03-31,154.0,178.42857142857142
2020-04-01,166.0,211.14285714285714
2020-04-02,282.0,244.28571428571428
2020-04-03,316.0,275.7142857142857
2020-04-04,323.0,302.57142857142856
2020-04-05,322.0,332.0
2020-04-06,367.0,346.0
2020-04-07,342.0,357.57142857142856
2020-04-08,372.0,364.0
2020-04-09,380.0,370.57142857142856
2020-04-10,397.0,420.42857142857144
2020-04-11,368.0,472.14285714285717
2020-04-12,368.0,478.7142857142857
2020-04-13,716.0,480.2857142857143
2020-04-14,704.0,478.2857142857143
2020-04-15,418.0,470.7142857142857
2020-04-16,391.0,463.2857142857143
2020-04-17,383.0,419.85714285714283
2020-04-18,315.0,376.7142857142857
2020-04-19,316.0,376.42857142857144
2020-04-20,412.0,379.42857142857144
2020-04-21,402.0,393.0
2020-04-22,416.0,416.85714285714283
2020-04-23,412.0,441.57142857142856
2020-04-24,478.0,452.42857142857144
2020-04-25,482.0,469.14285714285717
2020-04-26,489.0,486.0
2020-04-27,488.0,499.85714285714283
2020-04-28,519.0,501.42857142857144
2020-04-29,534.0,501.0
2020-04-30,509.0,503.14285714285717
2020-05-01,489.0,509.7142857142857
2020-05-02,479.0,515.1428571428571
2020-05-03,504.0,503.7142857142857
2020-05-04,534.0,497.85714285714283
2020-05-05,557.0,499.42857142857144
2020-05-06,454.0,490.14285714285717
2020-05-07,468.0,472.85714285714283
2020-05-08,500.0,450.14285714285717
2020-05-09,414.0,452.7142857142857
2020-05-10,383.0,458.0
2020-05-11,375.0,465.7142857142857
2020-05-12,575.0,465.7142857142857
2020-05-13,491.0,479.57142857142856
2020-05-14,522.0,502.85714285714283
2020-05-15,500.0,519.1428571428571
2020-05-16,511.0,509.14285714285717
2020-05-17,546.0,506.2857142857143
2020-05-18,489.0,501.85714285714283
2020-05-19,505.0,498.42857142857144
2020-05-20,471.0,489.7142857142857
2020-05-21,491.0,471.14285714285717
2020-05-22,476.0,469.14285714285717
2020-05-23,450.0,468.2857142857143
2020-05-24,416.0,469.0
2020-05-25,475.0,471.0
2020-05-26,499.0,467.0
2020-05-27,476.0,466.14285714285717
2020-05-28,505.0,460.0
2020-05-29,448.0,442.85714285714283
2020-05-30,444.0,427.42857142857144
2020-05-31,373.0,415.14285714285717
2020-06-01,355.0,403.57142857142856
2020-06-02,391.0,408.0
2020-06-03,390.0,405.7142857142857
2020-06-04,424.0,415.85714285714283
2020-06-05,479.0,454.0
2020-06-06,428.0,486.42857142857144
2020-06-07,444.0,505.0
2020-06-08,622.0,511.7142857142857
2020-06-09,618.0,508.2857142857143
2020-06-10,520.0,504.57142857142856
2020-06-11,471.0,507.42857142857144
2020-06-12,455.0,491.7142857142857
2020-06-13,402.0,475.42857142857144
2020-06-14,464.0,468.2857142857143
2020-06-15,512.0,472.57142857142856
2020-06-16,504.0,484.85714285714283
2020-06-17,470.0,499.7142857142857
2020-06-18,501.0,507.0
2020-06-19,541.0,509.57142857142856
2020-06-20,506.0,526.5714285714286
2020-06-21,515.0,539.4285714285714
2020-06-22,530.0,548.8571428571429
2020-06-23,623.0,549.8571428571429
2020-06-24,560.0,554.0
2020-06-25,567.0,560.1428571428571
2020-06-26,548.0,567.5714285714286
2020-06-27,535.0,561.2857142857143
2020-06-28,558.0,568.4285714285714
2020-06-29,582.0,571.5714285714286
2020-06-30,579.0,574.5714285714286
2020-07-01,610.0,576.7142857142857
2020-07-02,589.0,574.1428571428571
2020-07-03,569.0,579.7142857142857
2020-07-04,550.0,574.0
2020-07-05,540.0,566.8571428571429
2020-07-06,621.0,558.1428571428571
2020-07-07,539.0,555.4285714285714
2020-07-08,560.0,547.1428571428571
2020-07-09,528.0,550.0
2020-07-10,550.0,531.0
2020-07-11,492.0,533.1428571428571
2020-07-12,560.0,484.85714285714283
2020-07-13,488.0,482.0
2020-07-14,554.0,482.2857142857143
2020-07-15,222.0,486.7142857142857
2020-07-16,508.0,482.7142857142857
2020-07-17,552.0,478.42857142857144
2020-07-18,523.0,570.1428571428571
2020-07-19,532.0,622.2857142857143
2020-07-20,458.0,638.8571428571429
2020-07-21,1196.0,646.8571428571429
2020-07-22,587.0,688.0
2020-07-23,624.0,703.8571428571429
2020-07-24,608.0,728.0
2020-07-25,811.0,650.5714285714286
2020-07-26,643.0,663.7142857142857
2020-07-27,627.0,672.4285714285714
2020-07-28,654.0,684.8571428571429
2020-07-29,679.0,692.2857142857143
2020-07-30,685.0,732.5714285714286
2020-07-31,695.0,748.2857142857143
2020-08-01,863.0,757.5714285714286
2020-08-02,925.0,765.8571428571429
2020-08-03,737.0,776.7142857142857
2020-08-04,719.0,776.5714285714286
2020-08-05,737.0,750.7142857142857
2020-08-06,761.0,721.8571428571429
2020-08-07,694.0,714.2857142857143
2020-08-08,682.0,714.2857142857143
2020-08-09,723.0,706.8571428571429
2020-08-10,684.0,695.0
2020-08-11,719.0,687.4285714285714
2020-08-12,685.0,678.8571428571429
2020-08-13,678.0,659.1428571428571
2020-08-14,641.0,652.8571428571429
2020-08-15,622.0,644.4285714285714
2020-08-16,585.0,641.0
2020-08-17,640.0,631.7142857142857
2020-08-18,660.0,633.4285714285714
2020-08-19,661.0,631.1428571428571
2020-08-20,613.0,631.7142857142857
2020-08-21,653.0,630.0
2020-08-22,606.0,628.1428571428571
2020-08-23,589.0,620.0
2020-08-24,628.0,617.5714285714286
2020-08-25,647.0,608.7142857142857
2020-08-26,604.0,609.0
2020-08-27,596.0,609.1428571428571
2020-08-28,591.0,603.1428571428571
2020-08-29,608.0,599.1428571428571
2020-08-30,590.0,598.8571428571429
2020-08-31,586.0,600.0
2020-09-01,619.0,597.1428571428571
2020-09-02,602.0,593.7142857142857
2020-09-03,604.0,587.1428571428571
2020-09-04,571.0,582.5714285714286
2020-09-05,584.0,579.2857142857143
2020-09-06,544.0,575.0
2020-09-07,554.0,572.4285714285714
2020-09-08,596.0,581.1428571428571
2020-09-09,572.0,578.2857142857143
2020-09-10,586.0,577.8571428571429
2020-09-11,632.0,578.4285714285714
2020-09-12,564.0,579.0
2020-09-13,541.0,576.4285714285714
2020-09-14,558.0,569.0
2020-09-15,600.0,554.7142857142857
2020-09-16,554.0,550.4285714285714
2020-09-17,534.0,545.8571428571429
2020-09-18,532.0,544.4285714285714
2020-09-19,534.0,540.8571428571429
2020-09-20,509.0,545.0
2020-09-21,548.0,552.2857142857143
2020-09-22,575.0,559.7142857142857
2020-09-23,583.0,563.8571428571429
2020-09-24,585.0,571.1428571428571
2020-09-25,584.0,583.2857142857143
2020-09-26,563.0,583.4285714285714
2020-09-27,560.0,579.8571428571429
2020-09-28,633.0,583.8571428571429
2020-09-29,576.0,591.2857142857143
