,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,336.14285714285717
2020-12-21,0.0,336.14285714285717
2020-12-22,0.0,336.14285714285717
2020-12-23,2353.0,336.14285714285717
2020-12-24,0.0,336.14285714285717
2020-12-25,0.0,336.14285714285717
2020-12-26,0.0,2871.285714285714
2020-12-27,0.0,3312.0
2020-12-28,0.0,3312.0
2020-12-29,17746.0,3312.0
2020-12-30,5438.0,3312.0
2020-12-31,0.0,3312.0
2021-01-01,0.0,7031.714285714285
2021-01-02,0.0,5377.714285714285
2021-01-03,0.0,6139.0
2021-01-04,26038.0,8366.0
2021-01-05,6168.0,10489.0
2021-01-06,10767.0,10489.0
2021-01-07,15589.0,10489.0
2021-01-08,14861.0,9991.57142857143
2021-01-09,0.0,10579.142857142857
2021-01-10,0.0,10878.42857142857
2021-01-11,22556.0,11371.285714285714
2021-01-12,10281.0,11821.142857142857
2021-01-13,12862.0,11821.142857142857
2021-01-14,19039.0,11821.142857142857
2021-01-15,18010.0,11887.42857142857
2021-01-16,0.0,10418.714285714286
2021-01-17,0.0,9706.0
2021-01-18,23020.0,8512.857142857143
2021-01-19,0.0,8617.142857142857
2021-01-20,7873.0,8617.142857142857
2021-01-21,10687.0,11004.285714285714
2021-01-22,18740.0,7715.714285714285
2021-01-23,0.0,13606.42857142857
2021-01-24,16710.0,14024.0
2021-01-25,0.0,15197.0
2021-01-26,41235.0,16008.142857142857
2021-01-27,10796.0,18764.571428571428
2021-01-28,18898.0,18955.714285714286
2021-01-29,24418.0,20317.14285714286
2021-01-30,19295.0,14926.857142857143
2021-01-31,18048.0,15888.142857142857
2021-02-01,9530.0,13842.0
2021-02-02,3503.0,13265.57142857143
2021-02-03,17525.0,14508.285714285714
2021-02-04,4575.0,16700.14285714286
2021-02-05,20383.0,19792.14285714286
2021-02-06,27994.0,21626.0
2021-02-07,33391.0,19690.428571428572
2021-02-08,31174.0,21363.85714285714
2021-02-09,16340.0,21773.571428571428
2021-02-10,3976.0,21820.14285714286
2021-02-11,16289.0,18948.85714285714
2021-02-12,23251.0,18632.285714285714
2021-02-13,28320.0,16298.0
2021-02-14,13292.0,20418.571428571428
2021-02-15,28958.0,19272.85714285714
2021-02-16,0.0,16852.85714285714
2021-02-17,32820.0,20370.14285714286
2021-02-18,8269.0,21020.285714285714
2021-02-19,6311.0,20748.428571428572
2021-02-20,52941.0,24667.428571428572
2021-02-21,17843.0,19978.85714285714
2021-02-22,27055.0,22140.428571428572
2021-02-23,27433.0,25952.571428571428
2021-02-24,0.0,23722.714285714286
2021-02-25,23400.0,26253.571428571428
2021-02-26,32996.0,28005.428571428572
2021-02-27,37332.0,27913.571428571428
2021-02-28,35559.0,29970.85714285714
2021-03-01,39318.0,29626.85714285714
2021-03-02,26790.0,29933.285714285714
2021-03-03,14401.0,31075.14285714286
2021-03-04,20992.0,32688.428571428572
2021-03-05,35141.0,37687.857142857145
2021-03-06,45325.0,35287.42857142857
2021-03-07,46852.0,33230.142857142855
2021-03-08,74314.0,33797.142857142855
2021-03-09,9987.0,34242.71428571428
2021-03-10,0.0,34068.71428571428
2021-03-11,24961.0,41049.71428571428
2021-03-12,38260.0,30433.428571428572
2021-03-13,44107.0,34092.42857142857
2021-03-14,95719.0,36245.142857142855
2021-03-15,0.0,37642.42857142857
2021-03-16,35600.0,37492.71428571428
2021-03-17,15069.0,38135.71428571428
2021-03-18,34742.0,30880.714285714286
2021-03-19,37212.0,37978.71428571428
2021-03-20,48608.0,37873.0
2021-03-21,44934.0,38031.857142857145
2021-03-22,49686.0,36612.142857142855
2021-03-23,34860.0,36727.57142857143
2021-03-24,16181.0,36639.57142857143
2021-03-25,24804.0,37605.0
2021-03-26,38020.0,36641.28571428572
2021-03-27,47992.0,37306.857142857145
2021-03-28,51692.0,37308.857142857145
2021-03-29,42940.0,37399.57142857143
2021-03-30,39519.0,38047.857142857145
2021-03-31,16195.0,38254.0
2021-04-01,25439.0,39514.28571428572
2021-04-02,42558.0,40217.0
2021-04-03,49435.0,38386.42857142857
2021-04-04,60514.0,36976.142857142855
2021-04-05,47859.0,38310.42857142857
2021-04-06,26705.0,46885.42857142857
2021-04-07,6323.0,47547.857142857145
2021-04-08,34779.0,45582.57142857143
2021-04-09,102583.0,40943.142857142855
2021-04-10,54072.0,38087.857142857145
2021-04-11,46757.0,45690.857142857145
2021-04-12,15383.0,47963.28571428572
2021-04-13,6718.0,40634.142857142855
2021-04-14,59544.0,39549.857142857145
2021-04-15,50686.0,39617.142857142855
2021-04-16,51279.0,40183.857142857145
2021-04-17,46482.0,40489.142857142855
2021-04-18,47228.0,35246.42857142857
2021-04-19,19350.0,32938.71428571428
2021-04-20,8855.0,31652.714285714286
2021-04-21,22845.0,29945.428571428572
2021-04-22,34532.0,27122.571428571428
2021-04-23,42277.0,26844.285714285714
2021-04-24,34531.0,26674.428571428572
2021-04-25,27468.0,26367.571428571428
2021-04-26,17402.0,25063.0
2021-04-27,7666.0,23621.285714285714
2021-04-28,20697.0,22339.0
2021-04-29,25400.0,21076.0
2021-04-30,32185.0,19072.571428571428
2021-05-01,25555.0,17977.428571428572
2021-05-02,18627.0,18395.571428571428
2021-05-03,3378.0,18664.571428571428
2021-05-04,0.0,17271.285714285714
2021-05-05,23624.0,16667.285714285714
2021-05-06,27283.0,17542.85714285714
2021-05-07,22432.0,19511.0
2021-05-08,21327.0,21959.285714285714
2021-05-09,24756.0,20731.714285714286
2021-05-10,17155.0,19034.428571428572
2021-05-11,17138.0,18087.285714285714
2021-05-12,15031.0,17760.714285714286
2021-05-13,15402.0,17422.428571428572
2021-05-14,15802.0,16251.0
2021-05-15,19041.0,15006.857142857143
2021-05-16,22388.0,15173.0
2021-05-17,8955.0,15773.714285714286
2021-05-18,8429.0,16574.0
2021-05-19,16194.0,18025.0
2021-05-20,19607.0,17262.714285714286
2021-05-21,21404.0,17418.14285714286
2021-05-22,29198.0,17106.0
2021-05-23,17052.0,17097.428571428572
2021-05-24,10043.0,16945.14285714286
2021-05-25,6244.0,15709.57142857143
2021-05-26,16134.0,13461.5
2021-05-27,18541.0,12743.4
2021-05-28,12755.0,13418.5
