,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.7142857142857143
2020-03-09,0.0,2.7142857142857144
2020-03-10,0.0,4.142857142857143
2020-03-11,5.0,11.0
2020-03-12,14.0,12.428571428571429
2020-03-13,10.0,16.428571428571427
2020-03-14,48.0,28.0
2020-03-15,10.0,36.0
2020-03-16,28.0,53.285714285714285
2020-03-17,81.0,72.57142857142857
2020-03-18,61.0,98.0
2020-03-19,135.0,107.14285714285714
2020-03-20,145.0,151.0
2020-03-21,226.0,170.28571428571428
2020-03-22,74.0,219.71428571428572
2020-03-23,335.0,273.14285714285717
2020-03-24,216.0,315.2857142857143
2020-03-25,407.0,364.57142857142856
2020-03-26,509.0,386.14285714285717
2020-03-27,440.0,407.57142857142856
2020-03-28,571.0,549.8571428571429
2020-03-29,225.0,661.2857142857143
