,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0.7142857142857143,5,5,0,0,0
2020-03-12,2.7142857142857144,14,19,0,0,0
2020-03-13,4.142857142857143,10,29,0,0,0
2020-03-14,11,48,77,0.14285714285714285,1,1
2020-03-15,12.428571428571429,10,87,0.2857142857142857,1,2
2020-03-16,16.428571428571427,28,115,0.42857142857142855,1,3
2020-03-17,28,81,196,0.5714285714285714,1,4
2020-03-18,36,61,257,0.8571428571428571,2,6
2020-03-19,53.285714285714285,135,392,1.4285714285714286,4,10
2020-03-20,72.57142857142857,145,537,2,4,14
2020-03-21,98,226,763,2.7142857142857144,6,20
2020-03-22,107.14285714285714,74,837,2.5714285714285716,0,20
2020-03-23,151,335,1172,4.571428571428571,15,35
2020-03-24,170.28571428571428,216,1388,6,11,46
2020-03-25,219.71428571428572,407,1795,8.428571428571429,19,65
2020-03-26,273.14285714285717,509,2304,10.428571428571429,18,83
2020-03-27,315.2857142857143,440,2744,15,36,119
2020-03-28,364.57142857142856,571,3315,16.714285714285715,18,137
2020-03-29,386.14285714285717,225,3540,18.714285714285715,14,151
2020-03-30,407.57142857142856,485,4025,21.428571428571427,34,185
2020-03-31,549.8571428571429,1212,5237,27.571428571428573,54,239
2020-04-01,661.2857142857143,1187,6424,29.714285714285715,34,273
2020-04-02,977.8571428571429,2725,9149,32.42857142857143,37,310
2020-04-03,1079,1148,10297,35.857142857142854,60,370
2020-04-04,1311.5714285714287,2199,12496,38.857142857142854,39,409
2020-04-05,1352.857142857143,514,13010,46.57142857142857,68,477
2020-04-06,1548.857142857143,1857,14867,46.714285714285715,35,512
2020-04-07,1578.142857142857,1417,16284,49,70,582
2020-04-08,1515.142857142857,746,17030,54.142857142857146,70,652
2020-04-09,1304.857142857143,1253,18283,56,50,702
2020-04-10,1279.4285714285713,970,19253,55,53,755
2020-04-11,1074,761,20014,56.714285714285715,51,806
2020-04-12,1083.5714285714287,581,20595,51.857142857142854,34,840
2020-04-13,878.4285714285714,421,21016,53.142857142857146,44,884
2020-04-14,747.7142857142857,502,21518,61.57142857142857,129,1013
2020-04-15,703,433,21951,64.42857142857143,90,1103
2020-04-16,607,581,22532,64.85714285714286,53,1156
2020-04-17,552.1428571428571,586,23118,65.42857142857143,57,1213
2020-04-18,509.42857142857144,462,23580,65.85714285714286,54,1267
2020-04-19,476.14285714285717,348,23928,65.14285714285714,29,1296
2020-04-20,501,595,24523,63.42857142857143,32,1328
2020-04-21,476.57142857142856,331,24854,56,77,1405
2020-04-22,472.42857142857144,404,25258,52.857142857142854,68,1473
2020-04-23,458.14285714285717,481,25739,63.285714285714285,126,1599
2020-04-24,431.7142857142857,401,26140,63.857142857142854,61,1660
2020-04-25,418.85714285714283,372,26512,62.857142857142854,47,1707
2020-04-26,406.42857142857144,261,26773,61.857142857142854,22,1729
2020-04-27,363.57142857142856,295,27068,58.857142857142854,11,1740
2020-04-28,347.42857142857144,218,27286,56.57142857142857,61,1801
2020-04-29,343.14285714285717,374,27660,53.142857142857146,44,1845
2020-04-30,323.14285714285717,341,28001,43.714285714285715,60,1905
2020-05-01,367.2857142857143,710,28711,44.285714285714285,65,1970
2020-05-02,375.42857142857144,429,29140,40.857142857142854,23,1993
2020-05-03,366.7142857142857,200,29340,40.42857142857143,19,2012
2020-05-04,372.14285714285717,333,29673,46.285714285714285,52,2064
2020-05-05,387.14285714285717,323,29996,44.857142857142854,51,2115
2020-05-06,391.2857142857143,403,30399,46,52,2167
2020-05-07,378.7142857142857,253,30652,43.285714285714285,41,2208
2020-05-08,306.2857142857143,203,30855,36.714285714285715,19,2227
2020-05-09,325.2857142857143,562,31417,39.142857142857146,40,2267
2020-05-10,322.85714285714283,183,31600,39.142857142857146,19,2286
2020-05-11,306,215,31815,34.857142857142854,22,2308
2020-05-12,293.42857142857144,235,32050,33.142857142857146,39,2347
2020-05-13,323.2857142857143,612,32662,30.571428571428573,34,2381
2020-05-14,405.2857142857143,827,33489,29.857142857142858,36,2417
2020-05-15,426,348,33837,31.571428571428573,31,2448
2020-05-16,385.7142857142857,280,34117,30.285714285714285,31,2479
2020-05-17,404.57142857142856,315,34432,29.285714285714285,12,2491
2020-05-18,413.42857142857144,277,34709,36.42857142857143,72,2563
2020-05-19,426.85714285714283,329,35038,33.42857142857143,18,2581
2020-05-20,379.14285714285717,278,35316,32.42857142857143,27,2608
2020-05-21,430.7142857142857,1188,36504,30.285714285714285,21,2629
2020-05-22,441.14285714285717,421,36925,31.428571428571427,39,2668
2020-05-23,401.14285714285717,0,36925,27,0,2668
2020-05-24,391,244,37169,28.571428571428573,23,2691
2020-05-25,442.85714285714283,640,37809,18.285714285714285,0,2691
2020-05-26,430.85714285714283,245,38054,17.285714285714285,11,2702
2020-05-27,454.42857142857144,443,38497,16.428571428571427,21,2723
2020-05-28,328.2857142857143,305,38802,16,18,2741
2020-05-29,268.14285714285717,0,38802,14.142857142857142,26,2767
2020-05-30,378.85714285714283,775,39577,16.857142857142858,19,2786
2020-05-31,392.42857142857144,339,39916,14.285714285714286,5,2791
2020-06-01,361.7142857142857,425,40341,15.714285714285714,10,2801
2020-06-02,384.57142857142856,405,40746,19,34,2835
2020-06-03,376.57142857142856,387,41133,21,35,2870
2020-06-04,394.2857142857143,429,41562,20.285714285714285,13,2883
2020-06-05,455.2857142857143,427,41989,20.714285714285715,29,2912
2020-06-06,415.57142857142856,497,42486,19.857142857142858,13,2925
2020-06-07,414.2857142857143,330,42816,20.714285714285715,11,2936
2020-06-08,387,234,43050,20.428571428571427,8,2944
2020-06-09,409.42857142857144,562,43612,17.428571428571427,13,2957
2020-06-10,413.85714285714283,418,44030,14,11,2968
2020-06-11,415.7142857142857,442,44472,14.857142857142858,19,2987
2020-06-12,429.42857142857144,523,44995,12,9,2996
2020-06-13,542.4285714285714,1288,46283,11.285714285714286,8,3004
2020-06-14,543.2857142857143,336,46619,11.142857142857142,10,3014
2020-06-15,588.8571428571429,553,47172,10.571428571428571,4,3018
2020-06-16,584.8571428571429,534,47706,12.142857142857142,24,3042
2020-06-17,657.7142857142857,928,48634,13.428571428571429,20,3062
2020-06-18,594.5714285714286,0,48634,10.714285714285714,0,3062
2020-06-19,502.85714285714283,-119,48515,12.571428571428571,22,3084
2020-06-20,443.14285714285717,870,49385,14.285714285714286,20,3104
2020-06-21,451.2857142857143,393,49778,13,1,3105
2020-06-22,438.14285714285717,461,50239,14.142857142857142,12,3117
2020-06-23,555.5714285714286,1356,51595,13.142857142857142,17,3134
2020-06-24,549,882,52477,12.857142857142858,18,3152
2020-06-25,683,938,53415,14.571428571428571,12,3164
2020-06-26,893.4285714285714,1354,54769,15.142857142857142,26,3190
2020-06-27,769.1428571428571,0,54769,12.285714285714286,0,3190
2020-06-28,922.5714285714286,1467,56236,13.428571428571429,9,3199
2020-06-29,977.4285714285714,845,57081,11.714285714285714,0,3199
2020-06-30,928.5714285714286,1014,58095,12.428571428571429,22,3221
2020-07-01,1100.142857142857,2083,60178,12.285714285714286,17,3238
2020-07-02,1163.7142857142858,1383,61561,13,17,3255
2020-07-03,1217.142857142857,1728,63289,12.571428571428571,23,3278
2020-07-04,1217.142857142857,0,63289,12.571428571428571,0,3278
2020-07-05,1284.2857142857142,1937,65226,12.714285714285714,10,3288
2020-07-06,1320.857142857143,1101,66327,13.857142857142858,8,3296
2020-07-07,1452.5714285714287,1936,68263,14,23,3319
2020-07-08,1424.7142857142858,1888,70151,14.428571428571429,20,3339
2020-07-09,1490.4285714285713,1843,71994,14.285714285714286,16,3355
2020-07-10,1621,2642,74636,14.571428571428571,25,3380
2020-07-11,1930.5714285714287,2167,76803,17.857142857142858,23,3403
2020-07-12,1842.2857142857142,1319,78122,18.285714285714285,13,3416
2020-07-13,1928.5714285714287,1705,79827,18.142857142857142,7,3423
2020-07-14,1968.4285714285713,2215,82042,18,22,3445
2020-07-15,1997.142857142857,2089,84131,17.428571428571427,16,3461
2020-07-16,2059.5714285714284,2280,86411,18.571428571428573,24,3485
2020-07-17,1993.4285714285713,2179,88590,18.428571428571427,24,3509
2020-07-18,1683.857142857143,0,88590,15.142857142857142,0,3509
2020-07-19,1940.5714285714287,3116,91706,18.142857142857142,34,3543
2020-07-20,2152.1428571428573,3186,94892,21.571428571428573,31,3574
2020-07-21,2077.285714285714,1691,96583,23.571428571428573,36,3610
2020-07-22,2174.714285714286,2771,99354,29.857142857142858,60,3670
2020-07-23,2177,2296,101650,28.714285714285715,16,3686
2020-07-24,2163.4285714285716,2084,103734,29.428571428571427,29,3715
2020-07-25,2163.4285714285716,0,103734,29.428571428571427,0,3715
2020-07-26,2266.8571428571427,3840,107574,31.428571428571427,48,3763
2020-07-27,2146.4285714285716,2343,109917,30.285714285714285,23,3786
2020-07-28,2065,1121,111038,28.857142857142858,26,3812
2020-07-29,1917,1735,112773,30.428571428571427,71,3883
2020-07-30,1833,1708,114481,34.142857142857146,42,3925
2020-07-31,1792.2857142857142,1799,116280,33.42857142857143,24,3949
2020-08-01,1792.2857142857142,0,116280,33.42857142857143,0,3949
2020-08-02,1739,3467,119747,34.857142857142854,58,4007
2020-08-03,1561.2857142857142,1099,120846,34,17,4024
2020-08-04,1917.5714285714287,3615,124461,34.142857142857146,27,4051
2020-08-05,1881.4285714285713,1482,125943,30.428571428571427,45,4096
2020-08-06,1823.5714285714287,1303,127246,31.571428571428573,50,4146
2020-08-07,1780.857142857143,1500,128746,36.857142857142854,61,4207
2020-08-08,1780.857142857143,0,128746,36.857142857142854,0,4207
2020-08-09,1664.5714285714287,2653,131399,36.57142857142857,56,4263
2020-08-10,1587.857142857143,562,131961,37.57142857142857,24,4287
2020-08-11,1237.7142857142858,1164,133125,37.42857142857143,26,4313
