,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,1522.5714285714287
2020-12-21,0.0,1522.5714285714287
2020-12-22,0.0,1522.5714285714287
2020-12-23,10658.0,1522.5714285714287
2020-12-24,0.0,1522.5714285714287
2020-12-25,0.0,1522.5714285714287
2020-12-26,0.0,2265.8571428571427
2020-12-27,0.0,743.2857142857143
2020-12-28,0.0,743.2857142857143
2020-12-29,5203.0,1789.0
2020-12-30,0.0,1789.0
2020-12-31,0.0,1789.0
2021-01-01,7320.0,1789.0
2021-01-02,0.0,2640.4285714285716
2021-01-03,0.0,2640.4285714285716
2021-01-04,0.0,6230.857142857143
2021-01-05,11163.0,5185.142857142857
2021-01-06,0.0,5185.142857142857
2021-01-07,25133.0,5185.142857142857
2021-01-08,0.0,5185.142857142857
2021-01-09,0.0,14749.42857142857
2021-01-10,0.0,14749.42857142857
2021-01-11,0.0,17113.14285714286
2021-01-12,78113.0,17113.14285714286
2021-01-13,0.0,17113.14285714286
2021-01-14,41679.0,17113.14285714286
2021-01-15,0.0,17113.14285714286
2021-01-16,0.0,5954.142857142857
2021-01-17,0.0,15431.714285714286
2021-01-18,0.0,9477.57142857143
2021-01-19,0.0,14277.0
2021-01-20,66343.0,16135.857142857143
2021-01-21,0.0,16135.857142857143
2021-01-22,33596.0,16135.857142857143
2021-01-23,13012.0,16135.857142857143
2021-01-24,0.0,12882.0
2021-01-25,0.0,12882.0
2021-01-26,0.0,13722.142857142857
2021-01-27,43566.0,11863.285714285714
2021-01-28,0.0,11863.285714285714
2021-01-29,39477.0,11863.285714285714
2021-01-30,0.0,11863.285714285714
2021-01-31,0.0,18544.428571428572
2021-02-01,0.0,18723.714285714286
2021-02-02,0.0,19659.14285714286
2021-02-03,90334.0,19861.85714285714
2021-02-04,1255.0,24765.714285714286
2021-02-05,46025.0,28938.571428571428
2021-02-06,1419.0,30952.85714285714
2021-02-07,34327.0,21379.428571428572
2021-02-08,29210.0,21437.0
2021-02-09,14100.0,23478.428571428572
2021-02-10,23320.0,23529.428571428572
2021-02-11,1658.0,23555.85714285714
2021-02-12,60315.0,24173.428571428572
2021-02-13,1776.0,24135.85714285714
2021-02-14,34512.0,21087.85714285714
2021-02-15,33533.0,21793.571428571428
2021-02-16,13837.0,16232.57142857143
2021-02-17,1984.0,22636.428571428572
2021-02-18,6598.0,20294.428571428572
2021-02-19,21388.0,17909.14285714286
2021-02-20,46603.0,17763.14285714286
2021-02-21,18118.0,17479.714285714286
2021-02-22,16836.0,18460.0
2021-02-23,12815.0,18636.714285714286
2021-02-24,0.0,16952.714285714286
2021-02-25,13460.0,20242.571428571428
2021-02-26,22625.0,23208.0
2021-02-27,34815.0,24177.428571428572
2021-02-28,41147.0,25309.285714285714
2021-03-01,37594.0,26690.285714285714
2021-03-02,19601.0,27950.285714285714
2021-03-03,7923.0,28700.571428571428
2021-03-04,23127.0,22933.428571428572
2021-03-05,31445.0,31559.14285714286
2021-03-06,40067.0,28759.0
2021-03-07,777.0,28836.285714285714
2021-03-08,97974.0,28807.571428571428
2021-03-09,0.0,28794.14285714286
2021-03-10,8464.0,28694.285714285714
2021-03-11,22926.0,40637.42857142857
2021-03-12,31351.0,26641.14285714286
2021-03-13,39368.0,29510.0
2021-03-14,84379.0,29732.714285714286
2021-03-15,0.0,29967.285714285714
2021-03-16,20082.0,30837.285714285714
2021-03-17,10023.0,29624.285714285714
2021-03-18,24568.0,23580.0
2021-03-19,37441.0,28580.85714285714
2021-03-20,30877.0,29167.714285714286
2021-03-21,42069.0,28756.714285714286
2021-03-22,35006.0,29432.85714285714
2021-03-23,24190.0,30147.85714285714
2021-03-24,7146.0,29376.285714285714
2021-03-25,29301.0,29802.571428571428
2021-03-26,42446.0,31106.714285714286
2021-03-27,25476.0,31785.85714285714
2021-03-28,45053.0,32066.14285714286
2021-03-29,44135.0,34077.857142857145
2021-03-30,28944.0,35625.142857142855
2021-03-31,9108.0,36388.0
2021-04-01,43383.0,36548.57142857143
2021-04-02,53277.0,33542.142857142855
2021-04-03,30816.0,31479.14285714286
2021-04-04,46177.0,30590.0
2021-04-05,23090.0,28198.571428571428
2021-04-06,14503.0,31788.428571428572
2021-04-07,2884.0,33107.0
2021-04-08,26643.0,31893.428571428572
2021-04-09,78406.0,31090.428571428572
2021-04-10,40046.0,30573.571428571428
2021-04-11,37682.0,31593.428571428572
2021-04-12,17469.0,33324.857142857145
2021-04-13,10885.0,26931.571428571428
2021-04-14,10023.0,25857.428571428572
2021-04-15,38763.0,24643.571428571428
2021-04-16,33653.0,24627.285714285714
2021-04-17,32527.0,24505.571428571428
2021-04-18,29185.0,26396.571428571428
2021-04-19,17355.0,24751.285714285714
2021-04-20,10033.0,24264.0
2021-04-21,23260.0,23367.0
2021-04-22,27246.0,22679.571428571428
2021-04-23,30242.0,21929.285714285714
2021-04-24,26248.0,21382.285714285714
2021-04-25,24373.0,20877.0
2021-04-26,12103.0,20091.285714285714
2021-04-27,6204.0,15871.57142857143
2021-04-28,19723.0,12251.714285714286
2021-04-29,21746.0,8806.285714285714
2021-04-30,704.0,10011.42857142857
2021-05-01,909.0,9125.142857142857
2021-05-02,255.0,6763.714285714285
2021-05-03,20539.0,14904.57142857143
2021-05-04,0.0,17334.85714285714
2021-05-05,3193.0,17281.714285714286
2021-05-06,78732.0,21657.714285714286
2021-05-07,17716.0,20042.0
2021-05-08,537.0,20844.714285714286
2021-05-09,30887.0,22042.714285714286
2021-05-10,9229.0,12548.57142857143
2021-05-11,5619.0,11693.42857142857
2021-05-12,11579.0,13449.857142857143
2021-05-13,12273.0,9108.57142857143
2021-05-14,11730.0,7807.428571428572
2021-05-15,12832.0,10415.42857142857
2021-05-16,498.0,10266.57142857143
2021-05-17,121.0,10297.0
2021-05-18,23875.0,10790.857142857143
2021-05-19,10537.0,11478.285714285714
2021-05-20,12486.0,12979.142857142857
2021-05-21,15187.0,13898.42857142857
2021-05-22,17644.0,10990.857142857143
2021-05-23,11004.0,10882.285714285714
2021-05-24,6556.0,10809.714285714286
2021-05-25,3522.0,10056.285714285714
2021-05-26,9777.0,8791.666666666666
2021-05-27,11978.0,8349.2
2021-05-28,9913.0,8797.5
