,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.14285714285714285
2020-03-05,0.0,0.2857142857142857
2020-03-06,0.0,0.5714285714285714
2020-03-07,1.0,1.0
2020-03-08,1.0,1.1428571428571428
2020-03-09,2.0,1.2857142857142858
2020-03-10,3.0,1.4285714285714286
2020-03-11,1.0,1.2857142857142858
2020-03-12,1.0,1.2857142857142858
2020-03-13,1.0,1.4285714285714286
2020-03-14,0.0,1.2857142857142858
2020-03-15,1.0,1.5714285714285714
2020-03-16,3.0,2.4285714285714284
2020-03-17,2.0,3.2857142857142856
2020-03-18,3.0,4.142857142857143
2020-03-19,7.0,5.142857142857143
2020-03-20,7.0,6.0
2020-03-21,6.0,7.857142857142857
2020-03-22,8.0,9.571428571428571
2020-03-23,9.0,10.428571428571429
2020-03-24,15.0,12.714285714285714
2020-03-25,15.0,15.428571428571429
2020-03-26,13.0,17.571428571428573
2020-03-27,23.0,20.142857142857142
2020-03-28,25.0,24.714285714285715
2020-03-29,23.0,33.285714285714285
2020-03-30,27.0,41.42857142857143
2020-03-31,47.0,50.0
2020-04-01,75.0,59.285714285714285
2020-04-02,70.0,67.85714285714286
2020-04-03,83.0,77.71428571428571
2020-04-04,90.0,84.71428571428571
2020-04-05,83.0,87.0
2020-04-06,96.0,90.28571428571429
2020-04-07,96.0,90.57142857142857
2020-04-08,91.0,90.28571428571429
2020-04-09,93.0,92.0
2020-04-10,85.0,91.42857142857143
2020-04-11,88.0,91.57142857142857
2020-04-12,95.0,93.57142857142857
2020-04-13,92.0,96.71428571428571
2020-04-14,97.0,96.57142857142857
2020-04-15,105.0,96.0
2020-04-16,115.0,93.42857142857143
2020-04-17,84.0,93.85714285714286
2020-04-18,84.0,90.28571428571429
2020-04-19,77.0,86.28571428571429
2020-04-20,95.0,82.28571428571429
2020-04-21,72.0,81.28571428571429
2020-04-22,77.0,82.0
2020-04-23,87.0,82.85714285714286
2020-04-24,77.0,81.42857142857143
2020-04-25,89.0,81.14285714285714
2020-04-26,83.0,80.14285714285714
2020-04-27,85.0,78.0
2020-04-28,70.0,76.57142857142857
2020-04-29,70.0,73.85714285714286
2020-04-30,72.0,72.42857142857143
2020-05-01,67.0,69.71428571428571
2020-05-02,70.0,69.28571428571429
2020-05-03,73.0,67.71428571428571
2020-05-04,66.0,68.0
2020-05-05,67.0,69.28571428571429
2020-05-06,59.0,68.42857142857143
2020-05-07,74.0,66.14285714285714
2020-05-08,76.0,65.42857142857143
2020-05-09,64.0,66.57142857142857
2020-05-10,57.0,67.42857142857143
2020-05-11,61.0,65.57142857142857
2020-05-12,75.0,64.85714285714286
2020-05-13,65.0,67.71428571428571
2020-05-14,61.0,68.28571428571429
2020-05-15,71.0,70.0
2020-05-16,84.0,70.57142857142857
2020-05-17,61.0,72.57142857142857
2020-05-18,73.0,76.14285714285714
2020-05-19,79.0,77.85714285714286
2020-05-20,79.0,78.85714285714286
2020-05-21,86.0,81.71428571428571
2020-05-22,83.0,84.0
2020-05-23,91.0,84.85714285714286
2020-05-24,81.0,86.42857142857143
2020-05-25,89.0,86.57142857142857
2020-05-26,85.0,86.28571428571429
2020-05-27,90.0,84.71428571428571
2020-05-28,87.0,83.57142857142857
2020-05-29,81.0,82.42857142857143
2020-05-30,80.0,81.14285714285714
2020-05-31,73.0,79.14285714285714
2020-06-01,81.0,74.42857142857143
2020-06-02,76.0,73.28571428571429
2020-06-03,76.0,70.28571428571429
2020-06-04,54.0,68.85714285714286
2020-06-05,73.0,66.14285714285714
2020-06-06,59.0,66.14285714285714
2020-06-07,63.0,63.857142857142854
2020-06-08,62.0,63.42857142857143
2020-06-09,76.0,62.857142857142854
2020-06-10,60.0,61.714285714285715
2020-06-11,51.0,61.0
2020-06-12,69.0,61.857142857142854
2020-06-13,51.0,60.714285714285715
2020-06-14,58.0,60.714285714285715
2020-06-15,68.0,60.42857142857143
2020-06-16,68.0,57.0
2020-06-17,60.0,57.0
2020-06-18,49.0,57.285714285714285
2020-06-19,45.0,55.714285714285715
2020-06-20,51.0,52.714285714285715
2020-06-21,60.0,53.714285714285715
2020-06-22,57.0,53.714285714285715
2020-06-23,47.0,55.42857142857143
2020-06-24,67.0,54.0
2020-06-25,49.0,52.714285714285715
2020-06-26,57.0,51.42857142857143
2020-06-27,41.0,51.857142857142854
2020-06-28,51.0,49.285714285714285
2020-06-29,48.0,50.42857142857143
2020-06-30,50.0,51.857142857142854
2020-07-01,49.0,53.285714285714285
2020-07-02,57.0,52.857142857142854
2020-07-03,67.0,53.0
2020-07-04,51.0,53.42857142857143
2020-07-05,48.0,53.42857142857143
2020-07-06,49.0,53.142857142857146
2020-07-07,53.0,52.142857142857146
2020-07-08,49.0,50.42857142857143
2020-07-09,55.0,49.57142857142857
2020-07-10,60.0,48.285714285714285
2020-07-11,39.0,47.285714285714285
2020-07-12,42.0,46.42857142857143
2020-07-13,40.0,44.0
2020-07-14,46.0,39.285714285714285
2020-07-15,43.0,37.57142857142857
2020-07-16,38.0,36.0
2020-07-17,27.0,34.57142857142857
2020-07-18,27.0,35.285714285714285
2020-07-19,31.0,35.57142857142857
2020-07-20,30.0,34.714285714285715
2020-07-21,51.0,34.57142857142857
2020-07-22,45.0,43.57142857142857
2020-07-23,32.0,45.142857142857146
2020-07-24,26.0,47.142857142857146
2020-07-25,90.0,46.142857142857146
2020-07-26,42.0,45.714285714285715
2020-07-27,44.0,48.142857142857146
2020-07-28,44.0,49.142857142857146
2020-07-29,42.0,49.57142857142857
2020-07-30,49.0,57.714285714285715
2020-07-31,33.0,55.857142857142854
2020-08-01,93.0,53.57142857142857
2020-08-02,99.0,51.57142857142857
2020-08-03,31.0,49.0
2020-08-04,28.0,49.42857142857143
2020-08-05,28.0,41.0
2020-08-06,31.0,32.714285714285715
2020-08-07,36.0,33.857142857142854
2020-08-08,34.0,35.42857142857143
2020-08-09,41.0,36.57142857142857
2020-08-10,39.0,37.142857142857146
2020-08-11,39.0,36.857142857142854
2020-08-12,36.0,36.57142857142857
2020-08-13,35.0,34.857142857142854
2020-08-14,34.0,34.142857142857146
2020-08-15,32.0,33.57142857142857
2020-08-16,29.0,36.714285714285715
2020-08-17,34.0,35.285714285714285
2020-08-18,35.0,35.142857142857146
2020-08-19,58.0,35.285714285714285
2020-08-20,25.0,36.285714285714285
2020-08-21,33.0,36.142857142857146
2020-08-22,33.0,37.42857142857143
2020-08-23,36.0,35.0
2020-08-24,33.0,35.714285714285715
2020-08-25,44.0,35.285714285714285
2020-08-26,41.0,36.142857142857146
2020-08-27,30.0,35.0
2020-08-28,30.0,34.142857142857146
2020-08-29,39.0,32.57142857142857
2020-08-30,28.0,31.714285714285715
2020-08-31,27.0,32.57142857142857
2020-09-01,33.0,32.714285714285715
2020-09-02,35.0,32.57142857142857
2020-09-03,36.0,33.857142857142854
2020-09-04,31.0,35.285714285714285
2020-09-05,38.0,33.57142857142857
2020-09-06,37.0,33.0
2020-09-07,37.0,31.857142857142858
2020-09-08,21.0,31.285714285714285
2020-09-09,31.0,30.571428571428573
2020-09-10,28.0,29.285714285714285
2020-09-11,27.0,27.142857142857142
2020-09-12,33.0,29.142857142857142
2020-09-13,28.0,29.857142857142858
2020-09-14,22.0,30.428571428571427
2020-09-15,35.0,32.142857142857146
2020-09-16,36.0,32.714285714285715
2020-09-17,32.0,34.285714285714285
2020-09-18,39.0,36.857142857142854
2020-09-19,37.0,36.0
2020-09-20,39.0,34.857142857142854
2020-09-21,40.0,34.57142857142857
2020-09-22,29.0,33.57142857142857
2020-09-23,28.0,32.285714285714285
2020-09-24,30.0,30.571428571428573
