,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,819.5714285714286
2020-12-20,0.0,1546.4285714285713
2020-12-21,0.0,1919.5714285714287
2020-12-22,5737.0,1996.0
2020-12-23,5088.0,2114.714285714286
2020-12-24,2612.0,2130.8571428571427
2020-12-25,535.0,2130.8571428571427
2020-12-26,831.0,1661.857142857143
2020-12-27,113.0,1491.142857142857
2020-12-28,0.0,1631.5714285714287
2020-12-29,2454.0,2091.5714285714284
2020-12-30,3893.0,2146.1428571428573
2020-12-31,3595.0,2259.285714285714
2021-01-01,3755.0,2320.714285714286
2021-01-02,1213.0,2271.714285714286
2021-01-03,905.0,1715.5714285714287
2021-01-04,430.0,2170.714285714286
2021-01-05,2111.0,2250.8571428571427
2021-01-06,0.0,2890.5714285714284
2021-01-07,6781.0,3080.285714285714
2021-01-08,4316.0,3192.8571428571427
2021-01-09,5691.0,3221.0
2021-01-10,2233.0,3781.1428571428573
2021-01-11,1218.0,3452.8571428571427
2021-01-12,2308.0,3370.714285714286
2021-01-13,3921.0,3211.5714285714284
2021-01-14,4483.0,3361.0
2021-01-15,3741.0,3339.1428571428573
2021-01-16,4577.0,3009.4285714285716
2021-01-17,3279.0,2764.4285714285716
2021-01-18,1065.0,2765.714285714286
2021-01-19,0.0,3111.4285714285716
2021-01-20,2206.0,3366.5714285714284
2021-01-21,4492.0,4454.0
2021-01-22,6161.0,4301.857142857143
2021-01-23,6363.0,4454.714285714285
2021-01-24,10891.0,4836.857142857143
2021-01-25,0.0,5053.285714285715
2021-01-26,1070.0,5242.285714285715
2021-01-27,4881.0,5594.285714285715
2021-01-28,6007.0,5156.285714285715
2021-01-29,7484.0,6388.428571428572
2021-01-30,8827.0,6819.857142857143
2021-01-31,7825.0,6634.571428571428
2021-02-01,8625.0,6555.857142857143
2021-02-02,4090.0,6893.857142857143
2021-02-03,3584.0,7074.857142857143
2021-02-04,5456.0,6636.714285714285
2021-02-05,9850.0,5894.857142857143
2021-02-06,10094.0,6122.285714285715
2021-02-07,4758.0,6663.857142857143
2021-02-08,3432.0,6968.714285714285
2021-02-09,5682.0,7031.857142857143
2021-02-10,7375.0,7198.857142857143
2021-02-11,7590.0,7381.285714285715
2021-02-12,10292.0,7230.0
2021-02-13,11263.0,6998.0
2021-02-14,6035.0,6792.428571428572
2021-02-15,2373.0,7157.0
2021-02-16,4058.0,7517.428571428572
2021-02-17,5936.0,7126.142857142857
2021-02-18,10142.0,7235.0
2021-02-19,12815.0,7199.714285714285
2021-02-20,8524.0,7398.857142857143
2021-02-21,6797.0,7546.0
2021-02-22,2126.0,7210.142857142857
2021-02-23,5452.0,7078.714285714285
2021-02-24,6966.0,5861.0
2021-02-25,7791.0,6362.285714285715
2021-02-26,11895.0,7655.285714285715
2021-02-27,0.0,7729.285714285715
2021-02-28,10306.0,7965.714285714285
2021-03-01,11177.0,8447.714285714286
2021-03-02,5970.0,8970.142857142857
2021-03-03,8621.0,11227.0
2021-03-04,11165.0,11371.857142857143
2021-03-05,15552.0,11086.42857142857
2021-03-06,15798.0,10711.42857142857
2021-03-07,11320.0,11685.0
2021-03-08,9179.0,12611.57142857143
2021-03-09,3345.0,12784.285714285714
2021-03-10,15436.0,12812.57142857143
2021-03-11,17651.0,13161.57142857143
2021-03-12,16761.0,12119.857142857143
2021-03-13,15996.0,13211.285714285714
2021-03-14,13763.0,11697.57142857143
2021-03-15,1887.0,11603.57142857143
2021-03-16,10985.0,11692.142857142857
2021-03-17,4840.0,11188.857142857143
2021-03-18,16993.0,10141.42857142857
2021-03-19,17381.0,10310.142857142857
2021-03-20,12473.0,10368.0
2021-03-21,6431.0,10981.714285714286
2021-03-22,3068.0,11183.714285714286
2021-03-23,11390.0,11082.42857142857
2021-03-24,9136.0,11492.857142857143
2021-03-25,18407.0,11917.142857142857
2021-03-26,16672.0,12712.857142857143
2021-03-27,15346.0,12582.857142857143
2021-03-28,9401.0,12543.57142857143
2021-03-29,8638.0,12772.857142857143
2021-03-30,10480.0,10710.857142857143
2021-03-31,8861.0,13759.714285714286
2021-04-01,20012.0,14596.714285714286
2021-04-02,2238.0,14964.285714285714
2021-04-03,36688.0,15974.714285714286
2021-04-04,15260.0,15059.57142857143
2021-04-05,11211.0,15828.0
2021-04-06,17553.0,22193.571428571428
2021-04-07,2455.0,18761.0
2021-04-08,25391.0,18187.285714285714
2021-04-09,46797.0,18359.714285714286
2021-04-10,12660.0,15852.142857142857
2021-04-11,11244.0,21319.714285714286
2021-04-12,12418.0,20476.571428571428
2021-04-13,0.0,16709.571428571428
2021-04-14,40728.0,17642.571428571428
2021-04-15,19489.0,16209.57142857143
2021-04-16,20428.0,18465.0
2021-04-17,19191.0,19276.714285714286
2021-04-18,1213.0,14430.857142857143
2021-04-19,28206.0,14476.42857142857
2021-04-20,5682.0,14384.142857142857
2021-04-21,6807.0,14176.42857142857
2021-04-22,19808.0,14209.857142857143
2021-04-23,19782.0,10408.857142857143
2021-04-24,17737.0,13704.0
2021-04-25,1447.0,14602.142857142857
2021-04-26,1599.0,13900.285714285714
2021-04-27,28748.0,13611.0
2021-04-28,13094.0,13536.42857142857
2021-04-29,14895.0,13367.285714285714
2021-04-30,17757.0,13216.42857142857
2021-05-01,17215.0,9109.57142857143
2021-05-02,263.0,11940.142857142857
2021-05-03,543.0,11678.142857142857
2021-05-04,0.0,11445.42857142857
2021-05-05,32908.0,10865.285714285714
2021-05-06,13061.0,10865.142857142857
2021-05-07,16128.0,10934.142857142857
2021-05-08,13154.0,14963.0
2021-05-09,262.0,11318.142857142857
2021-05-10,1026.0,11056.0
2021-05-11,28202.0,10611.857142857143
2021-05-12,7394.0,10410.714285714286
2021-05-13,11226.0,10420.42857142857
2021-05-14,13019.0,10385.142857142857
2021-05-15,11746.0,9607.0
2021-05-16,330.0,9585.142857142857
2021-05-17,779.0,9840.42857142857
2021-05-18,22755.0,10189.42857142857
2021-05-19,7241.0,10466.285714285714
2021-05-20,13013.0,10625.57142857143
2021-05-21,15462.0,10643.285714285714
2021-05-22,13684.0,10529.57142857143
2021-05-23,1445.0,10507.285714285714
2021-05-24,903.0,9915.0
2021-05-25,21959.0,8984.42857142857
2021-05-26,7085.0,8201.166666666666
2021-05-27,8867.0,9552.4
2021-05-28,8948.0,11714.75
