,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0.42857142857142855,3,3,0,0,0
2020-03-07,0.42857142857142855,0,3,0,0,0
2020-03-08,0.7142857142857143,2,5,0,0,0
2020-03-09,0.7142857142857143,0,5,0,0,0
2020-03-10,1.1428571428571428,3,8,0,0,0
2020-03-11,1.2857142857142858,1,9,0,0,0
2020-03-12,1.7142857142857142,3,12,0,0,0
2020-03-13,2.142857142857143,6,18,0,0,0
2020-03-14,3.4285714285714284,9,27,0,0,0
2020-03-15,2.7142857142857144,-3,24,0,0,0
2020-03-16,5.285714285714286,18,42,0,0,0
2020-03-17,7.428571428571429,18,60,0,0,0
2020-03-18,10.857142857142858,25,85,0,0,0
2020-03-19,13.571428571428571,22,107,0.14285714285714285,1,1
2020-03-20,18.714285714285715,42,149,0.2857142857142857,1,2
2020-03-21,23.714285714285715,44,193,0.2857142857142857,0,2
2020-03-22,31.428571428571427,51,244,0.42857142857142855,1,3
2020-03-23,35.42857142857143,46,290,0.42857142857142855,0,3
2020-03-24,41.285714285714285,59,349,0.5714285714285714,1,4
2020-03-25,48.57142857142857,76,425,0.5714285714285714,0,4
2020-03-26,68,158,583,0.42857142857142855,0,4
2020-03-27,89.42857142857143,192,775,0.42857142857142855,1,5
2020-03-28,114.57142857142857,220,995,0.42857142857142855,0,5
2020-03-29,142.14285714285714,244,1239,1,5,10
2020-03-30,160.42857142857142,174,1413,1.7142857142857142,5,15
2020-03-31,187.28571428571428,247,1660,2,3,18
2020-04-01,223,326,1986,3.857142857142857,13,31
2020-04-02,249.71428571428572,345,2331,4.571428571428571,5,36
2020-04-03,283.2857142857143,427,2758,5.428571428571429,7,43
2020-04-04,304.2857142857143,367,3125,7,11,54
2020-04-05,339.7142857142857,492,3617,8.142857142857142,13,67
2020-04-06,376,428,4045,10.857142857142858,24,91
2020-04-07,387.2857142857143,326,4371,12.142857142857142,12,103
2020-04-08,506.14285714285717,1158,5529,13.285714285714286,21,124
2020-04-09,550.5714285714286,656,6185,14.571428571428571,14,138
2020-04-10,601.4285714285714,783,6968,18.285714285714285,33,171
2020-04-11,652.7142857142857,726,7694,21.714285714285715,35,206
2020-04-12,658.2857142857143,531,8225,24.142857142857142,30,236
2020-04-13,698.7142857142857,711,8936,24.428571428571427,26,262
2020-04-14,728.7142857142857,536,9472,28.428571428571427,40,302
2020-04-15,643.2857142857143,560,10032,26.714285714285715,9,311
2020-04-16,657,752,10784,25.857142857142858,8,319
2020-04-17,657.7142857142857,788,11572,23.285714285714285,15,334
2020-04-18,661.7142857142857,754,12326,30.714285714285715,87,421
2020-04-19,660.2857142857143,521,12847,32.142857142857146,40,461
2020-04-20,678.2857142857143,837,13684,45.714285714285715,121,582
2020-04-21,674.4285714285714,509,14193,50,70,652
2020-04-22,677.5714285714286,582,14775,55.285714285714285,46,698
2020-04-23,707.5714285714286,962,15737,61.285714285714285,50,748
2020-04-24,720.5714285714286,879,16616,66.28571428571429,50,798
2020-04-25,777.1428571428571,1150,17766,64.85714285714286,77,875
2020-04-26,819.1428571428571,815,18581,64.14285714285714,35,910
2020-04-27,829,906,19487,51.857142857142854,35,945
2020-04-28,845.7142857142857,626,20113,52,71,1016
2020-04-29,867.7142857142857,736,20849,54.285714285714285,62,1078
2020-04-30,857.8571428571429,893,21742,56,62,1140
2020-05-01,979.4285714285714,1730,23472,40.285714285714285,-60,1080
2020-05-02,958.1428571428571,1001,24473,53.714285714285715,171,1251
2020-05-03,983,989,25462,53,30,1281
2020-05-04,988.7142857142857,946,26408,53.142857142857146,36,1317
2020-05-05,1000.5714285714286,709,27117,53.42857142857143,73,1390
2020-05-06,1044.857142857143,1046,28163,51.285714285714285,47,1437
2020-05-07,1090.2857142857142,1211,29374,51.857142857142854,66,1503
2020-05-08,1001.8571428571429,1111,30485,68.57142857142857,57,1560
2020-05-09,1008.7142857142857,1049,31534,51.857142857142854,54,1614
2020-05-10,1017.8571428571429,1053,32587,51.857142857142854,30,1644
2020-05-11,995,786,33373,52.285714285714285,39,1683
2020-05-12,992,688,34061,52.285714285714285,73,1756
2020-05-13,949.8571428571429,751,34812,53.142857142857146,53,1809
2020-05-14,932.7142857142857,1091,35903,51.857142857142854,57,1866
2020-05-15,928.7142857142857,1083,36986,50.142857142857146,45,1911
2020-05-16,919.1428571428571,982,37968,49,46,1957
2020-05-17,888.1428571428571,836,38804,49.714285714285715,35,1992
2020-05-18,912.7142857142857,958,39762,48.57142857142857,31,2023
2020-05-19,1069.2857142857142,1784,41546,46.42857142857143,58,2081
2020-05-20,1073,777,42323,44.857142857142854,42,2123
2020-05-21,1089.7142857142858,1208,43531,41.857142857142854,36,2159
2020-05-22,1062.5714285714287,893,44424,42.285714285714285,48,2207
2020-05-23,1075.2857142857142,1071,45495,40.857142857142854,36,2243
2020-05-24,1072.7142857142858,818,46313,40.714285714285715,34,2277
2020-05-25,1055.7142857142858,839,47152,39.857142857142854,25,2302
2020-05-26,877.2857142857143,535,47687,36,31,2333
2020-05-27,871.4285714285714,736,48423,38.42857142857143,59,2392
2020-05-28,882.5714285714286,1286,49709,38.42857142857143,36,2428
2020-05-29,937.7142857142857,1279,50988,37,38,2466
2020-05-30,931.4285714285714,1027,52015,38,43,2509
2020-05-31,923.5714285714286,763,52778,36.42857142857143,23,2532
2020-06-01,882.1428571428571,549,53327,35.714285714285715,20,2552
2020-06-02,926.8571428571429,848,54175,37.714285714285715,45,2597
2020-06-03,937,807,54982,35.57142857142857,44,2641
2020-06-04,878.4285714285714,876,55858,34.285714285714285,27,2668
2020-06-05,826,912,56770,33.714285714285715,34,2702
2020-06-06,781,712,57482,33,38,2740
2020-06-07,742.1428571428571,491,57973,31,9,2749
2020-06-08,725.2857142857143,431,58404,32,27,2776
2020-06-09,675.5714285714286,500,58904,30.571428571428573,35,2811
2020-06-10,640.4285714285714,561,59465,29,33,2844
2020-06-11,619.8571428571429,732,60197,29.571428571428573,31,2875
2020-06-12,549,416,60613,28.285714285714285,25,2900
2020-06-13,546.1428571428571,692,61305,26.571428571428573,26,2926
2020-06-14,532.5714285714286,396,61701,27.142857142857142,13,2939
2020-06-15,518.2857142857143,331,62032,24.428571428571427,8,2947
2020-06-16,500.7142857142857,377,62409,24.428571428571427,35,2982
2020-06-17,500.57142857142856,560,62969,21.714285714285715,14,2996
2020-06-18,433.14285714285717,260,63229,20.142857142857142,20,3016
2020-06-19,419.2857142857143,319,63548,18.571428571428573,14,3030
2020-06-20,378.7142857142857,408,63956,18,22,3052
2020-06-21,372.14285714285717,350,64306,18.142857142857142,14,3066
2020-06-22,367.2857142857143,297,64603,18.142857142857142,8,3074
2020-06-23,371.14285714285717,404,65007,15.714285714285714,18,3092
2020-06-24,338.2857142857143,330,65337,16,16,3108
2020-06-25,364,440,65777,16.142857142857142,21,3129
2020-06-26,366.7142857142857,338,66115,16,13,3142
2020-06-27,356.2857142857143,335,66450,15,15,3157
2020-06-28,353,327,66777,14.571428571428571,11,3168
2020-06-29,378.7142857142857,477,67254,14.428571428571429,7,3175
2020-06-30,364.57142857142856,305,67559,14,15,3190
2020-07-01,368.7142857142857,359,67918,13.857142857142858,15,3205
2020-07-02,378,505,68423,11.857142857142858,7,3212
2020-07-03,406.57142857142856,538,68961,11.571428571428571,11,3223
2020-07-04,413,380,69341,11.285714285714286,13,3236
2020-07-05,407.85714285714283,291,69632,10.714285714285714,7,3243
2020-07-06,378.57142857142856,272,69904,10.142857142857142,3,3246
2020-07-07,405.2857142857143,492,70396,10.857142857142858,20,3266
2020-07-08,420.42857142857144,465,70861,10,9,3275
2020-07-09,432,586,71447,10.857142857142858,13,3288
2020-07-10,421.2857142857143,463,71910,11.428571428571429,15,3303
2020-07-11,446.57142857142856,557,72467,10.571428571428571,7,3310
2020-07-12,496.7142857142857,642,73109,10.857142857142858,9,3319
2020-07-13,517.5714285714286,418,73527,11.285714285714286,6,3325
2020-07-14,552,733,74260,9.714285714285714,9,3334
2020-07-15,593.5714285714286,756,75016,9.428571428571429,7,3341
2020-07-16,602.4285714285714,648,75664,8.428571428571429,6,3347
2020-07-17,637.2857142857143,707,76371,8,12,3359
2020-07-18,677,835,77206,8.285714285714286,9,3368
2020-07-19,717.4285714285714,925,78131,8.285714285714286,9,3377
2020-07-20,736.8571428571429,554,78685,8.142857142857142,5,3382
2020-07-21,755,860,79545,9.714285714285714,20,3402
2020-07-22,736.5714285714286,627,80172,9.142857142857142,3,3405
2020-07-23,738.8571428571429,664,80836,8.857142857142858,4,3409
2020-07-24,770.7142857142857,930,81766,9,13,3422
2020-07-25,835.4285714285714,1288,83054,9.285714285714286,11,3433
2020-07-26,802.4285714285714,694,83748,9,7,3440
2020-07-27,884.4285714285714,1128,84876,9.285714285714286,7,3447
2020-07-28,854.1428571428571,648,85524,8,11,3458
2020-07-29,873.2857142857143,761,86285,10.428571428571429,20,3478
2020-07-30,905.8571428571429,892,87177,11.285714285714286,10,3488
2020-07-31,940,1169,88346,10.142857142857142,5,3493
2020-08-01,901.5714285714286,1019,89365,10.428571428571429,13,3506
2020-08-02,932.2857142857143,909,90274,10.714285714285714,9,3515
2020-08-03,895.4285714285714,870,91144,10.857142857142858,8,3523
2020-08-04,904.2857142857143,710,91854,10.285714285714286,7,3530
2020-08-05,877.2857142857143,572,92426,8.285714285714286,6,3536
2020-08-06,832.5714285714286,579,93005,9,15,3551
2020-08-07,780,801,93806,10.285714285714286,14,3565
2020-08-08,745.1428571428571,775,94581,10.142857142857142,12,3577
2020-08-09,747,922,95503,10,8,3585
2020-08-10,730.5714285714286,755,96258,9.714285714285714,6,3591
2020-08-11,712.7142857142857,585,96843,10.571428571428571,13,3604
2020-08-12,708.2857142857143,541,97384,10.857142857142858,8,3612
2020-08-13,736.4285714285714,776,98160,9.857142857142858,8,3620
2020-08-14,724.1428571428571,715,98875,9.428571428571429,11,3631
