,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,422.85714285714283
2020-12-21,0.0,938.0
2020-12-22,0.0,1337.857142857143
2020-12-23,2960.0,1607.4285714285713
2020-12-24,3606.0,1754.4285714285713
2020-12-25,2799.0,1896.4285714285713
2020-12-26,1887.0,3011.1428571428573
2020-12-27,1029.0,3738.8571428571427
2020-12-28,994.0,4701.285714285715
2020-12-29,7803.0,5308.285714285715
2020-12-30,8054.0,5337.428571428572
2020-12-31,10343.0,5707.285714285715
2021-01-01,7048.0,6411.428571428572
2021-01-02,2091.0,6900.142857142857
2021-01-03,3618.0,7258.0
2021-01-04,5923.0,7571.142857142857
2021-01-05,11224.0,8660.57142857143
2021-01-06,10559.0,10378.0
2021-01-07,12535.0,11804.714285714286
2021-01-08,14674.0,11497.142857142857
2021-01-09,14113.0,12124.0
2021-01-10,13605.0,12876.57142857143
2021-01-11,3770.0,13463.57142857143
2021-01-12,15612.0,14004.142857142857
2021-01-13,15827.0,15495.57142857143
2021-01-14,16644.0,14662.0
2021-01-15,18458.0,15562.57142857143
2021-01-16,24553.0,13332.285714285714
2021-01-17,7770.0,12578.0
2021-01-18,10074.0,12165.285714285714
2021-01-19,0.0,11751.57142857143
2021-01-20,10547.0,11085.0
2021-01-21,13755.0,16175.142857142857
2021-01-22,15562.0,14736.0
2021-01-23,19887.0,16832.428571428572
2021-01-24,43401.0,18714.85714285714
2021-01-25,0.0,20023.85714285714
2021-01-26,14675.0,22134.571428571428
2021-01-27,23724.0,24041.14285714286
2021-01-28,22918.0,22077.571428571428
2021-01-29,30337.0,25339.428571428572
2021-01-30,33233.0,24490.285714285714
2021-01-31,29656.0,22438.85714285714
2021-02-01,22833.0,26047.85714285714
2021-02-02,8731.0,21714.0
2021-02-03,9364.0,21558.0
2021-02-04,48181.0,22727.714285714286
2021-02-05,0.0,22063.285714285714
2021-02-06,32141.0,22194.85714285714
2021-02-07,37844.0,24870.714285714286
2021-02-08,18182.0,21446.0
2021-02-09,9652.0,26179.428571428572
2021-02-10,28095.0,26346.14285714286
2021-02-11,24208.0,29347.571428571428
2021-02-12,33134.0,26750.14285714286
2021-02-13,33308.0,27732.428571428572
2021-02-14,58854.0,25878.714285714286
2021-02-15,0.0,26360.14285714286
2021-02-16,16528.0,26469.571428571428
2021-02-17,15119.0,32301.714285714286
2021-02-18,27578.0,25305.0
2021-02-19,33900.0,30061.428571428572
2021-02-20,74133.0,34089.0
2021-02-21,9877.0,31929.14285714286
2021-02-22,33295.0,31918.0
2021-02-23,44721.0,32669.428571428572
2021-02-24,0.0,27864.85714285714
2021-02-25,27500.0,32315.428571428572
2021-02-26,39160.0,34030.71428571428
2021-02-27,40501.0,33094.57142857143
2021-02-28,41031.0,36841.0
2021-03-01,45302.0,42073.0
2021-03-02,38168.0,42627.857142857145
2021-03-03,26225.0,44105.142857142855
2021-03-04,64124.0,46529.0
2021-03-05,43044.0,49400.142857142855
2021-03-06,50842.0,43947.57142857143
2021-03-07,57998.0,46381.28571428572
2021-03-08,65400.0,43798.142857142855
2021-03-09,0.0,44967.28571428572
2021-03-10,43261.0,44437.71428571428
2021-03-11,46042.0,50800.57142857143
2021-03-12,51228.0,41457.71428571428
2021-03-13,47135.0,45630.0
2021-03-14,102538.0,45485.0
2021-03-15,0.0,45985.0
2021-03-16,29206.0,45523.42857142857
2021-03-17,42246.0,47354.142857142855
2021-03-18,49542.0,33224.857142857145
2021-03-19,47997.0,46570.42857142857
2021-03-20,59950.0,46983.57142857143
2021-03-21,3633.0,46253.857142857145
2021-03-22,93419.0,46675.57142857143
2021-03-23,32098.0,47693.857142857145
2021-03-24,37138.0,48810.0
2021-03-25,52494.0,57139.71428571428
2021-03-26,55125.0,51460.857142857145
2021-03-27,67763.0,51636.142857142855
2021-03-28,61941.0,54230.28571428572
2021-03-29,53667.0,57108.71428571428
2021-03-30,33325.0,59620.0
2021-03-31,55297.0,61244.71428571428
2021-04-01,72643.0,64164.0
2021-04-02,72704.0,64977.71428571428
2021-04-03,79136.0,63499.857142857145
2021-04-04,82376.0,62511.71428571428
2021-04-05,59363.0,63077.71428571428
2021-04-06,22980.0,76061.14285714286
2021-04-07,48380.0,78946.28571428571
2021-04-08,76605.0,76899.42857142857
2021-04-09,163588.0,68537.0
2021-04-10,99332.0,80427.85714285714
2021-04-11,68048.0,84373.28571428571
2021-04-12,826.0,83777.28571428571
2021-04-13,106216.0,72425.85714285714
2021-04-14,75998.0,58718.57142857143
2021-04-15,72433.0,68729.85714285714
2021-04-16,84128.0,75378.0
2021-04-17,3381.0,68155.42857142857
2021-04-18,138127.0,67699.28571428571
2021-04-19,47363.0,68340.85714285714
2021-04-20,55658.0,67507.57142857143
2021-04-21,72805.0,75903.71428571429
2021-04-22,76924.0,66090.28571428571
2021-04-23,78295.0,63416.857142857145
2021-04-24,62154.0,64235.71428571428
2021-04-25,69433.0,61963.28571428572
2021-04-26,28649.0,59704.42857142857
2021-04-27,61390.0,58711.857142857145
2021-04-28,56898.0,57618.57142857143
2021-04-29,61112.0,51586.0
2021-04-30,71347.0,51094.28571428572
2021-05-01,54501.0,46163.28571428572
2021-05-02,27205.0,47513.42857142857
2021-05-03,25207.0,44809.71428571428
2021-05-04,26873.0,43037.857142857145
2021-05-05,66349.0,44485.57142857143
2021-05-06,42186.0,47776.857142857145
2021-05-07,58944.0,50855.42857142857
2021-05-08,64635.0,53026.0
2021-05-09,50244.0,51087.28571428572
2021-05-10,46757.0,51572.0
2021-05-11,42067.0,50957.28571428572
2021-05-12,52778.0,49446.857142857145
2021-05-13,45579.0,48760.0
2021-05-14,54641.0,45806.0
2021-05-15,54062.0,43818.28571428572
2021-05-16,45436.0,47932.0
2021-05-17,26079.0,50071.142857142855
2021-05-18,28153.0,49353.142857142855
2021-05-19,81574.0,48358.857142857145
2021-05-20,60553.0,47155.71428571428
2021-05-21,49615.0,46344.0
2021-05-22,47102.0,45640.28571428572
2021-05-23,37014.0,41672.142857142855
2021-05-24,20397.0,38859.857142857145
2021-05-25,23227.0,35845.857142857145
2021-05-26,53797.0,33969.833333333336
2021-05-27,40867.0,33361.0
2021-05-28,28517.0,36602.0
