,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.14285714285714285
2020-01-27,0.0,0.14285714285714285
2020-01-28,0.0,0.14285714285714285
2020-01-29,1.0,0.14285714285714285
2020-01-30,0.0,0.14285714285714285
2020-01-31,0.0,0.14285714285714285
2020-02-01,0.0,0.14285714285714285
2020-02-02,0.0,0.0
2020-02-03,0.0,0.14285714285714285
2020-02-04,0.0,0.14285714285714285
2020-02-05,0.0,0.14285714285714285
2020-02-06,1.0,0.14285714285714285
2020-02-07,0.0,0.14285714285714285
2020-02-08,0.0,0.14285714285714285
2020-02-09,0.0,0.14285714285714285
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.14285714285714285
2020-02-28,0.0,0.14285714285714285
2020-02-29,0.0,0.2857142857142857
2020-03-01,1.0,0.5714285714285714
2020-03-02,0.0,1.7142857142857142
2020-03-03,1.0,3.7142857142857144
2020-03-04,2.0,10.0
2020-03-05,8.0,12.571428571428571
2020-03-06,14.0,13.285714285714286
2020-03-07,44.0,15.142857142857142
2020-03-08,19.0,18.0
2020-03-09,5.0,21.0
2020-03-10,14.0,27.714285714285715
2020-03-11,22.0,31.857142857142858
2020-03-12,29.0,38.857142857142854
2020-03-13,61.0,59.42857142857143
2020-03-14,73.0,92.85714285714286
2020-03-15,68.0,126.71428571428571
2020-03-16,149.0,162.28571428571428
2020-03-17,248.0,208.85714285714286
2020-03-18,259.0,244.42857142857142
2020-03-19,278.0,275.57142857142856
2020-03-20,387.0,341.14285714285717
2020-03-21,322.0,408.2857142857143
2020-03-22,286.0,478.14285714285717
2020-03-23,608.0,572.0
