,inpatient_beds_used_covid,7_day_avg
2020-03-27,63.0,95.25
2020-03-28,68.0,123.2
2020-03-29,97.0,152.33333333333334
2020-03-30,153.0,219.0
2020-03-31,235.0,300.0
2020-04-01,298.0,382.14285714285717
2020-04-02,619.0,461.7142857142857
2020-04-03,630.0,548.8571428571429
2020-04-04,643.0,629.0
2020-04-05,654.0,717.2857142857143
2020-04-06,763.0,780.7142857142857
2020-04-07,796.0,852.8571428571429
2020-04-08,916.0,927.1428571428571
2020-04-09,1063.0,999.7142857142857
2020-04-10,1135.0,1086.857142857143
2020-04-11,1163.0,1187.0
2020-04-12,1162.0,1274.5714285714287
2020-04-13,1373.0,1367.7142857142858
2020-04-14,1497.0,1444.142857142857
2020-04-15,1529.0,1510.857142857143
2020-04-16,1715.0,1575.142857142857
2020-04-17,1670.0,1598.4285714285713
2020-04-18,1630.0,1598.7142857142858
2020-04-19,1612.0,1595.5714285714287
2020-04-20,1536.0,1568.5714285714287
2020-04-21,1499.0,1947.857142857143
2020-04-22,1507.0,2328.4285714285716
2020-04-23,1526.0,2721.285714285714
2020-04-24,4325.0,3119.0
2020-04-25,4294.0,3526.8571428571427
2020-04-26,4362.0,3916.0
2020-04-27,4320.0,4290.0
2020-04-28,4354.0,4256.571428571428
2020-04-29,4231.0,4222.142857142857
2020-04-30,4144.0,4177.714285714285
2020-05-01,4091.0,4129.0
2020-05-02,4053.0,4072.1428571428573
2020-05-03,4051.0,4033.4285714285716
2020-05-04,3979.0,3980.1428571428573
2020-05-05,3956.0,3943.4285714285716
2020-05-06,3960.0,3890.8571428571427
2020-05-07,3771.0,3830.0
2020-05-08,3834.0,3780.4285714285716
2020-05-09,3685.0,3734.4285714285716
2020-05-10,3625.0,3657.8571428571427
2020-05-11,3632.0,3588.714285714286
2020-05-12,3634.0,3506.0
2020-05-13,3424.0,3437.5714285714284
2020-05-14,3287.0,3355.5714285714284
2020-05-15,3255.0,3265.285714285714
2020-05-16,3206.0,3170.1428571428573
2020-05-17,3051.0,3093.714285714286
2020-05-18,3000.0,3024.4285714285716
2020-05-19,2968.0,2950.4285714285716
2020-05-20,2889.0,2870.285714285714
2020-05-21,2802.0,2802.8571428571427
2020-05-22,2737.0,2732.8571428571427
2020-05-23,2645.0,2669.285714285714
2020-05-24,2579.0,2612.4285714285716
2020-05-25,2510.0,2566.714285714286
2020-05-26,2523.0,2513.285714285714
2020-05-27,2491.0,2453.0
2020-05-28,2482.0,2402.4285714285716
2020-05-29,2363.0,2331.285714285714
