,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.14285714285714285
2020-03-11,0.0,0.42857142857142855
2020-03-12,0.0,0.7142857142857143
2020-03-13,1.0,1.1428571428571428
2020-03-14,2.0,1.7142857142857142
2020-03-15,2.0,2.2857142857142856
2020-03-16,3.0,3.0
2020-03-17,4.0,3.5714285714285716
2020-03-18,4.0,9.571428571428571
2020-03-19,5.0,14.857142857142858
2020-03-20,5.0,22.142857142857142
2020-03-21,44.0,32.285714285714285
2020-03-22,39.0,45.142857142857146
2020-03-23,54.0,60.57142857142857
2020-03-24,75.0,81.85714285714286
2020-03-25,94.0,97.42857142857143
2020-03-26,113.0,122.14285714285714
2020-03-27,154.0,175.0
2020-03-28,153.0,239.57142857142858
2020-03-29,212.0,455.57142857142856
2020-03-30,424.0,763.4285714285714
2020-03-31,527.0,1091.2857142857142
2020-04-01,1606.0,1456.5714285714287
2020-04-02,2268.0,1828.857142857143
2020-04-03,2449.0,2191.1428571428573
2020-04-04,2710.0,2551.0
2020-04-05,2818.0,2752.285714285714
2020-04-06,2960.0,2857.8571428571427
2020-04-07,3046.0,2920.8571428571427
2020-04-08,3015.0,2935.285714285714
2020-04-09,3007.0,2933.4285714285716
2020-04-10,2890.0,2940.4285714285716
2020-04-11,2811.0,2933.714285714286
2020-04-12,2805.0,2905.4285714285716
2020-04-13,3009.0,2897.285714285714
2020-04-14,2999.0,2877.714285714286
2020-04-15,2817.0,2862.0
2020-04-16,2950.0,2851.5714285714284
2020-04-17,2753.0,2930.4285714285716
2020-04-18,2701.0,3002.4285714285716
2020-04-19,2732.0,3088.714285714286
2020-04-20,3561.0,3141.5714285714284
2020-04-21,3503.0,3219.714285714286
2020-04-22,3421.0,3281.0
2020-04-23,3320.0,3329.0
2020-04-24,3300.0,3253.1428571428573
2020-04-25,3130.0,3191.0
2020-04-26,3068.0,3129.8571428571427
2020-04-27,3030.0,3061.8571428571427
2020-04-28,3068.0,2972.8571428571427
2020-04-29,2993.0,2868.1428571428573
2020-04-30,2844.0,2772.285714285714
2020-05-01,2677.0,2682.0
2020-05-02,2397.0,2567.1428571428573
2020-05-03,2397.0,2457.8571428571427
2020-05-04,2398.0,2352.285714285714
2020-05-05,2264.0,2260.0
2020-05-06,2228.0,2192.1428571428573
2020-05-07,2105.0,2102.285714285714
2020-05-08,2031.0,2019.5714285714287
2020-05-09,1922.0,1964.7142857142858
2020-05-10,1768.0,1901.2857142857142
2020-05-11,1819.0,1848.4285714285713
2020-05-12,1880.0,1767.5714285714287
2020-05-13,1784.0,1691.142857142857
2020-05-14,1735.0,1614.2857142857142
2020-05-15,1465.0,1544.5714285714287
2020-05-16,1387.0,1472.4285714285713
2020-05-17,1230.0,1404.857142857143
2020-05-18,1331.0,1335.5714285714287
2020-05-19,1375.0,1294.7142857142858
2020-05-20,1311.0,1250.2857142857142
2020-05-21,1250.0,1234.2857142857142
2020-05-22,1179.0,1200.7142857142858
2020-05-23,1076.0,1171.0
2020-05-24,1118.0,1147.4285714285713
2020-05-25,1096.0,1125.4285714285713
2020-05-26,1167.0,1104.4285714285713
2020-05-27,1146.0,1095.142857142857
2020-05-28,1096.0,1088.0
2020-05-29,1032.0,1083.5714285714287
2020-05-30,1011.0,1066.857142857143
2020-05-31,1068.0,1045.857142857143
2020-06-01,1065.0,1027.0
2020-06-02,1050.0,1010.1428571428571
2020-06-03,999.0,982.8571428571429
2020-06-04,964.0,943.5714285714286
2020-06-05,914.0,902.8571428571429
2020-06-06,820.0,866.1428571428571
2020-06-07,793.0,834.2857142857143
2020-06-08,780.0,852.5714285714286
2020-06-09,793.0,873.4285714285714
2020-06-10,776.0,895.2857142857143
2020-06-11,1092.0,924.4285714285714
2020-06-12,1060.0,960.4285714285714
2020-06-13,973.0,942.5714285714286
2020-06-14,997.0,928.7142857142857
2020-06-15,1032.0,866.5714285714286
2020-06-16,668.0,801.7142857142857
2020-06-17,679.0,748.7142857142857
2020-06-18,657.0,695.0
2020-06-19,606.0,640.0
2020-06-20,602.0,640.0
2020-06-21,621.0,645.2857142857143
2020-06-22,647.0,650.7142857142857
2020-06-23,668.0,654.8571428571429
2020-06-24,716.0,658.0
2020-06-25,695.0,654.8571428571429
2020-06-26,635.0,649.8571428571429
2020-06-27,624.0,652.8571428571429
2020-06-28,599.0,645.2857142857143
2020-06-29,612.0,630.4285714285714
2020-06-30,689.0,626.5714285714286
2020-07-01,663.0,617.8571428571429
2020-07-02,591.0,618.5714285714286
2020-07-03,608.0,620.0
2020-07-04,563.0,602.0
2020-07-05,604.0,584.7142857142857
2020-07-06,622.0,583.1428571428571
2020-07-07,563.0,584.8571428571429
2020-07-08,542.0,580.0
2020-07-09,580.0,572.2857142857143
2020-07-10,620.0,568.2857142857143
2020-07-11,529.0,618.4285714285714
2020-07-12,550.0,662.1428571428571
2020-07-13,594.0,712.2857142857143
2020-07-14,914.0,748.5714285714286
2020-07-15,848.0,794.0
2020-07-16,931.0,818.1428571428571
2020-07-17,874.0,845.8571428571429
2020-07-18,847.0,818.5714285714286
2020-07-19,719.0,805.1428571428571
2020-07-20,788.0,775.7142857142857
2020-07-21,723.0,758.0
2020-07-22,754.0,736.7142857142857
2020-07-23,725.0,736.0
2020-07-24,750.0,723.2857142857143
2020-07-25,698.0,721.7142857142857
2020-07-26,714.0,714.1428571428571
2020-07-27,699.0,710.0
2020-07-28,712.0,708.4285714285714
2020-07-29,701.0,706.2857142857143
2020-07-30,696.0,697.0
2020-07-31,739.0,705.0
2020-08-01,683.0,712.1428571428571
2020-08-02,649.0,714.1428571428571
2020-08-03,755.0,714.2857142857143
2020-08-04,762.0,715.5714285714286
2020-08-05,715.0,715.7142857142857
2020-08-06,697.0,720.5714285714286
2020-08-07,748.0,713.2857142857143
2020-08-08,684.0,716.5714285714286
2020-08-09,683.0,725.0
2020-08-10,704.0,732.2857142857143
2020-08-11,785.0,730.1428571428571
2020-08-12,774.0,728.7142857142857
2020-08-13,748.0,724.8571428571429
2020-08-14,733.0,723.2857142857143
2020-08-15,674.0,710.2857142857143
2020-08-16,656.0,697.2857142857143
2020-08-17,693.0,686.5714285714286
2020-08-18,694.0,677.2857142857143
2020-08-19,683.0,675.0
2020-08-20,673.0,675.8571428571429
2020-08-21,668.0,673.5714285714286
2020-08-22,658.0,677.1428571428571
2020-08-23,662.0,680.4285714285714
2020-08-24,677.0,679.4285714285714
2020-08-25,719.0,676.8571428571429
2020-08-26,706.0,675.8571428571429
2020-08-27,666.0,676.0
2020-08-28,650.0,678.0
2020-08-29,651.0,673.5714285714286
2020-08-30,663.0,665.8571428571429
2020-08-31,691.0,662.7142857142857
2020-09-01,688.0,662.2857142857143
2020-09-02,652.0,660.7142857142857
2020-09-03,644.0,659.2857142857143
2020-09-04,647.0,655.4285714285714
2020-09-05,640.0,653.4285714285714
2020-09-06,653.0,657.1428571428571
2020-09-07,664.0,656.2857142857143
2020-09-08,674.0,651.0
2020-09-09,678.0,644.0
2020-09-10,638.0,641.0
2020-09-11,610.0,637.1428571428571
2020-09-12,591.0,629.2857142857143
2020-09-13,632.0,617.4285714285714
2020-09-14,637.0,611.1428571428571
2020-09-15,619.0,600.0
2020-09-16,595.0,594.5714285714286
2020-09-17,594.0,577.0
2020-09-18,532.0,564.7142857142857
2020-09-19,553.0,559.8571428571429
2020-09-20,509.0,562.1428571428571
2020-09-21,551.0,559.4285714285714
