,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0.14285714285714285,1,1,0,0,0
2020-03-07,0.14285714285714285,0,1,0,0,0
2020-03-08,0.14285714285714285,0,1,0,0,0
2020-03-09,0.2857142857142857,1,2,0,0,0
2020-03-10,0.2857142857142857,0,2,0,0,0
2020-03-11,0.7142857142857143,3,5,0,0,0
2020-03-12,1.2857142857142858,4,9,0,0,0
2020-03-13,1.8571428571428572,5,14,0,0,0
2020-03-14,2.857142857142857,7,21,0,0,0
2020-03-15,2.857142857142857,0,21,0,0,0
2020-03-16,7.285714285714286,32,53,0,0,0
2020-03-17,8.142857142857142,6,59,0,0,0
2020-03-18,10.285714285714286,18,77,0,0,0
2020-03-19,11.428571428571429,12,89,0,0,0
2020-03-20,14.142857142857142,24,113,0,0,0
2020-03-21,16.142857142857142,21,134,0.14285714285714285,1,1
2020-03-22,20.857142857142858,33,167,0.14285714285714285,0,1
2020-03-23,25.857142857142858,67,234,0.14285714285714285,0,1
2020-03-24,28.857142857142858,27,261,0.14285714285714285,0,1
2020-03-25,29.857142857142858,25,286,0.14285714285714285,0,1
2020-03-26,36.42857142857143,58,344,0.2857142857142857,1,2
2020-03-27,40.42857142857143,52,396,0.5714285714285714,2,4
2020-03-28,43.857142857142854,45,441,0.5714285714285714,1,5
2020-03-29,48,62,503,1.1428571428571428,4,9
2020-03-30,48.857142857142854,73,576,1.2857142857142858,1,10
2020-03-31,52.57142857142857,53,629,1.5714285714285714,2,12
2020-04-01,57.57142857142857,60,689,2.2857142857142856,5,17
2020-04-02,56.857142857142854,53,742,2.2857142857142856,1,18
2020-04-03,56,46,788,2.5714285714285716,4,22
2020-04-04,60.57142857142857,77,865,2.7142857142857144,2,24
2020-04-05,61.714285714285715,70,935,2.857142857142857,5,29
2020-04-06,58.57142857142857,51,986,2.857142857142857,1,30
2020-04-07,62.857142857142854,83,1069,3.142857142857143,4,34
2020-04-08,66.42857142857143,85,1154,3.142857142857143,5,39
2020-04-09,71.14285714285714,86,1240,4.571428571428571,11,50
2020-04-10,78.28571428571429,96,1336,5,7,57
2020-04-11,80.28571428571429,91,1427,5.714285714285714,7,64
2020-04-12,98,194,1621,5.857142857142857,6,70
2020-04-13,90.71428571428571,0,1621,5.714285714285714,0,70
2020-04-14,89.42857142857143,74,1695,6.428571428571429,9,79
2020-04-15,93.57142857142857,114,1809,6.857142857142857,8,87
2020-04-16,81.28571428571429,0,1809,5.285714285714286,0,87
2020-04-17,104.85714285714286,261,2070,7.714285714285714,24,111
2020-04-18,111.71428571428571,139,2209,8.142857142857142,10,121
2020-04-19,105,147,2356,9.142857142857142,13,134
2020-04-20,121.28571428571429,114,2470,10.428571428571429,9,143
2020-04-21,124.57142857142857,97,2567,11.571428571428571,17,160
2020-04-22,130.42857142857142,155,2722,13.142857142857142,19,179
2020-04-23,161.85714285714286,220,2942,16.142857142857142,21,200
2020-04-24,159.28571428571428,243,3185,15.714285714285714,21,221
2020-04-25,176.71428571428572,261,3446,17.571428571428573,23,244
2020-04-26,178,156,3602,19.714285714285715,28,272
2020-04-27,191.57142857142858,209,3811,20.428571428571427,14,286
2020-04-28,230.57142857142858,370,4181,20.142857142857142,15,301
2020-04-29,274.57142857142856,463,4644,20,18,319
2020-04-30,313.42857142857144,492,5136,20.428571428571427,24,343
2020-05-01,363.57142857142856,594,5730,21.285714285714285,27,370
2020-05-02,398,502,6232,21.428571428571427,24,394
2020-05-03,437.2857142857143,431,6663,20.857142857142858,24,418
2020-05-04,489,571,7234,20.142857142857142,9,427
2020-05-05,524.2857142857143,617,7851,22,28,455
2020-05-06,562.1428571428571,728,8579,23.714285714285715,30,485
2020-05-07,604.1428571428571,786,9365,23.571428571428573,23,508
2020-05-08,622.5714285714286,723,10088,23.428571428571427,26,534
2020-05-09,651.1428571428571,702,10790,23.428571428571427,24,558
2020-05-10,658.2857142857143,481,11271,22.857142857142858,20,578
2020-05-11,652.1428571428571,528,11799,23.428571428571427,13,591
2020-05-12,663.2857142857143,695,12494,22.714285714285715,23,614
2020-05-13,619.7142857142857,423,12917,21.857142857142858,24,638
2020-05-14,581.4285714285714,518,13435,23.428571428571427,34,672
2020-05-15,593.1428571428571,805,14240,22.571428571428573,20,692
2020-05-16,597,729,14969,21.571428571428573,17,709
2020-05-17,628.1428571428571,699,15668,21.857142857142858,22,731
2020-05-18,653.2857142857143,704,16372,21.285714285714285,9,740
2020-05-19,647.8571428571429,657,17029,20.428571428571427,17,757
2020-05-20,679,641,17670,21.142857142857142,29,786
2020-05-21,680.7142857142857,530,18200,20.857142857142858,32,818
2020-05-22,680.7142857142857,805,19005,22.714285714285715,33,851
2020-05-23,696.5714285714286,840,19845,21.714285714285715,10,861
2020-05-24,700.7142857142857,728,20573,21,17,878
2020-05-25,706.1428571428571,742,21315,21.428571428571427,12,890
2020-05-26,704.4285714285714,645,21960,21.571428571428573,18,908
2020-05-27,684.8571428571429,504,22464,22.285714285714285,34,942
2020-05-28,678.1428571428571,483,22947,22.714285714285715,35,977
2020-05-29,646.5714285714286,584,23531,22.142857142857142,29,1006
2020-05-30,620.7142857142857,659,24190,25,30,1036
2020-05-31,611,660,24850,24.571428571428573,14,1050
2020-06-01,556.1428571428571,358,25208,24.285714285714285,10,1060
2020-06-02,506.85714285714283,300,25508,24.857142857142858,22,1082
2020-06-03,486.57142857142856,362,25870,22.142857142857142,15,1097
2020-06-04,475.14285714285717,403,26273,21.285714285714285,29,1126
2020-06-05,492.7142857142857,707,26980,21.857142857142858,33,1159
2020-06-06,473,521,27501,20.714285714285715,22,1181
2020-06-07,433.7142857142857,385,27886,21,16,1197
2020-06-08,430.85714285714283,338,28224,21.142857142857142,11,1208
2020-06-09,430.7142857142857,299,28523,20.857142857142858,20,1228
2020-06-10,428.42857142857144,346,28869,24.285714285714285,39,1267
2020-06-11,434.7142857142857,447,29316,22,13,1280
2020-06-12,402.14285714285717,479,29795,20.857142857142858,25,1305
2020-06-13,381.57142857142856,377,30172,19,9,1314
2020-06-14,369.2857142857143,299,30471,18.857142857142858,15,1329
2020-06-15,352.7142857142857,222,30693,18.142857142857142,6,1335
2020-06-16,337,189,30882,16.571428571428573,9,1344
2020-06-17,346.7142857142857,414,31296,12.857142857142858,13,1357
2020-06-18,337,379,31675,13.714285714285714,19,1376
2020-06-19,319.42857142857144,356,32031,12.571428571428571,17,1393
2020-06-20,327.85714285714283,436,32467,12.857142857142858,11,1404
2020-06-21,349.85714285714283,453,32920,11.857142857142858,8,1412
2020-06-22,362,307,33227,11.571428571428571,4,1416
2020-06-23,369.57142857142856,242,33469,11.571428571428571,9,1425
2020-06-24,352.42857142857144,294,33763,10.714285714285714,7,1432
2020-06-25,349.7142857142857,360,34123,9.285714285714286,9,1441
2020-06-26,369.2857142857143,493,34616,7.571428571428571,5,1446
2020-06-27,366.57142857142856,417,35033,6.857142857142857,6,1452
2020-06-28,375.57142857142856,516,35549,6.857142857142857,8,1460
2020-06-29,376.2857142857143,312,35861,7.714285714285714,10,1470
2020-06-30,404.85714285714283,442,36303,7.285714285714286,6,1476
2020-07-01,421.85714285714283,413,36716,7.142857142857143,6,1482
2020-07-02,441,494,37210,7.714285714285714,13,1495
2020-07-03,429.7142857142857,414,37624,8.142857142857142,8,1503
2020-07-04,370.14285714285717,0,37624,7.285714285714286,0,1503
2020-07-05,369.57142857142856,512,38136,6.857142857142857,5,1508
2020-07-06,386.85714285714283,433,38569,5.857142857142857,3,1511
2020-07-07,404.2857142857143,564,39133,5.428571428571429,3,1514
2020-07-08,410.42857142857144,456,39589,5.857142857142857,9,1523
2020-07-09,421.85714285714283,574,40163,4.714285714285714,5,1528
2020-07-10,449,604,40767,4.285714285714286,5,1533
2020-07-11,563.8571428571429,804,41571,4.857142857142857,4,1537
2020-07-12,592.1428571428571,710,42281,4.571428571428571,3,1540
2020-07-13,600.4285714285714,491,42772,4.428571428571429,2,1542
2020-07-14,576.7142857142857,398,43170,4.857142857142857,6,1548
2020-07-15,593.2857142857143,572,43742,5,10,1558
2020-07-16,597.7142857142857,605,44347,5.428571428571429,8,1566
2020-07-17,606.5714285714286,666,45013,5.714285714285714,7,1573
2020-07-18,557,457,45470,5.857142857142857,5,1578
2020-07-19,560.4285714285714,734,46204,5.857142857142857,3,1581
2020-07-20,619.2857142857143,903,47107,6.142857142857143,4,1585
2020-07-21,612.4285714285714,350,47457,5.714285714285714,3,1588
2020-07-22,602.7142857142857,504,47961,4.857142857142857,4,1592
2020-07-23,624.8571428571429,760,48721,5,9,1601
2020-07-24,639.2857142857143,767,49488,4.714285714285714,5,1606
2020-07-25,688.7142857142857,803,50291,4.714285714285714,5,1611
2020-07-26,707,862,51153,4.714285714285714,3,1614
2020-07-27,670.8571428571429,650,51803,4.428571428571429,2,1616
2020-07-28,689.1428571428571,478,52281,4.571428571428571,4,1620
2020-07-29,712.2857142857143,666,52947,5.285714285714286,9,1629
2020-07-30,710.1428571428571,745,53692,4.714285714285714,5,1634
2020-07-31,710.7142857142857,771,54463,4.857142857142857,6,1640
2020-08-01,699.5714285714286,725,55188,5,6,1646
2020-08-02,684.8571428571429,759,55947,5.714285714285714,8,1654
2020-08-03,679.5714285714286,613,56560,5.714285714285714,2,1656
2020-08-04,697.2857142857143,602,57162,5.714285714285714,4,1660
2020-08-05,690.2857142857143,617,57779,5.857142857142857,10,1670
2020-08-06,706.8571428571429,861,58640,6.142857142857143,7,1677
2020-08-07,674.5714285714286,545,59185,5.857142857142857,4,1681
2020-08-08,701.8571428571429,916,60101,6.142857142857143,8,1689
2020-08-09,707.2857142857143,797,60898,6.285714285714286,9,1698
2020-08-10,708,618,61516,6.428571428571429,3,1701
2020-08-11,668.1428571428571,323,61839,6.714285714285714,6,1707
2020-08-12,646.2857142857143,464,62303,7.714285714285714,17,1724
2020-08-13,621.8571428571429,690,62993,7.714285714285714,7,1731
