,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,5002.142857142857
2020-12-27,0.0,5948.428571428572
2020-12-28,0.0,5948.428571428572
2020-12-29,35015.0,5948.428571428572
2020-12-30,6624.0,7716.857142857143
2020-12-31,0.0,7716.857142857143
2021-01-01,0.0,10771.857142857143
2021-01-02,12379.0,6120.428571428572
2021-01-03,0.0,5218.428571428572
2021-01-04,21385.0,6648.0
2021-01-05,2455.0,8512.57142857143
2021-01-06,310.0,8961.0
2021-01-07,10007.0,10751.857142857143
2021-01-08,13052.0,9891.857142857143
2021-01-09,15518.0,10284.57142857143
2021-01-10,12536.0,10661.857142857143
2021-01-11,15365.0,11177.42857142857
2021-01-12,5204.0,11835.42857142857
2021-01-13,2951.0,12402.142857142857
2021-01-14,13616.0,12700.42857142857
2021-01-15,17658.0,12186.714285714286
2021-01-16,19485.0,11443.285714285714
2021-01-17,14624.0,11876.42857142857
2021-01-18,11769.0,10070.57142857143
2021-01-19,0.0,8470.0
2021-01-20,5983.0,8245.142857142857
2021-01-21,975.0,9809.0
2021-01-22,6454.0,11235.42857142857
2021-01-23,17911.0,14646.42857142857
2021-01-24,25571.0,16311.142857142857
2021-01-25,21754.0,19432.0
2021-01-26,23877.0,22957.0
2021-01-27,17636.0,25698.428571428572
2021-01-28,22821.0,28359.14285714286
2021-01-29,31129.0,31349.714285714286
2021-01-30,37101.0,31986.571428571428
2021-01-31,44196.0,30355.714285714286
2021-02-01,42688.0,29494.428571428572
2021-02-02,28335.0,32484.285714285714
2021-02-03,6220.0,27550.14285714286
2021-02-04,16792.0,30715.14285714286
2021-02-05,52058.0,28291.428571428572
2021-02-06,2562.0,26558.14285714286
2021-02-07,66351.0,25669.571428571428
2021-02-08,25722.0,24374.85714285714
2021-02-09,16202.0,20429.428571428572
2021-02-10,0.0,24544.571428571428
2021-02-11,7729.0,21233.714285714286
2021-02-12,24440.0,22963.285714285714
2021-02-13,31368.0,24242.0
2021-02-14,43175.0,26013.428571428572
2021-02-15,37829.0,27176.0
2021-02-16,25153.0,28309.571428571428
2021-02-17,12400.0,35827.142857142855
2021-02-18,15867.0,35044.857142857145
2021-02-19,32375.0,35287.0
2021-02-20,83991.0,36467.857142857145
2021-02-21,37699.0,34696.42857142857
2021-02-22,39524.0,35121.42857142857
2021-02-23,33419.0,34739.0
2021-02-24,0.0,28877.85714285714
2021-02-25,18842.0,32138.85714285714
2021-02-26,29698.0,36735.0
2021-02-27,42963.0,37053.142857142855
2021-02-28,60526.0,39088.0
2021-03-01,71697.0,41204.57142857143
2021-03-02,35646.0,42011.142857142855
2021-03-03,14244.0,42969.28571428572
2021-03-04,33658.0,43672.71428571428
2021-03-05,35344.0,47381.57142857143
2021-03-06,49670.0,42289.28571428572
2021-03-07,65450.0,43302.42857142857
2021-03-08,97659.0,42062.0
2021-03-09,0.0,44387.857142857145
2021-03-10,21336.0,44589.57142857143
2021-03-11,24975.0,53277.42857142857
2021-03-12,51625.0,39326.142857142855
2021-03-13,51082.0,44532.28571428572
2021-03-14,126265.0,42737.0
2021-03-15,0.0,44097.28571428572
2021-03-16,36443.0,42263.857142857145
2021-03-17,8769.0,43687.0
2021-03-18,34497.0,34744.28571428572
2021-03-19,38791.0,43641.42857142857
2021-03-20,61044.0,43359.71428571428
2021-03-21,63666.0,43931.57142857143
2021-03-22,62280.0,42856.0
2021-03-23,34471.0,42595.28571428572
2021-03-24,12772.0,42645.42857142857
2021-03-25,26968.0,44831.57142857143
2021-03-26,36966.0,46535.28571428572
2021-03-27,61395.0,46411.28571428572
2021-03-28,78969.0,49772.57142857143
2021-03-29,74206.0,53041.142857142855
2021-03-30,33603.0,54720.71428571428
2021-03-31,36301.0,55455.142857142855
2021-04-01,49848.0,56853.57142857143
2021-04-02,48723.0,56660.28571428572
2021-04-03,66536.0,58254.71428571428
2021-04-04,88758.0,54663.28571428572
2021-04-05,72853.0,54754.71428571428
2021-04-06,44764.0,65758.14285714286
2021-04-07,11161.0,63583.0
2021-04-08,50488.0,63753.28571428572
2021-04-09,125747.0,66770.85714285714
2021-04-10,51310.0,63982.142857142855
2021-04-11,89950.0,65521.28571428572
2021-04-12,93976.0,66079.71428571429
2021-04-13,25243.0,57294.857142857145
2021-04-14,21935.0,57136.42857142857
2021-04-15,54397.0,54971.0
2021-04-16,64253.0,41673.28571428572
2021-04-17,50201.0,46945.28571428572
2021-04-18,74792.0,49325.57142857143
2021-04-19,892.0,48876.42857142857
2021-04-20,62147.0,49086.0
2021-04-21,38597.0,46621.57142857143
2021-04-22,51253.0,47388.57142857143
2021-04-23,65720.0,57431.142857142855
2021-04-24,32950.0,50693.0
2021-04-25,80161.0,51376.57142857143
2021-04-26,71190.0,50512.42857142857
2021-04-27,14980.0,49786.28571428572
2021-04-28,43382.0,54676.57142857143
2021-04-29,45204.0,50971.42857142857
2021-04-30,60637.0,43981.71428571428
2021-05-01,67182.0,41841.71428571428
2021-05-02,54225.0,41007.0
2021-05-03,22262.0,40487.0
2021-05-04,0.0,31900.428571428572
2021-05-05,37539.0,36284.71428571428
2021-05-06,41564.0,35202.142857142855
2021-05-07,531.0,36518.142857142855
2021-05-08,97872.0,39620.71428571428
2021-05-09,46647.0,38862.142857142855
2021-05-10,31474.0,38726.0
2021-05-11,21718.0,44260.57142857143
2021-05-12,32229.0,36980.42857142857
2021-05-13,40611.0,37403.857142857145
2021-05-14,39273.0,36683.28571428572
2021-05-15,46911.0,35760.142857142855
2021-05-16,49611.0,35524.71428571428
2021-05-17,26430.0,36349.142857142855
2021-05-18,15256.0,37225.0
2021-05-19,30581.0,39357.28571428572
2021-05-20,46382.0,37327.857142857145
2021-05-21,45404.0,37120.28571428572
2021-05-22,61837.0,36392.0
2021-05-23,35405.0,34721.71428571428
2021-05-24,24977.0,32718.714285714286
2021-05-25,10158.0,30380.428571428572
2021-05-26,18889.0,25137.666666666668
2021-05-27,32361.0,23084.2
2021-05-28,29036.0,22611.0
