,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,976.7142857142857
2020-12-28,0.0,976.7142857142857
2020-12-29,0.0,976.7142857142857
2020-12-30,6837.0,976.7142857142857
2020-12-31,0.0,976.7142857142857
2021-01-01,0.0,1473.5714285714287
2021-01-02,0.0,1732.5714285714287
2021-01-03,0.0,1522.5714285714287
2021-01-04,3478.0,1522.5714285714287
2021-01-05,1813.0,3072.5714285714284
2021-01-06,5367.0,4222.571428571428
2021-01-07,0.0,4954.428571428572
2021-01-08,10850.0,4555.428571428572
2021-01-09,8050.0,5345.714285714285
2021-01-10,5123.0,6100.0
2021-01-11,685.0,7876.857142857143
2021-01-12,7345.0,7869.714285714285
2021-01-13,10647.0,8537.57142857143
2021-01-14,12438.0,7805.714285714285
2021-01-15,10800.0,8506.857142857143
2021-01-16,12725.0,7457.571428571428
2021-01-17,0.0,7187.285714285715
2021-01-18,5593.0,7549.571428571428
2021-01-19,0.0,7963.571428571428
2021-01-20,8755.0,8074.428571428572
2021-01-21,14974.0,10062.57142857143
2021-01-22,13698.0,9263.57142857143
2021-01-23,13501.0,9921.57142857143
2021-01-24,13917.0,9961.0
2021-01-25,0.0,9462.0
2021-01-26,4606.0,9166.285714285714
2021-01-27,9031.0,8619.142857142857
2021-01-28,11481.0,8643.0
2021-01-29,11628.0,9020.42857142857
2021-01-30,9671.0,8498.857142857143
2021-01-31,14084.0,8737.857142857143
2021-02-01,2642.0,9327.857142857143
2021-02-02,955.0,9185.714285714286
2021-02-03,10704.0,11283.285714285714
2021-02-04,15611.0,12410.0
2021-02-05,10633.0,12032.57142857143
2021-02-06,24354.0,12872.857142857143
2021-02-07,21971.0,13679.142857142857
2021-02-08,0.0,14326.285714285714
2021-02-09,6837.0,15936.142857142857
2021-02-10,16348.0,15569.857142857143
2021-02-11,20141.0,15622.42857142857
2021-02-12,21902.0,16530.14285714286
2021-02-13,21790.0,15553.42857142857
2021-02-14,22339.0,13852.0
2021-02-15,6354.0,10974.714285714286
2021-02-16,0.0,8933.57142857143
2021-02-17,4438.0,8589.0
2021-02-18,0.0,6414.857142857143
2021-02-19,7614.0,6891.857142857143
2021-02-20,19378.0,8968.714285714286
2021-02-21,7120.0,8381.142857142857
2021-02-22,9693.0,11164.285714285714
2021-02-23,14538.0,13254.42857142857
2021-02-24,325.0,14117.0
2021-02-25,19482.0,16751.571428571428
2021-02-26,22245.0,18304.85714285714
2021-02-27,25416.0,18780.14285714286
2021-02-28,25562.0,20065.714285714286
2021-03-01,20566.0,20148.571428571428
2021-03-02,17865.0,20452.428571428572
2021-03-03,9324.0,20887.14285714286
2021-03-04,20062.0,21547.571428571428
2021-03-05,24372.0,22431.571428571428
2021-03-06,28459.0,19879.428571428572
2021-03-07,30185.0,20138.285714285714
2021-03-08,26754.0,20576.14285714286
2021-03-09,0.0,20889.0
2021-03-10,11136.0,21667.0
2021-03-11,23127.0,21964.714285714286
2021-03-12,26562.0,18537.714285714286
2021-03-13,33905.0,18537.714285714286
2021-03-14,32269.0,19297.714285714286
2021-03-15,2765.0,15993.857142857143
2021-03-16,0.0,16584.0
2021-03-17,16456.0,15353.42857142857
2021-03-18,0.0,14201.42857142857
2021-03-19,30693.0,14615.142857142857
2021-03-20,25291.0,15031.0
2021-03-21,24205.0,22923.285714285714
2021-03-22,5661.0,26682.285714285714
2021-03-23,2911.0,26434.571428571428
2021-03-24,71702.0,25799.285714285714
2021-03-25,26313.0,26220.0
2021-03-26,28959.0,31277.428571428572
2021-03-27,20844.0,28220.714285714286
2021-03-28,27150.0,21015.714285714286
2021-03-29,41063.0,21478.285714285714
2021-03-30,-18486.0,21783.0
2021-03-31,21267.0,20095.285714285714
2021-04-01,29551.0,22838.428571428572
2021-04-02,31092.0,17930.714285714286
2021-04-03,9030.0,21159.428571428572
2021-04-04,46352.0,20908.14285714286
2021-04-05,6709.0,20428.0
2021-04-06,4115.0,18317.571428571428
2021-04-07,19508.0,20691.571428571428
2021-04-08,26190.0,15095.57142857143
2021-04-09,16319.0,14769.714285714286
2021-04-10,25648.0,17280.85714285714
2021-04-11,7180.0,17058.714285714286
2021-04-12,4428.0,16205.285714285714
2021-04-13,21693.0,16283.0
2021-04-14,17953.0,15692.57142857143
2021-04-15,20216.0,15233.57142857143
2021-04-16,16863.0,15062.714285714286
2021-04-17,21515.0,13988.285714285714
2021-04-18,3967.0,13889.857142857143
2021-04-19,3232.0,13230.285714285714
2021-04-20,14172.0,12892.57142857143
2021-04-21,17264.0,9819.0
2021-04-22,15599.0,9252.285714285714
2021-04-23,14499.0,12101.57142857143
2021-04-24,0.0,11376.857142857143
2021-04-25,0.0,10887.42857142857
2021-04-26,23177.0,10547.57142857143
2021-04-27,9099.0,10167.42857142857
2021-04-28,13838.0,10167.42857142857
2021-04-29,13220.0,10167.42857142857
2021-04-30,11838.0,9004.285714285714
2021-05-01,0.0,7704.428571428572
2021-05-02,0.0,8426.285714285714
2021-05-03,15035.0,7968.428571428572
2021-05-04,0.0,7602.857142857143
2021-05-05,18891.0,7602.857142857143
2021-05-06,10015.0,7602.857142857143
2021-05-07,9279.0,8388.285714285714
2021-05-08,0.0,9322.285714285714
2021-05-09,0.0,7520.857142857143
2021-05-10,20533.0,7018.428571428572
2021-05-11,6538.0,6716.285714285715
2021-05-12,6281.0,6716.285714285715
2021-05-13,6498.0,6716.285714285715
2021-05-14,7164.0,5755.428571428572
2021-05-15,0.0,5548.142857142857
2021-05-16,0.0,5795.857142857143
2021-05-17,13807.0,5790.857142857143
2021-05-18,5087.0,6461.714285714285
2021-05-19,8015.0,6461.714285714285
2021-05-20,6463.0,6461.714285714285
2021-05-21,11860.0,6308.0
2021-05-22,0.0,6388.0
2021-05-23,0.0,6067.714285714285
2021-05-24,12731.0,6093.714285714285
2021-05-25,5647.0,5270.571428571428
2021-05-26,5773.0,6149.0
2021-05-27,6645.0,7378.8
2021-05-28,6098.0,6040.75
