,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0.14285714285714285,1,1,0,0,0
2020-03-04,0.14285714285714285,0,1,0,0,0
2020-03-05,0.14285714285714285,0,1,0,0,0
2020-03-06,0.14285714285714285,0,1,0,0,0
2020-03-07,0.14285714285714285,0,1,0,0,0
2020-03-08,0.2857142857142857,1,2,0,0,0
2020-03-09,0.2857142857142857,0,2,0,0,0
2020-03-10,0.14285714285714285,0,2,0,0,0
2020-03-11,0.14285714285714285,0,2,0,0,0
2020-03-12,0.14285714285714285,0,2,0,0,0
2020-03-13,0.7142857142857143,4,6,0,0,0
2020-03-14,0.8571428571428571,1,7,0,0,0
2020-03-15,0.8571428571428571,1,8,0,0,0
2020-03-16,1.5714285714285714,5,13,0,0,0
2020-03-17,2.857142857142857,9,22,0,0,0
2020-03-18,4.714285714285714,13,35,0.14285714285714285,1,1
2020-03-19,8,23,58,0.14285714285714285,0,1
2020-03-20,13.857142857142858,45,103,0.42857142857142855,2,3
2020-03-21,15.857142857142858,15,118,0.42857142857142855,0,3
2020-03-22,22.428571428571427,47,165,0.42857142857142855,0,3
2020-03-23,37.42857142857143,110,275,0.5714285714285714,1,4
2020-03-24,46.57142857142857,73,348,1.1428571428571428,4,8
2020-03-25,58.714285714285715,98,446,1.1428571428571428,1,9
2020-03-26,85.57142857142857,211,657,1.1428571428571428,0,9
2020-03-27,104.42857142857143,177,834,0.8571428571428571,0,9
2020-03-28,122.71428571428571,143,977,1.4285714285714286,4,13
2020-03-29,128.85714285714286,90,1067,1.8571428571428572,3,16
2020-03-30,162.85714285714286,348,1415,1.7142857142857142,0,16
2020-03-31,189.42857142857142,259,1674,1.5714285714285714,3,19
2020-04-01,211.14285714285714,250,1924,2.142857142857143,5,24
2020-04-02,211.85714285714286,216,2140,3.2857142857142856,8,32
2020-04-03,206.14285714285714,137,2277,5.142857142857143,13,45
2020-04-04,236,352,2629,5.428571428571429,6,51
2020-04-05,235.85714285714286,89,2718,6.857142857142857,13,64
2020-04-06,247.42857142857142,429,3147,8,8,72
2020-04-07,252.71428571428572,296,3443,10.428571428571429,20,92
2020-04-08,243,182,3625,11.857142857142858,15,107
2020-04-09,244.57142857142858,227,3852,13,16,123
2020-04-10,281.7142857142857,397,4249,12.571428571428571,10,133
2020-04-11,261,207,4456,13.428571428571429,12,145
2020-04-12,263.7142857142857,108,4564,13.285714285714286,12,157
2020-04-13,230.28571428571428,195,4759,13.571428571428571,10,167
2020-04-14,212.71428571428572,173,4932,13.285714285714286,18,185
2020-04-15,206.42857142857142,138,5070,13.571428571428571,17,202
2020-04-16,217.71428571428572,306,5376,13.285714285714286,14,216
2020-04-17,192.42857142857142,220,5596,13.714285714285714,13,229
2020-04-18,189.71428571428572,188,5784,13,7,236
2020-04-19,193.71428571428572,136,5920,12.142857142857142,6,242
2020-04-20,189.14285714285714,163,6083,13.714285714285714,21,263
2020-04-21,197.14285714285714,229,6312,13.714285714285714,18,281
2020-04-22,206.57142857142858,204,6516,14.142857142857142,20,301
2020-04-23,201.57142857142858,271,6787,14.428571428571429,16,317
2020-04-24,203.71428571428572,235,7022,16.285714285714285,26,343
2020-04-25,200.28571428571428,164,7186,17.285714285714285,14,357
2020-04-26,204,162,7348,18.857142857142858,17,374
2020-04-27,204.71428571428572,168,7516,18.857142857142858,21,395
2020-04-28,192.14285714285714,141,7657,18.285714285714285,14,409
2020-04-29,192.28571428571428,205,7862,17.714285714285715,16,425
2020-04-30,186.28571428571428,229,8091,18.142857142857142,19,444
2020-05-01,197.85714285714286,316,8407,16.428571428571427,14,458
2020-05-02,204.85714285714286,213,8620,16.571428571428573,15,473
2020-05-03,206,170,8790,16,13,486
2020-05-04,222,280,9070,14.714285714285714,12,498
2020-05-05,231.57142857142858,208,9278,16.857142857142858,29,527
2020-05-06,238.71428571428572,255,9533,16.714285714285715,15,542
2020-05-07,233.28571428571428,191,9724,17.428571428571427,24,566
2020-05-08,207.57142857142858,136,9860,18.428571428571427,21,587
2020-05-09,199.42857142857142,156,10016,17.857142857142858,11,598
2020-05-10,189.28571428571428,99,10115,17.571428571428573,11,609
2020-05-11,165.57142857142858,114,10229,18.285714285714285,17,626
2020-05-12,154.14285714285714,128,10357,15.714285714285714,11,637
2020-05-13,145.57142857142858,195,10552,16.571428571428573,21,658
2020-05-14,141.85714285714286,165,10717,14.857142857142858,12,670
2020-05-15,152.57142857142858,211,10928,14,15,685
2020-05-16,153.42857142857142,162,11090,14,11,696
2020-05-17,154.57142857142858,107,11197,13.428571428571429,7,703
2020-05-18,159,145,11342,13.285714285714286,16,719
2020-05-19,159.42857142857142,131,11473,13.857142857142858,15,734
2020-05-20,158.57142857142858,189,11662,12.428571428571429,11,745
2020-05-21,156.71428571428572,152,11814,12,9,754
2020-05-22,157.14285714285714,214,12028,11.142857142857142,9,763
2020-05-23,154.71428571428572,145,12173,10.571428571428571,7,770
2020-05-24,171.85714285714286,227,12400,10,3,773
2020-05-25,169.57142857142858,129,12529,8.428571428571429,5,778
2020-05-26,176.28571428571428,178,12707,7.571428571428571,9,787
2020-05-27,172.42857142857142,162,12869,5.428571428571429,-4,783
2020-05-28,180.42857142857142,208,13077,6,13,796
2020-05-29,172.57142857142858,159,13236,5.571428571428571,6,802
2020-05-30,175.28571428571428,164,13400,7.142857142857143,18,820
2020-05-31,165.71428571428572,160,13560,7,2,822
2020-06-01,179.42857142857142,225,13785,6.428571428571429,1,823
2020-06-02,193.28571428571428,275,14060,6.571428571428571,10,833
2020-06-03,206.42857142857142,254,14314,8,6,839
2020-06-04,216.28571428571428,277,14591,6.428571428571429,2,841
2020-06-05,216.85714285714286,163,14754,6.571428571428571,7,848
2020-06-06,234.14285714285714,285,15039,5.142857142857143,8,856
2020-06-07,224.57142857142858,93,15132,5.142857142857143,2,858
2020-06-08,221,200,15332,5.571428571428571,4,862
2020-06-09,211.28571428571428,207,15539,5.285714285714286,8,870
2020-06-10,203,196,15735,4.857142857142857,3,873
2020-06-11,192.71428571428572,205,15940,4.571428571428571,0,873
2020-06-12,176.71428571428572,51,15991,5.857142857142857,16,889
2020-06-13,168.42857142857142,227,16218,5.571428571428571,6,895
2020-06-14,160.71428571428572,39,16257,5.571428571428571,2,897
2020-06-15,182.14285714285714,350,16607,5.428571428571429,3,900
2020-06-16,190.42857142857142,265,16872,4.857142857142857,4,904
2020-06-17,193.85714285714286,220,17092,7.285714285714286,20,924
2020-06-18,209.28571428571428,313,17405,12.428571428571429,36,960
2020-06-19,245.71428571428572,306,17711,12,13,973
2020-06-20,272,411,18122,12.571428571428571,10,983
2020-06-21,328,431,18553,12.571428571428571,2,985
2020-06-22,305.42857142857144,192,18745,12.857142857142858,5,990
2020-06-23,333.85714285714283,464,19209,13.428571428571429,8,998
2020-06-24,352.14285714285717,348,19557,12,10,1008
2020-06-25,377.42857142857144,490,20047,7.142857142857143,2,1010
2020-06-26,409.2857142857143,529,20576,6.571428571428571,9,1019
2020-06-27,401.85714285714283,359,20935,5.857142857142857,5,1024
2020-06-28,369.7142857142857,206,21141,5.571428571428571,0,1024
2020-06-29,421.57142857142856,555,21696,5.142857142857143,2,1026
2020-06-30,429.2857142857143,518,22214,4.428571428571429,3,1029
2020-07-01,431.2857142857143,362,22576,5,14,1043
2020-07-02,440.85714285714283,557,23133,6.285714285714286,11,1054
2020-07-03,445,558,23691,5.428571428571429,3,1057
2020-07-04,458.85714285714283,456,24147,5.285714285714286,4,1061
2020-07-05,467,263,24410,5.428571428571429,1,1062
2020-07-06,453.42857142857144,460,24870,5.142857142857143,0,1062
2020-07-07,489.85714285714283,773,25643,7,16,1078
2020-07-08,546.5714285714286,759,26402,5.285714285714286,2,1080
2020-07-09,580.2857142857143,793,27195,4.285714285714286,4,1084
2020-07-10,599.1428571428571,690,27885,5.428571428571429,11,1095
2020-07-11,612.4285714285714,549,28434,5.857142857142857,7,1102
2020-07-12,616.5714285714286,292,28726,5.857142857142857,1,1103
2020-07-13,617.4285714285714,466,29192,7.714285714285714,13,1116
2020-07-14,647.1428571428571,981,30173,6.714285714285714,9,1125
2020-07-15,656.1428571428571,822,30995,7.285714285714286,6,1131
2020-07-16,662.2857142857143,836,31831,7,2,1133
2020-07-17,692.7142857142857,903,32734,6,4,1137
2020-07-18,747.7142857142857,934,33668,6.571428571428571,11,1148
2020-07-19,819.4285714285714,794,34462,6.428571428571429,0,1148
2020-07-20,844.5714285714286,642,35104,5,3,1151
2020-07-21,864.1428571428571,1118,36222,5.142857142857143,10,1161
2020-07-22,930.7142857142857,1288,37510,5.857142857142857,11,1172
2020-07-23,1032.2857142857142,1547,39057,9.857142857142858,30,1202
2020-07-24,1132.5714285714287,1605,40662,10.142857142857142,6,1208
2020-07-25,1195.142857142857,1372,42034,9.285714285714286,5,1213
2020-07-26,1249.2857142857142,1173,43207,10.571428571428571,9,1222
2020-07-27,1343.142857142857,1299,44506,11.857142857142858,12,1234
2020-07-28,1427.4285714285713,1708,46214,12,11,1245
2020-07-29,1496.5714285714287,1772,47986,11.428571428571429,7,1252
2020-07-30,1578,2117,50103,9.428571428571429,16,1268
2020-07-31,1559.7142857142858,1477,51580,10,10,1278
2020-08-01,1509.142857142857,1018,52598,10.857142857142858,11,1289
2020-08-02,1421.4285714285713,559,53157,9.714285714285714,1,1290
2020-08-03,1388.5714285714287,1069,54226,8.428571428571429,3,1293
2020-08-04,1322,1242,55468,8.714285714285714,13,1306
2020-08-05,1233.142857142857,1150,56618,8.857142857142858,8,1314
2020-08-06,1086.5714285714287,1091,57709,7.285714285714286,5,1319
2020-08-07,1033.4285714285713,1105,58814,9.285714285714286,24,1343
2020-08-08,909.4285714285714,150,58964,8.285714285714286,4,1347
2020-08-09,1021.4285714285714,1343,60307,9.142857142857142,7,1354
2020-08-10,1014.1428571428571,1018,61325,9.714285714285714,7,1361
2020-08-11,996.7142857142857,1120,62445,8.571428571428571,5,1366
2020-08-12,1057.2857142857142,1574,64019,8.571428571428571,8,1374
