,inpatient_beds_used_covid,7_day_avg
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.14285714285714285
2020-03-12,0.0,0.14285714285714285
2020-03-13,0.0,0.14285714285714285
2020-03-14,1.0,0.14285714285714285
2020-03-15,0.0,0.14285714285714285
2020-03-16,0.0,0.14285714285714285
2020-03-17,0.0,0.2857142857142857
2020-03-18,0.0,0.5714285714285714
2020-03-19,0.0,0.8571428571428571
2020-03-20,1.0,1.7142857142857142
2020-03-21,3.0,1.7142857142857142
2020-03-22,2.0,2.0
2020-03-23,6.0,2.2857142857142856
2020-03-24,0.0,4.285714285714286
2020-03-25,2.0,6.285714285714286
2020-03-26,2.0,8.571428571428571
2020-03-27,15.0,10.571428571428571
2020-03-28,17.0,15.428571428571429
2020-03-29,18.0,21.0
2020-03-30,20.0,28.285714285714285
2020-03-31,34.0,32.142857142857146
2020-04-01,41.0,35.285714285714285
2020-04-02,53.0,37.285714285714285
2020-04-03,42.0,39.285714285714285
2020-04-04,39.0,39.857142857142854
2020-04-05,32.0,39.857142857142854
2020-04-06,34.0,37.0
2020-04-07,38.0,35.42857142857143
2020-04-08,41.0,36.142857142857146
2020-04-09,33.0,36.714285714285715
2020-04-10,31.0,38.0
2020-04-11,44.0,39.42857142857143
2020-04-12,36.0,39.42857142857143
2020-04-13,43.0,39.0
2020-04-14,48.0,39.57142857142857
2020-04-15,41.0,38.142857142857146
2020-04-16,30.0,39.285714285714285
2020-04-17,35.0,38.0
2020-04-18,34.0,37.57142857142857
2020-04-19,44.0,36.285714285714285
2020-04-20,34.0,37.0
2020-04-21,45.0,36.285714285714285
2020-04-22,32.0,35.142857142857146
2020-04-23,35.0,34.0
2020-04-24,30.0,35.142857142857146
2020-04-25,26.0,35.285714285714285
2020-04-26,36.0,35.57142857142857
2020-04-27,42.0,33.714285714285715
2020-04-28,46.0,31.857142857142858
2020-04-29,34.0,30.714285714285715
2020-04-30,22.0,28.142857142857142
2020-05-01,17.0,25.142857142857142
2020-05-02,18.0,22.857142857142858
2020-05-03,18.0,21.857142857142858
2020-05-04,21.0,22.571428571428573
2020-05-05,30.0,24.0
2020-05-06,27.0,23.428571428571427
2020-05-07,27.0,23.142857142857142
2020-05-08,27.0,23.142857142857142
2020-05-09,14.0,21.571428571428573
2020-05-10,16.0,21.142857142857142
2020-05-11,21.0,21.714285714285715
2020-05-12,19.0,22.142857142857142
2020-05-13,24.0,22.142857142857142
2020-05-14,31.0,21.571428571428573
2020-05-15,30.0,21.714285714285715
2020-05-16,14.0,22.857142857142858
2020-05-17,12.0,22.0
2020-05-18,22.0,21.0
2020-05-19,27.0,20.714285714285715
2020-05-20,18.0,21.571428571428573
2020-05-21,24.0,21.857142857142858
2020-05-22,28.0,21.142857142857142
2020-05-23,20.0,20.428571428571427
2020-05-24,14.0,20.857142857142858
2020-05-25,17.0,19.714285714285715
2020-05-26,22.0,17.714285714285715
2020-05-27,21.0,16.571428571428573
2020-05-28,16.0,16.428571428571427
2020-05-29,14.0,17.0
2020-05-30,12.0,18.571428571428573
2020-05-31,13.0,18.142857142857142
2020-06-01,21.0,18.0
2020-06-02,33.0,17.714285714285715
2020-06-03,18.0,17.714285714285715
2020-06-04,15.0,18.0
2020-06-05,12.0,18.285714285714285
2020-06-06,12.0,17.285714285714285
2020-06-07,15.0,19.0
2020-06-08,23.0,19.857142857142858
2020-06-09,26.0,27.428571428571427
2020-06-10,30.0,27.571428571428573
2020-06-11,21.0,27.0
2020-06-12,65.0,27.428571428571427
2020-06-13,13.0,26.142857142857142
2020-06-14,11.0,24.571428571428573
2020-06-15,26.0,25.0
2020-06-16,17.0,19.0
2020-06-17,19.0,19.142857142857142
2020-06-18,24.0,20.285714285714285
2020-06-19,23.0,20.571428571428573
2020-06-20,14.0,21.428571428571427
2020-06-21,19.0,21.857142857142858
2020-06-22,28.0,21.428571428571427
2020-06-23,23.0,21.857142857142858
2020-06-24,22.0,24.0
2020-06-25,21.0,24.428571428571427
2020-06-26,26.0,24.428571428571427
2020-06-27,29.0,25.142857142857142
2020-06-28,22.0,25.142857142857142
2020-06-29,28.0,25.428571428571427
2020-06-30,28.0,25.142857142857142
2020-07-01,22.0,25.571428571428573
2020-07-02,23.0,27.285714285714285
2020-07-03,24.0,29.0
2020-07-04,32.0,32.142857142857146
2020-07-05,34.0,36.714285714285715
2020-07-06,40.0,40.285714285714285
2020-07-07,50.0,43.42857142857143
2020-07-08,54.0,45.714285714285715
2020-07-09,48.0,48.42857142857143
2020-07-10,46.0,44.857142857142854
2020-07-11,48.0,42.0
2020-07-12,53.0,48.857142857142854
2020-07-13,15.0,54.285714285714285
2020-07-14,30.0,57.857142857142854
2020-07-15,102.0,61.0
2020-07-16,86.0,63.714285714285715
2020-07-17,71.0,72.42857142857143
2020-07-18,70.0,81.71428571428571
2020-07-19,72.0,79.14285714285714
2020-07-20,76.0,76.57142857142857
2020-07-21,95.0,80.85714285714286
2020-07-22,84.0,83.57142857142857
2020-07-23,68.0,86.14285714285714
2020-07-24,101.0,87.57142857142857
2020-07-25,89.0,86.57142857142857
2020-07-26,90.0,83.14285714285714
2020-07-27,86.0,86.0
2020-07-28,88.0,84.85714285714286
2020-07-29,60.0,83.42857142857143
2020-07-30,88.0,82.85714285714286
2020-07-31,93.0,85.28571428571429
2020-08-01,79.0,84.71428571428571
2020-08-02,86.0,85.0
2020-08-03,103.0,81.0
2020-08-04,84.0,80.0
2020-08-05,62.0,79.57142857142857
2020-08-06,60.0,78.28571428571429
2020-08-07,86.0,75.28571428571429
2020-08-08,76.0,74.57142857142857
2020-08-09,77.0,76.28571428571429
2020-08-10,82.0,77.0
2020-08-11,79.0,75.85714285714286
2020-08-12,74.0,75.42857142857143
2020-08-13,65.0,76.0
2020-08-14,78.0,76.57142857142857
2020-08-15,73.0,76.0
2020-08-16,81.0,76.28571428571429
2020-08-17,86.0,76.42857142857143
2020-08-18,75.0,75.0
2020-08-19,76.0,75.0
2020-08-20,66.0,73.71428571428571
2020-08-21,68.0,72.71428571428571
2020-08-22,73.0,74.28571428571429
2020-08-23,72.0,77.28571428571429
2020-08-24,79.0,81.28571428571429
2020-08-25,86.0,85.14285714285714
2020-08-26,97.0,88.42857142857143
2020-08-27,94.0,92.28571428571429
2020-08-28,95.0,98.28571428571429
2020-08-29,96.0,105.0
2020-08-30,99.0,109.28571428571429
2020-08-31,121.0,113.71428571428571
2020-09-01,133.0,118.85714285714286
2020-09-02,127.0,123.57142857142857
2020-09-03,125.0,128.28571428571428
2020-09-04,131.0,131.42857142857142
2020-09-05,129.0,133.85714285714286
2020-09-06,132.0,135.28571428571428
2020-09-07,143.0,136.28571428571428
2020-09-08,150.0,133.57142857142858
2020-09-09,137.0,131.14285714285714
2020-09-10,132.0,128.14285714285714
2020-09-11,112.0,123.14285714285714
2020-09-12,112.0,116.85714285714286
2020-09-13,111.0,112.57142857142857
2020-09-14,108.0,108.57142857142857
2020-09-15,106.0,107.28571428571429
2020-09-16,107.0,106.85714285714286
2020-09-17,104.0,106.85714285714286
2020-09-18,103.0,108.42857142857143
2020-09-19,109.0,112.0
2020-09-20,111.0,114.85714285714286
2020-09-21,119.0,119.85714285714286
2020-09-22,131.0,129.42857142857142
2020-09-23,127.0,138.57142857142858
2020-09-24,139.0,150.42857142857142
2020-09-25,170.0,163.0
2020-09-26,173.0,175.28571428571428
2020-09-27,194.0,190.57142857142858
2020-09-28,207.0,203.0
2020-09-29,217.0,210.28571428571428
2020-09-30,234.0,215.14285714285714
2020-10-01,226.0,220.28571428571428
2020-10-02,221.0,227.14285714285714
