,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0.14285714285714285,1,1,0,0,0
2020-03-07,0.14285714285714285,0,1,0,0,0
2020-03-08,0.14285714285714285,0,1,0,0,0
2020-03-09,0.42857142857142855,2,3,0,0,0
2020-03-10,0.42857142857142855,0,3,0,0,0
2020-03-11,0.7142857142857143,2,5,0,0,0
2020-03-12,1.4285714285714286,5,10,0,0,0
2020-03-13,1.8571428571428572,4,14,0,0,0
2020-03-14,2.4285714285714284,4,18,0,0,0
2020-03-15,2.2857142857142856,-1,17,0,0,0
2020-03-16,2.142857142857143,1,18,0,0,0
2020-03-17,2.857142857142857,5,23,0,0,0
2020-03-18,2.7142857142857144,1,24,0,0,0
2020-03-19,2.7142857142857144,5,29,0,0,0
2020-03-20,3.2857142857142856,8,37,0,0,0
2020-03-21,2.857142857142857,1,38,0,0,0
2020-03-22,4.857142857142857,13,51,0,0,0
2020-03-23,4.714285714285714,0,51,0,0,0
2020-03-24,6.142857142857143,15,66,0,0,0
2020-03-25,6.714285714285714,5,71,0,0,0
2020-03-26,6.428571428571429,3,74,0,0,0
2020-03-27,6.428571428571429,8,82,0,0,0
2020-03-28,8.285714285714286,14,96,0.2857142857142857,2,2
2020-03-29,8.142857142857142,12,108,0.2857142857142857,0,2
2020-03-30,13.428571428571429,37,145,0.2857142857142857,0,2
2020-03-31,15.142857142857142,27,172,0.42857142857142855,1,3
2020-04-01,19.857142857142858,38,210,0.5714285714285714,1,4
2020-04-02,24.571428571428573,36,246,0.7142857142857143,1,5
2020-04-03,28.142857142857142,33,279,0.8571428571428571,1,6
2020-04-04,32.142857142857146,42,321,0.5714285714285714,0,6
2020-04-05,36.57142857142857,43,364,0.8571428571428571,2,8
2020-04-06,38.857142857142854,53,417,1,1,9
2020-04-07,39.285714285714285,30,447,1,1,10
2020-04-08,44.142857142857146,72,519,1.1428571428571428,2,12
2020-04-09,46,49,568,1.2857142857142858,2,14
2020-04-10,50.857142857142854,67,635,1.2857142857142858,1,15
2020-04-11,54,64,699,1.5714285714285714,2,17
2020-04-12,61,92,791,1.2857142857142858,0,17
2020-04-13,56.714285714285715,23,814,1.1428571428571428,0,17
2020-04-14,64.28571428571429,83,897,1.4285714285714286,3,20
2020-04-15,54.57142857142857,4,901,1.1428571428571428,0,20
2020-04-16,54.857142857142854,51,952,1,1,21
2020-04-17,61.57142857142857,114,1066,1.2857142857142858,3,24
2020-04-18,78.57142857142857,183,1249,1,0,24
2020-04-19,97.57142857142857,225,1474,1.5714285714285714,4,28
2020-04-20,119.14285714285714,174,1648,2.2857142857142856,5,33
2020-04-21,112.57142857142857,37,1685,1.8571428571428572,0,33
2020-04-22,130.28571428571428,128,1813,2.5714285714285716,5,38
2020-04-23,178.57142857142858,389,2202,3.7142857142857144,9,47
2020-04-24,194,222,2424,3.7142857142857144,3,50
2020-04-25,210,295,2719,3.7142857142857144,0,50
2020-04-26,222.28571428571428,311,3030,4,6,56
2020-04-27,244.28571428571428,328,3358,3.2857142857142856,0,56
2020-04-28,261.7142857142857,159,3517,3.2857142857142856,0,56
2020-04-29,291.14285714285717,334,3851,2.5714285714285716,0,56
2020-04-30,297,430,4281,3.2857142857142856,14,70
2020-05-01,369.14285714285717,727,5008,3.2857142857142856,3,73
2020-05-02,371.14285714285717,309,5317,3.2857142857142856,0,73
2020-05-03,375.85714285714283,344,5661,3.142857142857143,5,78
2020-05-04,382.7142857142857,376,6037,3.142857142857143,0,78
2020-05-05,408,336,6373,3.142857142857143,0,78
2020-05-06,405.42857142857144,316,6689,3.142857142857143,0,78
2020-05-07,436.14285714285717,645,7334,3,13,91
2020-05-08,401.42857142857144,484,7818,2.4285714285714284,-1,90
2020-05-09,396.57142857142856,275,8093,2.4285714285714284,0,90
2020-05-10,358.57142857142856,78,8171,1.7142857142857142,0,90
2020-05-11,338.57142857142856,236,8407,2.857142857142857,8,98
2020-05-12,308.42857142857144,125,8532,3.142857142857143,2,100
2020-05-13,317.57142857142856,380,8912,3.5714285714285716,3,103
2020-05-14,275.14285714285717,348,9260,1.7142857142857142,0,103
2020-05-15,256,350,9610,3.2857142857142856,10,113
2020-05-16,303.85714285714283,610,10220,4.714285714285714,10,123
2020-05-17,286.57142857142856,-43,10177,4.714285714285714,0,123
2020-05-18,316.85714285714283,448,10625,3.5714285714285716,0,123
2020-05-19,331.7142857142857,229,10854,3.2857142857142856,0,123
2020-05-20,315.7142857142857,268,11122,5,15,138
2020-05-21,309.57142857142856,305,11427,5,0,138
2020-05-22,293.14285714285717,235,11662,4.857142857142857,9,147
2020-05-23,249,301,11963,3.4285714285714284,0,147
2020-05-24,279.57142857142856,171,12134,3.4285714285714284,0,147
2020-05-25,248.14285714285714,228,12362,3.4285714285714284,0,147
2020-05-26,252.14285714285714,257,12619,3.4285714285714284,0,147
2020-05-27,266,365,12984,2.142857142857143,6,153
2020-05-28,260.2857142857143,265,13249,3.5714285714285716,10,163
2020-05-29,283.7142857142857,399,13648,2.4285714285714284,1,164
2020-05-30,277.42857142857144,257,13905,3.2857142857142856,6,170
2020-05-31,281,196,14101,3.2857142857142856,0,170
2020-06-01,283.2857142857143,244,14345,3.2857142857142856,0,170
2020-06-02,285.2857142857143,271,14616,3.2857142857142856,0,170
2020-06-03,271.57142857142856,269,14885,2.4285714285714284,0,170
2020-06-04,270,254,15139,3.4285714285714284,17,187
2020-06-05,251.14285714285714,267,15406,3.2857142857142856,0,187
2020-06-06,238.14285714285714,166,15572,2.4285714285714284,0,187
2020-06-07,223.28571428571428,92,15664,2.4285714285714284,0,187
2020-06-08,205.85714285714286,122,15786,2.5714285714285716,1,188
2020-06-09,186,132,15918,2.7142857142857144,1,189
2020-06-10,167.57142857142858,140,16058,3,2,191
2020-06-11,168,257,16315,3.5714285714285716,21,212
2020-06-12,159.42857142857142,207,16522,4,3,215
2020-06-13,152.57142857142858,118,16640,4,0,215
2020-06-14,152.28571428571428,90,16730,4,0,215
2020-06-15,152.14285714285714,121,16851,4.571428571428571,5,220
2020-06-16,160,187,17038,6,11,231
2020-06-17,167.57142857142858,193,17231,6.142857142857143,3,234
2020-06-18,157,183,17414,3.857142857142857,5,239
2020-06-19,152.28571428571428,174,17588,4.142857142857143,5,244
2020-06-20,152.42857142857142,119,17707,4.142857142857143,0,244
2020-06-21,154.57142857142858,105,17812,4.142857142857143,0,244
2020-06-22,158.85714285714286,151,17963,4.142857142857143,5,249
2020-06-23,151.57142857142858,136,18099,3.5714285714285716,7,256
2020-06-24,141.42857142857142,122,18221,3.2857142857142856,1,257
2020-06-25,133.14285714285714,125,18346,3,3,260
2020-06-26,133.71428571428572,178,18524,3.142857142857143,6,266
2020-06-27,152.57142857142858,251,18775,3.2857142857142856,1,267
2020-06-28,155.28571428571428,124,18899,3.2857142857142856,0,267
2020-06-29,154.14285714285714,143,19042,2.857142857142857,2,269
2020-06-30,154,135,19177,2.5714285714285716,5,274
2020-07-01,155.57142857142858,133,19310,2.7142857142857144,2,276
2020-07-02,158,142,19452,3.142857142857143,6,282
2020-07-03,162.28571428571428,208,19660,2.5714285714285716,2,284
2020-07-04,150.28571428571428,167,19827,2.4285714285714284,0,284
2020-07-05,147.14285714285714,102,19929,2.4285714285714284,0,284
2020-07-06,143.42857142857142,117,20046,2,-1,283
2020-07-07,146.28571428571428,155,20201,1.1428571428571428,-1,282
2020-07-08,159.28571428571428,224,20425,0.8571428571428571,0,282
2020-07-09,167.28571428571428,198,20623,0.2857142857142857,2,284
2020-07-10,159.57142857142858,154,20777,0.2857142857142857,2,286
2020-07-11,167.28571428571428,221,20998,0.14285714285714285,-1,285
2020-07-12,177.57142857142858,174,21172,0.14285714285714285,0,285
2020-07-13,193.28571428571428,227,21399,0.7142857142857143,3,288
2020-07-14,216.57142857142858,318,21717,0.5714285714285714,-2,286
2020-07-15,222,262,21979,1.2857142857142858,5,291
2020-07-16,215.85714285714286,155,22134,2.142857142857143,8,299
2020-07-17,226.28571428571428,227,22361,2.142857142857143,2,301
2020-07-18,211.85714285714286,120,22481,2.2857142857142856,0,301
2020-07-19,201.57142857142858,102,22583,2.2857142857142856,0,301
2020-07-20,206.85714285714286,264,22847,3.5714285714285716,12,313
2020-07-21,210.42857142857142,343,23190,3.4285714285714284,-3,310
2020-07-22,215.28571428571428,296,23486,2.857142857142857,1,311
2020-07-23,240.57142857142858,332,23818,2.4285714285714284,5,316
2020-07-24,259,356,24174,2.142857142857143,0,316
2020-07-25,273.42857142857144,221,24395,2.142857142857143,0,316
2020-07-26,290.7142857142857,223,24618,2.142857142857143,0,316
2020-07-27,293.14285714285717,281,24899,0.5714285714285714,1,317
2020-07-28,281,258,25157,1.5714285714285714,4,321
2020-07-29,276.57142857142856,265,25422,1.8571428571428572,3,324
2020-07-30,278.2857142857143,344,25766,1.7142857142857142,4,328
2020-07-31,291,445,26211,2.2857142857142856,4,332
2020-08-01,285.14285714285717,180,26391,2.2857142857142856,0,332
2020-08-02,297.7142857142857,311,26702,2.2857142857142856,0,332
2020-08-03,293.85714285714283,254,26956,1.5714285714285714,-4,328
2020-08-04,288.7142857142857,222,27178,1.5714285714285714,4,332
2020-08-05,295.2857142857143,311,27489,2.2857142857142856,8,340
2020-08-06,293.57142857142856,332,27821,1.7142857142857142,0,340
2020-08-07,270.42857142857144,283,28104,1.8571428571428572,5,345
2020-08-08,264.85714285714283,141,28245,1.8571428571428572,0,345
2020-08-09,247.14285714285714,187,28432,1.8571428571428572,0,345
2020-08-10,248.57142857142858,264,28696,2.857142857142857,3,348
2020-08-11,264.57142857142856,334,29030,2.7142857142857144,3,351
2020-08-12,250.71428571428572,214,29244,2.2857142857142856,5,356
2020-08-13,262.7142857142857,416,29660,2.857142857142857,4,360
2020-08-14,269.14285714285717,328,29988,2.2857142857142856,1,361
2020-08-15,285.14285714285717,253,30241,2.2857142857142856,0,361
