,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.14285714285714285
2020-03-03,0.0,0.2857142857142857
2020-03-04,0.0,0.2857142857142857
2020-03-05,1.0,0.5714285714285714
2020-03-06,1.0,0.5714285714285714
2020-03-07,0.0,0.5714285714285714
2020-03-08,2.0,1.0
2020-03-09,0.0,1.2857142857142858
2020-03-10,0.0,2.2857142857142856
2020-03-11,3.0,2.5714285714285716
2020-03-12,3.0,2.2857142857142856
2020-03-13,8.0,5.857142857142857
2020-03-14,2.0,7.285714285714286
2020-03-15,0.0,6.857142857142857
2020-03-16,25.0,12.142857142857142
2020-03-17,10.0,20.428571428571427
2020-03-18,0.0,20.142857142857142
2020-03-19,40.0,24.285714285714285
2020-03-20,66.0,28.571428571428573
2020-03-21,0.0,31.857142857142858
2020-03-22,29.0,38.285714285714285
2020-03-23,55.0,46.42857142857143
2020-03-24,33.0,53.57142857142857
2020-03-25,45.0,66.42857142857143
2020-03-26,97.0,104.28571428571429
2020-03-27,116.0,109.57142857142857
