,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0.14285714285714285,1,1,0,0,0
2020-03-03,0.2857142857142857,1,2,0,0,0
2020-03-04,0.2857142857142857,0,2,0,0,0
2020-03-05,0.2857142857142857,0,2,0,0,0
2020-03-06,0.2857142857142857,0,2,0,0,0
2020-03-07,0.2857142857142857,0,2,0,0,0
2020-03-08,0.5714285714285714,2,4,0,0,0
2020-03-09,0.42857142857142855,0,4,0,0,0
2020-03-10,0.2857142857142857,0,4,0,0,0
2020-03-11,0.42857142857142855,1,5,0,0,0
2020-03-12,0.5714285714285714,1,6,0,0,0
2020-03-13,0.5714285714285714,0,6,0,0,0
2020-03-14,0.7142857142857143,1,7,0,0,0
2020-03-15,0.42857142857142855,0,7,0,0,0
2020-03-16,1.8571428571428572,10,17,0,0,0
2020-03-17,3.142857142857143,9,26,0,0,0
2020-03-18,4.571428571428571,11,37,0,0,0
2020-03-19,5.142857142857143,5,42,0,0,0
2020-03-20,6.714285714285714,11,53,0,0,0
2020-03-21,7.714285714285714,8,61,0,0,0
2020-03-22,9.428571428571429,12,73,0,0,0
2020-03-23,12,28,101,0.14285714285714285,1,1
2020-03-24,10.714285714285714,0,101,0.14285714285714285,0,1
2020-03-25,10.142857142857142,7,108,0.14285714285714285,0,1
2020-03-26,13.571428571428571,29,137,0.14285714285714285,0,1
2020-03-27,15,21,158,0.14285714285714285,0,1
2020-03-28,18,29,187,0.2857142857142857,1,2
2020-03-29,20.142857142857142,27,214,0.2857142857142857,0,2
2020-03-30,30.428571428571427,100,314,0.2857142857142857,1,3
2020-03-31,36.57142857142857,43,357,0.2857142857142857,0,3
2020-04-01,37,10,367,0.2857142857142857,0,3
2020-04-02,48.857142857142854,112,479,0.2857142857142857,0,3
2020-04-03,45.857142857142854,0,479,0.5714285714285714,2,5
2020-04-04,50.42857142857143,61,540,0.7142857142857143,2,7
2020-04-05,58.142857142857146,81,621,1,2,9
2020-04-06,57.285714285714285,94,715,0.8571428571428571,0,9
2020-04-07,51.142857142857146,0,715,0.8571428571428571,0,9
2020-04-08,54.285714285714285,32,747,1.4285714285714286,4,13
2020-04-09,48.57142857142857,72,819,2.5714285714285716,8,21
2020-04-10,48.57142857142857,0,819,2.2857142857142856,0,21
2020-04-11,49.285714285714285,66,885,2.142857142857143,1,22
2020-04-12,44,44,929,2,1,23
2020-04-13,38.57142857142857,56,985,2,0,23
2020-04-14,29.571428571428573,-63,922,2.2857142857142856,2,25
2020-04-15,56,217,1139,2.7142857142857144,7,32
2020-04-16,45.714285714285715,0,1139,1.5714285714285714,0,32
2020-04-17,66.85714285714286,148,1287,2.2857142857142856,5,37
2020-04-18,65.28571428571429,55,1342,2.2857142857142856,1,38
2020-04-19,65.85714285714286,48,1390,2.142857142857143,0,38
2020-04-20,66,57,1447,2.7142857142857144,4,42
2020-04-21,81.14285714285714,43,1490,2.4285714285714284,0,42
2020-04-22,64.14285714285714,98,1588,2.2857142857142856,6,48
2020-04-23,75.85714285714286,82,1670,2.7142857142857144,3,51
2020-04-24,61.857142857142854,50,1720,2.2857142857142856,2,53
2020-04-25,65,77,1797,2.142857142857143,0,53
2020-04-26,67.71428571428571,67,1864,3.142857142857143,7,60
2020-04-27,70.14285714285714,74,1938,2.5714285714285716,0,60
2020-04-28,74.28571428571429,72,2010,2.5714285714285716,0,60
2020-04-29,67.14285714285714,48,2058,1.7142857142857142,0,60
2020-04-30,68,88,2146,3,12,72
2020-05-01,84.28571428571429,164,2310,4,9,81
2020-05-02,90.28571428571429,119,2429,4.428571428571429,3,84
2020-05-03,93.42857142857143,89,2518,3.7142857142857144,2,86
2020-05-04,92.85714285714286,70,2588,3.7142857142857144,0,86
2020-05-05,89.42857142857143,48,2636,4.571428571428571,6,92
2020-05-06,97.57142857142857,105,2741,4.571428571428571,0,92
2020-05-07,99.57142857142857,102,2843,6,22,114
2020-05-08,91,104,2947,5.714285714285714,7,121
2020-05-09,83.14285714285714,64,3011,6.714285714285714,10,131
2020-05-10,79,60,3071,6.714285714285714,2,133
2020-05-11,81.71428571428571,89,3160,6.714285714285714,0,133
2020-05-12,86.14285714285714,79,3239,7.142857142857143,9,142
2020-05-13,79.71428571428571,60,3299,8.285714285714286,8,150
2020-05-14,77,83,3382,5.285714285714286,1,151
2020-05-15,72.28571428571429,71,3453,5.428571428571429,8,159
2020-05-16,77.85714285714286,103,3556,5.714285714285714,12,171
2020-05-17,75,40,3596,5.571428571428571,1,172
2020-05-18,70.28571428571429,56,3652,5.571428571428571,0,172
2020-05-19,68.85714285714286,69,3721,4.285714285714286,0,172
2020-05-20,81.28571428571429,147,3868,5.714285714285714,18,190
2020-05-21,79,67,3935,6.857142857142857,9,199
2020-05-22,80.14285714285714,79,4014,6.428571428571429,5,204
2020-05-23,76.14285714285714,75,4089,5.285714285714286,4,208
2020-05-24,79,60,4149,5.285714285714286,1,209
2020-05-25,77.85714285714286,48,4197,5.428571428571429,1,210
2020-05-26,72.85714285714286,34,4231,6,4,214
2020-05-27,59.714285714285715,55,4286,4.714285714285714,9,223
2020-05-28,64.85714285714286,103,4389,4.714285714285714,9,232
2020-05-29,68.28571428571429,103,4492,4.857142857142857,6,238
2020-05-30,57.57142857142857,0,4492,4.285714285714286,0,238
2020-05-31,71.71428571428571,159,4651,5.142857142857143,7,245
2020-06-01,69.71428571428571,34,4685,5,0,245
2020-06-02,74,64,4749,6,11,256
2020-06-03,72.71428571428571,46,4795,6,9,265
2020-06-04,69.57142857142857,81,4876,5.857142857142857,8,273
2020-06-05,65.85714285714286,77,4953,5.714285714285714,5,278
2020-06-06,75.28571428571429,66,5019,6.428571428571429,5,283
2020-06-07,56,24,5043,5.857142857142857,3,286
2020-06-08,56.285714285714285,36,5079,5.857142857142857,0,286
2020-06-09,47.142857142857146,0,5079,4.285714285714286,0,286
2020-06-10,54.714285714285715,99,5178,5.142857142857143,15,301
2020-06-11,47.57142857142857,31,5209,5,7,308
2020-06-12,42.57142857142857,42,5251,5.285714285714286,7,315
2020-06-13,40,48,5299,5,3,318
2020-06-14,39.285714285714285,19,5318,4.857142857142857,2,320
2020-06-15,38,27,5345,4.857142857142857,0,320
2020-06-16,40.714285714285715,19,5364,5.714285714285714,6,326
2020-06-17,36.857142857142854,72,5436,4.142857142857143,4,330
2020-06-18,34.42857142857143,14,5450,3.2857142857142856,1,331
2020-06-19,33.57142857142857,36,5486,3.142857142857143,6,337
2020-06-20,31.285714285714285,32,5518,3,2,339
2020-06-21,32.285714285714285,26,5544,2.7142857142857144,0,339
2020-06-22,30.428571428571427,14,5558,2.7142857142857144,0,339
2020-06-23,29.571428571428573,13,5571,2.4285714285714284,4,343
2020-06-24,23.142857142857142,27,5598,2.4285714285714284,4,347
2020-06-25,26.857142857142858,40,5638,3.7142857142857144,10,357
2020-06-26,26.428571428571427,33,5671,4,8,365
2020-06-27,28.428571428571427,46,5717,4,2,367
2020-06-28,29,30,5747,4,0,367
2020-06-29,28.857142857142858,13,5760,4,0,367
2020-06-30,30.142857142857142,22,5782,4,4,371
2020-07-01,29.142857142857142,20,5802,3.7142857142857144,2,373
2020-07-02,26.285714285714285,20,5822,2.5714285714285716,2,375
2020-07-03,26.571428571428573,35,5857,1.5714285714285714,1,376
2020-07-04,22.142857142857142,15,5872,1.7142857142857142,3,379
2020-07-05,21.428571428571427,25,5897,2,2,381
2020-07-06,22,17,5914,2.142857142857143,1,382
2020-07-07,21.428571428571427,18,5932,1.8571428571428572,2,384
2020-07-08,21.428571428571427,20,5952,1.8571428571428572,2,386
2020-07-09,21.571428571428573,21,5973,1.7142857142857142,1,387
2020-07-10,19.142857142857142,18,5991,2,3,390
2020-07-11,21.714285714285715,33,6024,1.7142857142857142,1,391
2020-07-12,22.428571428571427,30,6054,1.4285714285714286,0,391
2020-07-13,22,14,6068,1.2857142857142858,0,391
2020-07-14,22.714285714285715,23,6091,1.1428571428571428,1,392
2020-07-15,23,22,6113,1.1428571428571428,2,394
2020-07-16,23.714285714285715,26,6139,1.1428571428571428,1,395
2020-07-17,24.857142857142858,26,6165,0.7142857142857143,0,395
2020-07-18,23.428571428571427,23,6188,0.7142857142857143,1,396
2020-07-19,21.285714285714285,15,6203,1,2,398
2020-07-20,25.857142857142858,46,6249,1,0,398
2020-07-21,24.428571428571427,13,6262,1.1428571428571428,2,400
2020-07-22,26,33,6295,1.1428571428571428,2,402
2020-07-23,25.571428571428573,23,6318,1.4285714285714286,3,405
2020-07-24,30,57,6375,1.7142857142857142,2,407
2020-07-25,32.42857142857143,40,6415,1.8571428571428572,2,409
2020-07-26,33.285714285714285,21,6436,1.5714285714285714,0,409
2020-07-27,27.428571428571427,5,6441,1.5714285714285714,0,409
2020-07-28,34,59,6500,1.2857142857142858,0,409
2020-07-29,31.142857142857142,13,6513,1.2857142857142858,2,411
2020-07-30,32.285714285714285,31,6544,1.4285714285714286,4,415
2020-07-31,29.714285714285715,39,6583,1.1428571428571428,0,415
2020-08-01,28.428571428571427,31,6614,1,1,416
2020-08-02,28.285714285714285,20,6634,1.1428571428571428,1,417
2020-08-03,31.285714285714285,26,6660,1.1428571428571428,0,417
2020-08-04,27.571428571428573,33,6693,1.2857142857142858,1,418
2020-08-05,29.428571428571427,26,6719,1,0,418
2020-08-06,28.285714285714285,23,6742,0.5714285714285714,1,419
2020-08-07,28,37,6779,0.5714285714285714,0,419
2020-08-08,29.142857142857142,39,6818,0.42857142857142855,0,419
2020-08-09,28.714285714285715,17,6835,0.2857142857142857,0,419
2020-08-10,25.714285714285715,5,6840,0.2857142857142857,0,419
2020-08-11,24,21,6861,0.14285714285714285,0,419
2020-08-12,24,26,6887,0.2857142857142857,1,420
2020-08-13,25.571428571428573,34,6921,0.42857142857142855,2,422
2020-08-14,26.428571428571427,43,6964,0.5714285714285714,1,423
2020-08-15,23.142857142857142,16,6980,0.5714285714285714,0,423
2020-08-16,21.857142857142858,8,6988,0.5714285714285714,0,423
2020-08-17,23.428571428571427,16,7004,0.5714285714285714,0,423
