,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,0.0,0.0
2021-01-13,0.0,0.0
2021-01-14,0.0,0.0
2021-01-15,0.0,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,0.0
2021-01-18,0.0,551.7142857142857
2021-01-19,0.0,1297.5714285714287
2021-01-20,0.0,2005.5714285714287
2021-01-21,3862.0,2608.5714285714284
2021-01-22,5221.0,3111.714285714286
2021-01-23,4956.0,3295.285714285714
2021-01-24,4221.0,3635.1428571428573
2021-01-25,3522.0,3951.714285714286
2021-01-26,1285.0,4258.857142857143
2021-01-27,2379.0,4544.714285714285
2021-01-28,6078.0,4846.285714285715
2021-01-29,7371.0,4996.428571428572
2021-01-30,6957.0,5127.428571428572
2021-01-31,6332.0,5542.428571428572
2021-02-01,4573.0,5027.285714285715
2021-02-02,2202.0,4947.857142857143
2021-02-03,5284.0,5105.285714285715
2021-02-04,2472.0,5348.285714285715
2021-02-05,6815.0,5367.714285714285
2021-02-06,8059.0,5155.428571428572
2021-02-07,8033.0,4704.0
2021-02-08,4709.0,5417.285714285715
2021-02-09,716.0,5573.857142857143
2021-02-10,2124.0,5424.142857142857
2021-02-11,7465.0,5642.428571428572
2021-02-12,7911.0,6093.428571428572
2021-02-13,7011.0,5991.142857142857
2021-02-14,9561.0,6846.0
2021-02-15,7866.0,6017.714285714285
2021-02-16,0.0,6108.571428571428
2021-02-17,8108.0,7181.714285714285
2021-02-18,1667.0,7088.714285714285
2021-02-19,8547.0,7466.857142857143
2021-02-20,14523.0,9389.42857142857
2021-02-21,8910.0,8231.142857142857
2021-02-22,10513.0,9131.285714285714
2021-02-23,13458.0,9197.857142857143
2021-02-24,0.0,8355.42857142857
2021-02-25,7968.0,8639.0
2021-02-26,9013.0,8684.714285714286
2021-02-27,8626.0,7219.857142857143
2021-02-28,10895.0,8038.714285714285
2021-03-01,10833.0,8178.428571428572
2021-03-02,3204.0,8368.142857142857
2021-03-03,5732.0,8374.714285714286
2021-03-04,8946.0,8620.285714285714
2021-03-05,10341.0,9126.142857142857
2021-03-06,8672.0,9875.0
2021-03-07,12614.0,9056.142857142857
2021-03-08,14374.0,9411.714285714286
2021-03-09,8446.0,9833.285714285714
2021-03-10,0.0,10399.857142857143
2021-03-11,11435.0,12797.857142857143
2021-03-12,13292.0,10744.42857142857
2021-03-13,12638.0,10185.0
2021-03-14,29400.0,11078.42857142857
2021-03-15,0.0,10484.57142857143
2021-03-16,4530.0,10138.285714285714
2021-03-17,6254.0,9945.0
2021-03-18,7278.0,7675.142857142857
2021-03-19,10868.0,9893.142857142857
2021-03-20,11285.0,10335.857142857143
2021-03-21,13511.0,10574.285714285714
2021-03-22,15526.0,10875.857142857143
2021-03-23,7629.0,10934.57142857143
2021-03-24,7923.0,10528.714285714286
2021-03-25,9389.0,10228.0
2021-03-26,11279.0,9785.285714285714
2021-03-27,8444.0,9283.57142857143
2021-03-28,11406.0,14079.857142857143
2021-03-29,12427.0,15306.714285714286
2021-03-30,4117.0,20212.428571428572
2021-03-31,41497.0,20918.571428571428
2021-04-01,17977.0,25560.285714285714
2021-04-02,45619.0,25118.85714285714
2021-04-03,13387.0,27730.285714285714
2021-04-04,43898.0,22409.0
2021-04-05,9337.0,23905.0
2021-04-06,22397.0,25917.0
2021-04-07,4248.0,28803.428571428572
2021-04-08,28449.0,27582.571428571428
2021-04-09,59703.0,29205.14285714286
2021-04-10,33592.0,28565.571428571428
2021-04-11,35352.0,29586.428571428572
2021-04-12,20695.0,31539.0
2021-04-13,17920.0,26647.714285714286
2021-04-14,11394.0,23706.714285714286
2021-04-15,42117.0,20183.14285714286
2021-04-16,25464.0,17671.714285714286
2021-04-17,13005.0,15984.0
2021-04-18,10687.0,15137.42857142857
2021-04-19,3115.0,9597.57142857143
2021-04-20,6106.0,6403.571428571428
2021-04-21,5468.0,5025.0
2021-04-22,3338.0,3993.0
2021-04-23,3106.0,3923.714285714286
2021-04-24,3355.0,3401.4285714285716
2021-04-25,3463.0,2984.1428571428573
2021-04-26,2630.0,2996.714285714286
2021-04-27,2450.0,3088.0
2021-04-28,2547.0,3390.4285714285716
2021-04-29,3426.0,3428.8571428571427
2021-04-30,3745.0,3423.8571428571427
2021-05-01,5472.0,3073.8571428571427
2021-05-02,3732.0,3533.714285714286
2021-05-03,2595.0,3044.285714285714
2021-05-04,0.0,-47.285714285714285
2021-05-05,5766.0,-386.0
2021-05-06,0.0,-379.57142857142856
2021-05-07,-17896.0,-371.85714285714283
2021-05-08,3101.0,-195.0
2021-05-09,3777.0,-459.0
2021-05-10,2649.0,5993.285714285715
2021-05-11,1238.0,9003.857142857143
2021-05-12,3918.0,9027.285714285714
2021-05-13,45166.0,8990.57142857143
2021-05-14,3178.0,8986.42857142857
2021-05-15,3265.0,9293.0
2021-05-16,3520.0,16521.0
2021-05-17,2620.0,10638.142857142857
2021-05-18,3384.0,18265.0
2021-05-19,54514.0,18262.571428571428
2021-05-20,3986.0,18302.285714285714
2021-05-21,56566.0,18789.428571428572
2021-05-22,3248.0,18633.571428571428
2021-05-23,3798.0,11180.142857142857
2021-05-24,6030.0,14279.0
2021-05-25,2293.0,7462.571428571428
2021-05-26,2340.0,8165.0
2021-05-27,25678.0,9038.4
2021-05-28,8851.0,9790.5
