,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,4907.285714285715
2020-12-22,0.0,4907.285714285715
2020-12-23,0.0,4907.285714285715
2020-12-24,34351.0,4907.285714285715
2020-12-25,0.0,4907.285714285715
2020-12-26,0.0,4907.285714285715
2020-12-27,0.0,8678.857142857143
2020-12-28,0.0,5165.285714285715
2020-12-29,0.0,5165.285714285715
2020-12-30,26401.0,5165.285714285715
2020-12-31,9756.0,5165.285714285715
2021-01-01,0.0,9273.857142857143
2021-01-02,0.0,9273.857142857143
2021-01-03,0.0,5502.285714285715
2021-01-04,28760.0,4108.571428571428
2021-01-05,0.0,4108.571428571428
2021-01-06,0.0,4108.571428571428
2021-01-07,0.0,4108.571428571428
2021-01-08,0.0,10534.285714285714
2021-01-09,0.0,20331.0
2021-01-10,0.0,25100.14285714286
2021-01-11,73740.0,26631.85714285714
2021-01-12,68577.0,29882.571428571428
2021-01-13,33384.0,33538.57142857143
2021-01-14,10722.0,35285.28571428572
2021-01-15,22755.0,27264.714285714286
2021-01-16,25592.0,17468.0
2021-01-17,12227.0,18563.714285714286
2021-01-18,17596.0,21317.714285714286
2021-01-19,0.0,23587.0
2021-01-20,41054.0,24844.571428571428
2021-01-21,30000.0,25207.285714285714
2021-01-22,38640.0,26457.0
2021-01-23,34395.0,31162.571428571428
2021-01-24,14766.0,31516.14285714286
2021-01-25,26344.0,32499.85714285714
2021-01-26,32939.0,29271.0
2021-01-27,43529.0,33129.71428571428
2021-01-28,36886.0,33774.0
2021-01-29,16038.0,33482.71428571428
2021-01-30,61406.0,30275.285714285714
2021-01-31,19276.0,29935.428571428572
2021-02-01,24305.0,30280.85714285714
2021-02-02,10487.0,32133.85714285714
2021-02-03,41150.0,26224.571428571428
2021-02-04,39304.0,40000.857142857145
2021-02-05,29009.0,41316.71428571428
2021-02-06,20041.0,42687.28571428572
2021-02-07,115710.0,39595.28571428572
2021-02-08,33516.0,41470.71428571428
2021-02-09,20081.0,45148.142857142855
2021-02-10,19506.0,49837.0
2021-02-11,52432.0,38344.857142857145
2021-02-12,54751.0,39217.42857142857
2021-02-13,52863.0,39720.71428571428
2021-02-14,35265.0,50935.57142857143
2021-02-15,39624.0,47849.0
2021-02-16,23604.0,48284.857142857145
2021-02-17,98010.0,47329.42857142857
2021-02-18,30826.0,48413.71428571428
2021-02-19,57802.0,48529.142857142855
2021-02-20,46175.0,55161.142857142855
2021-02-21,42855.0,41159.71428571428
2021-02-22,40432.0,43118.42857142857
2021-02-23,70028.0,43918.42857142857
2021-02-24,0.0,48196.0
2021-02-25,44537.0,59581.0
2021-02-26,63402.0,58209.57142857143
2021-02-27,76118.0,48205.57142857143
2021-02-28,122550.0,61181.57142857143
2021-03-01,30832.0,63752.142857142855
2021-03-02,0.0,65465.57142857143
2021-03-03,90832.0,65708.71428571429
2021-03-04,62531.0,59004.28571428572
2021-03-05,75396.0,67910.85714285714
2021-03-06,77820.0,67910.85714285714
2021-03-07,75619.0,64586.857142857145
2021-03-08,93178.0,66441.14285714286
2021-03-09,0.0,72811.0
2021-03-10,67564.0,73389.14285714286
2021-03-11,75511.0,83811.0
2021-03-12,119985.0,70499.85714285714
2021-03-13,81867.0,77298.0
2021-03-14,148572.0,76470.14285714286
2021-03-15,0.0,77142.42857142857
2021-03-16,47587.0,73135.57142857143
2021-03-17,61769.0,73470.71428571429
2021-03-18,80217.0,64218.0
2021-03-19,91937.0,73759.0
2021-03-20,84213.0,74649.14285714286
2021-03-21,83803.0,65950.71428571429
2021-03-22,66787.0,75256.85714285714
2021-03-23,53818.0,74644.28571428571
2021-03-24,880.0,75391.42857142857
2021-03-25,145360.0,77006.57142857143
2021-03-26,87649.0,80175.71428571429
2021-03-27,89443.0,81222.57142857143
2021-03-28,95109.0,93733.0
2021-03-29,88971.0,85613.0
2021-03-30,61146.0,93514.57142857143
2021-03-31,88453.0,99488.85714285714
2021-04-01,88520.0,101852.14285714286
2021-04-02,142960.0,101790.14285714286
2021-04-03,131263.0,100783.57142857143
2021-04-04,111652.0,98186.28571428571
2021-04-05,88537.0,101858.0
2021-04-06,54100.0,118202.57142857143
2021-04-07,70272.0,120061.57142857143
2021-04-08,114222.0,117656.0
2021-04-09,257372.0,116846.0
2021-04-10,144276.0,122859.14285714286
2021-04-11,94813.0,127859.0
2021-04-12,82867.0,126322.85714285714
2021-04-13,96192.0,103521.85714285714
2021-04-14,105271.0,99004.0
2021-04-15,103469.0,96985.14285714286
2021-04-16,97765.0,95324.0
2021-04-17,112651.0,92263.85714285714
2021-04-18,80681.0,90763.85714285714
2021-04-19,71239.0,89644.0
2021-04-20,74771.0,92048.14285714286
2021-04-21,94771.0,91149.42857142857
2021-04-22,95630.0,91296.0
2021-04-23,114594.0,90531.42857142857
2021-04-24,106360.0,90993.42857142857
2021-04-25,81707.0,89024.71428571429
2021-04-26,65887.0,87333.57142857143
2021-04-27,78005.0,83118.28571428571
2021-04-28,80990.0,79204.85714285714
2021-04-29,83792.0,74521.42857142857
2021-04-30,85087.0,70644.85714285714
2021-05-01,78966.0,66587.57142857143
2021-05-02,48923.0,66766.28571428571
2021-05-03,38751.0,65779.71428571429
2021-05-04,49604.0,67363.42857142857
2021-05-05,82241.0,68193.14285714286
2021-05-06,76886.0,72007.85714285714
2021-05-07,96173.0,75818.28571428571
2021-05-08,84774.0,74977.28571428571
2021-05-09,75626.0,71811.14285714286
2021-05-10,65424.0,68419.14285714286
2021-05-11,43717.0,63495.0
2021-05-12,60078.0,63182.142857142855
2021-05-13,53142.0,60650.28571428572
2021-05-14,61704.0,56494.28571428572
2021-05-15,82584.0,55508.142857142855
2021-05-16,57903.0,57903.71428571428
2021-05-17,36332.0,59938.57142857143
2021-05-18,36814.0,63985.42857142857
2021-05-19,76847.0,60572.0
2021-05-20,67386.0,59385.71428571428
2021-05-21,90032.0,58297.142857142855
2021-05-22,58690.0,58486.42857142857
2021-05-23,49599.0,54606.42857142857
2021-05-24,28712.0,52641.42857142857
2021-05-25,38139.0,46117.57142857143
2021-05-26,49687.0,44022.166666666664
2021-05-27,53631.0,42906.8
2021-05-28,44365.0,46455.5
