,inpatient_beds_used_covid,7_day_avg
2020-03-14,0.0,0.25
2020-03-15,0.0,0.4
2020-03-16,0.0,0.5
2020-03-17,1.0,0.8571428571428571
2020-03-18,1.0,1.2857142857142858
2020-03-19,1.0,1.4285714285714286
2020-03-20,3.0,1.5714285714285714
2020-03-21,3.0,1.5714285714285714
2020-03-22,1.0,1.5714285714285714
2020-03-23,1.0,1.5714285714285714
2020-03-24,1.0,1.4285714285714286
2020-03-25,1.0,1.4285714285714286
2020-03-26,1.0,2.4285714285714284
2020-03-27,2.0,5.857142857142857
2020-03-28,3.0,9.142857142857142
2020-03-29,8.0,15.142857142857142
2020-03-30,25.0,23.571428571428573
2020-03-31,24.0,31.285714285714285
2020-04-01,43.0,38.57142857142857
2020-04-02,60.0,46.857142857142854
2020-04-03,56.0,53.285714285714285
2020-04-04,54.0,60.142857142857146
2020-04-05,66.0,65.57142857142857
2020-04-06,70.0,69.42857142857143
2020-04-07,72.0,73.0
2020-04-08,81.0,76.57142857142857
2020-04-09,87.0,80.28571428571429
2020-04-10,81.0,91.85714285714286
2020-04-11,79.0,107.42857142857143
2020-04-12,92.0,121.85714285714286
2020-04-13,151.0,132.85714285714286
2020-04-14,181.0,145.42857142857142
2020-04-15,182.0,158.14285714285714
2020-04-16,164.0,170.0
2020-04-17,169.0,174.28571428571428
2020-04-18,168.0,167.57142857142858
2020-04-19,175.0,159.71428571428572
2020-04-20,181.0,153.85714285714286
2020-04-21,134.0,153.42857142857142
2020-04-22,127.0,153.42857142857142
2020-04-23,123.0,149.14285714285714
2020-04-24,166.0,145.0
2020-04-25,168.0,148.71428571428572
2020-04-26,145.0,152.42857142857142
2020-04-27,152.0,158.42857142857142
2020-04-28,160.0,156.14285714285714
2020-04-29,153.0,153.0
2020-04-30,165.0,153.57142857142858
2020-05-01,150.0,154.28571428571428
2020-05-02,146.0,155.28571428571428
2020-05-03,149.0,158.0
2020-05-04,157.0,159.71428571428572
2020-05-05,167.0,163.28571428571428
2020-05-06,172.0,169.28571428571428
2020-05-07,177.0,174.14285714285714
2020-05-08,175.0,196.28571428571428
2020-05-09,188.0,217.71428571428572
2020-05-10,183.0,241.85714285714286
2020-05-11,312.0,265.57142857142856
2020-05-12,317.0,293.42857142857144
2020-05-13,341.0,297.7142857142857
2020-05-14,343.0,301.7142857142857
2020-05-15,370.0,287.7142857142857
2020-05-16,218.0,271.14285714285717
2020-05-17,211.0,253.14285714285714
2020-05-18,214.0,234.71428571428572
2020-05-19,201.0,211.28571428571428
2020-05-20,215.0,210.71428571428572
2020-05-21,214.0,211.14285714285714
2020-05-22,206.0,209.28571428571428
2020-05-23,214.0,217.14285714285714
2020-05-24,214.0,221.71428571428572
2020-05-25,201.0,224.71428571428572
2020-05-26,256.0,228.14285714285714
2020-05-27,247.0,228.14285714285714
2020-05-28,235.0,220.0
2020-05-29,230.0,214.57142857142858
2020-05-30,214.0,207.28571428571428
2020-05-31,157.0,198.28571428571428
2020-06-01,163.0,199.57142857142858
2020-06-02,205.0,204.42857142857142
2020-06-03,184.0,211.42857142857142
2020-06-04,244.0,227.14285714285714
2020-06-05,264.0,243.14285714285714
2020-06-06,263.0,252.85714285714286
2020-06-07,267.0,265.2857142857143
2020-06-08,275.0,267.2857142857143
2020-06-09,273.0,267.85714285714283
2020-06-10,271.0,266.57142857142856
2020-06-11,258.0,262.14285714285717
2020-06-12,268.0,274.14285714285717
2020-06-13,254.0,284.57142857142856
2020-06-14,236.0,298.0
2020-06-15,359.0,311.85714285714283
2020-06-16,346.0,324.57142857142856
2020-06-17,365.0,314.57142857142856
2020-06-18,355.0,306.42857142857144
2020-06-19,357.0,278.7142857142857
2020-06-20,184.0,251.14285714285714
2020-06-21,179.0,223.14285714285714
2020-06-22,165.0,195.28571428571428
2020-06-23,153.0,170.85714285714286
2020-06-24,169.0,165.42857142857142
