,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0.42857142857142855,3,3,0,0,0
2020-03-12,0.7142857142857143,2,5,0,0,0
2020-03-13,1.4285714285714286,5,10,0,0,0
2020-03-14,1.8571428571428572,3,13,0,0,0
2020-03-15,1.8571428571428572,0,13,0,0,0
2020-03-16,3,8,21,0,0,0
2020-03-17,3.2857142857142856,2,23,0,0,0
2020-03-18,3.5714285714285716,5,28,0,0,0
2020-03-19,4.285714285714286,7,35,0,0,0
2020-03-20,4.571428571428571,7,42,0,0,0
2020-03-21,6,13,55,0,0,0
2020-03-22,6.285714285714286,2,57,0,0,0
2020-03-23,8.857142857142858,26,83,0,0,0
2020-03-24,11,17,100,0,0,0
2020-03-25,12.142857142857142,13,113,0.14285714285714285,1,1
2020-03-26,11.142857142857142,0,113,0.14285714285714285,0,1
2020-03-27,13.428571428571429,23,136,0.14285714285714285,0,1
2020-03-28,21.857142857142858,72,208,0.14285714285714285,0,1
2020-03-29,25.714285714285715,29,237,0.2857142857142857,1,2
2020-03-30,22,0,237,0.2857142857142857,0,2
2020-03-31,30.714285714285715,78,315,0.5714285714285714,2,4
2020-04-01,30.571428571428573,12,327,0.5714285714285714,1,5
2020-04-02,37.142857142857146,46,373,0.7142857142857143,1,6
2020-04-03,50.57142857142857,117,490,1.2857142857142858,4,10
2020-04-04,42.57142857142857,16,506,1.4285714285714286,1,11
2020-04-05,55.285714285714285,118,624,1.4285714285714286,1,12
2020-04-06,64.14285714285714,62,686,1.4285714285714286,0,12
2020-04-07,68.42857142857143,108,794,1.2857142857142858,1,13
2020-04-08,70.57142857142857,27,821,1.1428571428571428,0,13
2020-04-09,70.28571428571429,44,865,1.4285714285714286,3,16
2020-04-10,84.42857142857143,216,1081,1,1,17
2020-04-11,83.57142857142857,10,1091,1.1428571428571428,2,19
2020-04-12,88.71428571428571,154,1245,2,7,26
2020-04-13,82.28571428571429,17,1262,2,0,26
2020-04-14,78.71428571428571,83,1345,2.5714285714285716,5,31
2020-04-15,94.71428571428571,139,1484,3.2857142857142856,5,36
2020-04-16,88.42857142857143,0,1484,2.857142857142857,0,36
2020-04-17,73.71428571428571,113,1597,3.857142857142857,8,44
2020-04-18,101,201,1798,4.857142857142857,9,53
2020-04-19,85.71428571428571,47,1845,4.142857142857143,2,55
2020-04-20,101.28571428571429,126,1971,4.571428571428571,3,58
2020-04-21,89.42857142857143,0,1971,3.857142857142857,0,58
2020-04-22,103.71428571428571,239,2210,5,13,71
2020-04-23,127.85714285714286,169,2379,6,7,78
2020-04-24,132,142,2521,5.714285714285714,6,84
2020-04-25,123.14285714285714,139,2660,5.714285714285714,9,93
2020-04-26,125.85714285714286,66,2726,6.285714285714286,6,99
2020-04-27,122,99,2825,5.857142857142857,0,99
2020-04-28,143.28571428571428,149,2974,6.714285714285714,6,105
2020-04-29,143.28571428571428,239,3213,5.857142857142857,7,112
2020-04-30,147.42857142857142,198,3411,6.428571428571429,11,123
2020-05-01,141.71428571428572,102,3513,6.714285714285714,8,131
2020-05-02,153.14285714285714,219,3732,6.428571428571429,7,138
2020-05-03,160.57142857142858,118,3850,7.428571428571429,13,151
2020-05-04,172.28571428571428,181,4031,8.142857142857142,5,156
2020-05-05,166.28571428571428,107,4138,8.142857142857142,6,162
2020-05-06,154,153,4291,8.142857142857142,7,169
2020-05-07,154.57142857142858,202,4493,7,3,172
2020-05-08,165.71428571428572,180,4673,7.142857142857143,9,181
2020-05-09,149.42857142857142,105,4778,7.571428571428571,10,191
2020-05-10,144.71428571428572,85,4863,7,9,200
2020-05-11,148.28571428571428,206,5069,7.428571428571429,8,208
2020-05-12,153.42857142857142,143,5212,8.142857142857142,11,219
2020-05-13,153.28571428571428,152,5364,8.857142857142858,12,231
2020-05-14,144.28571428571428,139,5503,10,11,242
2020-05-15,141.28571428571428,159,5662,10.285714285714286,11,253
2020-05-16,152.71428571428572,185,5847,9.714285714285714,6,259
2020-05-17,153.57142857142858,91,5938,9.285714285714286,6,265
2020-05-18,146.71428571428572,158,6096,8.857142857142858,5,270
2020-05-19,140,96,6192,8.142857142857142,6,276
2020-05-20,136.14285714285714,125,6317,7.428571428571429,7,283
2020-05-21,138.42857142857142,155,6472,7.428571428571429,11,294
2020-05-22,137.57142857142858,153,6625,7,8,302
2020-05-23,111.14285714285714,0,6625,7,6,308
2020-05-24,143.57142857142858,318,6943,7.428571428571429,9,317
2020-05-25,132.85714285714286,83,7026,7.142857142857143,3,320
2020-05-26,134,104,7130,7,5,325
2020-05-27,133.57142857142858,122,7252,6.571428571428571,4,329
2020-05-28,127.42857142857143,112,7364,5.857142857142857,6,335
2020-05-29,124,129,7493,6,9,344
2020-05-30,142.71428571428572,131,7624,6.142857142857143,7,351
2020-05-31,106.57142857142857,65,7689,5.571428571428571,5,356
2020-06-01,110.57142857142857,111,7800,6,6,362
2020-06-02,127.71428571428571,224,8024,6,5,367
2020-06-03,126.85714285714286,116,8140,6.571428571428571,8,375
2020-06-04,141.28571428571428,213,8353,6.857142857142857,8,383
2020-06-05,168.42857142857142,319,8672,6.142857142857143,4,387
2020-06-06,168,128,8800,5.857142857142857,5,392
2020-06-07,178.71428571428572,140,8940,5.714285714285714,4,396
2020-06-08,180.28571428571428,122,9062,5.428571428571429,4,400
2020-06-09,154.42857142857142,43,9105,5.285714285714286,4,404
2020-06-10,158.57142857142858,145,9250,5,6,410
2020-06-11,144.85714285714286,117,9367,5.285714285714286,10,420
2020-06-12,122,159,9526,4.714285714285714,0,420
2020-06-13,117.28571428571429,95,9621,5.571428571428571,11,431
2020-06-14,111.85714285714286,102,9723,5.571428571428571,4,435
2020-06-15,111.85714285714286,122,9845,5.714285714285714,5,440
2020-06-16,118.28571428571429,88,9933,6.142857142857143,7,447
2020-06-17,116.42857142857143,132,10065,6,5,452
2020-06-18,112.28571428571429,88,10153,5.142857142857143,4,456
2020-06-19,104.85714285714286,107,10260,6.285714285714286,8,464
2020-06-20,115.57142857142857,170,10430,5,2,466
2020-06-21,120.28571428571429,135,10565,4.857142857142857,3,469
2020-06-22,121.28571428571429,129,10694,4.142857142857143,0,469
2020-06-23,129.28571428571428,144,10838,4.142857142857143,7,476
2020-06-24,132.14285714285714,152,10990,4,4,480
2020-06-25,148.42857142857142,202,11192,4.142857142857143,5,485
2020-06-26,164,216,11408,3.5714285714285716,4,489
2020-06-27,169.85714285714286,211,11619,3.5714285714285716,2,491
2020-06-28,177.71428571428572,190,11809,3.2857142857142856,1,492
2020-06-29,184,173,11982,3.4285714285714284,1,493
2020-06-30,187,165,12147,3,4,497
2020-07-01,183.71428571428572,129,12276,2.857142857142857,3,500
2020-07-02,189.71428571428572,244,12520,2.5714285714285716,3,503
2020-07-03,195.42857142857142,256,12776,3.142857142857143,8,511
2020-07-04,206.28571428571428,287,13063,3.142857142857143,2,513
2020-07-05,206.71428571428572,193,13256,3,0,513
2020-07-06,217.85714285714286,251,13507,3.142857142857143,2,515
2020-07-07,225.71428571428572,220,13727,3.142857142857143,4,519
2020-07-08,248.71428571428572,290,14017,3.857142857142857,8,527
2020-07-09,247.28571428571428,234,14251,4.285714285714286,6,533
2020-07-10,253.28571428571428,298,14549,4,6,539
2020-07-11,244.28571428571428,224,14773,4.285714285714286,4,543
2020-07-12,253.14285714285714,255,15028,4.571428571428571,2,545
2020-07-13,254.85714285714286,263,15291,4.714285714285714,3,548
2020-07-14,255.28571428571428,223,15514,4.571428571428571,3,551
2020-07-15,260.57142857142856,327,15841,4.285714285714286,6,557
2020-07-16,269.57142857142856,297,16138,4.142857142857143,5,562
2020-07-17,272.42857142857144,318,16456,3.7142857142857144,3,565
2020-07-18,280.42857142857144,280,16736,3.7142857142857144,4,569
2020-07-19,277.57142857142856,235,16971,3.7142857142857144,2,571
2020-07-20,274.85714285714283,244,17215,4.285714285714286,7,578
2020-07-21,286.14285714285717,302,17517,5.285714285714286,10,588
2020-07-22,283.85714285714283,311,17828,4.857142857142857,3,591
2020-07-23,289.2857142857143,335,18163,4.857142857142857,5,596
2020-07-24,288.42857142857144,312,18475,5.142857142857143,5,601
2020-07-25,293.14285714285717,313,18788,5.428571428571429,6,607
2020-07-26,295.85714285714283,254,19042,6.142857142857143,7,614
2020-07-27,326.7142857142857,460,19502,5.857142857142857,5,619
2020-07-28,324.85714285714283,289,19791,5.428571428571429,7,626
2020-07-29,329.7142857142857,345,20136,5.857142857142857,6,632
2020-07-30,317.85714285714283,252,20388,5.571428571428571,3,635
2020-07-31,303.57142857142856,212,20600,5.857142857142857,7,642
2020-08-01,286.85714285714283,196,20796,6.285714285714286,9,651
2020-08-02,282,220,21016,5.714285714285714,3,654
2020-08-03,232.57142857142858,114,21130,5.142857142857143,1,655
2020-08-04,221.28571428571428,210,21340,4.571428571428571,3,658
2020-08-05,204.28571428571428,226,21566,5,9,667
2020-08-06,197.85714285714286,207,21773,4.857142857142857,2,669
2020-08-07,195,192,21965,4.714285714285714,6,675
2020-08-08,188.42857142857142,150,22115,4.285714285714286,6,681
2020-08-09,185.57142857142858,200,22315,4.428571428571429,4,685
2020-08-10,187.71428571428572,129,22444,5,5,690
2020-08-11,186.14285714285714,199,22643,5,3,693
2020-08-12,178.57142857142858,173,22816,4,2,695
2020-08-13,173.42857142857142,171,22987,4,2,697
2020-08-14,170.71428571428572,173,23160,4,6,703
2020-08-15,169.57142857142858,142,23302,4.285714285714286,8,711
2020-08-16,156.14285714285714,106,23408,4.142857142857143,3,714
2020-08-17,150.85714285714286,92,23500,4,4,718
2020-08-18,133.71428571428572,79,23579,4.285714285714286,5,723
2020-08-19,133.28571428571428,170,23749,4.857142857142857,6,729
2020-08-20,137.71428571428572,202,23951,5.285714285714286,5,734
