,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,0.0,0.0
2021-01-13,0.0,0.0
2021-01-14,0.0,0.0
2021-01-15,0.0,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,788.1428571428571
2021-01-18,0.0,2133.4285714285716
2021-01-19,0.0,3637.714285714286
2021-01-20,5517.0,6913.142857142857
2021-01-21,9417.0,6913.142857142857
2021-01-22,10530.0,9471.285714285714
2021-01-23,22928.0,10292.714285714286
2021-01-24,0.0,10552.142857142857
2021-01-25,17907.0,10433.0
2021-01-26,5750.0,10860.0
2021-01-27,7333.0,8894.285714285714
2021-01-28,8583.0,11092.142857142857
2021-01-29,13519.0,10095.285714285714
2021-01-30,9168.0,9651.57142857143
2021-01-31,15385.0,9606.285714285714
2021-02-01,10929.0,9463.714285714286
2021-02-02,2644.0,9624.857142857143
2021-02-03,7016.0,10235.57142857143
2021-02-04,7585.0,9101.57142857143
2021-02-05,14647.0,9364.285714285714
2021-02-06,13443.0,9377.857142857143
2021-02-07,7447.0,8843.857142857143
2021-02-08,12768.0,10507.857142857143
2021-02-09,2739.0,11064.714285714286
2021-02-10,3278.0,10698.285714285714
2021-02-11,19233.0,10376.0
2021-02-12,18545.0,11405.0
2021-02-13,10878.0,13588.142857142857
2021-02-14,5191.0,13899.285714285714
2021-02-15,19971.0,12143.142857142857
2021-02-16,18021.0,11696.142857142857
2021-02-17,5456.0,23980.0
2021-02-18,6940.0,25572.14285714286
2021-02-19,15416.0,25152.714285714286
2021-02-20,96865.0,24941.85714285714
2021-02-21,16336.0,24162.428571428572
2021-02-22,17035.0,24052.428571428572
2021-02-23,16545.0,24161.428571428572
2021-02-24,0.0,13505.42857142857
2021-02-25,6170.0,14167.285714285714
2021-02-26,16179.0,15655.285714285714
2021-02-27,22273.0,14159.42857142857
2021-02-28,20969.0,15570.42857142857
2021-03-01,27451.0,16752.0
2021-03-02,6074.0,15579.857142857143
2021-03-03,9877.0,15549.57142857143
2021-03-04,14441.0,17574.85714285714
2021-03-05,7974.0,18334.714285714286
2021-03-06,22061.0,17467.0
2021-03-07,35146.0,16789.85714285714
2021-03-08,32770.0,14957.57142857143
2021-03-09,0.0,17683.714285714286
2021-03-10,5137.0,18517.285714285714
2021-03-11,1615.0,20151.428571428572
2021-03-12,27057.0,15470.0
2021-03-13,27896.0,16955.0
2021-03-14,46585.0,18782.571428571428
2021-03-15,0.0,20439.428571428572
2021-03-16,10395.0,19480.0
2021-03-17,17930.0,19373.714285714286
2021-03-18,13213.0,16857.14285714286
2021-03-19,20341.0,20426.714285714286
2021-03-20,27152.0,20804.428571428572
2021-03-21,28969.0,18729.571428571428
2021-03-22,24987.0,18271.85714285714
2021-03-23,13039.0,18732.571428571428
2021-03-24,3406.0,18694.571428571428
2021-03-25,10009.0,18721.285714285714
2021-03-26,23566.0,19952.571428571428
2021-03-27,26886.0,20159.85714285714
2021-03-28,29156.0,20098.428571428572
2021-03-29,33606.0,20912.85714285714
2021-03-30,14490.0,20838.428571428572
2021-03-31,2976.0,21478.0
2021-04-01,15710.0,21555.428571428572
2021-04-02,23045.0,20086.85714285714
2021-04-03,31363.0,19243.714285714286
2021-04-04,29698.0,19251.714285714286
2021-04-05,23326.0,18027.14285714286
2021-04-06,8588.0,23900.0
2021-04-07,3032.0,23642.571428571428
2021-04-08,7138.0,22968.14285714286
2021-04-09,64155.0,21255.285714285714
2021-04-10,29561.0,20451.428571428572
2021-04-11,24977.0,21905.0
2021-04-12,11336.0,23858.14285714286
2021-04-13,2961.0,18530.14285714286
2021-04-14,13207.0,18344.714285714286
2021-04-15,20810.0,17765.14285714286
2021-04-16,26859.0,17992.285714285714
2021-04-17,28263.0,18090.571428571428
2021-04-18,20920.0,17950.0
2021-04-19,12926.0,17656.85714285714
2021-04-20,3649.0,17411.14285714286
2021-04-21,12223.0,16542.14285714286
2021-04-22,18758.0,16097.42857142857
2021-04-23,25139.0,15180.142857142857
2021-04-24,22180.0,15083.714285714286
2021-04-25,17807.0,14827.285714285714
2021-04-26,6505.0,14214.42857142857
2021-04-27,2974.0,13462.0
2021-04-28,10428.0,13575.0
2021-04-29,14468.0,13615.285714285714
2021-04-30,19872.0,14850.857142857143
2021-05-01,22971.0,14426.0
2021-05-02,18089.0,14417.857142857143
2021-05-03,15154.0,14689.857142857143
2021-05-04,0.0,14371.142857142857
2021-05-05,10371.0,14011.857142857143
2021-05-06,16372.0,13155.285714285714
2021-05-07,17641.0,12590.285714285714
2021-05-08,20456.0,12977.57142857143
2021-05-09,12093.0,12498.57142857143
2021-05-10,11199.0,13277.0
2021-05-11,2711.0,12461.857142857143
2021-05-12,7018.0,11757.42857142857
2021-05-13,21821.0,11525.714285714286
2021-05-14,11935.0,11554.42857142857
2021-05-15,15525.0,11660.714285714286
2021-05-16,10471.0,11949.714285714286
2021-05-17,11400.0,10693.57142857143
2021-05-18,3455.0,10841.285714285714
2021-05-19,9041.0,9699.857142857143
2021-05-20,13028.0,11231.285714285714
2021-05-21,12969.0,10578.285714285714
2021-05-22,7535.0,10342.0
2021-05-23,21191.0,10647.57142857143
2021-05-24,6829.0,10019.142857142857
2021-05-25,1801.0,10585.285714285714
2021-05-26,11180.0,11093.666666666666
2021-05-27,8629.0,9074.2
2021-05-28,16932.0,9635.5
