,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.14285714285714285
2020-03-01,0.0,1.4285714285714286
2020-03-02,0.0,3.0
2020-03-03,1.0,3.4285714285714284
2020-03-04,9.0,10.857142857142858
2020-03-05,11.0,15.0
2020-03-06,3.0,19.714285714285715
2020-03-07,52.0,21.571428571428573
2020-03-08,29.0,29.428571428571427
2020-03-09,33.0,39.285714285714285
2020-03-10,14.0,50.714285714285715
2020-03-11,64.0,68.71428571428571
2020-03-12,80.0,75.42857142857143
2020-03-13,83.0,117.57142857142857
2020-03-14,178.0,179.28571428571428
2020-03-15,76.0,327.2857142857143
2020-03-16,328.0,560.7142857142857
2020-03-17,446.0,1040.142857142857
2020-03-18,1100.0,1407.5714285714287
2020-03-19,1714.0,2079.714285714286
2020-03-20,3439.0,2846.1428571428573
2020-03-21,2750.0,3467.714285714286
2020-03-22,4781.0,4047.714285714286
2020-03-23,5693.0,4739.428571428572
2020-03-24,4797.0,5291.571428571428
2020-03-25,5160.0,5998.571428571428
2020-03-26,6556.0,6351.0
2020-03-27,7304.0,6539.857142857143
