,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,1714.2857142857142
2020-12-20,0.0,7285.714285714285
2020-12-21,0.0,7285.714285714285
2020-12-22,12000.0,7285.714285714285
2020-12-23,39000.0,7285.714285714285
2020-12-24,0.0,7285.714285714285
2020-12-25,0.0,14571.42857142857
2020-12-26,0.0,12857.142857142857
2020-12-27,0.0,15857.142857142857
2020-12-28,51000.0,15857.142857142857
2020-12-29,0.0,15857.142857142857
2020-12-30,60000.0,15857.142857142857
2020-12-31,0.0,15857.142857142857
2021-01-01,0.0,8571.42857142857
2021-01-02,0.0,8571.42857142857
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,63576.71428571428
2021-01-11,0.0,63576.71428571428
2021-01-12,0.0,63576.71428571428
2021-01-13,445037.0,63576.71428571428
2021-01-14,0.0,63576.71428571428
2021-01-15,0.0,63576.71428571428
2021-01-16,0.0,63576.71428571428
2021-01-17,0.0,39261.857142857145
2021-01-18,0.0,50819.57142857143
2021-01-19,0.0,62784.857142857145
2021-01-20,274833.0,72025.85714285714
2021-01-21,80904.0,82158.71428571429
2021-01-22,83757.0,91280.28571428571
2021-01-23,64687.0,97054.71428571429
2021-01-24,70930.0,65301.28571428572
2021-01-25,63851.0,61779.28571428572
2021-01-26,40421.0,49814.0
2021-01-27,52559.0,91581.57142857143
2021-01-28,56250.0,90815.28571428571
2021-01-29,0.0,90870.85714285714
2021-01-30,357060.0,90883.14285714286
2021-01-31,65566.0,88334.57142857143
2021-02-01,64240.0,86995.71428571429
2021-02-02,40507.0,98500.57142857143
2021-02-03,34719.0,63000.42857142857
2021-02-04,46878.0,69536.14285714286
2021-02-05,80534.0,71562.0
2021-02-06,108559.0,78969.28571428571
2021-02-07,111316.0,84901.85714285714
2021-02-08,78421.0,88016.14285714286
2021-02-09,92358.0,92016.57142857143
2021-02-10,76247.0,95373.42857142857
2021-02-11,68678.0,97206.85714285714
2021-02-12,108537.0,100876.28571428571
2021-02-13,132057.0,99175.28571428571
2021-02-14,124150.0,97618.71428571429
2021-02-15,104107.0,100537.85714285714
2021-02-16,80451.0,97776.42857142857
2021-02-17,65351.0,92028.0
2021-02-18,89112.0,86129.0
2021-02-19,89207.0,82859.28571428571
2021-02-20,91818.0,80726.85714285714
2021-02-21,82857.0,78335.14285714286
2021-02-22,81219.0,89068.71428571429
2021-02-23,65524.0,76324.85714285714
2021-02-24,48609.0,89617.14285714286
2021-02-25,164247.0,100215.57142857143
2021-02-26,0.0,108071.57142857143
2021-02-27,184864.0,115844.85714285714
2021-02-28,157046.0,125290.57142857143
2021-03-01,136211.0,119122.0
2021-03-02,119937.0,139096.7142857143
2021-03-03,114729.0,138971.0
2021-03-04,121067.0,144970.57142857142
2021-03-05,139823.0,168146.7142857143
2021-03-06,183984.0,151012.85714285713
2021-03-07,199043.0,157019.2857142857
2021-03-08,298444.0,160237.14285714287
2021-03-09,0.0,160969.0
2021-03-10,156774.0,160131.0
2021-03-11,143592.0,176401.14285714287
2021-03-12,144946.0,133766.2857142857
2021-03-13,178118.0,151306.0
2021-03-14,312934.0,148129.14285714287
2021-03-15,0.0,151823.14285714287
2021-03-16,122778.0,152047.7142857143
2021-03-17,134536.0,148804.57142857142
2021-03-18,169450.0,131075.14285714287
2021-03-19,146518.0,150962.14285714287
2021-03-20,155416.0,148197.42857142858
2021-03-21,188828.0,148665.7142857143
2021-03-22,139209.0,146559.2857142857
2021-03-23,103425.0,154502.85714285713
2021-03-24,137814.0,166484.57142857142
2021-03-25,154705.0,170874.0
2021-03-26,202123.0,178820.85714285713
2021-03-27,239288.0,188534.2857142857
2021-03-28,219554.0,193436.2857142857
2021-03-29,194837.0,198886.0
2021-03-30,171419.0,203404.7142857143
2021-03-31,172128.0,207724.57142857142
2021-04-01,192853.0,227188.42857142858
2021-04-02,233754.0,233423.7142857143
2021-04-03,269527.0,226147.57142857142
2021-04-04,355801.0,218892.0
2021-04-05,238484.0,229294.0
2021-04-06,120486.0,266247.85714285716
2021-04-07,121339.0,269435.71428571426
2021-04-08,265667.0,254552.42857142858
2021-04-09,492431.0,246172.7142857143
2021-04-10,291842.0,256780.7142857143
2021-04-11,251618.0,267431.4285714286
2021-04-12,179826.0,259552.2857142857
2021-04-13,194742.0,220771.0
2021-04-14,195894.0,209400.7142857143
2021-04-15,210513.0,209841.2857142857
2021-04-16,220962.0,204839.7142857143
2021-04-17,212250.0,198896.7142857143
2021-04-18,254702.0,195801.57142857142
2021-04-19,144815.0,189691.57142857142
2021-04-20,153141.0,187130.57142857142
2021-04-21,174228.0,184851.57142857142
2021-04-22,167743.0,171599.7142857143
2021-04-23,203035.0,168545.0
2021-04-24,196297.0,164659.57142857142
2021-04-25,161939.0,165432.2857142857
2021-04-26,123432.0,176997.85714285713
2021-04-27,125943.0,180265.42857142858
2021-04-28,179637.0,183935.85714285713
2021-04-29,248702.0,178220.0
2021-04-30,225908.0,172633.14285714287
2021-05-01,221990.0,154641.2857142857
2021-05-02,121928.0,170209.7142857143
2021-05-03,84324.0,163113.0
2021-05-04,0.0,152117.42857142858
2021-05-05,288616.0,144002.85714285713
2021-05-06,199025.0,150503.42857142858
2021-05-07,148939.0,157693.42857142858
2021-05-08,165188.0,172626.7142857143
2021-05-09,167432.0,148783.42857142858
2021-05-10,134654.0,136481.14285714287
2021-05-11,104533.0,132953.7142857143
2021-05-12,121713.0,131907.57142857142
2021-05-13,112909.0,127707.85714285714
2021-05-14,124247.0,120499.14285714286
2021-05-15,157865.0,117234.28571428571
2021-05-16,138034.0,121817.14285714286
2021-05-17,84193.0,126863.71428571429
2021-05-18,81679.0,136779.42857142858
2021-05-19,153793.0,131849.85714285713
2021-05-20,148235.0,131958.2857142857
2021-05-21,193657.0,132687.0
2021-05-22,123358.0,132665.85714285713
2021-05-23,138793.0,127092.57142857143
2021-05-24,89294.0,120321.71428571429
2021-05-25,81531.0,108241.28571428571
2021-05-26,114780.0,105721.83333333333
2021-05-27,100839.0,99107.6
2021-05-28,109094.0,101561.0
