,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.14285714285714285
2020-02-29,0.0,0.14285714285714285
2020-03-01,0.0,0.14285714285714285
2020-03-02,1.0,0.14285714285714285
2020-03-03,0.0,0.2857142857142857
2020-03-04,0.0,0.2857142857142857
2020-03-05,0.0,0.2857142857142857
2020-03-06,1.0,0.8571428571428571
2020-03-07,0.0,0.8571428571428571
2020-03-08,0.0,1.1428571428571428
2020-03-09,5.0,2.2857142857142856
2020-03-10,0.0,2.857142857142857
2020-03-11,2.0,4.285714285714286
2020-03-12,8.0,4.428571428571429
2020-03-13,5.0,4.571428571428571
2020-03-14,10.0,7.857142857142857
2020-03-15,1.0,13.571428571428571
2020-03-16,6.0,19.285714285714285
2020-03-17,23.0,26.571428571428573
2020-03-18,42.0,36.42857142857143
2020-03-19,48.0,41.714285714285715
2020-03-20,56.0,54.857142857142854
2020-03-21,79.0,68.85714285714286
2020-03-22,38.0,79.57142857142857
2020-03-23,98.0,91.28571428571429
2020-03-24,121.0,107.85714285714286
2020-03-25,117.0,116.85714285714286
2020-03-26,130.0,129.85714285714286
