,inpatient_beds_used_covid,7_day_avg
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.2857142857142857
2020-03-09,0.0,0.2857142857142857
2020-03-10,0.0,0.2857142857142857
2020-03-11,2.0,0.2857142857142857
2020-03-12,0.0,0.5714285714285714
2020-03-13,0.0,1.4285714285714286
2020-03-14,0.0,2.857142857142857
2020-03-15,2.0,5.142857142857143
2020-03-16,6.0,7.714285714285714
2020-03-17,10.0,10.0
2020-03-18,18.0,12.571428571428571
2020-03-19,18.0,15.285714285714286
2020-03-20,16.0,17.428571428571427
2020-03-21,18.0,19.142857142857142
2020-03-22,21.0,19.714285714285715
2020-03-23,21.0,20.142857142857142
2020-03-24,22.0,20.714285714285715
2020-03-25,22.0,20.142857142857142
2020-03-26,21.0,20.285714285714285
2020-03-27,20.0,26.0
2020-03-28,14.0,37.142857142857146
2020-03-29,22.0,54.0
2020-03-30,61.0,70.42857142857143
2020-03-31,100.0,87.42857142857143
2020-04-01,140.0,115.14285714285714
2020-04-02,136.0,145.85714285714286
2020-04-03,139.0,179.71428571428572
2020-04-04,208.0,204.85714285714286
2020-04-05,237.0,230.0
2020-04-06,298.0,249.28571428571428
2020-04-07,276.0,278.0
2020-04-08,316.0,289.2857142857143
2020-04-09,271.0,294.7142857142857
2020-04-10,340.0,298.7142857142857
2020-04-11,287.0,306.0
2020-04-12,275.0,309.14285714285717
2020-04-13,326.0,316.0
2020-04-14,327.0,310.57142857142856
2020-04-15,338.0,310.85714285714283
2020-04-16,319.0,318.42857142857144
2020-04-17,302.0,348.42857142857144
2020-04-18,289.0,392.57142857142856
2020-04-19,328.0,434.42857142857144
2020-04-20,536.0,473.85714285714283
2020-04-21,636.0,531.2857142857143
2020-04-22,631.0,599.8571428571429
2020-04-23,595.0,658.8571428571429
2020-04-24,704.0,691.4285714285714
2020-04-25,769.0,711.4285714285714
2020-04-26,741.0,731.4285714285714
2020-04-27,764.0,759.7142857142857
2020-04-28,776.0,755.7142857142857
2020-04-29,771.0,743.2857142857143
2020-04-30,793.0,738.8571428571429
2020-05-01,676.0,736.4285714285714
2020-05-02,682.0,719.8571428571429
2020-05-03,710.0,698.7142857142857
2020-05-04,747.0,677.7142857142857
2020-05-05,660.0,676.5714285714286
2020-05-06,623.0,666.8571428571429
2020-05-07,646.0,650.0
2020-05-08,668.0,638.5714285714286
2020-05-09,614.0,640.8571428571429
2020-05-10,592.0,645.0
2020-05-11,667.0,646.5714285714286
2020-05-12,676.0,645.7142857142857
2020-05-13,652.0,652.0
2020-05-14,657.0,658.2857142857143
2020-05-15,662.0,666.7142857142857
2020-05-16,658.0,673.1428571428571
2020-05-17,636.0,682.0
2020-05-18,726.0,696.8571428571429
2020-05-19,721.0,712.5714285714286
2020-05-20,714.0,724.0
2020-05-21,761.0,746.5714285714286
2020-05-22,772.0,758.2857142857143
2020-05-23,738.0,772.2857142857143
2020-05-24,794.0,786.1428571428571
2020-05-25,808.0,793.1428571428571
2020-05-26,819.0,811.2857142857143
2020-05-27,811.0,838.4285714285714
2020-05-28,810.0,855.8571428571429
2020-05-29,899.0,863.4285714285714
2020-05-30,928.0,866.0
2020-05-31,916.0,868.5714285714286
2020-06-01,861.0,874.5714285714286
2020-06-02,837.0,870.2857142857143
2020-06-03,829.0,864.2857142857143
2020-06-04,852.0,856.4285714285714
2020-06-05,869.0,869.2857142857143
2020-06-06,886.0,886.7142857142857
2020-06-07,861.0,949.0
2020-06-08,951.0,961.4285714285714
2020-06-09,959.0,974.0
2020-06-10,1265.0,981.0
2020-06-11,939.0,995.7142857142857
2020-06-12,957.0,997.5714285714286
2020-06-13,935.0,999.5714285714286
2020-06-14,964.0,990.2857142857143
2020-06-15,964.0,1027.7142857142858
2020-06-16,973.0,1062.5714285714287
2020-06-17,1200.0,1099.4285714285713
2020-06-18,1201.0,1135.5714285714287
2020-06-19,1201.0,1176.7142857142858
2020-06-20,1193.0,1218.7142857142858
2020-06-21,1217.0,1210.857142857143
2020-06-22,1252.0,1208.5714285714287
2020-06-23,1267.0,1203.4285714285713
2020-06-24,1145.0,1195.857142857143
2020-06-25,1185.0,1184.5714285714287
2020-06-26,1165.0,1155.2857142857142
2020-06-27,1140.0,1121.2857142857142
2020-06-28,1138.0,1105.7142857142858
2020-06-29,1047.0,1090.7142857142858
2020-06-30,1029.0,1080.4285714285713
2020-07-01,1036.0,1072.4285714285713
2020-07-02,1080.0,1066.4285714285713
2020-07-03,1093.0,1106.142857142857
2020-07-04,1084.0,1148.4285714285713
2020-07-05,1096.0,1198.4285714285713
2020-07-06,1325.0,1248.7142857142858
2020-07-07,1325.0,1295.857142857143
2020-07-08,1386.0,1335.0
2020-07-09,1432.0,1375.5714285714287
2020-07-10,1423.0,1406.7142857142858
2020-07-11,1358.0,1438.2857142857142
2020-07-12,1380.0,1507.5714285714287
2020-07-13,1543.0,1567.2857142857142
2020-07-14,1546.0,1611.5714285714287
2020-07-15,1871.0,1651.142857142857
2020-07-16,1850.0,1694.0
2020-07-17,1733.0,1720.2857142857142
2020-07-18,1635.0,1772.7142857142858
2020-07-19,1680.0,1764.5714285714287
2020-07-20,1727.0,1747.5714285714287
2020-07-21,1913.0,1738.4285714285713
2020-07-22,1814.0,1696.4285714285713
2020-07-23,1731.0,1642.142857142857
2020-07-24,1669.0,1583.5714285714287
2020-07-25,1341.0,1511.0
2020-07-26,1300.0,1487.4285714285713
2020-07-27,1317.0,1441.7142857142858
2020-07-28,1405.0,1382.2857142857142
2020-07-29,1649.0,1377.2857142857142
2020-07-30,1411.0,1391.5714285714287
2020-07-31,1253.0,1393.7142857142858
2020-08-01,1306.0,1404.142857142857
2020-08-02,1400.0,1366.142857142857
2020-08-03,1332.0,1347.5714285714287
2020-08-04,1478.0,1358.4285714285713
2020-08-05,1383.0,1353.4285714285713
2020-08-06,1281.0,1339.4285714285713
2020-08-07,1329.0,1324.142857142857
2020-08-08,1271.0,1300.0
2020-08-09,1302.0,1281.5714285714287
2020-08-10,1225.0,1269.857142857143
2020-08-11,1309.0,1239.857142857143
2020-08-12,1254.0,1225.7142857142858
2020-08-13,1199.0,1211.4285714285713
2020-08-14,1119.0,1225.5714285714287
2020-08-15,1172.0,1238.5714285714287
2020-08-16,1202.0,1246.2857142857142
2020-08-17,1324.0,1268.2857142857142
2020-08-18,1400.0,1300.4285714285713
2020-08-19,1308.0,1313.4285714285713
2020-08-20,1353.0,1346.2857142857142
2020-08-21,1344.0,1352.5714285714287
2020-08-22,1263.0,1355.2857142857142
2020-08-23,1432.0,1367.142857142857
2020-08-24,1368.0,1364.7142857142858
2020-08-25,1419.0,1309.142857142857
2020-08-26,1391.0,1274.142857142857
2020-08-27,1336.0,1219.7142857142858
2020-08-28,955.0,1179.4285714285713
2020-08-29,1018.0,1048.142857142857
2020-08-30,1051.0,989.1428571428571
2020-08-31,1086.0,955.8571428571429
2020-09-01,500.0,974.1428571428571
2020-09-02,978.0,980.4285714285714
2020-09-03,1103.0,989.5714285714286
2020-09-04,1083.0,993.8571428571429
2020-09-05,1062.0,1080.2857142857142
2020-09-06,1115.0,1112.2857142857142
2020-09-07,1116.0,1139.857142857143
2020-09-08,1105.0,1159.142857142857
2020-09-09,1202.0,1169.4285714285713
2020-09-10,1296.0,1178.4285714285713
2020-09-11,1218.0,1198.5714285714287
2020-09-12,1134.0,1220.142857142857
2020-09-13,1178.0,1211.5714285714287
2020-09-14,1257.0,1192.2857142857142
2020-09-15,1256.0,1176.7142857142858
2020-09-16,1142.0,1169.0
2020-09-17,1161.0,1156.0
2020-09-18,1109.0,1132.142857142857
2020-09-19,1080.0,1121.7142857142858
2020-09-20,1087.0,1110.0
