,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0.14285714285714285,1,1,0,0,0
2020-03-03,0.14285714285714285,0,1,0,0,0
2020-03-04,0.14285714285714285,0,1,0,0,0
2020-03-05,0.14285714285714285,0,1,0,0,0
2020-03-06,0.2857142857142857,1,2,0,0,0
2020-03-07,0.2857142857142857,0,2,0,0,0
2020-03-08,0.2857142857142857,0,2,0,0,0
2020-03-09,0.8571428571428571,5,7,0,0,0
2020-03-10,0.8571428571428571,0,7,0,0,0
2020-03-11,1.1428571428571428,2,9,0,0,0
2020-03-12,2.2857142857142856,8,17,0,0,0
2020-03-13,2.857142857142857,5,22,0,0,0
2020-03-14,4.285714285714286,10,32,0,0,0
2020-03-15,4.428571428571429,1,33,0,0,0
2020-03-16,4.571428571428571,6,39,0,0,0
2020-03-17,7.857142857142857,23,62,0,0,0
2020-03-18,13.571428571428571,42,104,0,0,0
2020-03-19,19.285714285714285,48,152,0,0,0
2020-03-20,26.571428571428573,56,208,0,0,0
2020-03-21,36.42857142857143,79,287,0,0,0
2020-03-22,41.714285714285715,38,325,0,0,0
2020-03-23,54.857142857142854,98,423,0,0,0
2020-03-24,68.85714285714286,121,544,0,0,0
2020-03-25,79.57142857142857,117,661,0.2857142857142857,2,2
2020-03-26,91.28571428571429,130,791,0.42857142857142855,1,3
2020-03-27,107.85714285714286,172,963,0.5714285714285714,1,4
2020-03-28,116.85714285714286,142,1105,0.7142857142857143,1,5
2020-03-29,129.85714285714286,129,1234,1,2,7
2020-03-30,143.28571428571428,192,1426,1,0,7
2020-03-31,147.71428571428572,152,1578,1.7142857142857142,5,12
2020-04-01,170.57142857142858,277,1855,1.7142857142857142,2,14
2020-04-02,186,238,2093,2.5714285714285716,7,21
2020-04-03,202.42857142857142,287,2380,3.2857142857142856,6,27
2020-04-04,218.57142857142858,255,2635,4.142857142857143,7,34
2020-04-05,236.71428571428572,256,2891,4.428571428571429,4,38
2020-04-06,246.71428571428572,262,3153,5.428571428571429,7,45
2020-04-07,267.85714285714283,300,3453,5.857142857142857,8,53
2020-04-08,263.57142857142856,247,3700,7.428571428571429,13,66
2020-04-09,271.42857142857144,293,3993,7.857142857142857,10,76
2020-04-10,264.2857142857143,237,4230,8,7,83
2020-04-11,271.42857142857144,305,4535,7.857142857142857,6,89
2020-04-12,278.2857142857143,304,4839,7.285714285714286,0,89
2020-04-13,267.2857142857143,185,5024,7,5,94
2020-04-14,248.85714285714286,171,5195,8.428571428571429,18,112
2020-04-15,254.85714285714286,289,5484,9.142857142857142,18,130
2020-04-16,269.14285714285717,393,5877,10.571428571428571,20,150
2020-04-17,277.2857142857143,294,6171,13.428571428571429,27,177
2020-04-18,284.14285714285717,353,6524,14,10,187
2020-04-19,282.7142857142857,294,6818,15.857142857142858,13,200
2020-04-20,287,215,7033,17.714285714285715,18,218
2020-04-21,305.14285714285717,298,7331,19,27,245
2020-04-22,320.57142857142856,397,7728,19.285714285714285,20,265
2020-04-23,331.85714285714283,472,8200,18.714285714285715,16,281
2020-04-24,351.85714285714283,434,8634,16.714285714285715,13,294
2020-04-25,343.57142857142856,295,8929,16.857142857142858,11,305
2020-04-26,360.14285714285717,410,9339,17.714285714285715,19,324
2020-04-27,392.7142857142857,443,9782,17.428571428571427,16,340
2020-04-28,401.85714285714283,362,10144,16.857142857142858,23,363
2020-04-29,426.14285714285717,567,10711,16.714285714285715,19,382
2020-04-30,417.14285714285717,409,11120,17.857142857142858,24,406
2020-05-01,421.57142857142856,465,11585,17.857142857142858,13,419
2020-05-02,428.57142857142856,344,11929,18,12,431
2020-05-03,404,238,12167,15.714285714285714,3,434
2020-05-04,385.85714285714283,316,12483,14.571428571428571,8,442
2020-05-05,397.7142857142857,445,12928,15.571428571428571,30,472
2020-05-06,404.2857142857143,613,13541,15.714285714285714,20,492
2020-05-07,418.7142857142857,510,14051,15.285714285714286,21,513
2020-05-08,418.7142857142857,465,14516,15.857142857142858,17,530
2020-05-09,439,486,15002,17.142857142857142,21,551
2020-05-10,443.85714285714283,272,15274,18.571428571428573,13,564
2020-05-11,445.42857142857144,327,15601,19,11,575
2020-05-12,442.42857142857144,424,16025,18.285714285714285,25,600
2020-05-13,456,708,16733,19,25,625
2020-05-14,496.57142857142856,794,17527,18.285714285714285,16,641
2020-05-15,536.1428571428571,742,18269,19.571428571428573,26,667
2020-05-16,536,485,18754,17.857142857142858,9,676
2020-05-17,555.2857142857143,407,19161,17.428571428571427,10,686
2020-05-18,583.2857142857143,523,19684,16.857142857142858,7,693
2020-05-19,594.8571428571429,505,20189,13.285714285714286,0,693
2020-05-20,611.5714285714286,825,21014,14.428571428571429,33,726
2020-05-21,610.7142857142857,788,21802,13.285714285714286,8,734
2020-05-22,640.1428571428571,948,22750,15.428571428571429,41,775
2020-05-23,652.7142857142857,573,23323,14.571428571428571,3,778
2020-05-24,673.5714285714286,553,23876,14,6,784
2020-05-25,664.7142857142857,461,24337,13.857142857142858,6,790
2020-05-26,680.4285714285714,615,24952,15.428571428571429,11,801
2020-05-27,657,661,25613,16.857142857142858,43,844
2020-05-28,706.7142857142857,1136,26749,20.285714285714285,32,876
2020-05-29,725.1428571428571,1077,27826,20.571428571428573,43,919
2020-05-30,773.2857142857143,910,28736,21.571428571428573,10,929
2020-05-31,805.4285714285714,778,29514,21.857142857142858,8,937
2020-06-01,830.8571428571429,639,30153,22.571428571428573,11,948
2020-06-02,859.1428571428571,813,30966,22.857142857142858,13,961
2020-06-03,940.7142857142857,1232,32198,22.142857142857142,38,999
2020-06-04,957.8571428571429,1256,33454,18.571428571428573,7,1006
2020-06-05,992.1428571428571,1317,34771,13.714285714285714,9,1015
2020-06-06,997.8571428571429,950,35721,14.142857142857142,13,1028
2020-06-07,1045.7142857142858,1113,36834,13.571428571428571,4,1032
2020-06-08,1073,830,37664,13.285714285714286,9,1041
2020-06-09,1080.2857142857142,864,38528,15.285714285714286,27,1068
2020-06-10,1086.7142857142858,1277,39805,13,22,1090
2020-06-11,1140.142857142857,1630,41435,14.285714285714286,16,1106
2020-06-12,1165.857142857143,1497,42932,15.142857142857142,15,1121
2020-06-13,1224.857142857143,1363,44295,14.142857142857142,6,1127
2020-06-14,1221.7142857142858,1091,45386,14.285714285714286,5,1132
2020-06-15,1240.5714285714287,962,46348,14.142857142857142,8,1140
2020-06-16,1241.142857142857,868,47216,14.428571428571429,29,1169
2020-06-17,1255.7142857142858,1379,48595,13,12,1181
2020-06-18,1254.142857142857,1619,50214,11.714285714285714,7,1188
2020-06-19,1254,1496,51710,11.571428571428571,14,1202
2020-06-20,1244.857142857143,1299,53009,12.571428571428571,13,1215
2020-06-21,1249,1120,54129,16.142857142857142,30,1245
2020-06-22,1258.4285714285713,1028,55157,19.714285714285715,33,1278
2020-06-23,1318,1285,56442,18.142857142857142,18,1296
2020-06-24,1317.4285714285713,1375,57817,20.571428571428573,29,1325
2020-06-25,1317.5714285714287,1620,59437,21.142857142857142,11,1336
2020-06-26,1356.7142857142858,1770,61207,20.857142857142858,12,1348
2020-06-27,1389.5714285714287,1529,62736,19.714285714285715,5,1353
2020-06-28,1420,1333,64069,15.285714285714286,-1,1352
2020-06-29,1453.4285714285713,1262,65331,11.285714285714286,5,1357
2020-06-30,1540.5714285714287,1895,67226,12,23,1380
2020-07-01,1573.2857142857142,1604,68830,10.428571428571429,18,1398
2020-07-02,1638.2857142857142,2075,70905,10.428571428571429,11,1409
2020-07-03,1594.4285714285713,1463,72368,10.142857142857142,10,1419
2020-07-04,1577.5714285714287,1411,73779,9.857142857142858,3,1422
2020-07-05,1592.4285714285713,1437,75216,10.142857142857142,1,1423
2020-07-06,1611.142857142857,1393,76609,10.714285714285714,9,1432
2020-07-07,1568.7142857142858,1598,78207,9.428571428571429,14,1446
2020-07-08,1625.5714285714287,2002,80209,9.142857142857142,16,1462
2020-07-09,1616.7142857142858,2013,82222,9.714285714285714,15,1477
2020-07-10,1732.142857142857,2271,84493,11.142857142857142,20,1497
2020-07-11,1816.142857142857,1999,86492,13,16,1513
2020-07-12,1871.4285714285713,1824,88316,14.142857142857142,9,1522
2020-07-13,1969.7142857142858,2081,90397,13.857142857142858,7,1529
2020-07-14,2018.142857142857,1937,92334,17.857142857142858,42,1571
2020-07-15,2022.2857142857142,2031,94365,18.142857142857142,18,1589
2020-07-16,2015.5714285714287,1966,96331,18.571428571428573,18,1607
2020-07-17,2029.2857142857142,2367,98698,18,16,1623
2020-07-18,2000.2857142857142,1796,100494,19.285714285714285,25,1648
2020-07-19,1928.4285714285713,1321,101815,18.571428571428573,4,1652
2020-07-20,1904.7142857142858,1915,103730,21.142857142857142,25,1677
2020-07-21,1890.142857142857,1835,105565,19.142857142857142,28,1705
2020-07-22,1950.2857142857142,2452,108017,20.428571428571427,27,1732
2020-07-23,1991.142857142857,2252,110269,21.285714285714285,24,1756
2020-07-24,1946,2051,112320,23.714285714285715,33,1789
2020-07-25,1947.5714285714287,1807,114127,23.285714285714285,22,1811
2020-07-26,1986.142857142857,1591,115718,23.571428571428573,6,1817
2020-07-27,2005.2857142857142,2049,117767,23,21,1838
2020-07-28,1972.857142857143,1608,119375,22.142857142857142,22,1860
2020-07-29,1960.2857142857142,2364,121739,22.285714285714285,28,1888
2020-07-30,1917.2857142857142,1951,123690,23.714285714285715,34,1922
2020-07-31,1908.2857142857142,1988,125678,21.857142857142858,20,1942
2020-08-01,1850.4285714285713,1402,127080,24,37,1979
2020-08-02,1818.857142857143,1370,128450,23.714285714285715,4,1983
2020-08-03,1751.857142857143,1580,130030,29.285714285714285,60,2043
2020-08-04,1697.4285714285713,1227,131257,28.714285714285715,18,2061
2020-08-05,1638.7142857142858,1953,133210,28.142857142857142,24,2085
2020-08-06,1626.5714285714287,1866,135076,29.142857142857142,41,2126
2020-08-07,1597.7142857142858,1786,136862,31.142857142857142,34,2160
2020-08-08,1592.4285714285713,1365,138227,29.285714285714285,24,2184
2020-08-09,1512.857142857143,813,139040,29.857142857142858,8,2192
2020-08-10,1477.857142857143,1335,140375,22.285714285714285,7,2199
