,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.42857142857142855
2020-03-08,0.0,0.5714285714285714
2020-03-09,0.0,0.7142857142857143
2020-03-10,3.0,1.7142857142857142
2020-03-11,1.0,3.7142857142857144
2020-03-12,1.0,4.285714285714286
2020-03-13,7.0,7.142857142857143
2020-03-14,14.0,9.142857142857142
2020-03-15,4.0,12.142857142857142
2020-03-16,20.0,16.285714285714285
2020-03-17,17.0,23.0
2020-03-18,22.0,31.571428571428573
2020-03-19,30.0,46.57142857142857
2020-03-20,54.0,56.142857142857146
2020-03-21,74.0,71.42857142857143
2020-03-22,109.0,87.85714285714286
2020-03-23,87.0,107.0
2020-03-24,124.0,137.71428571428572
2020-03-25,137.0,165.57142857142858
2020-03-26,164.0,185.28571428571428
2020-03-27,269.0,212.85714285714286
2020-03-28,269.0,233.14285714285714
