,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0.42857142857142855,3,3,0,0,0
2020-03-11,0.5714285714285714,1,4,0,0,0
2020-03-12,0.7142857142857143,1,5,0,0,0
2020-03-13,1.7142857142857142,7,12,0,0,0
2020-03-14,3.7142857142857144,14,26,0.14285714285714285,1,1
2020-03-15,4.285714285714286,4,30,0.14285714285714285,0,1
2020-03-16,7.142857142857143,20,50,0.14285714285714285,0,1
2020-03-17,9.142857142857142,17,67,0.2857142857142857,1,2
2020-03-18,12.142857142857142,22,89,0.42857142857142855,1,3
2020-03-19,16.285714285714285,30,119,0.42857142857142855,0,3
2020-03-20,23,54,173,1.1428571428571428,5,8
2020-03-21,31.571428571428573,74,247,1,0,8
2020-03-22,46.57142857142857,109,356,1.4285714285714286,3,11
2020-03-23,56.142857142857146,87,443,2,4,15
2020-03-24,71.42857142857143,124,567,2.4285714285714284,4,19
2020-03-25,87.85714285714286,137,704,3.142857142857143,6,25
2020-03-26,107,164,868,4,6,31
2020-03-27,137.71428571428572,269,1137,4.428571428571429,8,39
2020-03-28,165.57142857142858,269,1406,6,11,50
2020-03-29,185.28571428571428,247,1653,8.285714285714286,19,69
2020-03-30,212.85714285714286,280,1933,9.571428571428571,13,82
2020-03-31,233.14285714285714,266,2199,10.142857142857142,8,90
2020-04-01,263.2857142857143,348,2547,11.714285714285714,17,107
2020-04-02,290.42857142857144,354,2901,13.428571428571429,18,125
2020-04-03,310.7142857142857,411,3312,15.428571428571429,22,147
2020-04-04,333.2857142857143,427,3739,16.571428571428573,19,166
2020-04-05,341.42857142857144,304,4043,17.142857142857142,23,189
2020-04-06,360,410,4453,18.142857142857142,20,209
2020-04-07,369,329,4782,19.428571428571427,17,226
2020-04-08,371.57142857142856,366,5148,21.714285714285715,33,259
2020-04-09,373,364,5512,22.714285714285715,25,284
2020-04-10,366.57142857142856,366,5878,22.428571428571427,20,304
2020-04-11,358.7142857142857,372,6250,23.428571428571427,26,330
2020-04-12,365.85714285714283,354,6604,24.571428571428573,31,361
2020-04-13,360.2857142857143,371,6975,26.857142857142858,36,397
2020-04-14,357.57142857142856,310,7285,29.142857142857142,33,430
2020-04-15,378,509,7794,29.428571428571427,35,465
2020-04-16,414.57142857142856,620,8414,30.714285714285715,34,499
2020-04-17,461.2857142857143,693,9107,34.714285714285715,48,547
2020-04-18,567.4285714285714,1115,10222,36,35,582
2020-04-19,714,1380,11602,35.857142857142854,30,612
2020-04-20,849.1428571428571,1317,12919,36.57142857142857,41,653
2020-04-21,920,806,13725,37.142857142857146,37,690
2020-04-22,903.2857142857143,392,14117,38.285714285714285,43,733
2020-04-23,897.1428571428571,577,14694,39.142857142857146,40,773
2020-04-24,866,475,15169,39.142857142857146,48,821
2020-04-25,766.4285714285714,418,15587,38.57142857142857,31,852
2020-04-26,624.2857142857143,385,15972,41.42857142857143,50,902
2020-04-27,486.57142857142856,353,16325,42.142857142857146,46,948
2020-04-28,434.85714285714283,444,16769,44.714285714285715,55,1003
2020-04-29,455.14285714285717,534,17303,44.42857142857143,41,1044
2020-04-30,476.14285714285717,724,18027,42.857142857142854,29,1073
2020-05-01,510.57142857142856,716,18743,43,49,1122
2020-05-02,535.4285714285714,592,19335,44.42857142857143,41,1163
2020-05-03,563.1428571428571,579,19914,43.57142857142857,44,1207
2020-05-04,592.7142857142857,560,20474,41,28,1235
2020-05-05,600,495,20969,38.57142857142857,38,1273
2020-05-06,610.4285714285714,607,21576,38.714285714285715,42,1315
2020-05-07,586.2857142857143,555,22131,40.285714285714285,40,1355
2020-05-08,610.4285714285714,885,23016,38.857142857142854,39,1394
2020-05-09,623.1428571428571,681,23697,38.714285714285715,40,1434
2020-05-10,595.2857142857143,384,24081,37.285714285714285,34,1468
2020-05-11,614.7142857142857,696,24777,37,26,1494
2020-05-12,611.5714285714286,473,25250,37.142857142857146,39,1533
2020-05-13,592.1428571428571,471,25721,36.42857142857143,37,1570
2020-05-14,603.7142857142857,636,26357,34.57142857142857,27,1597
2020-05-15,562.5714285714286,597,26954,35.42857142857143,45,1642
2020-05-16,539.5714285714286,520,27474,34.57142857142857,34,1676
2020-05-17,548.8571428571429,449,27923,34.714285714285715,35,1711
2020-05-18,525.2857142857143,531,28454,36.42857142857143,38,1749
2020-05-19,528.8571428571429,498,28952,35.57142857142857,33,1782
2020-05-20,530.7142857142857,484,29436,34.42857142857143,29,1811
2020-05-21,544.2857142857143,731,30167,35.857142857142854,37,1848
2020-05-22,548.5714285714286,627,30794,34,32,1880
2020-05-23,562,614,31408,35.142857142857146,42,1922
2020-05-24,569.7142857142857,503,31911,34,27,1949
2020-05-25,574.7142857142857,566,32477,32.42857142857143,27,1976
2020-05-26,579.1428571428571,529,33006,30.571428571428573,20,1996
2020-05-27,571.8571428571429,433,33439,30,25,2021
2020-05-28,535.4285714285714,476,33915,27.571428571428573,20,2041
2020-05-29,538.8571428571429,651,34566,26.857142857142858,27,2068
2020-05-30,517.8571428571429,467,35033,23.857142857142858,21,2089
2020-05-31,514.5714285714286,480,35513,24.285714285714285,30,2119
2020-06-01,501,471,35984,24.714285714285715,30,2149
2020-06-02,477.7142857142857,366,36350,24.857142857142858,21,2170
2020-06-03,479,442,36792,25.428571428571427,29,2199
2020-06-04,481,490,37282,25.714285714285715,22,2221
2020-06-05,456,476,37758,24.285714285714285,17,2238
2020-06-06,439.7142857142857,353,38111,24.571428571428573,23,2261
2020-06-07,423.2857142857143,365,38476,21.857142857142858,11,2272
2020-06-08,407.57142857142856,361,38837,19.857142857142858,16,2288
2020-06-09,401.7142857142857,325,39162,18.857142857142858,14,2302
2020-06-10,397.57142857142856,413,39575,16.571428571428573,13,2315
2020-06-11,388.85714285714283,429,40004,15.285714285714286,13,2328
2020-06-12,380.85714285714283,420,40424,16.428571428571427,25,2353
2020-06-13,391.42857142857144,427,40851,16.142857142857142,21,2374
2020-06-14,381.7142857142857,297,41148,17.285714285714285,19,2393
2020-06-15,391.2857142857143,428,41576,17,14,2407
2020-06-16,406.85714285714283,434,42010,16.142857142857142,8,2415
2020-06-17,406.7142857142857,412,42422,16.142857142857142,13,2428
2020-06-18,445.42857142857144,700,43122,16.142857142857142,13,2441
2020-06-19,472.42857142857144,609,43731,15,17,2458
2020-06-20,487.14285714285717,530,44261,13.142857142857142,8,2466
2020-06-21,522.8571428571429,547,44808,11.428571428571429,7,2473
2020-06-22,565.8571428571429,729,45537,11.857142857142858,17,2490
2020-06-23,588.1428571428571,590,46127,12.428571428571429,12,2502
2020-06-24,619.5714285714286,632,46759,11.714285714285714,8,2510
2020-06-25,647,892,47651,11.142857142857142,9,2519
2020-06-26,701,987,48638,10.714285714285714,14,2533
2020-06-27,742,817,49455,11.571428571428571,14,2547
2020-06-28,785.8571428571429,854,50309,12.857142857142858,16,2563
2020-06-29,787,737,51046,12.714285714285714,16,2579
2020-06-30,808.8571428571429,743,51789,11.857142857142858,6,2585
2020-07-01,872.2857142857143,1076,52865,13.142857142857142,17,2602
2020-07-02,930.7142857142857,1301,54166,13.428571428571429,11,2613
2020-07-03,945.5714285714286,1091,55257,13.142857142857142,12,2625
2020-07-04,961.1428571428571,926,56183,12.857142857142858,12,2637
2020-07-05,977.2857142857143,967,57150,12.714285714285714,15,2652
2020-07-06,987.1428571428571,806,57956,12.285714285714286,13,2665
2020-07-07,1016.4285714285714,948,58904,13.571428571428571,15,2680
2020-07-08,1045.142857142857,1277,60181,12.857142857142858,12,2692
2020-07-09,1023.5714285714286,1150,61331,14.142857142857142,20,2712
2020-07-10,1085.5714285714287,1525,62856,14.857142857142858,17,2729
2020-07-11,1147.2857142857142,1358,64214,16,20,2749
2020-07-12,1206,1378,65592,15.857142857142858,14,2763
2020-07-13,1271,1261,66853,15.857142857142858,13,2776
2020-07-14,1298.7142857142858,1142,67995,15.571428571428571,13,2789
2020-07-15,1304.2857142857142,1316,69311,15.571428571428571,12,2801
2020-07-16,1324.2857142857142,1290,70601,15.714285714285714,21,2822
2020-07-17,1346.2857142857142,1679,72280,15.285714285714286,14,2836
2020-07-18,1372.4285714285713,1541,73821,15.857142857142858,24,2860
2020-07-19,1334.2857142857142,1111,74932,17.571428571428573,26,2886
2020-07-20,1330.7142857142858,1236,76168,19.142857142857142,24,2910
2020-07-21,1317.142857142857,1047,77215,19.142857142857142,13,2923
2020-07-22,1347.2857142857142,1527,78742,21,25,2948
2020-07-23,1369.2857142857142,1444,80186,21.285714285714285,23,2971
2020-07-24,1352.2857142857142,1560,81746,23.428571428571427,29,3000
2020-07-25,1337.5714285714287,1438,83184,24.142857142857142,29,3029
2020-07-26,1305.857142857143,889,84073,23.142857142857142,19,3048
2020-07-27,1287,1104,85177,23.142857142857142,24,3072
2020-07-28,1326,1320,86497,25.714285714285715,31,3103
2020-07-29,1307.2857142857142,1396,87893,27,34,3137
2020-07-30,1348.5714285714287,1733,89626,27.428571428571427,26,3163
2020-07-31,1344.7142857142858,1533,91159,26.714285714285715,24,3187
2020-08-01,1271.857142857143,928,92087,24.571428571428573,14,3201
2020-08-02,1279.7142857142858,944,93031,25.142857142857142,23,3224
2020-08-03,1255.142857142857,932,93963,24.428571428571427,19,3243
2020-08-04,1229.857142857143,1143,95106,22.285714285714285,16,3259
2020-08-05,1201.7142857142858,1199,96305,20.857142857142858,24,3283
2020-08-06,1120.7142857142858,1166,97471,20.714285714285715,25,3308
2020-08-07,1073.7142857142858,1204,98675,21,26,3334
2020-08-08,1126,1294,99969,21.571428571428573,18,3352
2020-08-09,1116.7142857142858,879,100848,21.714285714285715,24,3376
2020-08-10,1109.7142857142858,883,101731,22.571428571428573,25,3401
2020-08-11,1102.857142857143,1095,102826,23.714285714285715,24,3425
2020-08-12,1134.7142857142858,1422,104248,23,19,3444
