,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,122.83333333333333
2020-12-13,0.0,350.14285714285717
2020-12-14,0.0,597.8571428571429
2020-12-15,737.0,1122.142857142857
2020-12-16,1714.0,1148.142857142857
2020-12-17,1734.0,1153.2857142857142
2020-12-18,3670.0,2029.4285714285713
2020-12-19,182.0,3132.8571428571427
2020-12-20,36.0,5675.285714285715
2020-12-21,6133.0,6647.571428571428
2020-12-22,8461.0,6552.0
2020-12-23,19511.0,7624.428571428572
2020-12-24,8540.0,8271.714285714286
2020-12-25,3001.0,10259.42857142857
2020-12-26,7689.0,12060.42857142857
2020-12-27,4567.0,14014.42857142857
2020-12-28,20047.0,15372.0
2020-12-29,21068.0,14966.57142857143
2020-12-30,33189.0,14035.42857142857
2020-12-31,18043.0,13842.42857142857
2021-01-01,163.0,10981.42857142857
2021-01-02,1171.0,9752.57142857143
2021-01-03,3216.0,8496.0
2021-01-04,20.0,8990.0
2021-01-05,12466.0,12866.42857142857
2021-01-06,24393.0,16558.714285714286
2021-01-07,21501.0,19155.85714285714
2021-01-08,27298.0,20290.571428571428
2021-01-09,27017.0,20871.14285714286
2021-01-10,21396.0,19853.85714285714
2021-01-11,7963.0,20043.0
2021-01-12,16530.0,19969.0
2021-01-13,17272.0,19777.85714285714
2021-01-14,22825.0,19737.714285714286
2021-01-15,26780.0,19935.428571428572
2021-01-16,25679.0,17574.0
2021-01-17,21115.0,16764.714285714286
2021-01-18,9347.0,17205.14285714286
2021-01-19,0.0,15970.42857142857
2021-01-20,11607.0,17289.14285714286
2021-01-21,25908.0,19975.14285714286
2021-01-22,18137.0,23338.428571428572
2021-01-23,34910.0,26049.0
2021-01-24,39917.0,28620.428571428572
2021-01-25,32890.0,28666.571428571428
2021-01-26,18974.0,30834.428571428572
2021-01-27,29607.0,31937.85714285714
2021-01-28,26231.0,30550.714285714286
2021-01-29,33312.0,30849.428571428572
2021-01-30,42634.0,32442.571428571428
2021-01-31,30207.0,60889.142857142855
2021-02-01,34981.0,63207.0
2021-02-02,30126.0,65442.57142857143
2021-02-03,228733.0,68633.42857142857
2021-02-04,42456.0,71648.57142857143
2021-02-05,48961.0,74101.14285714286
2021-02-06,64970.0,73692.14285714286
2021-02-07,51313.0,45660.857142857145
2021-02-08,52149.0,47072.857142857145
2021-02-09,27263.0,51617.28571428572
2021-02-10,32514.0,52658.71428571428
2021-02-11,52340.0,56537.57142857143
2021-02-12,80772.0,58693.857142857145
2021-02-13,72260.0,59870.28571428572
2021-02-14,78465.0,59519.42857142857
2021-02-15,67243.0,56795.857142857145
2021-02-16,35498.0,53316.28571428572
2021-02-17,30058.0,56005.71428571428
2021-02-18,33275.0,54404.857142857145
2021-02-19,56415.0,55326.28571428572
2021-02-20,91086.0,62832.857142857145
2021-02-21,67259.0,58538.857142857145
2021-02-22,73693.0,62270.42857142857
2021-02-23,88044.0,63276.0
2021-02-24,0.0,59061.142857142855
2021-02-25,59396.0,62122.71428571428
2021-02-26,63454.0,65588.28571428571
2021-02-27,61582.0,61730.28571428572
2021-02-28,88690.0,70639.42857142857
2021-03-01,97952.0,71704.0
2021-03-02,61038.0,71267.42857142857
2021-03-03,62364.0,72135.71428571429
2021-03-04,66848.0,75051.57142857143
2021-03-05,60398.0,86280.85714285714
2021-03-06,67660.0,77561.14285714286
2021-03-07,109101.0,76075.28571428571
2021-03-08,176557.0,75203.42857142857
2021-03-09,0.0,78358.85714285714
2021-03-10,51963.0,88211.71428571429
2021-03-11,60745.0,102071.42857142857
2021-03-12,82486.0,76849.0
2021-03-13,136630.0,87935.0
2021-03-14,206119.0,86745.85714285714
2021-03-15,0.0,89856.28571428571
2021-03-16,77602.0,93301.0
2021-03-17,43639.0,90593.28571428571
2021-03-18,82518.0,79247.71428571429
2021-03-19,106599.0,91147.14285714286
2021-03-20,117676.0,89671.85714285714
2021-03-21,126700.0,93163.14285714286
2021-03-22,83296.0,95160.0
2021-03-23,67275.0,98327.42857142857
2021-03-24,68078.0,101656.85714285714
2021-03-25,96496.0,101994.42857142857
2021-03-26,128771.0,103295.85714285714
2021-03-27,140982.0,103014.28571428571
2021-03-28,129063.0,102137.14285714286
2021-03-29,92406.0,103344.28571428571
2021-03-30,65304.0,106081.85714285714
2021-03-31,61938.0,109378.0
2021-04-01,104946.0,110388.14285714286
2021-04-02,147934.0,109127.57142857143
2021-04-03,164055.0,106024.42857142857
2021-04-04,136134.0,109647.0
2021-04-05,83582.0,112658.71428571429
2021-04-06,43582.0,137397.85714285713
2021-04-07,87296.0,137725.85714285713
2021-04-08,126028.0,133854.7142857143
2021-04-09,321108.0,128565.14285714286
2021-04-10,166351.0,136586.42857142858
2021-04-11,109036.0,140532.14285714287
2021-04-12,46555.0,139822.85714285713
2021-04-13,99731.0,114547.42857142857
2021-04-14,114916.0,106768.42857142857
2021-04-15,121063.0,102169.85714285714
2021-04-16,144180.0,102756.14285714286
2021-04-17,111898.0,88508.85714285714
2021-04-18,76846.0,97986.85714285714
2021-04-19,50659.0,98486.28571428571
2021-04-20,0.0,94123.0
2021-04-21,181262.0,93482.28571428571
2021-04-22,124559.0,92320.14285714286
2021-04-23,113637.0,91875.14285714286
2021-04-24,107413.0,91875.14285714286
2021-04-25,68711.0,84918.28571428571
2021-04-26,47544.0,83114.85714285714
2021-04-27,0.0,80479.85714285714
2021-04-28,132564.0,74961.0
2021-04-29,111935.0,70011.0
2021-04-30,95192.0,65300.71428571428
2021-05-01,68781.0,65300.71428571428
2021-05-02,34061.0,62391.857142857145
2021-05-03,14572.0,59568.57142857143
2021-05-04,0.0,56495.0
2021-05-05,112202.0,57697.0
2021-05-06,92172.0,58798.57142857143
2021-05-07,73677.0,66458.57142857143
2021-05-08,77195.0,74351.57142857143
2021-05-09,41772.0,64551.71428571428
2021-05-10,68192.0,59640.0
2021-05-11,55251.0,55926.28571428572
2021-05-12,43603.0,54321.142857142855
2021-05-13,57790.0,53395.142857142855
2021-05-14,47681.0,47376.0
2021-05-15,65959.0,45637.57142857143
2021-05-16,35290.0,47198.28571428572
2021-05-17,26058.0,46851.28571428572
2021-05-18,43082.0,51354.57142857143
2021-05-19,54528.0,49202.857142857145
2021-05-20,55361.0,49329.857142857145
2021-05-21,79204.0,47989.142857142855
2021-05-22,50897.0,48097.57142857143
2021-05-23,36179.0,47128.142857142855
2021-05-24,16673.0,44752.0
2021-05-25,43841.0,39078.0
2021-05-26,47742.0,37108.166666666664
2021-05-27,38728.0,37294.0
2021-05-28,39486.0,42449.25
