,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.14285714285714285
2020-03-10,0.0,0.2857142857142857
2020-03-11,0.0,0.5714285714285714
2020-03-12,1.0,1.2857142857142858
2020-03-13,1.0,2.2857142857142856
2020-03-14,2.0,4.142857142857143
2020-03-15,5.0,5.714285714285714
2020-03-16,7.0,7.428571428571429
2020-03-17,13.0,10.428571428571429
2020-03-18,11.0,13.428571428571429
2020-03-19,13.0,16.714285714285715
2020-03-20,22.0,19.428571428571427
2020-03-21,23.0,22.285714285714285
2020-03-22,28.0,24.0
2020-03-23,26.0,25.285714285714285
2020-03-24,33.0,27.0
2020-03-25,23.0,99.0
2020-03-26,22.0,168.42857142857142
2020-03-27,34.0,243.28571428571428
2020-03-28,527.0,309.85714285714283
2020-03-29,514.0,344.42857142857144
2020-03-30,550.0,410.7142857142857
2020-03-31,499.0,465.42857142857144
2020-04-01,265.0,444.85714285714283
2020-04-02,486.0,423.0
2020-04-03,417.0,403.7142857142857
2020-04-04,383.0,397.2857142857143
2020-04-05,361.0,421.85714285714283
2020-04-06,415.0,413.42857142857144
2020-04-07,454.0,405.42857142857144
2020-04-08,437.0,393.7142857142857
2020-04-09,427.0,388.14285714285717
2020-04-10,361.0,391.57142857142856
2020-04-11,301.0,388.2857142857143
2020-04-12,322.0,380.57142857142856
2020-04-13,439.0,370.85714285714283
2020-04-14,431.0,366.7142857142857
2020-04-15,383.0,365.57142857142856
2020-04-16,359.0,363.85714285714283
2020-04-17,332.0,353.57142857142856
2020-04-18,293.0,360.7142857142857
2020-04-19,310.0,361.2857142857143
2020-04-20,367.0,351.14285714285717
2020-04-21,481.0,363.85714285714283
2020-04-22,387.0,366.85714285714283
2020-04-23,288.0,361.14285714285717
2020-04-24,421.0,354.14285714285717
2020-04-25,314.0,339.42857142857144
2020-04-26,270.0,337.57142857142856
2020-04-27,318.0,345.0
2020-04-28,378.0,333.14285714285717
2020-04-29,374.0,326.85714285714283
2020-04-30,340.0,327.2857142857143
2020-05-01,338.0,331.2857142857143
2020-05-02,270.0,333.85714285714283
2020-05-03,273.0,327.14285714285717
2020-05-04,346.0,326.7142857142857
2020-05-05,396.0,317.42857142857144
2020-05-06,327.0,315.85714285714283
2020-05-07,337.0,312.0
2020-05-08,273.0,301.42857142857144
2020-05-09,259.0,290.2857142857143
2020-05-10,246.0,288.2857142857143
2020-05-11,272.0,284.0
2020-05-12,318.0,286.7142857142857
2020-05-13,313.0,287.42857142857144
2020-05-14,307.0,290.14285714285717
2020-05-15,292.0,294.85714285714283
2020-05-16,264.0,296.42857142857144
2020-05-17,265.0,297.2857142857143
2020-05-18,305.0,297.2857142857143
2020-05-19,329.0,297.2857142857143
2020-05-20,319.0,294.14285714285717
2020-05-21,307.0,292.42857142857144
2020-05-22,292.0,282.42857142857144
2020-05-23,242.0,278.7142857142857
2020-05-24,253.0,280.14285714285717
2020-05-25,235.0,275.85714285714283
2020-05-26,303.0,269.57142857142856
2020-05-27,329.0,268.42857142857144
2020-05-28,277.0,261.7142857142857
2020-05-29,248.0,261.14285714285717
2020-05-30,234.0,253.42857142857142
2020-05-31,206.0,245.71428571428572
2020-06-01,231.0,244.0
2020-06-02,249.0,286.2857142857143
2020-06-03,275.0,284.57142857142856
2020-06-04,265.0,289.42857142857144
2020-06-05,544.0,293.42857142857144
2020-06-06,222.0,297.7142857142857
2020-06-07,240.0,300.14285714285717
2020-06-08,259.0,303.42857142857144
2020-06-09,279.0,277.2857142857143
2020-06-10,292.0,286.7142857142857
2020-06-11,288.0,290.42857142857144
2020-06-12,361.0,341.42857142857144
2020-06-13,288.0,346.14285714285717
2020-06-14,266.0,355.7142857142857
2020-06-15,616.0,373.42857142857144
2020-06-16,312.0,376.7142857142857
2020-06-17,359.0,385.7142857142857
2020-06-18,412.0,405.14285714285717
2020-06-19,384.0,379.85714285714283
2020-06-20,351.0,402.57142857142856
2020-06-21,402.0,424.42857142857144
2020-06-22,439.0,438.2857142857143
2020-06-23,471.0,449.7142857142857
2020-06-24,512.0,464.57142857142856
2020-06-25,509.0,473.2857142857143
2020-06-26,464.0,489.57142857142856
2020-06-27,455.0,506.0
2020-06-28,463.0,512.8571428571429
2020-06-29,553.0,565.4285714285714
2020-06-30,586.0,574.5714285714286
2020-07-01,560.0,576.7142857142857
2020-07-02,877.0,586.4285714285714
2020-07-03,528.0,599.0
2020-07-04,470.0,612.0
2020-07-05,531.0,630.7142857142857
2020-07-06,641.0,612.1428571428571
2020-07-07,677.0,633.2857142857143
2020-07-08,691.0,663.8571428571429
2020-07-09,747.0,683.2857142857143
2020-07-10,676.0,693.4285714285714
2020-07-11,684.0,739.0
2020-07-12,667.0,803.5714285714286
2020-07-13,712.0,792.7142857142857
2020-07-14,996.0,793.0
2020-07-15,1143.0,800.8571428571429
2020-07-16,671.0,799.4285714285714
2020-07-17,678.0,797.0
2020-07-18,739.0,758.8571428571429
2020-07-19,657.0,695.5714285714286
2020-07-20,695.0,700.5714285714286
2020-07-21,729.0,705.4285714285714
2020-07-22,700.0,704.5714285714286
2020-07-23,706.0,718.2857142857143
2020-07-24,712.0,719.0
2020-07-25,733.0,717.0
2020-07-26,753.0,717.4285714285714
2020-07-27,700.0,720.5714285714286
2020-07-28,715.0,720.7142857142857
2020-07-29,703.0,719.4285714285714
2020-07-30,728.0,707.5714285714286
2020-07-31,713.0,701.1428571428571
2020-08-01,724.0,699.8571428571429
2020-08-02,670.0,698.7142857142857
2020-08-03,655.0,686.7142857142857
2020-08-04,706.0,680.5714285714286
2020-08-05,695.0,661.0
2020-08-06,644.0,641.8571428571429
2020-08-07,670.0,642.1428571428571
2020-08-08,587.0,630.7142857142857
2020-08-09,536.0,624.5714285714286
2020-08-10,657.0,626.4285714285714
2020-08-11,626.0,613.1428571428571
2020-08-12,652.0,601.7142857142857
2020-08-13,657.0,601.5714285714286
2020-08-14,577.0,595.5714285714286
2020-08-15,507.0,592.7142857142857
2020-08-16,535.0,586.2857142857143
2020-08-17,615.0,578.5714285714286
2020-08-18,606.0,579.8571428571429
2020-08-19,607.0,584.7142857142857
2020-08-20,603.0,584.0
2020-08-21,586.0,570.8571428571429
2020-08-22,541.0,561.7142857142857
2020-08-23,530.0,551.2857142857143
2020-08-24,523.0,544.7142857142857
2020-08-25,542.0,540.1428571428571
2020-08-26,534.0,541.1428571428571
2020-08-27,557.0,544.2857142857143
2020-08-28,554.0,548.2857142857143
2020-08-29,548.0,552.7142857142857
2020-08-30,552.0,553.4285714285714
2020-08-31,551.0,550.8571428571429
2020-09-01,573.0,547.5714285714286
2020-09-02,539.0,544.2857142857143
2020-09-03,539.0,539.5714285714286
2020-09-04,531.0,531.7142857142857
2020-09-05,525.0,521.2857142857143
2020-09-06,519.0,520.8571428571429
2020-09-07,496.0,521.0
2020-09-08,500.0,524.8571428571429
2020-09-09,536.0,528.8571428571429
2020-09-10,540.0,535.8571428571429
2020-09-11,558.0,550.4285714285714
2020-09-12,553.0,557.8571428571429
2020-09-13,568.0,561.2857142857143
2020-09-14,598.0,563.5714285714286
2020-09-15,552.0,566.5714285714286
2020-09-16,560.0,573.8571428571429
2020-09-17,556.0,582.0
2020-09-18,579.0,584.5714285714286
2020-09-19,604.0,591.0
2020-09-20,625.0,596.4285714285714
2020-09-21,616.0,599.2857142857143
2020-09-22,597.0,603.1428571428571
2020-09-23,598.0,602.5714285714286
2020-09-24,576.0,598.1428571428571
