,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,3924.5714285714284
2020-12-24,0.0,3924.5714285714284
2020-12-25,0.0,3924.5714285714284
2020-12-26,27472.0,3924.5714285714284
2020-12-27,0.0,3924.5714285714284
2020-12-28,0.0,3924.5714285714284
2020-12-29,0.0,3924.5714285714284
2020-12-30,0.0,2943.5714285714284
2020-12-31,0.0,2943.5714285714284
2021-01-01,0.0,2943.5714285714284
2021-01-02,20605.0,2943.5714285714284
2021-01-03,0.0,2943.5714285714284
2021-01-04,0.0,2943.5714285714284
2021-01-05,0.0,2943.5714285714284
2021-01-06,0.0,0.0
2021-01-07,0.0,7006.142857142857
2021-01-08,0.0,7006.142857142857
2021-01-09,0.0,7006.142857142857
2021-01-10,49043.0,7006.142857142857
2021-01-11,0.0,7006.142857142857
2021-01-12,0.0,21070.0
2021-01-13,0.0,21070.0
2021-01-14,0.0,14063.857142857143
2021-01-15,98447.0,14063.857142857143
2021-01-16,0.0,14063.857142857143
2021-01-17,0.0,14063.857142857143
2021-01-18,0.0,14063.857142857143
2021-01-19,0.0,0.0
2021-01-20,0.0,11475.857142857143
2021-01-21,0.0,11475.857142857143
2021-01-22,0.0,11475.857142857143
2021-01-23,80331.0,11475.857142857143
2021-01-24,0.0,11475.857142857143
2021-01-25,0.0,11475.857142857143
2021-01-26,0.0,11475.857142857143
2021-01-27,0.0,13589.714285714286
2021-01-28,0.0,13589.714285714286
2021-01-29,0.0,13589.714285714286
2021-01-30,95128.0,13589.714285714286
2021-01-31,0.0,23932.0
2021-02-01,0.0,26327.0
2021-02-02,0.0,29461.85714285714
2021-02-03,72396.0,19630.571428571428
2021-02-04,16765.0,23996.14285714286
2021-02-05,21944.0,28638.14285714286
2021-02-06,26309.0,30396.428571428572
2021-02-07,30559.0,20361.714285714286
2021-02-08,32494.0,20566.571428571428
2021-02-09,12308.0,20568.14285714286
2021-02-10,2153.0,18522.85714285714
2021-02-11,18199.0,17083.285714285714
2021-02-12,21955.0,15515.42857142857
2021-02-13,11992.0,13757.142857142857
2021-02-14,20482.0,15201.285714285714
2021-02-15,21519.0,12861.57142857143
2021-02-16,0.0,10297.0
2021-02-17,12262.0,24737.85714285714
2021-02-18,1821.0,24295.428571428572
2021-02-19,4003.0,26229.571428571428
2021-02-20,113078.0,32032.714285714286
2021-02-21,17385.0,30281.0
2021-02-22,35058.0,34145.71428571428
2021-02-23,40622.0,38154.57142857143
2021-02-24,0.0,27506.571428571428
2021-02-25,28874.0,30870.285714285714
2021-02-26,32065.0,32771.57142857143
2021-02-27,38542.0,30352.285714285714
2021-02-28,40931.0,31154.14285714286
2021-03-01,48367.0,30339.428571428572
2021-03-02,23687.0,30556.0
2021-03-03,5613.0,29568.0
2021-03-04,23171.0,28451.0
2021-03-05,33581.0,29325.285714285714
2021-03-06,31626.0,25941.428571428572
2021-03-07,33112.0,26087.428571428572
2021-03-08,54487.0,26712.14285714286
2021-03-09,0.0,26214.285714285714
2021-03-10,6635.0,26462.571428571428
2021-03-11,27544.0,31292.14285714286
2021-03-12,30096.0,23508.285714285714
2021-03-13,33364.0,26093.714285714286
2021-03-14,66919.0,25873.714285714286
2021-03-15,0.0,26397.0
2021-03-16,18098.0,26678.714285714286
2021-03-17,5095.0,26681.14285714286
2021-03-18,31207.0,21575.571428571428
2021-03-19,32068.0,26777.428571428572
2021-03-20,33381.0,27323.0
2021-03-21,31180.0,27762.14285714286
2021-03-22,36413.0,28277.714285714286
2021-03-23,21917.0,28856.14285714286
2021-03-24,8169.0,29329.0
2021-03-25,34816.0,30198.85714285714
2021-03-26,36117.0,30995.85714285714
2021-03-27,36691.0,30492.571428571428
2021-03-28,37269.0,30403.0
2021-03-29,41992.0,30375.428571428572
2021-03-30,18394.0,31628.285714285714
2021-03-31,7542.0,32972.28571428572
2021-04-01,34623.0,34528.71428571428
2021-04-02,44887.0,33959.71428571428
2021-04-03,46099.0,33536.0
2021-04-04,48164.0,33325.71428571428
2021-04-05,38009.0,33379.42857142857
2021-04-06,15428.0,37200.857142857145
2021-04-07,6070.0,36097.857142857145
2021-04-08,34999.0,34721.42857142857
2021-04-09,71637.0,31821.428571428572
2021-04-10,38378.0,32128.285714285714
2021-04-11,38529.0,32542.285714285714
2021-04-12,17709.0,31677.85714285714
2021-04-13,17576.0,25736.714285714286
2021-04-14,8968.0,24367.571428571428
2021-04-15,28948.0,23226.714285714286
2021-04-16,30049.0,24317.714285714286
2021-04-17,28794.0,22681.14285714286
2021-04-18,30543.0,24146.0
2021-04-19,25346.0,22935.428571428572
2021-04-20,6120.0,21338.285714285714
2021-04-21,19222.0,21193.285714285714
2021-04-22,20474.0,20211.85714285714
2021-04-23,18869.0,18156.428571428572
2021-04-24,27779.0,18077.285714285714
2021-04-25,23673.0,17742.14285714286
2021-04-26,10958.0,17239.428571428572
2021-04-27,5566.0,16610.14285714286
2021-04-28,16876.0,15231.57142857143
2021-04-29,16955.0,14194.42857142857
2021-04-30,14464.0,13372.142857142857
2021-05-01,18129.0,12577.0
2021-05-02,16413.0,12426.42857142857
2021-05-03,5202.0,11952.0
2021-05-04,0.0,11642.142857142857
2021-05-05,15822.0,10695.714285714286
2021-05-06,13634.0,10115.857142857143
2021-05-07,12295.0,10195.142857142857
2021-05-08,11504.0,10730.0
2021-05-09,12354.0,9660.857142857143
2021-05-10,5757.0,9223.142857142857
2021-05-11,3744.0,8938.142857142857
2021-05-12,8338.0,9033.42857142857
2021-05-13,10570.0,9125.285714285714
2021-05-14,10300.0,9012.714285714286
2021-05-15,12171.0,8964.285714285714
2021-05-16,12997.0,8934.0
2021-05-17,4969.0,9208.0
2021-05-18,3405.0,9292.42857142857
2021-05-19,8126.0,9300.42857142857
2021-05-20,12488.0,8743.42857142857
2021-05-21,10891.0,8516.714285714286
2021-05-22,12227.0,8345.0
2021-05-23,9098.0,8133.714285714285
2021-05-24,3382.0,7482.714285714285
2021-05-25,2203.0,7097.428571428572
2021-05-26,6647.0,6242.5
2021-05-27,7931.0,5671.4
2021-05-28,8194.0,6243.75
