,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.14285714285714285
2020-02-27,0.0,0.14285714285714285
2020-02-28,0.0,0.42857142857142855
2020-02-29,1.0,0.42857142857142855
2020-03-01,0.0,0.42857142857142855
2020-03-02,2.0,0.42857142857142855
2020-03-03,0.0,0.42857142857142855
2020-03-04,0.0,0.7142857142857143
2020-03-05,0.0,1.8571428571428572
2020-03-06,0.0,1.5714285714285714
2020-03-07,3.0,1.5714285714285714
2020-03-08,8.0,2.2857142857142856
2020-03-09,0.0,3.0
2020-03-10,0.0,3.857142857142857
2020-03-11,5.0,4.285714285714286
2020-03-12,5.0,3.142857142857143
2020-03-13,6.0,3.5714285714285716
2020-03-14,6.0,7.428571428571429
2020-03-15,0.0,8.0
2020-03-16,3.0,9.142857142857142
2020-03-17,27.0,12.0
2020-03-18,9.0,14.428571428571429
2020-03-19,13.0,17.857142857142858
2020-03-20,26.0,21.714285714285715
2020-03-21,23.0,20.571428571428573
2020-03-22,24.0,27.285714285714285
2020-03-23,30.0,32.57142857142857
2020-03-24,19.0,43.142857142857146
2020-03-25,56.0,48.857142857142854
2020-03-26,50.0,55.285714285714285
