,inpatient_beds_used_covid,7_day_avg
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.14285714285714285
2020-03-04,0.0,0.2857142857142857
2020-03-05,0.0,0.42857142857142855
2020-03-06,1.0,0.7142857142857143
2020-03-07,1.0,0.8571428571428571
2020-03-08,1.0,1.1428571428571428
2020-03-09,2.0,1.7142857142857142
2020-03-10,1.0,2.142857142857143
2020-03-11,2.0,2.5714285714285716
2020-03-12,4.0,3.0
2020-03-13,4.0,3.857142857142857
2020-03-14,4.0,4.571428571428571
2020-03-15,4.0,4.857142857142857
2020-03-16,8.0,5.714285714285714
2020-03-17,6.0,5.428571428571429
2020-03-18,4.0,5.142857142857143
2020-03-19,10.0,4.857142857142857
2020-03-20,2.0,5.285714285714286
2020-03-21,2.0,5.428571428571429
2020-03-22,2.0,7.142857142857143
2020-03-23,11.0,11.857142857142858
2020-03-24,7.0,18.142857142857142
2020-03-25,16.0,24.428571428571427
2020-03-26,43.0,32.142857142857146
2020-03-27,46.0,42.57142857142857
2020-03-28,46.0,54.285714285714285
2020-03-29,56.0,65.57142857142857
2020-03-30,84.0,69.57142857142857
2020-03-31,89.0,73.57142857142857
2020-04-01,95.0,77.85714285714286
2020-04-02,71.0,82.85714285714286
2020-04-03,74.0,84.28571428571429
2020-04-04,76.0,84.28571428571429
2020-04-05,91.0,91.85714285714286
2020-04-06,94.0,101.28571428571429
2020-04-07,89.0,112.57142857142857
2020-04-08,148.0,121.85714285714286
2020-04-09,137.0,128.42857142857142
2020-04-10,153.0,127.71428571428571
2020-04-11,141.0,127.42857142857143
2020-04-12,137.0,126.14285714285714
2020-04-13,89.0,128.85714285714286
2020-04-14,87.0,130.42857142857142
2020-04-15,139.0,139.0
2020-04-16,156.0,146.14285714285714
2020-04-17,164.0,165.57142857142858
2020-04-18,201.0,186.57142857142858
2020-04-19,187.0,198.71428571428572
2020-04-20,225.0,205.85714285714286
2020-04-21,234.0,211.85714285714286
2020-04-22,224.0,213.85714285714286
2020-04-23,206.0,234.28571428571428
2020-04-24,206.0,251.57142857142858
2020-04-25,215.0,261.14285714285717
2020-04-26,330.0,270.57142857142856
2020-04-27,346.0,268.7142857142857
2020-04-28,301.0,282.0
2020-04-29,290.0,288.14285714285717
2020-04-30,193.0,268.42857142857144
2020-05-01,299.0,244.28571428571428
2020-05-02,258.0,229.42857142857142
2020-05-03,192.0,214.14285714285714
2020-05-04,177.0,207.28571428571428
2020-05-05,197.0,185.71428571428572
2020-05-06,183.0,168.28571428571428
2020-05-07,145.0,163.14285714285714
2020-05-08,148.0,154.28571428571428
2020-05-09,136.0,153.57142857142858
2020-05-10,156.0,154.85714285714286
2020-05-11,115.0,161.85714285714286
2020-05-12,192.0,165.0
2020-05-13,192.0,170.71428571428572
2020-05-14,194.0,166.0
2020-05-15,170.0,165.85714285714286
2020-05-16,176.0,160.0
2020-05-17,123.0,155.28571428571428
2020-05-18,114.0,148.14285714285714
2020-05-19,151.0,143.14285714285714
2020-05-20,159.0,132.85714285714286
2020-05-21,144.0,133.28571428571428
2020-05-22,135.0,133.42857142857142
2020-05-23,104.0,130.85714285714286
2020-05-24,126.0,126.85714285714286
2020-05-25,115.0,125.85714285714286
2020-05-26,133.0,125.28571428571429
2020-05-27,131.0,128.42857142857142
2020-05-28,137.0,124.14285714285714
2020-05-29,131.0,120.28571428571429
2020-05-30,126.0,115.0
2020-05-31,96.0,110.28571428571429
2020-06-01,88.0,105.71428571428571
2020-06-02,96.0,105.85714285714286
2020-06-03,98.0,105.42857142857143
2020-06-04,105.0,108.85714285714286
2020-06-05,132.0,117.14285714285714
2020-06-06,123.0,121.85714285714286
2020-06-07,120.0,129.14285714285714
2020-06-08,146.0,135.14285714285714
2020-06-09,129.0,134.57142857142858
2020-06-10,149.0,135.85714285714286
2020-06-11,147.0,136.85714285714286
2020-06-12,128.0,134.28571428571428
2020-06-13,132.0,135.71428571428572
2020-06-14,127.0,133.57142857142858
2020-06-15,128.0,130.57142857142858
2020-06-16,139.0,133.57142857142858
2020-06-17,134.0,133.0
2020-06-18,126.0,133.14285714285714
2020-06-19,149.0,134.0
2020-06-20,128.0,138.85714285714286
2020-06-21,128.0,143.57142857142858
2020-06-22,134.0,152.14285714285714
2020-06-23,173.0,149.57142857142858
2020-06-24,167.0,147.42857142857142
2020-06-25,186.0,143.42857142857142
2020-06-26,131.0,141.57142857142858
2020-06-27,113.0,138.0
2020-06-28,100.0,132.85714285714286
2020-06-29,121.0,128.0
2020-06-30,148.0,133.57142857142858
2020-07-01,131.0,140.85714285714286
2020-07-02,152.0,151.14285714285714
2020-07-03,170.0,161.57142857142858
2020-07-04,164.0,167.57142857142858
2020-07-05,172.0,174.85714285714286
2020-07-06,194.0,179.14285714285714
2020-07-07,190.0,182.85714285714286
2020-07-08,182.0,185.42857142857142
2020-07-09,182.0,185.0
2020-07-10,196.0,182.14285714285714
2020-07-11,182.0,178.85714285714286
2020-07-12,169.0,193.0
2020-07-13,174.0,202.85714285714286
2020-07-14,167.0,214.0
2020-07-15,281.0,226.85714285714286
2020-07-16,251.0,241.42857142857142
2020-07-17,274.0,255.28571428571428
2020-07-18,272.0,268.0
2020-07-19,271.0,258.85714285714283
2020-07-20,271.0,257.42857142857144
2020-07-21,256.0,260.7142857142857
2020-07-22,217.0,257.85714285714283
2020-07-23,241.0,254.0
2020-07-24,297.0,251.57142857142858
2020-07-25,252.0,254.14285714285714
2020-07-26,244.0,261.42857142857144
2020-07-27,254.0,263.42857142857144
2020-07-28,274.0,257.7142857142857
2020-07-29,268.0,260.7142857142857
2020-07-30,255.0,259.85714285714283
2020-07-31,257.0,256.2857142857143
2020-08-01,273.0,254.14285714285714
2020-08-02,238.0,254.85714285714286
2020-08-03,229.0,253.71428571428572
2020-08-04,259.0,252.42857142857142
2020-08-05,273.0,245.42857142857142
2020-08-06,247.0,244.0
2020-08-07,248.0,246.85714285714286
2020-08-08,224.0,247.14285714285714
2020-08-09,228.0,246.71428571428572
2020-08-10,249.0,249.0
2020-08-11,261.0,247.14285714285714
2020-08-12,270.0,249.42857142857142
2020-08-13,263.0,248.85714285714286
2020-08-14,235.0,240.71428571428572
2020-08-15,240.0,234.85714285714286
2020-08-16,224.0,226.14285714285714
2020-08-17,192.0,215.14285714285714
2020-08-18,220.0,207.85714285714286
2020-08-19,209.0,199.42857142857142
2020-08-20,186.0,189.28571428571428
2020-08-21,184.0,184.14285714285714
2020-08-22,181.0,180.14285714285714
2020-08-23,153.0,178.28571428571428
2020-08-24,156.0,177.28571428571428
2020-08-25,192.0,178.85714285714286
2020-08-26,196.0,181.14285714285714
2020-08-27,179.0,184.0
2020-08-28,195.0,184.57142857142858
2020-08-29,197.0,181.0
2020-08-30,173.0,176.14285714285714
2020-08-31,160.0,173.85714285714286
2020-09-01,167.0,172.0
2020-09-02,162.0,169.71428571428572
2020-09-03,163.0,171.28571428571428
2020-09-04,182.0,174.14285714285714
2020-09-05,181.0,177.14285714285714
2020-09-06,184.0,178.28571428571428
2020-09-07,180.0,183.0
2020-09-08,188.0,182.71428571428572
2020-09-09,170.0,180.0
2020-09-10,196.0,178.42857142857142
2020-09-11,180.0,178.28571428571428
2020-09-12,162.0,180.71428571428572
2020-09-13,173.0,187.57142857142858
2020-09-14,179.0,185.71428571428572
2020-09-15,205.0,185.57142857142858
2020-09-16,218.0,186.71428571428572
2020-09-17,183.0,188.0
2020-09-18,179.0,188.57142857142858
2020-09-19,170.0,187.28571428571428
2020-09-20,182.0,186.0
2020-09-21,183.0,190.71428571428572
2020-09-22,196.0,193.71428571428572
2020-09-23,209.0,198.42857142857142
2020-09-24,216.0,203.71428571428572
2020-09-25,200.0,207.28571428571428
2020-09-26,203.0,208.14285714285714
2020-09-27,219.0,206.57142857142858
2020-09-28,208.0,207.85714285714286
2020-09-29,202.0,210.57142857142858
2020-09-30,198.0,222.85714285714286
2020-10-01,225.0,236.42857142857142
2020-10-02,219.0,238.42857142857142
2020-10-03,289.0,243.28571428571428
2020-10-04,314.0,247.42857142857142
2020-10-05,222.0,247.28571428571428
2020-10-06,236.0,252.42857142857142
2020-10-07,227.0,246.85714285714286
2020-10-08,224.0,237.14285714285714
2020-10-09,255.0,240.85714285714286
2020-10-10,250.0,245.42857142857142
2020-10-11,246.0,249.0
2020-10-12,248.0,250.42857142857142
2020-10-13,268.0,247.28571428571428
2020-10-14,252.0,245.42857142857142
2020-10-15,234.0,243.71428571428572
2020-10-16,233.0,235.42857142857142
2020-10-17,237.0,227.57142857142858
2020-10-18,234.0,222.28571428571428
2020-10-19,190.0,220.71428571428572
2020-10-20,213.0,219.0
2020-10-21,215.0,220.0
2020-10-22,223.0,222.0
2020-10-23,221.0,228.71428571428572
2020-10-24,244.0,235.42857142857142
2020-10-25,248.0,239.57142857142858
2020-10-26,237.0,244.57142857142858
2020-10-27,260.0,248.14285714285714
2020-10-28,244.0,250.14285714285714
