,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0.14285714285714285,1,1,0,0,0
2020-03-01,0.14285714285714285,0,1,0,0,0
2020-03-02,0.42857142857142855,2,3,0,0,0
2020-03-03,0.42857142857142855,0,3,0,0,0
2020-03-04,0.42857142857142855,0,3,0,0,0
2020-03-05,0.42857142857142855,0,3,0,0,0
2020-03-06,0.42857142857142855,0,3,0,0,0
2020-03-07,0.7142857142857143,3,6,0,0,0
2020-03-08,1.8571428571428572,8,14,0,0,0
2020-03-09,1.5714285714285714,0,14,0,0,0
2020-03-10,1.5714285714285714,0,14,0,0,0
2020-03-11,2.2857142857142856,5,19,0,0,0
2020-03-12,3,5,24,0,0,0
2020-03-13,3.857142857142857,6,30,0,0,0
2020-03-14,4.285714285714286,6,36,0,0,0
2020-03-15,3.142857142857143,0,36,0.14285714285714285,1,1
2020-03-16,3.5714285714285716,3,39,0.14285714285714285,0,1
2020-03-17,7.428571428571429,27,66,0.14285714285714285,0,1
2020-03-18,8,9,75,0.42857142857142855,2,3
2020-03-19,9.142857142857142,13,88,0.42857142857142855,0,3
2020-03-20,12,26,114,0.42857142857142855,0,3
2020-03-21,14.428571428571429,23,137,0.5714285714285714,1,4
2020-03-22,17.857142857142858,24,161,0.5714285714285714,1,5
2020-03-23,21.714285714285715,30,191,0.5714285714285714,0,5
2020-03-24,20.571428571428573,19,210,1,3,8
2020-03-25,27.285714285714285,56,266,1,2,10
2020-03-26,32.57142857142857,50,316,1.1428571428571428,1,11
2020-03-27,43.142857142857146,100,416,1.2857142857142858,1,12
2020-03-28,48.857142857142854,63,479,1.2857142857142858,1,13
2020-03-29,55.285714285714285,69,548,1.1428571428571428,0,13
2020-03-30,59.285714285714285,58,606,1.5714285714285714,3,16
2020-03-31,68.57142857142857,84,690,1.4285714285714286,2,18
2020-04-01,67.14285714285714,46,736,1.2857142857142858,1,19
2020-04-02,72.85714285714286,90,826,1.4285714285714286,2,21
2020-04-03,69,73,899,1.4285714285714286,1,22
2020-04-04,60,0,899,1.2857142857142858,0,22
2020-04-05,74.28571428571429,169,1068,2,5,27
2020-04-06,66,0,1068,1.5714285714285714,0,27
2020-04-07,63.142857142857146,64,1132,1.5714285714285714,2,29
2020-04-08,63.57142857142857,49,1181,2,4,33
2020-04-09,70.71428571428571,140,1321,3.2857142857142856,11,44
2020-04-10,60.42857142857143,1,1322,3.142857142857143,0,44
2020-04-11,67.42857142857143,49,1371,3.7142857142857144,4,48
2020-04-12,65.57142857142857,156,1527,3.5714285714285716,4,52
2020-04-13,73.71428571428571,57,1584,3.7142857142857144,1,53
2020-04-14,71.57142857142857,49,1633,3.7142857142857144,2,55
2020-04-15,68.85714285714286,30,1663,3.5714285714285716,3,58
2020-04-16,59.285714285714285,73,1736,2.857142857142857,6,64
2020-04-17,66.14285714285714,49,1785,3.7142857142857144,6,70
2020-04-18,67.57142857142857,59,1844,3.4285714285714284,2,72
2020-04-19,54.714285714285715,66,1910,3.142857142857143,2,74
2020-04-20,53.285714285714285,47,1957,3.142857142857143,1,75
2020-04-21,53,47,2004,3.2857142857142856,3,78
2020-04-22,56.57142857142857,55,2059,2.857142857142857,0,78
2020-04-23,55.857142857142854,68,2127,2.7142857142857144,5,83
2020-04-24,56,50,2177,2.2857142857142856,3,86
2020-04-25,58.42857142857143,76,2253,2.142857142857143,1,87
2020-04-26,57.285714285714285,58,2311,2.5714285714285716,5,92
2020-04-27,56.714285714285715,43,2354,2.4285714285714284,0,92
2020-04-28,54.42857142857143,31,2385,3,7,99
2020-04-29,55.285714285714285,61,2446,3.2857142857142856,2,101
2020-04-30,54.714285714285715,64,2510,2.857142857142857,2,103
2020-05-01,57.42857142857143,69,2579,2.5714285714285716,1,104
2020-05-02,54.57142857142857,56,2635,3.142857142857143,5,109
2020-05-03,52.714285714285715,45,2680,2.4285714285714284,0,109
2020-05-04,57.857142857142854,79,2759,2.4285714285714284,0,109
2020-05-05,64.85714285714286,80,2839,2,4,113
2020-05-06,67.14285714285714,77,2916,2,2,115
2020-05-07,68.42857142857143,73,2989,2.5714285714285716,6,121
2020-05-08,69.85714285714286,79,3068,2.857142857142857,3,124
2020-05-09,75,92,3160,2.5714285714285716,3,127
2020-05-10,78.28571428571429,68,3228,2.5714285714285716,0,127
2020-05-11,75.28571428571429,58,3286,3,3,130
2020-05-12,74.14285714285714,72,3358,2.4285714285714284,0,130
2020-05-13,71.42857142857143,58,3416,2.7142857142857144,4,134
2020-05-14,70,63,3479,2.2857142857142856,3,137
2020-05-15,67.57142857142857,62,3541,1.8571428571428572,0,137
2020-05-16,64.57142857142857,71,3612,1.4285714285714286,0,137
2020-05-17,56.42857142857143,11,3623,1.4285714285714286,0,137
2020-05-18,57.285714285714285,64,3687,1.1428571428571428,1,138
2020-05-19,52.57142857142857,39,3726,1.4285714285714286,2,140
2020-05-20,55,75,3801,1.4285714285714286,4,144
2020-05-21,48.285714285714285,16,3817,1.1428571428571428,1,145
2020-05-22,46.142857142857146,47,3864,1.4285714285714286,2,147
2020-05-23,39.42857142857143,24,3888,1.4285714285714286,0,147
2020-05-24,43.42857142857143,39,3927,1.5714285714285714,1,148
2020-05-25,37.42857142857143,22,3949,1.4285714285714286,0,148
2020-05-26,34.42857142857143,18,3967,1.1428571428571428,0,148
2020-05-27,33.857142857142854,71,4038,0.5714285714285714,0,148
2020-05-28,38.42857142857143,48,4086,0.8571428571428571,3,151
2020-05-29,38.142857142857146,45,4131,0.5714285714285714,0,151
2020-05-30,42.42857142857143,54,4185,0.8571428571428571,2,153
2020-05-31,45.142857142857146,58,4243,0.7142857142857143,0,153
2020-06-01,50.42857142857143,59,4302,0.8571428571428571,1,154
2020-06-02,52.57142857142857,33,4335,1.2857142857142858,3,157
2020-06-03,51.57142857142857,64,4399,1.5714285714285714,2,159
2020-06-04,55.42857142857143,75,4474,1.1428571428571428,0,159
2020-06-05,62.714285714285715,96,4570,1.4285714285714286,2,161
2020-06-06,55,0,4570,1.1428571428571428,0,161
2020-06-07,59.857142857142854,92,4662,1.4285714285714286,2,163
2020-06-08,88.57142857142857,260,4922,1.4285714285714286,1,164
2020-06-09,93.28571428571429,66,4988,1.7142857142857142,5,169
2020-06-10,94.42857142857143,72,5060,1.4285714285714286,0,169
2020-06-11,109,177,5237,1.7142857142857142,2,171
2020-06-12,115.28571428571429,140,5377,1.7142857142857142,2,173
2020-06-13,115.28571428571429,0,5377,1.7142857142857142,0,173
2020-06-14,139.14285714285714,259,5636,1.8571428571428572,3,176
2020-06-15,128.28571428571428,184,5820,2.2857142857142856,4,180
2020-06-16,158.57142857142858,278,6098,1.8571428571428572,2,182
2020-06-17,165.42857142857142,120,6218,2,1,183
2020-06-18,161.28571428571428,148,6366,2.2857142857142856,4,187
2020-06-19,170.71428571428572,206,6572,2.142857142857143,1,188
2020-06-20,196.14285714285714,178,6750,2.2857142857142856,1,189
2020-06-21,185.85714285714286,187,6937,2,1,190
2020-06-22,180.42857142857142,146,7083,1.7142857142857142,2,192
2020-06-23,168,191,7274,1.4285714285714286,0,192
2020-06-24,175.14285714285714,170,7444,1.7142857142857142,3,195
2020-06-25,171.71428571428572,124,7568,1.4285714285714286,2,197
2020-06-26,178,250,7818,2,5,202
2020-06-27,192,276,8094,1.8571428571428572,0,202
2020-06-28,200.57142857142858,247,8341,1.7142857142857142,0,202
2020-06-29,200.28571428571428,144,8485,1.7142857142857142,2,204
2020-06-30,197.42857142857142,171,8656,2.142857142857143,3,207
2020-07-01,212.42857142857142,275,8931,1.8571428571428572,1,208
2020-07-02,246.57142857142858,363,9294,1.7142857142857142,1,209
2020-07-03,259.7142857142857,342,9636,1,0,209
2020-07-04,262.2857142857143,294,9930,1.5714285714285714,4,213
2020-07-05,269.85714285714283,300,10230,1.8571428571428572,2,215
2020-07-06,272.85714285714283,165,10395,1.5714285714285714,0,215
2020-07-07,278.42857142857144,210,10605,1.8571428571428572,5,220
2020-07-08,269.42857142857144,212,10817,2.2857142857142856,4,224
2020-07-09,270.57142857142856,371,11188,3,6,230
2020-07-10,259.7142857142857,266,11454,3.2857142857142856,2,232
2020-07-11,274.42857142857144,397,11851,2.7142857142857144,0,232
2020-07-12,277.14285714285717,319,12170,2.7142857142857144,2,234
2020-07-13,291.85714285714283,268,12438,3.142857142857143,3,237
2020-07-14,314.2857142857143,367,12805,3.4285714285714284,7,244
2020-07-15,323.42857142857144,276,13081,3.2857142857142856,3,247
2020-07-16,331.57142857142856,428,13509,2.7142857142857144,2,249
2020-07-17,335.42857142857144,293,13802,3.142857142857143,5,254
2020-07-18,328.2857142857143,347,14149,3.5714285714285716,3,257
2020-07-19,344.14285714285717,430,14579,3.7142857142857144,3,260
2020-07-20,344.14285714285717,268,14847,3.5714285714285716,2,262
2020-07-21,333.42857142857144,292,15139,3.5714285714285716,7,269
2020-07-22,330.2857142857143,254,15393,3.4285714285714284,2,271
2020-07-23,314.85714285714283,320,15713,3.4285714285714284,2,273
2020-07-24,328.85714285714283,391,16104,4,9,282
2020-07-25,334.7142857142857,388,16492,4,3,285
2020-07-26,311.2857142857143,266,16758,4.142857142857143,4,289
2020-07-27,320.14285714285717,330,17088,3.857142857142857,0,289
2020-07-28,324.14285714285717,320,17408,4.857142857142857,14,303
2020-07-29,332.57142857142856,313,17721,5.714285714285714,8,311
2020-07-30,345.42857142857144,410,18131,6.142857142857143,5,316
2020-07-31,341.14285714285717,361,18492,5.714285714285714,6,322
2020-08-01,332.14285714285717,325,18817,5.714285714285714,3,325
2020-08-02,334.14285714285717,280,19097,5.285714285714286,1,326
2020-08-03,325.42857142857144,269,19366,5.571428571428571,2,328
2020-08-04,327.2857142857143,333,19699,4.285714285714286,5,333
2020-08-05,322.42857142857144,279,19978,3.857142857142857,5,338
2020-08-06,299,246,20224,3.2857142857142856,1,339
2020-08-07,306.14285714285717,411,20635,3.7142857142857144,9,348
2020-08-08,313.2857142857143,375,21010,4.285714285714286,7,355
2020-08-09,310.7142857142857,262,21272,4.285714285714286,1,356
2020-08-10,303.14285714285717,216,21488,4.142857142857143,1,357
2020-08-11,296.42857142857144,286,21774,5,11,368
